Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,45.382,45.382,45.382,45.382,63
2005-01-04,44.972,46.201,44.972,44.972,133
2005-01-05,45.791,46.201,44.972,44.972,596
2005-01-06,44.972,45.791,44.972,44.972,278
2005-01-07,44.972,46.201,44.972,46.201,240
2005-01-10,45.382,47.02,45.382,47.02,188
2005-01-11,45.791,47.839,45.791,47.839,280
2005-01-12,46.611,46.611,46.611,46.611,63
2005-01-13,46.201,47.43,45.791,46.611,143
2005-01-14,46.611,47.43,46.611,47.43,83
2005-01-17,46.611,47.839,46.611,47.02,102
2005-01-18,46.201,46.611,46.201,46.611,107
2005-01-19,46.201,47.839,46.201,47.43,1165
2005-01-20,46.201,47.839,46.201,47.02,205
2005-01-21,46.611,48.167,46.201,48.167,172
2005-01-24,47.02,48.167,46.611,47.02,373
2005-01-25,45.791,48.577,45.791,48.577,451
2005-01-26,47.839,49.396,47.839,49.396,346
2005-01-27,48.577,52.263,48.577,51.853,3778
2005-01-28,51.853,52.263,49.805,51.853,503
2005-01-31,49.805,52.263,49.805,52.263,510
2005-02-01,50.624,52.672,50.624,52.672,923
2005-02-02,51.034,53.082,51.034,53.082,317
2005-02-03,53.082,53.901,52.263,53.901,660
2005-02-04,52.672,55.13,52.672,53.901,1119
2005-02-07,55.539,59.144,55.13,56.277,1008
2005-02-08,55.867,57.505,55.13,55.13,478
2005-02-09,53.901,55.867,53.901,55.539,128
2005-02-10,54.311,55.539,54.311,55.539,85
2005-02-11,54.311,54.72,53.901,54.311,177
2005-02-14,54.311,55.13,53.901,55.13,150
2005-02-15,53.901,55.539,52.263,54.72,425
2005-02-16,52.672,54.311,51.444,53.492,1002
2005-02-17,51.853,53.082,51.853,53.082,337
2005-02-18,51.853,53.901,51.853,53.901,523
2005-02-21,52.263,54.311,52.263,54.311,225
2005-02-22,52.672,54.311,52.263,54.311,97
2005-02-23,52.263,53.901,51.853,53.901,75
2005-02-24,52.263,53.901,52.263,53.901,160
2005-02-25,52.263,55.13,52.263,55.13,553
2005-02-28,53.082,55.13,53.082,54.72,115
2005-03-01,53.082,55.13,52.672,54.72,77
2005-03-02,52.672,52.672,50.624,52.263,244
2005-03-03,50.624,51.853,48.577,51.853,219
2005-03-04,49.805,51.444,49.805,51.034,354
2005-03-07,50.215,51.444,50.215,50.215,102
2005-03-08,49.805,49.805,47.02,48.986,458
2005-03-09,47.839,48.986,47.839,48.986,345
2005-03-10,47.43,48.986,47.43,48.986,135
2005-03-11,47.02,48.577,47.02,47.43,2043
2005-03-14,47.02,50.215,47.02,50.215,1711
2005-03-15,48.577,49.805,47.839,49.396,294
2005-03-16,47.839,49.805,47.839,48.167,198
2005-03-17,47.43,48.167,47.02,48.167,444
2005-03-18,47.02,49.396,46.201,49.396,1086
2005-03-21,48.577,49.396,46.611,49.396,543
2005-03-22,46.611,49.396,46.611,49.396,63
2005-03-23,47.839,50.215,47.02,50.215,2075
2005-03-24,48.577,53.082,48.577,52.672,15613
2005-03-29,52.672,56.686,51.034,56.686,21052
2005-03-30,57.096,58.325,56.686,57.096,11368
2005-03-31,57.505,57.915,56.686,57.096,9621
2005-04-01,55.13,57.096,55.13,56.686,7228
2005-04-04,55.13,57.915,55.13,57.505,285
2005-04-05,56.686,57.505,56.686,57.505,6236
2005-04-06,55.539,55.539,55.13,55.13,102
2005-04-07,54.311,56.277,54.311,55.867,66
2005-04-11,54.311,55.13,54.311,55.13,35
2005-04-12,54.311,55.867,54.311,55.539,189
2005-04-13,54.311,54.72,54.311,54.72,156
2005-04-14,54.72,55.867,54.311,55.867,106
2005-04-15,54.311,55.867,54.311,55.867,44
2005-04-18,54.311,55.867,53.901,55.867,106
2005-04-19,54.311,55.867,53.901,55.867,19
2005-04-20,53.901,55.539,53.901,55.539,102
2005-04-21,53.901,55.539,53.901,55.539,156
2005-04-22,53.901,55.867,53.901,55.539,199
2005-04-25,53.901,55.13,53.901,55.13,143
2005-04-26,54.311,55.13,52.263,54.311,328
2005-04-27,52.263,55.13,52.263,55.13,193
2005-04-28,52.263,55.13,52.263,55.13,20
2005-04-29,52.263,55.13,52.263,55.13,8
2005-05-02,55.13,55.539,53.901,55.539,78
2005-05-04,53.901,55.539,52.263,55.539,27
2005-05-05,52.263,55.13,52.263,55.13,18
2005-05-06,52.672,54.72,52.263,54.72,114
2005-05-09,52.263,55.13,52.263,55.13,112
2005-05-10,53.492,54.311,51.853,53.492,251
2005-05-11,52.263,54.311,52.263,52.263,275
2005-05-12,52.263,52.263,51.444,52.263,483
2005-05-13,51.444,53.901,51.444,53.492,26
2005-05-16,52.672,52.672,51.444,52.672,86
2005-05-17,51.853,53.492,51.444,53.492,65
2005-05-18,51.853,54.311,51.444,54.311,35
2005-05-19,51.853,53.492,51.444,51.853,119
2005-05-20,51.444,52.263,50.215,50.624,287
2005-05-23,49.805,52.672,49.805,49.805,1469
2005-05-24,49.396,51.034,48.986,48.986,733
2005-05-25,48.986,49.396,48.577,48.577,2632
2005-05-27,47.839,48.577,47.839,48.577,701
2005-05-30,48.577,48.577,48.167,48.577,1351
2005-05-31,48.167,50.215,48.167,50.215,2543
2005-06-01,48.577,51.444,48.577,51.444,110
2005-06-02,49.396,51.444,49.396,51.444,23
2005-06-03,49.396,50.624,48.986,50.624,35
2005-06-06,49.396,51.034,49.396,51.034,87
2005-06-07,49.805,51.444,49.805,50.215,71
2005-06-08,50.624,51.034,50.215,50.215,117
2005-06-09,50.215,50.215,50.215,50.215,76
