Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-09-21,10.714,11.318,10.677,10.862,909722
2006-09-22,10.854,10.854,10.445,10.77,57119
2006-09-25,10.668,10.983,10.668,10.983,135284
2006-09-26,11.049,11.188,11.049,11.179,113044
2006-09-27,11.225,11.225,10.862,11.096,74383
2006-09-28,10.862,11.141,10.816,11.141,40353
2006-09-29,11.169,11.169,10.956,11.141,38537
2006-10-02,11.141,11.141,10.872,11.141,70489
2006-10-03,11.058,11.141,11.058,11.133,22838
2006-10-04,11.049,11.16,11.049,11.16,71488
2006-10-05,11.141,11.216,11.141,11.188,115613
2006-10-06,11.225,11.559,11.188,11.559,75634
2006-10-09,11.559,11.633,11.512,11.633,21779
2006-10-10,11.653,11.653,11.512,11.653,70571
2006-10-11,11.699,11.792,11.671,11.699,43011
2006-10-12,11.746,12.024,11.746,11.987,17728
2006-10-13,12.07,12.117,11.894,11.996,122170
2006-10-16,12.052,12.052,11.884,11.977,25152
2006-10-17,11.605,11.699,11.448,11.522,28794
2006-10-18,11.467,11.884,11.467,11.559,27208
2006-10-19,11.512,11.708,11.512,11.559,14432
2006-10-20,11.522,11.643,11.374,11.374,17540
2006-10-23,11.42,11.512,11.42,11.512,7072
2006-10-24,11.605,11.605,11.512,11.605,16658
2006-10-25,11.512,11.588,11.383,11.467,11717
2006-10-26,11.392,11.512,11.327,11.327,16266
2006-10-27,11.327,11.327,11.16,11.281,8639
2006-10-30,11.327,11.327,11.049,11.188,13760
2006-10-31,11.327,11.475,11.133,11.188,2162
2006-11-02,11.467,11.467,11.141,11.188,26172
2006-11-03,11.457,11.457,11.151,11.151,13150
2006-11-06,11.188,11.327,11.188,11.327,4776
2006-11-07,11.708,12.535,11.708,12.535,223864
2006-11-08,12.915,13.463,12.859,12.905,122468
2006-11-09,13.37,13.37,12.627,12.766,25965
2006-11-10,12.813,12.813,12.506,12.58,27002
2006-11-13,12.608,12.617,12.209,12.349,10748
2006-11-14,12.07,12.58,11.977,12.58,31333
2006-11-15,12.627,12.627,12.201,12.201,23669
