Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-19,5.6069,6.0891,5.6069,5.7438,134867
2007-11-20,5.749,5.8352,5.683,5.8352,15658
2007-11-21,5.8861,5.8861,5.7897,5.8352,29042
2007-11-22,5.8352,5.8352,5.5816,5.5816,2020
2007-11-23,5.6324,5.8861,5.6324,5.8861,4743
2007-11-26,6.0891,6.0891,5.8861,5.9876,13163
2007-11-28,6.0129,6.0891,6.0129,6.0891,2002
2007-11-29,6.1398,6.1398,6.1398,6.1398,21
2007-12-03,5.749,6.0891,5.6375,6.0891,393
2007-12-05,6.5457,6.5457,6.5457,6.5457,4
2007-12-06,6.1398,6.1398,6.1398,6.1398,1399
2007-12-07,6.1905,6.1905,6.0384,6.0384,1131
2007-12-10,6.0891,6.1398,6.0891,6.1398,2224
2007-12-11,5.9215,6.1398,5.9215,6.1398,1123
2007-12-12,6.0839,6.2411,6.0384,6.2411,12625
2007-12-13,6.2666,6.2666,6.2666,6.2666,2
2007-12-14,6.2666,6.2666,6.2666,6.2666,21
2007-12-17,6.3427,6.3427,6.1905,6.292,2291
2007-12-19,6.3427,6.3427,6.1905,6.3427,256
2007-12-20,6.0891,6.3427,6.0891,6.0891,592
2007-12-21,6.3172,6.3172,6.0891,6.3172,20694
2007-12-27,6.1499,6.1499,6.1398,6.1398,988
2007-12-28,5.8861,6.4443,5.8861,6.3427,8867
2008-01-02,6.3427,6.3427,6.3427,6.3427,3074
2008-01-03,6.3427,6.3427,6.1448,6.1448,1007
2008-01-04,6.1448,6.1448,6.1448,6.1448,986
2008-01-07,6.0891,6.292,6.0891,6.292,140
2008-01-08,6.292,6.3679,6.1905,6.3478,313493
2008-01-09,6.0941,6.0941,6.0891,6.0891,10844
2008-01-10,6.287,6.287,6.287,6.287,52
2008-01-14,6.1246,6.292,5.9876,6.292,50629
2008-01-16,5.9876,5.9876,5.8352,5.8352,86973
2008-01-17,6.0839,6.0839,6.0384,6.0384,59814
2008-01-21,6.292,6.292,6.292,6.292,26
2008-01-22,6.0891,6.0891,5.5816,5.9925,108585
2008-01-23,6.0129,6.1905,6.0129,6.0891,62164
2008-01-25,6.0891,6.1398,6.0891,6.1398,785
2008-01-28,5.8352,6.2411,5.8352,6.2411,2147
2008-01-29,6.292,6.3427,6.292,6.3427,1579
2008-02-01,6.3172,6.3427,6.3172,6.3427,4703
2008-02-04,6.2411,6.5457,6.2411,6.3427,12021
2008-02-05,6.4747,6.5457,6.4747,6.5457,2
2008-02-06,6.3427,6.3427,6.3427,6.3427,956
2008-02-07,6.5457,6.5965,6.3427,6.3427,3172
2008-02-08,6.5913,6.5965,6.3427,6.5965,3154
2008-02-13,6.5965,6.5965,6.5965,6.5965,27
2008-02-14,6.5965,6.5965,6.5965,6.5965,444
2008-02-15,6.5965,6.5965,6.5965,6.5965,2955
2008-02-19,6.5965,6.5965,6.5965,6.5965,77
2008-02-20,6.5965,6.7232,6.5965,6.7232,217401
2008-02-21,6.7232,6.8502,6.7232,6.8502,4885
2008-02-22,6.8502,7.1041,6.8502,6.8502,1073
2008-02-25,6.6219,6.8451,6.6065,6.8451,1695
2008-02-26,6.7232,6.7993,6.7232,6.7232,1426
2008-02-27,6.8451,6.977,6.6725,6.6725,15923
2008-02-28,6.9515,6.977,6.6219,6.977,2128
2008-02-29,6.977,7.0783,6.9515,6.9515,2585
2008-03-03,7.0023,7.0783,6.8502,6.9515,961
2008-03-04,7.0274,7.0274,6.6725,6.6725,1219
2008-03-05,6.5965,6.5965,6.5965,6.5965,610
2008-03-06,6.4949,6.9974,6.4949,6.8247,781
2008-03-07,6.5001,6.5965,6.292,6.292,1377
2008-03-10,6.8502,6.8502,6.8502,6.8502,1
2008-03-12,6.5457,6.9009,6.5457,6.9009,2805
2008-03-13,6.8502,6.8502,6.7487,6.7487,271
2008-03-17,6.5965,6.5965,6.5965,6.5965,474
2008-03-20,6.16,6.16,6.1499,6.1499,731
2008-03-25,6.1499,6.1499,6.1499,6.1499,592
2008-03-26,6.1499,6.1499,6.1499,6.1499,97
2008-03-27,6.1499,6.3782,6.1499,6.3172,2441
2008-03-28,6.4288,6.4288,6.4288,6.4288,592
2008-03-31,6.2514,6.4239,6.2514,6.4239,2190
2008-04-01,6.1702,6.3834,6.1652,6.3834,592
2008-04-02,6.4595,6.4646,6.4595,6.4646,393
2008-04-03,6.1702,6.1702,6.1652,6.1652,316
2008-04-04,6.2411,6.3631,6.2411,6.3427,787
2008-04-08,6.4239,6.4239,6.4239,6.4239,95
2008-04-09,6.292,6.3936,6.292,6.3936,658
2008-04-10,6.292,6.3679,6.292,6.3679,986
2008-04-11,6.1448,6.3679,6.1448,6.3679,886
2008-04-15,6.1905,6.3936,6.1905,6.3936,1775
2008-04-16,6.1905,6.3936,6.1905,6.3936,1579
2008-04-17,6.1905,6.3936,6.1398,6.2411,2386
2008-04-18,6.2058,6.3427,6.1398,6.3427,99129
2008-04-21,6.1398,6.3123,6.1398,6.3123,1048
2008-04-22,6.292,6.292,6.292,6.292,1971
2008-04-24,6.2818,6.2818,6.0384,6.0788,1676
2008-04-28,6.0788,6.3679,5.9418,6.1803,39908
2008-04-29,6.1803,6.1803,6.1803,6.1803,198
2008-05-05,6.1549,6.1549,6.0891,6.1549,21381
2008-05-06,6.0891,6.0891,6.0891,6.0891,350
2008-05-07,6.3936,6.3936,6.0891,6.0891,18
2008-05-08,6.1398,6.1398,6.1398,6.1398,592
2008-05-09,6.1398,6.3936,6.1398,6.3427,286949
2008-05-12,6.3427,6.5965,6.3427,6.5965,7101
2008-05-13,6.5913,6.6472,6.5913,6.6472,10097
2008-05-14,6.698,6.698,6.5965,6.5965,367
2008-05-15,6.7335,6.7487,6.6572,6.7232,3538
2008-05-19,6.7232,6.7232,6.7232,6.7232,894
2008-05-20,6.7842,6.7993,6.5711,6.7487,7265
2008-05-21,6.5965,6.7182,6.5001,6.5965,61488
2008-05-23,6.3986,6.5965,6.3986,6.5965,945
2008-05-26,6.5457,6.5711,6.5457,6.5711,2127
2008-05-27,6.4949,6.5913,6.4949,6.5913,453
2008-05-28,6.5965,6.5965,6.5913,6.5913,293
2008-05-29,6.4949,6.4949,6.4949,6.4949,1930
2008-05-30,6.5812,6.5812,6.5812,6.5812,390
2008-06-02,6.4443,6.6472,6.4443,6.6472,11751
2008-06-03,6.6219,6.6219,6.6219,6.6219,7882
2008-06-04,6.6219,6.6219,6.6219,6.6219,150
2008-06-06,6.4949,6.4949,6.4949,6.4949,1593
2008-06-09,6.3427,6.4443,6.3427,6.4443,5285
2008-06-10,6.4798,6.4798,6.0891,6.1905,22272
2008-06-11,6.2411,6.3172,6.2411,6.3172,2720
2008-06-13,6.1905,6.1905,6.1398,6.1398,3865
2008-06-16,6.0941,6.1193,6.0941,6.1193,7065
2008-06-17,6.1652,6.1652,6.1652,6.1652,6
2008-06-18,6.0891,6.0891,6.0891,6.0891,1874
2008-06-24,6.0891,6.0891,5.7845,5.9267,2217
2008-06-25,5.7845,5.8099,5.7845,5.8099,2169
2008-07-01,5.6375,5.7338,5.4344,5.7338,1201
2008-07-03,5.5816,5.6069,5.3533,5.3533,3944
2008-07-04,5.13,5.13,5.1249,5.1249,2258
2008-07-07,5.2771,5.2771,4.9727,4.9727,1073
2008-07-08,4.9727,4.9727,4.8204,4.8204,1006
2008-07-09,4.9219,5.1757,4.9219,5.1757,2955
2008-07-10,5.2264,5.2264,5.2264,5.2264,61
2008-07-11,5.0995,5.2771,5.0995,5.2771,787
2008-07-14,5.2771,5.2771,5.2771,5.2771,1978
2008-07-16,5.2771,5.2771,5.1249,5.1249,2019
2008-07-17,5.1249,5.1249,5.1249,5.1249,6
2008-07-18,5.1249,5.1502,5.1249,5.1502,21
2008-07-23,5.2264,5.2264,5.2264,5.2264,294
2008-07-28,5.0741,5.2771,5.0741,5.2771,1296
2008-07-30,5.2771,5.2771,5.2771,5.2771,21
2008-08-01,5.2771,5.2771,5.2771,5.2771,63
2008-08-04,5.2771,5.2771,5.2771,5.2771,61
