Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,15.752,16.21,15.752,15.752,148054
2005-01-04,15.752,15.868,15.131,15.131,121265
2005-01-05,14.956,15.467,14.899,15.298,267232
2005-01-06,15.298,15.467,15.183,15.239,125781
2005-01-07,15.357,15.357,14.788,15.072,112467
2005-01-10,15.183,15.239,14.956,15.183,68214
2005-01-11,15.131,15.183,14.788,15.072,87198
2005-01-12,15.183,15.183,14.899,14.956,95129
2005-01-13,15.072,15.183,14.619,14.672,64873
2005-01-14,14.561,14.561,14.049,14.503,207992
2005-01-17,14.561,14.788,14.503,14.561,44216
2005-01-18,14.561,14.672,14.385,14.385,123639
2005-01-19,14.334,14.788,14.334,14.672,90504
2005-01-20,14.561,14.844,14.503,14.788,137270
2005-01-21,14.899,15.131,14.619,14.729,381043
2005-01-24,14.561,14.788,14.276,14.729,93505
2005-01-25,14.672,15.072,14.672,14.956,32426
2005-01-26,14.956,15.131,14.956,14.956,20615
2005-01-27,14.844,15.072,14.729,14.844,26871
2005-01-28,14.788,14.899,14.729,14.844,28706
2005-01-31,15.014,15.298,14.899,15.072,43351
2005-02-01,15.131,15.414,15.014,15.357,88580
2005-02-02,15.467,15.525,15.239,15.239,33227
2005-02-03,15.131,15.357,15.131,15.239,11323
2005-02-04,15.183,15.357,15.131,15.131,29648
2005-02-07,15.183,15.357,15.131,15.298,26932
2005-02-08,15.239,15.582,15.239,15.525,99401
2005-02-09,15.641,15.641,15.298,15.582,28427
2005-02-10,15.582,15.641,15.357,15.525,21546
2005-02-11,15.467,15.641,15.239,15.357,97202
2005-02-14,15.357,15.467,15.298,15.298,38639
2005-02-15,15.239,15.467,15.183,15.467,54908
2005-02-16,15.467,15.699,15.414,15.467,29977
2005-02-17,15.641,16.321,15.414,15.978,277964
2005-02-18,15.978,16.722,15.978,16.321,222835
2005-02-21,16.262,16.548,16.21,16.495,99210
2005-02-22,16.38,16.495,16.036,16.153,90541
2005-02-23,16.321,16.437,16.093,16.262,31685
2005-02-24,16.38,16.437,16.21,16.321,197857
2005-02-25,16.38,16.605,16.321,16.495,153346
2005-02-28,17.059,17.576,17.059,17.234,472368
2005-03-01,17.458,17.458,16.664,17.007,281181
2005-03-02,17.007,17.117,16.262,16.495,157014
2005-03-03,16.495,16.722,16.321,16.321,111364
2005-03-04,16.38,16.605,16.321,16.605,46762
2005-03-07,16.775,17.175,16.548,17.117,91799
2005-03-08,17.059,17.117,16.832,17.059,72599
2005-03-09,16.948,17.458,16.948,17.059,80470
2005-03-10,17.175,17.175,16.664,16.832,35499
2005-03-11,16.832,16.89,16.605,16.664,59054
2005-03-14,16.548,16.548,16.38,16.548,32342
2005-03-15,16.437,16.722,16.437,16.722,16573
2005-03-16,16.495,16.605,15.926,16.153,172176
2005-03-17,16.036,16.321,15.414,16.153,128170
2005-03-18,16.153,16.321,15.699,15.978,81228
2005-03-21,16.036,16.036,15.641,15.81,87338
2005-03-22,15.641,15.868,15.467,15.868,58394
2005-03-23,15.582,16.093,15.582,16.036,44979
2005-03-24,16.21,16.548,16.21,16.38,57890
2005-03-29,16.548,16.832,16.495,16.775,99557
2005-03-30,16.89,17.117,16.832,17.117,235003
2005-03-31,17.117,17.234,16.722,16.722,102021
2005-04-01,16.89,17.234,16.89,17.059,102709
2005-04-04,17.117,17.234,17.059,17.059,20171
2005-04-05,17.059,17.175,16.664,16.89,22062
2005-04-06,17.059,17.291,16.89,17.175,52428
2005-04-07,16.775,16.775,15.752,15.926,590804
2005-04-11,15.926,16.153,15.81,15.926,55908
2005-04-12,15.926,15.926,15.752,15.81,65481
2005-04-13,15.868,15.868,15.525,15.641,105683
2005-04-14,15.525,15.525,14.844,15.014,189387
2005-04-15,14.844,15.014,14.561,14.788,132484
2005-04-18,14.672,14.672,14.218,14.619,80384
2005-04-19,14.619,14.729,14.385,14.444,87541
2005-04-20,14.503,14.672,14.503,14.619,117383
2005-04-21,14.619,14.956,14.619,14.956,107235
2005-04-22,15.131,15.239,14.788,14.899,31390
2005-04-25,14.899,14.956,14.788,14.899,4885
2005-04-26,14.788,14.788,13.42,13.42,224651
2005-04-27,13.589,13.706,13.363,13.42,168666
2005-04-28,13.479,14.101,13.363,13.823,177789
2005-04-29,14.049,14.049,13.194,13.42,66381
2005-05-02,13.42,13.42,12.794,12.853,39324
2005-05-04,12.741,12.969,12.568,12.794,72164
2005-05-05,13.02,13.08,12.741,12.911,42777
2005-05-06,12.853,12.969,12.625,12.853,40748
2005-05-09,12.741,12.794,12.51,12.51,22423
2005-05-10,12.625,12.684,12.341,12.341,49808
2005-05-11,12.172,12.853,12.172,12.684,84485
2005-05-12,12.853,13.08,12.853,12.853,45119
2005-05-13,12.969,13.08,12.794,13.02,63663
2005-05-16,13.08,13.42,13.08,13.305,106035
2005-05-17,13.479,13.479,13.02,13.08,65568
2005-05-18,13.08,13.305,12.969,13.08,36825
2005-05-19,13.194,13.649,13.194,13.538,56627
2005-05-20,13.538,13.933,13.538,13.874,52279
2005-05-23,14.049,14.101,13.933,13.933,20247
2005-05-24,14.049,14.049,13.649,13.649,71982
2005-05-25,13.649,13.874,13.538,13.823,5378
2005-05-27,13.823,14.049,13.765,14.049,20778
2005-05-30,14.101,14.444,13.933,14.159,52372
2005-05-31,14.049,14.276,13.933,14.101,19827
2005-06-01,13.99,14.049,13.823,13.99,32503
2005-06-02,13.99,14.101,13.933,14.049,9523
2005-06-03,13.99,14.101,13.706,13.823,47039
2005-06-06,13.765,13.765,13.479,13.479,40022
2005-06-07,13.538,13.823,13.538,13.765,89532
2005-06-08,13.823,13.933,13.706,13.823,91532
2005-06-09,13.823,13.99,13.706,13.933,75376
2005-06-10,14.049,14.101,13.823,13.933,122976
2005-06-13,13.823,13.933,13.706,13.933,30660
2005-06-14,13.765,13.874,13.649,13.706,87329
2005-06-15,13.874,13.933,13.649,13.933,35276
2005-06-16,14.101,14.159,13.823,13.933,25178
2005-06-17,14.101,14.334,13.99,14.276,84943
2005-06-20,14.218,14.672,14.159,14.672,47429
2005-06-21,14.672,14.899,14.561,14.899,70853
2005-06-22,15.014,15.414,14.899,15.414,90788
2005-06-23,15.582,15.582,15.131,15.239,55499
2005-06-24,15.183,15.183,14.899,15.072,48758
2005-06-27,14.899,15.014,14.561,14.956,35225
2005-06-28,15.072,15.239,14.844,15.239,52445
2005-06-29,15.239,15.239,15.014,15.183,17845
2005-06-30,15.014,15.298,14.844,15.131,26793
2005-07-01,14.956,15.525,14.956,15.414,80149
2005-07-04,15.357,15.641,15.239,15.582,81995
2005-07-05,15.641,15.641,15.072,15.131,199534
2005-07-06,15.131,15.414,15.014,15.414,15815
2005-07-07,15.414,15.414,15.072,15.298,45230
2005-07-08,15.183,15.467,15.183,15.414,16247
2005-07-11,15.641,15.978,15.641,15.978,160558
2005-07-12,16.036,16.036,15.81,15.926,30121
2005-07-13,15.926,16.036,15.81,15.81,38097
2005-07-14,15.978,16.38,15.868,16.262,118250
2005-07-15,16.21,16.495,16.036,16.495,56302
2005-07-18,17.059,17.402,17.007,17.117,318429
2005-07-19,17.117,17.291,16.948,17.175,228445
2005-07-20,17.234,17.402,17.059,17.234,145431
2005-07-21,17.234,17.402,17.234,17.344,103184
2005-07-22,17.344,17.913,17.291,17.686,155460
2005-07-25,17.686,18.768,17.686,18.768,246601
2005-07-26,19.052,19.453,18.883,19.278,215543
2005-07-27,19.337,19.337,19.11,19.221,176151
2005-07-28,19.221,19.79,19.221,19.506,151879
2005-07-29,19.506,19.732,18.651,18.651,229762
2005-08-01,18.826,18.883,18.313,18.708,66449
2005-08-02,18.826,19.337,18.826,19.167,105624
2005-08-03,19.052,19.052,18.482,18.651,193021
2005-08-04,18.651,18.826,18.313,18.708,48799
2005-08-05,18.482,18.994,18.482,18.826,53101
2005-08-08,18.883,19.453,18.883,19.278,99313
2005-08-09,19.453,19.679,18.883,19.167,209888
2005-08-10,19.11,19.11,18.651,18.883,67345
2005-08-11,18.651,18.708,18.313,18.372,119475
2005-08-12,18.198,18.313,17.686,17.971,102140
2005-08-16,17.913,18.372,17.743,18.139,174575
2005-08-17,18.029,18.256,17.913,18.139,16286
2005-08-18,18.029,18.198,17.913,18.089,6213
2005-08-19,17.913,18.372,17.913,18.256,34491
2005-08-22,18.423,18.482,18.089,18.423,11845
2005-08-23,18.482,18.482,17.576,18.482,41715
2005-08-24,18.482,18.54,18.313,18.54,17056
2005-08-25,18.313,18.372,17.913,18.256,111845
2005-08-26,18.198,18.423,18.029,18.198,286349
2005-08-29,18.029,18.256,17.971,18.256,50089
2005-08-30,18.256,18.482,18.029,18.313,57302
