Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,40.28,41.071,40.28,40.927,49407
2005-01-04,40.785,41.139,40.499,41.139,105478
2005-01-05,40.709,41.432,40.566,41.357,125483
2005-01-06,40.927,41.501,40.927,41.289,253405
2005-01-07,41.289,41.432,40.566,40.995,28339
2005-01-10,40.566,41.214,40.566,41.139,52731
2005-01-11,41.139,41.139,40.641,40.995,101861
2005-01-12,40.995,41.139,40.709,40.927,225610
2005-01-13,39.85,40.852,39.85,40.211,151125
2005-01-14,39.993,40.499,39.85,40.499,23141
2005-01-17,40.709,41.139,40.641,40.927,86346
2005-01-18,40.641,40.641,39.565,40.211,39746
2005-01-19,39.775,40.423,39.775,40.211,67106
2005-01-20,39.489,40.211,38.849,39.919,79995
2005-01-21,39.489,39.85,39.202,39.85,31640
2005-01-24,39.489,39.707,38.343,39.707,60966
2005-01-25,39.707,40.28,39.707,40.069,181987
2005-01-26,39.919,40.355,39.775,40.211,274522
2005-01-27,40.069,40.499,40.069,40.211,68390
2005-01-28,40.28,40.641,40.069,40.423,63649
2005-01-31,40.211,40.927,40.211,40.785,24841
2005-02-01,40.423,41.643,40.423,41.575,139293
2005-02-02,41.432,42.721,41.432,42.578,344036
2005-02-03,42.359,42.51,42.073,42.148,227750
2005-02-04,41.719,42.073,41.357,41.643,147453
2005-02-07,41.643,43.007,41.289,43.007,145318
2005-02-08,42.94,43.798,42.94,43.151,125011
2005-02-09,42.721,43.225,42.359,43.007,137608
2005-02-10,43.294,44.446,42.435,43.798,157940
2005-02-11,43.294,43.874,43.082,43.579,79884
2005-02-14,44.16,44.875,43.436,44.16,213765
2005-02-15,43.798,44.16,43.436,43.798,86813
2005-02-16,43.73,44.514,43.655,44.446,137229
2005-02-17,44.514,45.238,44.446,45.018,325656
2005-02-18,44.875,45.666,44.228,44.514,403536
2005-02-21,44.16,45.018,44.16,44.808,136299
2005-02-22,44.657,44.733,44.16,44.514,225153
2005-02-23,44.371,44.875,43.655,44.16,144974
2005-02-24,44.514,45.094,43.941,44.875,179555
2005-02-25,45.161,45.734,45.094,45.38,217074
2005-02-28,45.448,45.591,44.875,45.094,101524
2005-03-01,45.018,45.238,43.874,45.018,50228
2005-03-02,44.733,44.95,44.16,44.446,157236
2005-03-03,44.16,44.371,43.151,43.73,39716
2005-03-04,44.085,44.085,43.798,44.016,83768
2005-03-07,43.798,43.798,43.369,43.73,110037
2005-03-08,43.436,44.371,43.294,44.16,75123
2005-03-09,43.798,45.666,43.798,45.666,221093
2005-03-10,45.591,45.591,44.085,44.808,104451
2005-03-11,44.808,45.018,43.369,44.16,49796
2005-03-14,43.798,44.304,43.798,44.16,98334
2005-03-15,44.16,44.95,44.16,44.371,282787
2005-03-16,43.798,43.798,42.435,42.654,126703
2005-03-17,43.151,43.941,43.151,43.655,216086
2005-03-18,43.655,44.016,43.579,43.941,126239
2005-03-21,43.579,43.874,43.436,43.436,212891
2005-03-22,43.151,43.511,43.151,43.436,123058
2005-03-23,43.082,43.511,43.082,43.369,33207
2005-03-24,43.436,43.941,43.436,43.73,180461
2005-03-29,43.151,43.369,42.94,43.294,23903
2005-03-30,42.94,43.294,42.796,43.007,11245
2005-03-31,43.082,43.082,38.916,42.435,259903
2005-04-01,42.51,42.796,42.216,42.51,351271
2005-04-04,42.578,42.94,42.359,42.578,105036
2005-04-05,42.359,42.721,42.359,42.654,15934
2005-04-06,42.51,42.94,42.51,42.94,25254
2005-04-07,43.082,43.082,41.643,41.643,29621
2005-04-11,41.719,42.864,41.719,42.721,47345
2005-04-12,42.721,43.73,42.216,43.436,202571
2005-04-13,43.436,44.808,43.436,44.514,204321
2005-04-14,44.304,44.514,43.511,44.514,74322
2005-04-15,43.579,44.514,43.511,44.446,36142
2005-04-18,43.082,43.655,42.94,43.082,104656
2005-04-19,43.082,43.369,42.796,43.151,223682
2005-04-20,42.796,43.436,42.796,42.796,90149
2005-04-21,42.435,43.294,42.435,43.082,137520
2005-04-22,41.719,43.798,41.719,43.511,132245
2005-04-25,43.511,43.655,43.151,43.436,48750
2005-04-26,43.225,43.579,43.225,43.436,180241
2005-04-27,43.082,43.082,42.721,43.082,142159
2005-04-28,42.796,43.369,42.796,43.082,228609
2005-04-29,43.082,43.294,42.51,43.007,122491
2005-05-02,43.007,43.007,42.578,42.721,86086
2005-05-04,42.721,42.721,42.216,42.359,120483
2005-05-05,42.359,43.007,42.359,42.864,158117
2005-05-06,43.007,43.007,42.216,42.435,144896
2005-05-09,42.359,42.359,41.575,41.861,81493
2005-05-10,41.643,41.861,40.211,40.499,168454
2005-05-11,40.136,41.719,40.136,41.501,251053
2005-05-12,43.151,43.941,42.864,43.579,450227
2005-05-13,43.655,45.238,43.579,45.161,318900
2005-05-16,45.238,45.38,44.95,45.238,157197
2005-05-17,45.238,45.524,45.018,45.161,66695
2005-05-18,45.161,48.824,45.161,46.669,338915
2005-05-19,47.535,48.394,46.669,46.669,521381
2005-05-20,46.744,47.89,46.744,47.393,624430
2005-05-23,47.098,47.393,47.098,47.098,42849
2005-05-24,47.098,48.033,47.03,47.46,33149
2005-05-25,47.535,48.109,47.535,48.109,51465
2005-05-27,47.603,50.263,47.603,49.253,213899
2005-05-30,49.759,50.263,48.899,49.472,106914
2005-05-31,49.396,49.54,49.11,49.329,124096
2005-06-01,48.824,48.824,47.393,47.746,199803
2005-06-02,47.822,48.469,47.603,48.176,70262
2005-06-03,48.967,48.967,48.109,48.469,192248
2005-06-06,48.469,48.68,47.746,47.89,226610
2005-06-07,47.89,48.033,47.393,47.965,142836
2005-06-08,47.746,47.89,47.393,47.393,156143
2005-06-09,47.393,47.679,47.098,47.393,130722
2005-06-10,47.46,47.965,47.393,47.679,98653
2005-06-13,47.679,47.746,47.317,47.46,68682
2005-06-14,47.393,47.603,46.669,46.669,128692
2005-06-15,46.172,47.174,46.172,47.03,475912
2005-06-16,47.03,48.109,47.03,47.89,131046
2005-06-17,48.033,48.033,47.03,47.393,93033
2005-06-20,47.098,47.746,47.098,47.603,30302
2005-06-21,47.46,48.109,47.46,47.965,133040
2005-06-22,47.679,49.833,47.679,49.54,139514
2005-06-23,49.901,50.76,48.899,49.185,101097
2005-06-24,48.756,48.756,47.393,48.109,299651
2005-06-27,47.822,47.822,47.098,47.174,293725
2005-06-28,47.249,47.46,46.812,46.812,102856
2005-06-29,46.812,47.03,46.315,46.315,72715
2005-06-30,46.172,46.458,45.591,45.953,231050
2005-07-01,45.953,46.887,45.81,46.744,174640
2005-07-04,46.315,48.469,46.315,47.965,305389
2005-07-05,48.109,48.109,47.46,47.535,227826
2005-07-06,48.033,48.176,47.679,47.965,185610
2005-07-07,47.965,48.394,46.887,48.319,610730
2005-07-08,48.25,49.615,48.25,49.396,594414
2005-07-11,49.185,49.329,48.537,48.824,218366
2005-07-12,48.537,48.68,47.965,48.469,132383
2005-07-13,48.319,49.185,48.176,49.185,154552
2005-07-14,48.899,49.11,48.68,49.043,173166
2005-07-15,48.967,49.901,48.899,49.043,181628
2005-07-18,48.899,49.472,48.756,48.899,108131
