Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.49,1.5,1.41,1.41,60823
2005-01-04,1.41,1.42,1.37,1.4,89948
2005-01-05,1.39,1.39,1.33,1.36,155845
2005-01-06,1.39,1.39,1.33,1.37,52900
2005-01-07,1.34,1.37,1.34,1.37,16639
2005-01-10,1.36,1.37,1.28,1.35,77429
2005-01-11,1.32,1.34,1.31,1.34,32655
2005-01-12,1.33,1.36,1.29,1.36,59425
2005-01-13,1.35,1.37,1.32,1.32,123119
2005-01-14,1.34,1.36,1.28,1.33,104777
2005-01-17,1.3,1.34,1.27,1.32,118386
2005-01-18,1.31,1.33,1.29,1.31,52915
2005-01-19,1.31,1.32,1.28,1.32,30018
2005-01-20,1.3,1.31,1.28,1.31,34269
2005-01-21,1.29,1.31,1.28,1.31,103646
2005-01-24,1.28,1.3,1.23,1.28,350174
2005-01-25,1.28,1.28,1.22,1.28,212959
2005-01-26,1.29,1.42,1.25,1.42,311027
2005-01-27,1.44,1.55,1.42,1.53,598045
2005-01-28,1.55,1.58,1.47,1.52,530118
2005-01-31,1.53,1.55,1.46,1.51,239929
2005-02-01,1.48,1.52,1.44,1.51,192893
2005-02-02,1.48,1.53,1.46,1.52,237848
2005-02-03,1.51,1.54,1.5,1.54,221476
2005-02-04,1.55,1.71,1.52,1.71,1454528
2005-02-07,1.81,2.17,1.81,2.05,1921743
2005-02-08,2.11,2.11,1.73,1.87,1849387
2005-02-09,1.84,2.01,1.78,1.84,1178286
2005-02-10,1.12,1.39,1.12,1.28,4896016
2005-02-11,1.31,1.36,1.12,1.17,1875441
2005-02-14,1.13,1.13,1,1,1829302
2005-02-15,1,1,0.86,0.91,1781372
2005-02-16,0.95,1.15,0.95,1.11,3324840
2005-02-17,1.27,1.33,1.19,1.27,3346932
2005-02-18,1.2,1.25,1.12,1.17,1597729
2005-02-21,1.17,1.25,1.14,1.21,1217396
2005-02-22,1.23,1.24,1.18,1.2,449873
2005-02-23,1.18,1.19,1.14,1.17,544807
2005-02-24,1.17,1.17,1.13,1.15,251513
