Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-22,5.5039,5.5039,5.3024,5.3914,76023
2005-06-23,5.3024,5.332,5.1307,5.2137,36362
2005-06-24,5.1604,5.184,5.101,5.184,4806
2005-06-27,5.1604,5.2137,5.1604,5.2137,34816
2005-06-28,5.2729,5.2729,5.2729,5.2729,23219
2005-06-29,5.3024,5.332,5.3024,5.3024,7706
2005-06-30,5.2433,5.3619,5.2433,5.2729,10346
2005-07-01,5.2729,5.4448,5.2729,5.4448,14487
2005-07-04,5.421,5.4448,5.421,5.4448,8231
2005-07-05,5.4448,5.5929,5.4448,5.5336,88538
2005-07-06,5.5039,5.5632,5.5039,5.5336,59550
2005-07-07,5.4448,5.5336,5.4448,5.5336,19739
2005-07-08,5.5336,5.5632,5.5336,5.5336,78641
2005-07-11,5.4448,5.4448,5.4448,5.4448,5810
2005-07-12,5.4448,5.5039,5.4448,5.4448,7266
2005-07-13,5.5039,5.5039,5.4448,5.4744,5640
2005-07-14,5.5039,5.5039,5.4744,5.5039,49877
2005-07-15,5.5039,5.5336,5.5039,5.5336,9064
2005-07-18,5.5336,5.5336,5.4744,5.5336,64092
2005-07-19,5.4744,5.5336,5.4448,5.5039,9874
2005-07-20,5.5336,5.5632,5.5039,5.5336,13919
2005-07-21,5.5336,5.5929,5.4448,5.5929,131111
2005-07-22,5.5929,5.6225,5.5336,5.5336,21508
2005-07-25,5.5632,5.5632,5.5632,5.5632,6051
2005-07-26,5.5632,5.5632,5.5336,5.5336,63411
2005-07-27,5.5336,5.6225,5.5336,5.6225,93959
2005-07-28,5.5632,5.5632,5.5336,5.5336,22329
2005-07-29,5.5929,5.5929,5.5632,5.5632,455
2005-08-01,5.5929,5.5929,5.4744,5.5336,3230
2005-08-02,5.5039,5.5632,5.5039,5.5632,949
2005-08-03,5.5632,5.5929,5.4744,5.5929,2268
2005-08-04,5.4744,5.5632,5.4744,5.5632,730
2005-08-05,5.5336,5.5929,5.5336,5.5929,18131
2005-08-08,5.5929,5.5929,5.5336,5.5929,2042
2005-08-09,5.5336,5.5336,5.5336,5.5336,1452
2005-08-10,5.5336,5.5336,5.5336,5.5336,1536
2005-08-11,5.5336,5.5336,5.5336,5.5336,7243
2005-08-12,5.5336,5.5336,5.5336,5.5336,57533
2005-08-16,5.5336,5.5632,5.5336,5.5632,7035
2005-08-17,5.5632,5.7053,5.5632,5.7053,127761
2005-08-18,5.735,5.9957,5.735,5.7943,85650
2005-08-19,5.9126,5.9661,5.8238,5.9424,12144
2005-08-22,5.9424,6.4933,5.9424,6.4933,124190
2005-08-23,6.4933,6.4933,6.2031,6.2267,29726
2005-08-24,6.1438,6.2267,6.1142,6.1438,20653
2005-08-25,6.1142,6.2267,6.0846,6.1734,9565
2005-08-26,6.0846,6.2031,6.0846,6.1142,6596
2005-08-29,5.8536,6.1438,5.8536,6.0846,27354
2005-08-30,6.1142,6.1734,6.0846,6.1438,16577
2005-08-31,6.1438,6.1734,6.0846,6.0846,57638
2005-09-01,6.0846,6.1142,5.8831,6.1142,79466
2005-09-02,5.9957,6.1142,5.9661,5.9661,20611
2005-09-05,5.9661,6.2031,5.9661,6.1438,103429
2005-09-06,6.1438,6.1438,5.9424,5.9424,61514
2005-09-07,6.0846,6.1438,5.8831,6.1142,40387
2005-09-08,6.1438,6.2031,6.0846,6.0846,24879
2005-09-09,6.0846,6.1438,6.0549,6.0549,5496
2005-09-12,6.0846,6.2031,5.9957,6.1438,5088
2005-09-13,6.1438,6.1438,6.0846,6.1142,9320
2005-09-14,6.0846,6.1438,6.0846,6.1438,2968
2005-09-15,5.9957,6.1438,5.9957,6.1438,13178
2005-09-16,6.1438,6.1438,6.1142,6.1438,3816
