Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,24.891,25.116,24.594,24.817,1825
2005-01-04,25.116,25.116,24.817,25.116,297
2005-01-05,25.116,25.116,24.891,24.967,926
2005-01-06,24.891,25.116,24.817,24.817,4416
2005-01-07,25.116,25.116,24.221,24.444,6494
2005-01-10,24.146,24.444,23.699,23.699,4383
2005-01-11,23.699,23.848,23.475,23.848,1443
2005-01-12,23.699,23.923,23.179,23.923,22630
2005-01-13,23.998,24.221,23.551,23.848,17059
2005-01-14,23.923,24.146,23.923,24.146,35
2005-01-17,24.519,24.594,24.221,24.444,1558
2005-01-18,23.998,23.998,23.551,23.848,3289
2005-01-19,23.252,24.444,23.179,23.625,4404
2005-01-20,23.4,24.221,23.326,23.848,6152
2005-01-21,23.551,23.625,23.252,23.625,10814
2005-01-24,23.625,23.998,23.551,23.998,1626
2005-01-25,23.848,24.221,23.774,24.221,2640
2005-01-26,24.221,24.296,23.848,23.923,12068
2005-01-27,23.998,25.041,23.998,24.594,96573
2005-01-28,24.594,24.594,23.998,24.146,19387
2005-01-31,24.221,24.221,23.699,23.699,22891
2005-02-01,23.774,24.221,23.699,23.998,12367
2005-02-02,24.296,24.371,24.07,24.221,3803
2005-02-03,23.848,24.07,23.774,23.774,7926
2005-02-04,24.07,24.07,23.625,23.625,11576
2005-02-07,23.923,24.07,23.551,23.625,16497
2005-02-08,23.923,23.923,23.625,23.699,11249
2005-02-09,23.699,23.699,22.656,22.88,24251
2005-02-10,22.955,23.625,22.88,22.88,13039
2005-02-11,23.104,23.104,22.656,22.656,6510
2005-02-14,22.656,22.656,22.135,22.656,7008
2005-02-15,22.283,22.283,22.06,22.135,35207
2005-02-16,22.135,22.135,21.314,21.389,31963
2005-02-17,21.389,21.389,20.644,20.868,29452
2005-02-18,20.793,20.793,20.198,20.198,30382
2005-02-21,20.569,20.644,20.122,20.569,47709
2005-02-22,20.717,20.793,20.569,20.644,32352
2005-02-23,20.717,21.837,20.644,21.017,47697
2005-02-24,21.538,21.837,21.314,21.611,19135
2005-02-25,21.837,21.837,21.389,21.463,23623
2005-02-28,21.611,21.611,21.017,21.091,9504
2005-03-01,21.389,21.389,20.868,20.868,35813
2005-03-02,20.941,21.837,20.941,21.761,88817
2005-03-03,21.911,22.955,21.911,22.88,60266
2005-03-04,23.252,23.774,22.955,22.955,59226
2005-03-07,23.104,23.104,22.358,22.358,21612
2005-03-08,22.135,22.88,21.611,22.283,27805
2005-03-09,22.73,22.73,22.135,22.358,33413
2005-03-10,22.358,22.432,21.911,22.358,5512
2005-03-11,22.358,22.358,21.985,22.283,5038
2005-03-14,21.985,22.135,21.017,21.314,18771
2005-03-15,21.314,21.837,21.24,21.688,14118
2005-03-16,21.463,21.611,20.868,21.091,14039
2005-03-17,21.166,21.538,21.166,21.389,6232
2005-03-18,21.166,21.538,21.166,21.538,1555
2005-03-21,21.611,21.611,20.793,20.793,7798
2005-03-22,20.793,21.017,20.345,21.017,8105
2005-03-23,20.569,21.389,20.496,21.389,6070
2005-03-24,21.166,21.611,21.091,21.611,2716
2005-03-29,21.611,21.911,21.538,21.911,2289
2005-03-30,21.985,21.985,21.611,21.611,19906
2005-03-31,21.611,21.911,21.611,21.911,5836
2005-04-01,21.985,21.985,21.688,21.985,2564
2005-04-04,21.761,21.761,21.611,21.761,4870
2005-04-05,21.761,21.761,21.611,21.761,1298
2005-04-06,21.688,22.06,21.688,21.985,4642
2005-04-07,21.985,22.135,21.985,22.135,5022
2005-04-11,22.135,22.209,22.06,22.209,33631
2005-04-12,22.06,22.283,22.06,22.283,1365
2005-04-13,22.283,22.358,21.837,21.837,13261
2005-04-14,21.985,21.985,21.761,21.911,198
2005-04-15,21.463,22.135,21.463,22.06,1328
2005-04-18,21.688,21.985,21.389,21.911,2846
2005-04-19,21.389,21.611,21.389,21.611,779
2005-04-20,21.611,21.611,21.017,21.611,3819
2005-04-21,21.463,21.463,21.091,21.314,482
2005-04-22,21.091,21.314,21.017,21.24,12054
2005-04-25,21.091,21.463,21.091,21.314,6254
2005-04-26,21.017,21.314,20.868,21.314,3626
2005-04-27,21.091,21.091,21.091,21.091,67
2005-04-28,20.868,21.091,20.868,21.091,2510
2005-04-29,20.868,20.868,20.569,20.868,3559
2005-05-02,20.868,21.166,20.345,21.166,765
2005-05-04,20.868,21.166,20.868,21.166,602
2005-05-05,21.017,21.837,20.793,21.611,35030
2005-05-06,21.911,22.209,21.688,22.209,8457
2005-05-09,22.358,22.656,22.135,22.656,17069
2005-05-10,22.656,23.104,22.58,23.104,102534
2005-05-11,23.104,23.104,22.58,22.88,2059
2005-05-12,22.88,22.88,22.73,22.73,25149
2005-05-13,22.656,22.88,22.656,22.656,18950
2005-05-16,21.688,22.73,21.688,22.73,15833
2005-05-17,22.73,22.73,22.209,22.58,6266
2005-05-18,22.58,22.73,22.135,22.656,4119
2005-05-19,22.06,22.73,22.06,22.358,2118
2005-05-20,22.358,23.028,22.358,22.955,14261
2005-05-23,23.028,23.104,22.88,22.955,23654
2005-05-24,22.955,23.104,22.805,22.88,871
2005-05-25,22.73,23.104,22.73,23.104,1623
2005-05-27,23.104,23.4,22.88,23.326,5166
2005-05-30,23.551,23.774,23.104,23.625,4973
2005-05-31,23.475,23.475,23.4,23.475,4274
2005-06-01,23.252,23.252,23.028,23.104,8414
2005-06-02,23.104,23.326,22.88,23.326,3418
2005-06-03,23.326,23.326,23.179,23.326,1755
2005-06-06,23.104,23.326,22.955,23.326,2422
2005-06-07,23.326,23.475,23.104,23.475,18286
2005-06-08,23.028,23.625,23.028,23.4,11353
2005-06-09,23.104,23.4,23.028,23.326,5935
2005-06-10,23.028,23.326,23.028,23.028,5735
2005-06-13,22.88,23.326,22.805,23.326,8171
2005-06-14,23.475,23.475,23.326,23.326,33272
2005-06-15,23.252,23.252,22.88,23.104,60829
2005-06-16,22.88,23.028,22.73,23.028,3713
2005-06-17,23.104,23.104,22.805,22.88,3981
2005-06-20,22.88,23.104,22.73,23.104,6271
2005-06-21,22.88,22.88,22.432,22.432,11649
2005-06-22,22.432,22.509,22.358,22.509,21425
2005-06-23,22.432,24.146,22.358,23.326,103634
2005-06-24,23.104,23.252,22.58,22.73,11597
2005-06-27,22.509,22.509,22.06,22.209,21638
2005-06-28,22.209,22.358,21.985,21.985,8671
2005-06-29,22.209,22.209,21.837,21.985,14958
2005-06-30,21.837,21.985,21.611,21.985,10438
2005-07-01,21.837,21.837,21.538,21.688,19447
2005-07-04,22.06,22.135,21.688,21.911,6111
2005-07-05,21.911,21.911,21.538,21.611,17609
2005-07-06,21.611,21.688,21.538,21.688,5667
2005-07-07,21.538,21.611,21.017,21.611,2694
2005-07-08,21.538,21.611,21.389,21.538,42784
2005-07-11,21.538,21.538,21.389,21.389,3995
2005-07-12,21.761,21.761,21.389,21.463,3463
2005-07-13,21.688,21.688,21.24,21.611,6872
2005-07-14,21.688,21.761,21.314,21.761,2610
2005-07-15,21.688,21.688,21.314,21.611,890
2005-07-18,21.611,21.611,21.389,21.538,1654
2005-07-19,21.463,21.463,21.091,21.389,8021
2005-07-20,21.538,21.538,21.091,21.463,5272
2005-07-21,21.463,21.463,21.314,21.463,3664
2005-07-22,21.389,21.463,21.166,21.463,3942
