Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,4.08,4.08,4,4.04,15116
2005-01-04,4.08,4.18,4.05,4.11,51974
2005-01-05,4.09,4.1,4,4.09,28790
2005-01-06,4,4.08,3.99,4.06,25962
2005-01-07,4.01,4.05,4,4.04,17762
2005-01-10,4.05,4.05,3.86,3.91,37952
2005-01-11,3.9,3.93,3.6,3.65,106701
2005-01-12,3.64,3.77,3.64,3.69,44246
2005-01-13,3.69,3.86,3.6,3.83,60965
2005-01-14,3.83,3.95,3.83,3.83,37441
2005-01-17,3.74,3.79,3.66,3.74,13246
2005-01-18,3.65,3.66,3.55,3.63,35228
2005-01-19,3.63,3.63,3.43,3.53,31255
2005-01-20,3.47,3.53,3.42,3.49,11113
2005-01-21,3.48,3.48,3.21,3.27,73047
2005-01-24,3.12,3.26,2.99,3.16,225145
2005-01-25,3.19,3.33,3.08,3.27,71322
2005-01-26,3.31,3.37,3.28,3.31,34756
2005-01-27,3.35,3.35,3.21,3.3,50661
2005-01-28,3.4,4.22,3.39,4.22,370475
2005-01-31,4.5,4.84,4.41,4.59,451781
2005-02-01,4.62,4.67,4.24,4.4,107203
2005-02-02,4.35,4.45,4.2,4.3,74422
2005-02-03,4.24,4.34,4.15,4.24,57697
2005-02-04,4.3,4.31,4.16,4.31,36788
2005-02-07,4.4,4.67,4.35,4.55,116238
2005-02-08,4.57,4.57,4.23,4.43,46793
2005-02-09,4.3,4.32,4.2,4.27,27597
2005-02-10,4.22,4.38,4.22,4.34,31803
2005-02-11,4.34,4.4,4.25,4.32,23980
2005-02-14,4.26,4.3,4.22,4.3,29121
2005-02-15,4.39,4.64,4.39,4.58,125752
2005-02-16,4.53,4.58,4.37,4.37,61100
2005-02-17,4.37,4.4,4.25,4.3,38657
2005-02-18,4.28,4.4,4.18,4.18,60759
2005-02-21,4.17,4.28,4.16,4.24,24860
2005-02-22,4.29,4.32,4.23,4.28,13061
2005-02-23,4.25,4.25,4.05,4.2,29954
2005-02-24,4.16,4.2,4.09,4.16,31002
2005-02-25,4.3,4.3,4.16,4.19,56099
2005-02-28,4.2,4.24,4.04,4.24,43077
2005-03-01,4.25,4.25,4.07,4.1,23638
2005-03-02,4.06,4.14,3.97,3.97,70492
2005-03-03,4,4.13,4,4.02,37539
2005-03-04,4.02,4.04,3.9,3.98,22260
2005-03-07,4.03,4.03,3.85,3.88,17931
2005-03-08,3.88,3.88,3.68,3.76,25635
2005-03-09,3.81,3.81,3.61,3.67,19111
2005-03-10,3.65,3.89,3.62,3.77,39198
2005-03-11,3.8,3.87,3.61,3.72,16192
2005-03-14,3.71,3.79,3.63,3.69,5255
2005-03-15,3.6,3.68,3.59,3.6,13114
2005-03-16,3.6,3.6,3.31,3.37,38801
2005-03-17,3.35,3.44,3.21,3.36,19359
2005-03-18,3.41,3.43,3.36,3.43,7802
2005-03-21,3.4,3.4,3.31,3.33,10149
2005-03-22,3.33,3.55,3.33,3.46,27947
2005-03-23,3.47,3.52,3.32,3.38,13648
2005-03-24,3.39,3.46,3.38,3.42,10769
2005-03-29,3.46,3.54,3.42,3.47,22284
2005-03-30,3.48,3.82,3.48,3.8,58338
2005-03-31,3.87,3.87,3.69,3.78,43717
2005-04-01,3.69,3.8,3.67,3.7,26968
2005-04-04,3.68,3.68,3.46,3.5,25318
2005-04-05,3.5,3.52,3.45,3.47,10696
2005-04-06,3.56,3.58,3.45,3.58,7135
2005-04-07,3.61,3.61,3.53,3.59,3429
2005-04-11,3.52,3.52,3.49,3.51,4854
2005-04-12,3.48,3.55,3.48,3.55,2628
2005-04-13,3.5,3.52,3.5,3.5,6120
2005-04-14,3.51,3.51,3.49,3.49,3748
2005-04-15,3.36,3.41,3.34,3.36,13631
2005-04-18,3.36,3.36,3.18,3.2,42770
2005-04-19,3.2,3.52,3.16,3.47,25941
2005-04-20,3.51,3.51,3.34,3.34,7283
2005-04-21,3.22,3.46,3.22,3.26,16763
2005-04-22,3.27,3.41,3.27,3.31,10577
2005-04-25,3.31,3.35,3.3,3.33,1115
2005-04-26,3.35,3.35,3.25,3.3,9450
2005-04-27,3.25,3.25,3.2,3.21,9535
2005-04-28,3.15,3.25,3.15,3.25,3604
2005-04-29,3.25,3.29,3.2,3.29,5800
2005-05-02,3.29,3.36,3.25,3.3,815
2005-05-04,3.3,3.39,3.3,3.34,2469
2005-05-05,3.34,3.34,3.25,3.31,2607
2005-05-06,3.25,3.29,3.25,3.29,1750
2005-05-09,3.29,3.29,3.25,3.25,2295
2005-05-10,3.25,3.25,3.13,3.24,6365
2005-05-11,3.13,3.2,3.12,3.2,8724
2005-05-12,3.12,3.2,3.1,3.19,7574
2005-05-13,3.15,3.39,3.12,3.39,28516
2005-05-16,3.43,3.43,3.27,3.29,22122
2005-05-17,3.13,3.13,2.97,3.05,51614
2005-05-18,2.94,3.15,2.94,3.09,17348
2005-05-19,3.09,3.28,3.09,3.19,31169
2005-05-20,3.25,3.25,3.01,3.18,22616
2005-05-23,3.14,3.25,3.1,3.24,16087
2005-05-24,3.24,3.29,3.18,3.25,16720
2005-05-25,3.21,3.25,3.18,3.25,7306
2005-05-27,3.23,3.23,3.23,3.23,320
2005-05-30,3.23,3.34,3.23,3.32,12522
2005-05-31,3.21,3.21,3.05,3.19,65127
2005-06-01,3.15,3.17,3.1,3.17,10264
2005-06-02,3.09,3.16,3.08,3.16,11640
2005-06-03,3.15,3.15,3.11,3.15,4332
2005-06-06,3.13,3.13,3.06,3.1,23920
2005-06-07,3.1,3.17,3.06,3.15,54504
2005-06-08,3.15,3.3,3.15,3.21,76576
2005-06-09,3.17,3.17,3,3.09,83801
2005-06-10,3.13,3.14,3.09,3.09,22641
2005-06-13,3.09,3.11,3.02,3.08,31724
2005-06-14,3.08,3.24,3.04,3.23,84660
2005-06-15,3.23,3.23,3.05,3.12,19143
2005-06-16,3.11,3.14,3.06,3.11,14050
2005-06-17,3.11,3.14,3.11,3.12,6470
2005-06-20,3.17,3.17,3.12,3.12,7077
2005-06-21,3.15,3.15,3.08,3.1,5720
2005-06-22,3.08,3.1,3.05,3.1,14883
2005-06-23,3.1,3.1,3.06,3.1,8633
2005-06-24,3.09,3.09,3.05,3.07,9200
2005-06-27,3.06,3.07,3.06,3.07,2627
2005-06-28,3.06,3.07,3.04,3.07,4401
2005-06-29,3.07,3.17,3.07,3.15,38567
2005-06-30,3.09,3.12,3.08,3.12,12235
2005-07-01,3.1,3.1,3.05,3.1,6961
2005-07-04,3.1,3.1,3.02,3.05,25060
2005-07-05,3.09,3.09,3.02,3.05,13657
2005-07-06,3.02,3.06,3.02,3.04,8498
2005-07-07,3.06,3.06,2.94,2.99,31623
2005-07-08,2.94,3.06,2.92,3.06,12664
2005-07-11,3.06,3.06,2.98,2.98,6007
2005-07-12,3,3.05,2.96,3,11012
2005-07-13,3,3,2.94,2.97,21667
2005-07-14,2.97,2.99,2.75,2.9,28744
2005-07-15,2.86,2.96,2.8,2.95,28267
2005-07-18,2.96,2.96,2.9,2.92,11414
2005-07-19,2.95,2.95,2.9,2.9,13699
2005-07-20,2.95,2.95,2.85,2.86,8929
2005-07-21,2.87,2.91,2.75,2.91,14704
2005-07-22,2.9,2.9,2.8,2.87,2185
