Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.6115,5.6115,5.5761,5.5761,3081
2005-01-04,5.513,5.5482,5.4355,5.5482,6371
2005-01-05,5.5271,5.5271,5.4706,5.4706,1462
2005-01-06,5.4636,5.4636,5.3512,5.4283,19126
2005-01-07,5.3512,5.4355,5.3369,5.3439,21640
2005-01-10,5.3157,5.3512,5.3157,5.3512,9565
2005-01-11,5.3228,5.3228,5.1679,5.2102,29405
2005-01-12,5.2032,5.2102,5.0624,5.1468,48847
2005-01-13,5.1468,5.224,5.1396,5.2102,56144
2005-01-14,5.1396,5.224,5.1396,5.2102,16651
2005-01-17,5.2032,5.2455,5.1821,5.2455,12542
2005-01-18,5.2102,5.2102,5.1679,5.1679,53961
2005-01-19,5.1396,5.2455,5.1396,5.2455,18997
2005-01-20,5.161,5.5552,5.161,5.3157,44412
2005-01-21,5.2876,5.3157,5.2876,5.3157,135784
2005-01-24,5.189,5.3157,5.189,5.3157,8912
2005-01-25,5.2102,5.3089,5.2102,5.3089,10200
2005-01-26,5.2945,5.3157,5.2664,5.3157,3081
2005-01-27,5.2664,5.3157,5.2664,5.3157,1776
2005-01-28,5.2595,5.2735,5.2595,5.2735,13084
2005-01-31,5.3157,5.3721,5.2804,5.2804,7577
2005-02-01,5.2804,5.3157,5.2595,5.3157,8617
2005-02-02,5.3157,5.3157,5.2804,5.2804,11355
2005-02-03,5.2804,5.2804,5.2595,5.2804,19959
2005-02-04,5.2524,5.3089,5.2524,5.2945,3063
2005-02-07,5.3157,5.3157,5.2595,5.2595,13865
2005-02-08,5.2032,5.2664,5.2032,5.2664,52171
2005-02-09,5.2876,5.2876,5.2032,5.2595,69928
2005-02-10,5.2595,5.2595,5.2032,5.2595,15590
2005-02-11,5.2032,5.3157,5.2032,5.3157,8571
2005-02-14,5.3157,5.3157,5.3089,5.3089,83759
2005-02-15,5.2174,5.3157,5.2102,5.3157,20040
2005-02-16,5.3157,5.3157,5.224,5.3017,10020
2005-02-17,5.2312,5.3017,5.2102,5.3017,23641
2005-02-18,5.2312,5.2876,5.2312,5.2735,5636
2005-02-21,5.2945,5.4355,5.2945,5.4002,50620
2005-02-22,5.4072,5.4072,5.365,5.365,3341
2005-02-23,5.3512,5.4283,5.3512,5.4283,77277
2005-02-24,5.4355,5.5482,5.4355,5.5198,83402
2005-02-25,5.5339,5.5482,5.4283,5.4283,38709
2005-02-28,5.5339,5.5339,5.4636,5.4636,13213
2005-03-01,5.4355,5.4355,5.4283,5.4283,4627
2005-03-02,5.3791,5.3791,5.3299,5.3512,8912
2005-03-03,5.3512,5.4283,5.3512,5.4283,8425
2005-03-04,5.3861,5.3861,5.3299,5.3791,8471
2005-03-07,5.2804,5.3861,5.2804,5.3791,62483
2005-03-08,5.3791,5.4072,5.3369,5.4072,122487
2005-03-09,5.3157,5.4989,5.3157,5.4989,323260
2005-03-10,5.4989,5.4989,5.3861,5.4779,9302
2005-03-11,5.4636,5.4636,5.3791,5.4355,46743
2005-03-14,5.3791,5.4072,5.3791,5.4072,30970
2005-03-15,5.4072,5.4355,5.4072,5.4072,241929
2005-03-16,5.3791,5.3791,5.3791,5.3791,235132
2005-03-17,5.3791,5.4072,5.3791,5.3791,23785
2005-03-18,5.3791,5.4072,5.3791,5.3791,77697
2005-03-21,5.3791,5.4283,5.3791,5.3791,70549
2005-03-22,5.3791,5.3791,5.2945,5.365,28089
2005-03-23,5.3721,5.3791,5.3721,5.3791,12580
2005-03-24,5.3934,5.4283,5.3934,5.4283,18767
2005-03-29,5.3861,5.4143,5.3861,5.4072,9041
2005-03-30,5.4072,5.4143,5.3861,5.3861,32079
2005-04-01,5.3861,5.3861,5.3861,5.3861,4560
2005-04-04,5.3157,5.3791,5.3157,5.3791,7365
2005-04-05,5.4072,5.4072,5.4072,5.4072,3387
2005-04-07,5.4002,5.4072,5.4002,5.4072,5962
2005-04-11,5.3791,5.3861,5.3791,5.3861,58960
2005-04-12,5.3791,5.3791,5.3791,5.3791,3013
2005-04-13,5.4355,5.4355,5.3791,5.4143,53816
2005-04-14,5.3791,5.3791,5.3791,5.3791,3387
2005-04-15,5.3157,5.3861,5.3157,5.3791,8502
2005-04-18,5.3791,5.3791,5.3791,5.3791,42165
2005-04-19,5.3791,5.3791,5.3791,5.3791,19959
2005-04-20,5.3861,5.4072,5.3861,5.4072,14827
2005-04-21,5.3861,5.3934,5.3861,5.3861,202664
2005-04-22,5.3861,5.3861,5.3861,5.3861,2921
2005-04-25,5.3861,5.3861,5.3791,5.3861,73756
2005-04-26,5.3791,5.3791,5.3791,5.3791,7820
2005-04-27,5.3228,5.3228,5.3228,5.3228,4057
2005-04-28,5.3157,5.3157,5.3157,5.3157,5849
2005-04-29,5.3512,5.3512,5.3512,5.3512,11846
2005-05-04,5.2804,5.2804,5.2804,5.2804,847
2005-05-05,5.2735,5.2735,5.1396,5.2595,10266
2005-05-06,5.2595,5.2664,5.2595,5.2664,4580
2005-05-09,5.2945,5.3512,5.2945,5.3157,4907
2005-05-10,5.3017,5.3157,5.2945,5.3157,1419
2005-05-11,5.2945,5.3791,5.2945,5.3791,63899
2005-05-12,5.3157,5.3157,5.3157,5.3157,5687
2005-05-13,5.3512,5.3791,5.3157,5.3157,11582
2005-05-16,5.3157,5.3157,5.2876,5.2945,6764
2005-05-17,5.3157,5.3157,5.3157,5.3157,5197
2005-05-18,5.2876,5.3439,5.2876,5.3439,7478
2005-05-19,5.3791,5.4002,5.3791,5.4002,4512
2005-05-20,5.4355,5.5059,5.4355,5.5059,9711
