Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-10-30,4.6089,4.9019,4.3957,4.5888,196397
2007-10-31,4.5821,4.5821,4.4289,4.4289,33100
2007-11-02,4.4622,4.5621,4.4289,4.4956,37056
2007-11-05,4.5821,4.5821,4.4289,4.4289,28876
2007-11-06,4.4956,4.4956,4.4622,4.4956,19870
2007-11-07,4.4956,4.5022,4.2625,4.2625,66224
2007-11-08,4.2959,4.3889,3.8696,4.3889,49510
2007-11-09,4.096,4.3957,4.096,4.3889,21520
2007-11-12,4.5888,4.5888,4.1294,4.3291,16996
2007-11-13,4.3957,4.4157,4.3291,4.3291,78642
2007-11-14,4.5955,4.5955,4.3291,4.4889,514
2007-11-15,4.3291,4.4157,4.0094,4.4157,8647
2007-11-16,4.3223,4.3291,4.3223,4.3291,1964
2007-11-19,4.3957,4.4157,4.3957,4.4157,148
2007-11-20,4.3957,4.3957,4.1559,4.1559,710
2007-11-21,3.9494,3.9494,3.663,3.663,2163
2007-11-22,3.663,3.663,3.663,3.663,1051
2007-11-23,3.3367,4.1227,3.3367,4.1227,677
2007-11-26,4.3889,4.4157,3.9961,3.9961,8905
2007-11-27,3.9961,4.1891,3.9961,4.096,1281
2007-11-28,3.8629,4.3291,3.8629,4.3291,18293
2007-11-30,3.9628,4.4622,3.9628,4.4622,130542
2007-12-03,4.4622,4.5955,4.3291,4.5955,49070
2007-12-05,4.4557,4.5289,4.2358,4.4622,11923
2007-12-06,4.4622,4.5888,4.4622,4.5888,13619
2007-12-10,4.3223,4.4557,4.3223,4.3358,1545
2007-12-11,4.3291,4.8285,4.3291,4.8285,113278
2007-12-12,4.8419,4.8419,4.6753,4.7952,9876
2007-12-13,4.6753,4.7886,4.6753,4.7886,1275
2007-12-14,4.6089,4.7952,4.3291,4.7952,153158
2007-12-17,4.7886,4.7886,4.7087,4.7087,983
2007-12-18,4.6621,4.6621,4.6621,4.6621,301
2007-12-19,4.7952,4.7952,4.7952,4.7952,3002
2007-12-20,4.7952,5.2616,4.7952,5.2616,33115
2007-12-21,5.2616,5.6611,5.2616,5.4613,14036
2007-12-27,5.468,5.9275,5.4613,5.6611,8709
2007-12-28,5.8942,5.9941,5.6944,5.8608,29968
2008-01-02,6.094,6.094,5.8608,5.9941,10065
2008-01-03,5.9275,5.9941,5.6611,5.6611,8686
2008-01-04,5.6611,5.6611,5.6611,5.6611,2805
2008-01-07,5.5412,5.5412,5.1216,5.3281,7136
2008-01-08,5.1282,5.1349,5.1282,5.1349,2520
2008-01-09,4.862,5.0618,4.7287,5.0618,9596
2008-01-10,4.862,4.9218,4.7287,4.9218,3458
2008-01-11,4.862,4.862,4.6686,4.8285,5019
2008-01-14,4.8486,4.8486,4.3957,4.6621,9199
2008-01-15,4.6621,4.9951,4.6621,4.7952,4544
2008-01-16,4.5289,4.6621,4.1294,4.5289,12432
2008-01-17,4.3957,4.862,4.3957,4.4622,57060
2008-01-18,4.6621,4.6621,4.5289,4.5422,3452
2008-01-21,4.6621,4.6621,4.1025,4.4289,4770
2008-01-22,4.5621,4.5621,4.3291,4.3291,902
2008-01-23,4.5422,4.5621,4.3291,4.3291,27250
2008-01-24,4.3957,4.7619,4.3291,4.7619,2666
2008-01-25,5.2616,5.2616,4.6955,4.7619,8544
2008-01-28,4.7952,4.7952,4.3957,4.4423,1350
2008-01-29,4.5089,4.9818,4.4622,4.4622,2288
2008-01-30,4.5289,4.8486,4.3623,4.8486,5897
2008-01-31,4.9285,4.9285,4.6621,4.6621,9689
2008-02-01,4.7354,4.7354,4.5356,4.7354,2892
2008-02-04,4.8285,4.8285,4.6621,4.6621,53583
2008-02-05,4.6621,4.6621,4.5289,4.5289,19884
2008-02-06,4.3957,4.5289,4.3291,4.5289,52657
2008-02-07,4.4622,4.6621,4.4089,4.6621,78725
2008-02-11,4.6488,4.8951,4.6488,4.8951,1441
2008-02-12,4.862,4.862,4.7354,4.8285,2477
2008-02-13,4.7952,4.7952,4.7952,4.7952,301
2008-02-14,4.862,4.862,4.5955,4.7952,3477
2008-02-15,4.5955,4.7619,4.5955,4.7619,1502
2008-02-18,4.6621,4.7619,4.3957,4.7619,2521
2008-02-19,4.4289,4.6955,4.4289,4.6955,3018
2008-02-20,4.4622,4.6488,4.3957,4.6488,2613
2008-02-21,4.4356,4.6488,4.3957,4.6421,86464
2008-02-22,4.4622,4.5955,4.4622,4.5955,1504
2008-02-25,4.6421,4.6421,4.3957,4.5955,51060
2008-02-26,4.5955,4.6355,4.5955,4.6355,1981
2008-02-27,4.5955,4.6089,4.5955,4.5955,16589
2008-02-28,4.5955,4.5955,4.3623,4.5821,9820
2008-02-29,4.6555,4.7619,4.5488,4.7486,20242
2008-03-03,4.7287,4.7287,4.6555,4.6621,9611
2008-03-04,4.6888,4.6888,4.5289,4.5955,9357
2008-03-05,4.5289,4.7287,4.5289,4.7287,34365
2008-03-06,4.8553,5.3281,4.7287,5.0951,13565
2008-03-07,4.7287,5.3147,4.7287,5.1949,23596
2008-03-10,5.2616,5.428,5.1949,5.428,16081
2008-03-11,5.3281,5.6279,5.3281,5.6279,9088
2008-03-12,5.6611,5.7943,5.6611,5.7943,9067
2008-03-13,5.3481,5.7277,5.3481,5.7277,194
2008-03-14,5.3946,5.8277,5.3946,5.6078,13521
2008-03-17,5.8608,5.8608,5.428,5.428,672
2008-03-18,5.8277,5.8277,5.3348,5.7943,5221
2008-03-19,5.5944,5.721,5.5279,5.721,2267
2008-03-20,5.448,5.721,5.1949,5.7143,9600
2008-03-25,5.5279,5.7878,5.5279,5.761,6790
2008-03-26,5.7277,5.8211,5.5944,5.5944,164635
2008-03-27,5.6012,5.8608,5.6012,5.8608,164334
2008-03-28,5.8608,5.9142,5.6679,5.8608,3708
2008-03-31,5.8608,5.9014,5.6649,5.8608,1652
2008-04-01,5.8608,5.9941,5.6944,5.7277,7435
2008-04-02,5.6944,5.9808,5.6012,5.9808,894
2008-04-03,5.9941,5.9941,5.9275,5.9275,1366
2008-04-04,5.8676,5.9741,5.8676,5.9741,316
2008-04-07,5.9674,5.9674,5.6744,5.7277,171830
2008-04-08,5.7943,5.7943,5.7277,5.7277,784
2008-04-09,5.6611,5.6611,5.4745,5.4745,151873
2008-04-10,5.428,5.5944,5.428,5.5944,32099
2008-04-11,5.5544,5.7143,5.3415,5.6611,23527
2008-04-14,5.3814,5.6477,5.3814,5.6477,157571
2008-04-16,5.428,5.641,5.428,5.428,1017
2008-04-17,5.3281,5.3281,5.3281,5.3281,1876
2008-04-18,4.9618,5.4214,4.9618,5.4214,5702
2008-04-21,5.6344,5.6344,5.2681,5.2948,657
2008-04-22,5.1282,5.3215,5.1282,5.3215,10385
2008-04-25,5.3081,5.3281,5.3081,5.3281,3563
2008-04-28,5.3281,5.3281,5.3281,5.3281,145
2008-05-05,5.3281,5.3348,5.3281,5.3348,883
2008-05-07,5.3281,5.6611,5.3281,5.468,193705
2008-05-08,5.4613,5.6611,5.3814,5.6611,9017
2008-05-09,5.6611,5.6611,5.4214,5.6611,325012
2008-05-12,5.7932,5.9082,5.6784,5.9082,11781
2008-05-13,5.8608,5.8608,5.8608,5.8608,18
2008-05-14,5.8542,5.8542,5.6039,5.7865,2125
2008-05-15,5.4347,5.7878,5.4347,5.7878,301
2008-05-16,5.8608,5.8608,5.8608,5.8608,1502
2008-05-19,5.915,5.996,5.4349,5.996,6044
2008-05-20,5.9892,5.9892,5.6987,5.8608,1310
2008-05-21,6.0704,6.0704,6.0704,6.0704,164
2008-05-23,5.7798,5.7798,5.6107,5.746,53671
2008-05-27,5.746,6.003,5.5568,5.5568,317
2008-05-28,5.5568,5.9825,5.5568,5.9825,77125
2008-05-29,5.9489,5.9489,5.6446,5.942,1344
2008-05-30,5.8812,5.942,5.8812,5.942,4528
2008-06-02,5.6581,5.942,5.6581,5.942,17554
2008-06-03,5.7122,5.9825,5.7122,5.9825,2203
2008-06-05,5.915,5.915,5.746,5.746,362
2008-06-06,5.6311,5.996,5.6311,5.996,1405
2008-06-09,5.6649,5.8474,5.6649,5.8474,4368
2008-06-11,5.6649,5.6649,5.6649,5.6649,266
2008-06-12,5.6649,5.8136,5.408,5.8136,7852
2008-06-13,5.8474,5.8474,5.8474,5.8474,1478
2008-06-16,5.4553,5.8474,5.4553,5.8474,308
2008-06-20,5.5771,5.746,5.5771,5.746,434
2008-06-23,5.8474,5.8474,5.8474,5.8474,5
2008-06-30,5.4756,5.8474,5.4756,5.8474,4746
2008-07-01,5.4756,5.7392,5.4418,5.7392,2667
2008-07-03,5.408,5.5432,5.07,5.5432,2497
2008-07-08,5.7324,5.7324,5.7324,5.7324,3
2008-07-11,5.746,5.746,5.2728,5.4756,2329
2008-07-14,5.2728,5.4012,5.2728,5.4012,413
2008-07-21,5.2728,5.4012,5.2728,5.4012,1350
2008-07-23,5.6784,5.6784,5.0836,5.408,8216
2008-07-24,5.5028,5.5028,5.5028,5.5028,147
2008-07-25,5.6784,5.6784,5.07,5.408,668
2008-07-30,5.1444,5.4012,5.1377,5.4012,5483
2008-07-31,5.07,5.2728,5.07,5.2728,405
2008-08-04,5.2728,5.746,5.2728,5.746,91
2008-08-08,5.3878,5.3878,5.3878,5.3878,492
2008-08-11,5.07,5.07,4.9416,4.9888,1778
2008-08-12,5.07,5.07,5.07,5.07,517
2008-08-19,4.9687,4.9687,4.9687,4.9687,223
2008-08-20,4.7996,4.7996,4.7319,4.7319,5461
2008-08-21,4.7319,4.7319,4.5968,4.5968,18736
2008-08-22,4.5968,4.9009,4.5968,4.5968,4965
2008-08-25,4.7253,4.7253,4.0627,4.0627,1125
2008-08-26,4.2317,4.394,4.2047,4.394,4436
2008-08-27,4.394,4.394,4.394,4.394,562
2008-08-28,4.5089,4.5089,4.5089,4.5089,147
2008-08-29,4.394,4.5293,4.394,4.5293,11681
2008-09-01,4.5293,4.5968,4.4277,4.5293,149422
2008-09-02,4.5293,4.5293,4.5225,4.5225,508
2008-09-03,4.5293,4.5293,4.4277,4.4277,637
2008-09-04,4.5293,4.5293,4.5293,4.5293,147
2008-09-05,4.2656,4.2656,4.2656,4.2656,266
2008-09-08,4.1979,4.1979,4.1979,4.1979,147
2008-09-09,4.225,4.2317,4.2047,4.225,2617
2008-09-10,4.2047,4.2047,4.0966,4.0966,399
2008-09-11,4.0966,4.0966,4.0966,4.0966,413
2008-09-15,3.9207,3.9207,3.9207,3.9207,147
2008-09-17,3.9546,3.9546,3.9546,3.9546,12705
2008-09-18,3.9884,3.9884,3.9884,3.9884,370
2008-09-22,3.9546,3.9546,3.9207,3.9207,1312
2008-09-23,3.8871,3.8871,3.8871,3.8871,4212
2008-09-24,3.9546,3.9546,3.9546,3.9546,463
2008-09-26,3.7517,3.9344,3.7517,3.9344,2381
2008-09-29,4.7253,4.7253,4.2047,4.3873,3787
2008-09-30,4.1913,4.1913,4.056,4.1913,3741
2008-10-01,4.1913,4.59,4.056,4.59,1197
2008-10-02,4.6576,4.6644,4.4616,4.59,1056
2008-10-03,4.2047,4.394,4.0694,4.1913,9336
2008-10-06,4.1845,4.1845,3.7855,4.1235,2299
2008-10-07,4.0223,4.0898,3.7855,4.0898,350
2008-10-08,3.7181,4.056,3.6842,4.056,5283
2008-10-09,3.7314,4.0492,3.7314,4.0424,139
2008-10-10,3.7113,4.0492,3.6503,4.0492,1654
2008-10-13,4.056,4.056,3.7181,4.056,974
2008-10-14,4.056,4.056,4.056,4.056,286
2008-10-15,3.8734,3.8734,3.6234,3.7181,3740
2008-10-16,3.4139,3.7181,3.4139,3.7181,308
2008-10-17,4.0492,4.0492,3.5828,3.5828,92
2008-10-20,4.0356,4.0356,3.7181,3.7181,108
2008-10-21,4.0223,4.0223,3.3801,3.5016,463
2008-10-22,3.9141,3.9141,3.2785,3.2785,490
2008-10-23,3.2785,3.2785,2.704,3.2785,5387
2008-10-29,3.2719,3.2785,2.9542,3.2785,1134
2008-10-30,3.2785,3.2785,2.9812,3.2785,915
2008-10-31,3.6503,3.6503,3.3123,3.3327,9473
2008-11-03,3.1434,3.3123,2.9406,2.9677,9836
2008-11-04,2.9744,2.9812,2.7311,2.9406,48505
2008-11-05,2.9001,2.9001,2.6229,2.7243,154513
2008-11-06,2.9202,2.9202,2.5688,2.6363,7412
2008-11-07,2.7648,2.7648,2.6162,2.6229,5822
2008-11-10,2.7446,2.7446,2.366,2.366,11694
2008-11-12,2.6027,2.6027,2.3321,2.3321,2990
2008-11-13,2.535,2.535,2.2781,2.4607,1620
2008-11-14,2.5688,2.5688,2.501,2.5552,1334
2008-11-17,2.5688,2.5688,2.4538,2.4538,888
2008-11-18,2.535,2.535,2.2309,2.4674,7461
2008-11-20,2.2106,2.3187,2.2106,2.3187,89
2008-11-21,2.4674,2.4674,2.4674,2.4674,1
2008-11-24,2.4607,2.4607,2.2985,2.4403,558
2008-11-25,2.4538,2.4538,2.4403,2.4403,9668
2008-11-28,2.1969,2.2646,2.028,2.1969,2101
2008-12-01,2.1631,2.1902,2.1631,2.1902,38
2008-12-03,1.9739,2.055,1.9739,2.0416,1435
2008-12-04,2.0416,2.055,1.9535,2.0213,1483
2008-12-09,1.8253,1.8253,1.6563,1.8185,12134
2008-12-10,1.859,1.859,1.6563,1.6899,85162
2008-12-11,1.6899,1.7238,1.5209,1.5209,11433
2008-12-12,1.5142,1.5142,1.4872,1.4872,4299
2008-12-15,1.5209,1.5209,1.3386,1.3452,23713
2008-12-16,1.3857,1.3857,1.2167,1.2167,31720
2008-12-17,1.2236,1.2776,1.1019,1.1492,98556
2008-12-18,1.183,1.183,1.1492,1.1492,2832
2008-12-19,1.0748,1.1222,1.0682,1.1222,3627
2008-12-22,1.0546,1.0546,0.9871,1.014,178108
2008-12-23,1.014,1.0682,0.9464,1.0682,118952
2008-12-29,1.1289,1.2167,1.1289,1.1492,5779
2008-12-30,1.156,1.156,1.1356,1.1356,484
2009-01-05,1.0344,1.1627,1.0344,1.0816,7257
2009-01-06,1.1154,1.1492,1.1154,1.1492,4121
2009-01-07,1.0951,1.1356,1.0072,1.014,24373
2009-01-08,1.0682,1.0682,0.8788,0.8788,244425
2009-01-09,0.8788,0.8788,0.7976,0.8044,142191
2009-01-12,0.8451,0.8517,0.8181,0.8246,70355
2009-01-13,0.8451,0.8451,0.8113,0.8382,8458
2009-01-14,0.8788,0.8788,0.8246,0.8451,23256
2009-01-15,0.8654,0.8654,0.8044,0.8585,5436
2009-01-16,0.8585,0.8788,0.8451,0.8654,26000
2009-01-19,0.8654,0.8654,0.8314,0.8585,13549
2009-01-20,0.8585,0.8585,0.8181,0.8382,14798
2009-01-21,0.8181,0.8382,0.7976,0.8314,40407
2009-01-22,0.8246,0.8314,0.7774,0.8113,11586
2009-01-23,0.8314,0.8314,0.7639,0.8181,37141
2009-01-26,0.8044,0.8451,0.791,0.8181,75905
2009-01-27,0.8246,0.8314,0.7571,0.7774,61632
2009-01-28,0.8181,0.8181,0.7502,0.7774,14741
2009-01-29,0.8044,0.8044,0.7639,0.7843,5985
2009-01-30,0.7976,0.7976,0.7302,0.7502,42707
2009-02-02,0.7502,0.7843,0.7098,0.7098,27396
2009-02-03,0.7031,0.7233,0.7031,0.7031,9985
2009-02-04,0.7098,0.7705,0.6894,0.7031,11838
2009-02-05,0.6828,0.6828,0.6761,0.6761,8283
2009-02-06,0.6761,0.6761,0.6557,0.6761,52903
2009-02-09,0.6761,0.6761,0.6624,0.6761,60222
2009-02-10,0.6761,0.6761,0.6624,0.6761,53284
2009-02-11,0.6692,0.6692,0.6016,0.6084,137608
2009-02-12,0.6084,0.6084,0.5881,0.595,34959
2009-02-13,0.6016,0.6016,0.595,0.595,7127
2009-02-16,0.6084,0.6084,0.5881,0.5881,12407
2009-02-17,0.5745,0.5745,0.48675,0.48675,65356
2009-02-18,0.48675,0.49334,0.4597,0.49334,77941
2009-02-19,0.5204,0.5341,0.49334,0.5204,15816
2009-02-20,0.5001,0.5341,0.5001,0.5204,14102
2009-02-23,0.5341,0.6084,0.4597,0.4597,139158
2009-02-24,0.4733,0.507,0.40561,0.41912,119455
2009-02-25,0.43944,0.45294,0.43944,0.4462,18430
2009-02-26,0.42594,0.42594,0.40561,0.40561,110195
2009-02-27,0.41237,0.43944,0.38531,0.39202,100533
2009-03-02,0.40561,0.40561,0.38531,0.39202,25213
2009-03-03,0.39877,0.40561,0.38531,0.39877,103008
2009-03-04,0.39202,0.39877,0.38531,0.39877,40320
2009-03-05,0.40561,0.40561,0.38531,0.38531,41214
2009-03-06,0.39202,0.40561,0.39202,0.40561,58947
2009-03-09,0.40561,0.4462,0.40561,0.43944,187176
2009-03-10,0.4462,0.507,0.43944,0.507,140875
2009-03-11,0.5679,0.5679,0.5272,0.5543,130182
2009-03-12,0.5745,0.6016,0.5612,0.6016,141899
2009-03-13,0.6084,0.6557,0.6084,0.6491,63142
2009-03-16,0.6624,0.6692,0.6354,0.6354,108368
2009-03-17,0.6422,0.6422,0.5881,0.5881,104499
2009-03-18,0.595,0.6084,0.5812,0.6016,28291
2009-03-19,0.6016,0.6422,0.6016,0.622,122978
2009-03-20,0.6557,0.7165,0.6491,0.6761,162838
2009-03-23,0.7098,0.7435,0.6962,0.7098,105424
2009-03-24,0.7774,0.8382,0.7435,0.8314,159879
2009-03-25,0.9395,1.0206,0.8654,0.9871,287421
2009-03-26,1.014,1.0748,0.9666,0.9871,267830
2009-03-27,1.014,1.014,0.9125,0.9599,53869
2009-03-30,0.9599,0.9599,0.791,0.8113,194039
2009-03-31,0.8113,0.8246,0.7843,0.8113,106080
2009-04-01,0.8451,0.8451,0.7843,0.8044,113890
2009-04-02,0.8044,0.8113,0.7976,0.8044,367192
2009-04-03,0.8314,0.8314,0.7639,0.7774,402158
2009-04-06,0.791,0.8181,0.7774,0.791,351130
2009-04-07,0.8044,0.8044,0.7705,0.7774,283891
2009-04-08,0.7976,0.8314,0.7571,0.7774,392537
2009-04-09,0.8044,0.8113,0.791,0.7976,426857
2009-04-14,0.8113,0.9803,0.8113,0.8654,1118161
2009-04-15,0.9261,0.9532,0.8788,0.9125,719375
2009-04-16,0.9395,1.0682,0.9193,1.014,1690317
2009-04-17,1.0816,1.2101,1.0614,1.1492,2385700
2009-04-20,1.1695,1.2236,1.0816,1.0816,1015617
2009-04-21,1.0206,1.1222,0.9193,1.0546,1167158
2009-04-22,1.1019,1.1762,1.0816,1.1695,533699
2009-04-23,1.183,1.2236,1.1086,1.1424,469766
2009-04-24,1.1762,1.1762,1.0883,1.1356,230747
2009-04-27,1.1289,1.1492,1.0477,1.0883,207659
2009-04-28,1.0748,1.0748,1.014,1.0344,245759
2009-04-29,1.0276,1.1289,1.0276,1.1289,181884
2009-04-30,1.1492,1.1492,1.1019,1.1222,239606
2009-05-04,1.1424,1.1424,1.0682,1.0951,394829
2009-05-05,1.1019,1.1154,1.0546,1.0816,272785
2009-05-06,1.0546,1.1154,1.0546,1.0816,216983
2009-05-07,0.9871,1.0682,0.9871,1.0344,1305488
2009-05-08,1.0276,1.1154,1.0072,1.0748,645198
2009-05-11,1.0816,1.0816,1.0206,1.0412,183456
2009-05-12,1.0477,1.1019,1.0276,1.0682,272893
2009-05-13,1.0883,1.0883,1.0276,1.0412,189330
