Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-08-17,19.05,19.15,18.8,19,355683
2006-08-18,19,19.1,18.9,19.05,69048
2006-08-21,19.1,19.1,18,18.5,6319
2006-08-22,18,18.1,17.7,17.7,4191
2006-08-23,18,18.5,17.9,18.4,5465
2006-08-24,18.6,18.6,18,18.2,3111
2006-08-25,17.9,18.2,17.9,18,5392
2006-08-28,17.6,18.2,17.6,17.8,1414
2006-08-29,18,18.2,17.9,18.2,2000
2006-08-30,17.9,18.1,17.7,18.1,5387
2006-08-31,18.1,18.4,18,18,7233
2006-09-01,17.95,18.15,17.9,18.15,6047
2006-09-04,18.1,18.8,18,18.01,4478
2006-09-05,18.15,18.5,18.01,18.2,3381
2006-09-06,18.2,18.5,17.71,18,7023
2006-09-07,18.39,18.4,18.15,18.3,2400
2006-09-08,18.3,18.3,18.1,18.2,6022
2006-09-11,18.22,18.29,17.6,18.29,2759
2006-09-12,18.29,18.4,18.05,18.1,10117
2006-09-13,17.9,18.5,17.9,18.3,23678
2006-09-14,18.35,18.35,18.21,18.21,2110
2006-09-15,18.05,18.19,17.95,18.05,4550
2006-09-18,18.05,18.05,17.9,17.9,2451
2006-09-19,17.91,17.91,17.61,17.75,4128
2006-09-20,17.6,18.3,17.6,18,26261
2006-09-21,18,18.3,18,18.1,6100
2006-09-22,18.3,18.3,18.09,18.1,4224
2006-09-25,18.2,18.29,17.87,18.2,18351
2006-09-26,18.18,18.7,18.18,18.69,41222
2006-09-27,18.8,19.1,18.54,18.8,34922
2006-09-28,18.95,19.4,18.82,19.1,54327
2006-09-29,19.2,19.21,19,19,2100
2006-10-02,18.9,19.2,18.9,19,32072
2006-10-03,19,19,18.6,19,62210
2006-10-04,19,19,18.62,18.62,11239
2006-10-05,18.94,18.94,18.5,18.76,653
2006-10-06,18.99,19.18,18.98,19.18,74097
2006-10-09,19.2,19.2,18.71,19,30213
2006-10-10,19,19.11,18.81,18.81,1929
2006-10-11,19,19,18,18,21867
2006-10-12,18.2,18.99,18.01,18.25,2791
2006-10-13,18.06,18.89,18.05,18.7,3162
2006-10-16,18.7,18.9,18.37,18.79,46120
2006-10-17,18.97,19.03,18.79,19,85237
2006-10-18,19.05,19.35,19,19.24,135103
2006-10-19,19.4,21.3,19.39,20.86,97813
2006-10-20,20.83,21.5,20.83,21.3,105889
2006-10-23,21.38,21.38,20.91,21,25812
2006-10-24,21.11,21.25,21,21.19,111776
2006-10-25,21.26,21.26,20.5,20.85,11472
2006-10-26,21,21,20.78,20.98,29807
2006-10-27,20.89,20.9,20.78,20.9,761
2006-10-30,20.05,20.52,19.99,20,5363
2006-10-31,19.99,20,19.11,20,18231
2006-11-02,19.13,19.95,19.13,19.9,4027
2006-11-03,19.25,19.7,19.02,19.49,6538
2006-11-06,19.45,19.45,18.9,18.9,3295
2006-11-07,18.99,19.49,18.61,19.35,18869
2006-11-08,19.3,19.3,17.86,18.27,28036
2006-11-09,18.3,19,18.3,18.55,11800
2006-11-10,18.11,18.95,18.05,18.93,11845
2006-11-13,18.9,19.05,18.61,18.71,43066
2006-11-14,18.6,18.87,18.05,18.05,106571
2006-11-15,18.11,18.13,17.4,17.48,13118
2006-11-16,17.8,18.5,17.2,17.5,8716
2006-11-17,17.8,17.8,17.3,17.5,5681
2006-11-20,17.8,17.88,17.5,17.5,3390
2006-11-21,17.88,18.25,17.41,17.41,2244
2006-11-22,17.34,17.6,17.34,17.5,16102
2006-11-23,18,18,17.6,17.65,33639
