Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.1858,1.196,1.1858,1.1858,11465
2005-01-04,1.196,1.312,1.196,1.292,1039681
2005-01-05,1.292,1.292,1.2415,1.2563,163477
2005-01-06,1.2563,1.312,1.2364,1.2767,192421
2005-01-07,1.292,1.3074,1.2767,1.2767,74643
2005-01-10,1.292,1.292,1.2518,1.2716,60680
2005-01-11,1.2716,1.3171,1.2665,1.3171,349288
2005-01-12,1.3171,1.3171,1.3023,1.3171,108054
2005-01-13,1.3171,1.3427,1.3171,1.3427,67577
2005-01-14,1.3427,1.3677,1.3222,1.3677,122123
2005-01-17,1.3479,1.3677,1.3479,1.3677,88289
2005-01-18,1.3632,1.3632,1.3074,1.3274,19379
2005-01-19,1.2972,1.3171,1.292,1.292,58047
2005-01-20,1.292,1.3023,1.2716,1.2767,22683
2005-01-21,1.2818,1.287,1.2716,1.287,70811
2005-01-24,1.3074,1.3171,1.2716,1.3074,85123
2005-01-25,1.3171,1.3325,1.312,1.3325,105961
2005-01-26,1.3427,1.3529,1.312,1.3376,43732
2005-01-27,1.3325,1.3325,1.312,1.312,151045
2005-01-28,1.3274,1.3427,1.3274,1.3427,5060
2005-01-31,1.3479,1.3933,1.3427,1.3933,129227
2005-02-01,1.3985,1.4843,1.3985,1.4645,125672
2005-02-02,1.4843,1.4843,1.4439,1.4593,75559
2005-02-03,1.4388,1.4593,1.3933,1.4337,62704
2005-02-04,1.4286,1.4286,1.3677,1.3882,155705
2005-02-07,1.4035,1.4035,1.3376,1.3632,80695
2005-02-08,1.3427,1.4035,1.3427,1.3933,94109
2005-02-09,1.3729,1.3985,1.3677,1.3985,39703
2005-02-10,1.4286,1.4439,1.4087,1.4189,54210
2005-02-11,1.4235,1.4439,1.4189,1.4337,39563
2005-02-14,1.4645,1.4946,1.4439,1.4747,370493
2005-02-15,1.4946,1.4946,1.449,1.4747,224844
2005-02-16,1.4235,1.4792,1.4235,1.4792,157884
2005-02-17,1.4792,1.601,1.4694,1.5708,382222
2005-02-18,1.5349,1.5401,1.4895,1.5201,123527
2005-02-21,1.5303,1.5401,1.4946,1.5201,36084
2005-02-22,1.4946,1.5451,1.4946,1.5451,51749
2005-02-23,1.51,1.5201,1.4895,1.5201,30877
2005-02-24,1.5201,1.5451,1.5201,1.5451,32198
2005-02-25,1.5451,1.5708,1.51,1.5708,70811
2005-02-28,1.5708,1.5862,1.515,1.5451,45386
2005-03-01,1.5657,1.5657,1.5349,1.5349,10216
2005-03-02,1.5303,1.5303,1.4694,1.5201,58449
2005-03-03,1.4593,1.5502,1.4593,1.4694,144363
2005-03-04,1.4997,1.5253,1.4946,1.5201,207368
2005-03-07,1.5451,1.5451,1.5201,1.5401,38438
2005-03-08,1.5201,1.5201,1.5201,1.5201,48058
2005-03-09,1.5451,1.6464,1.5451,1.6316,167681
2005-03-10,1.6464,1.6976,1.6214,1.6976,266327
2005-03-11,1.6464,1.7482,1.6265,1.6976,150343
2005-03-14,1.7329,1.7732,1.7022,1.7732,60842
2005-03-15,1.7885,1.8495,1.7732,1.8039,202972
2005-03-16,1.7885,1.8039,1.7329,1.7579,98243
2005-03-17,1.7431,1.7431,1.6566,1.6566,193915
2005-03-18,1.6418,1.6976,1.6418,1.6822,69968
2005-03-21,1.672,1.672,1.6464,1.6566,16406
2005-03-22,1.6617,1.7329,1.6617,1.7175,29891
2005-03-23,1.7072,1.7937,1.6771,1.7732,39670
