Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-10,8.7356,9.2213,8.3548,8.4579,348986
2005-01-11,8.3889,8.5959,8.1111,8.3889,83197
2005-01-12,8.1111,8.4238,7.9381,8.319,59707
2005-01-13,8.319,8.6317,8.319,8.5959,55175
2005-01-14,8.5959,8.7356,8.3548,8.7356,28316
2005-01-17,8.6658,8.7356,8.5959,8.7007,43685
2005-01-18,8.7007,9.0126,8.6658,8.8737,52297
2005-01-19,8.8737,8.9427,8.8737,8.8737,44243
2005-01-20,8.8737,8.8737,8.8737,8.8737,31582
2005-01-24,8.8737,8.8737,8.5959,8.7356,12799
2005-01-25,8.3889,8.7356,8.3889,8.7356,1247
2005-01-26,8.5959,8.6658,8.5959,8.6658,17131
2005-01-27,8.4579,8.7356,8.4238,8.7356,7780
2005-01-28,8.5269,8.7356,8.5269,8.7356,22198
2005-01-31,8.6658,8.7697,8.6658,8.7697,1741
2005-02-01,8.5959,8.8737,8.5959,8.8737,7507
2005-02-02,8.7356,8.8737,8.7356,8.8737,20432
2005-02-03,8.7697,8.8737,8.7697,8.8737,20527
2005-02-04,8.7007,8.8737,8.7007,8.8737,7759
2005-02-07,8.8737,8.8737,8.8396,8.8737,15017
2005-02-08,8.8737,8.8737,8.8737,8.8737,4326
2005-02-09,8.8737,8.8737,8.8737,8.8737,49870
2005-02-10,8.8737,8.8737,8.8737,8.8737,3755
2005-02-11,8.9078,8.9078,8.9078,8.9078,7866
2005-02-14,8.8047,8.8047,8.8047,8.8047,2229
2005-02-15,8.8396,8.8737,8.8396,8.8737,368
2005-02-16,8.8737,9.0126,8.8737,9.0126,23944
2005-02-17,9.1515,9.1515,8.8047,8.9427,3794
2005-02-18,8.7697,9.0126,8.7356,9.0126,1154
2005-02-21,8.8047,8.8047,8.8047,8.8047,183
2005-02-22,8.8047,8.8047,8.8047,8.8047,2885
2005-02-23,8.9078,8.9078,8.9078,8.9078,2885
2005-02-24,8.7356,8.9427,8.5618,8.9427,9092
2005-02-25,9.0126,9.0126,8.9777,9.0126,7212
2005-02-28,8.8047,9.0126,8.6658,9.0126,10141
2005-03-01,8.8047,9.0126,8.5959,9.0126,51609
2005-03-02,9.0475,9.0475,9.0126,9.0126,6732
2005-03-03,8.8047,9.0126,8.8047,9.0126,2465
2005-03-04,8.9078,9.0816,8.9078,9.0816,220
2005-03-07,9.0126,9.0126,9.0126,9.0126,14424
2005-03-09,8.8047,8.9427,8.8047,8.9427,1154
2005-03-14,8.7356,8.9427,8.7356,8.9427,1802
2005-03-16,8.7697,8.8047,8.319,8.8047,4977
2005-03-17,8.5959,8.7697,8.3889,8.3889,4101
2005-03-21,8.4579,8.4579,8.4579,8.4579,2164
2005-03-22,8.4579,8.4579,8.4579,8.4579,79
2005-03-23,8.2849,8.4579,8.2849,8.4579,13845
2005-03-24,8.2849,8.4579,8.2849,8.4579,14569
2005-03-29,8.2849,8.2849,8.2849,8.2849,1010
2005-03-30,8.1452,8.215,8.0421,8.215,29096
2005-03-31,8.25,8.319,8.25,8.319,1198
2005-04-05,8.1452,8.1452,8.1452,8.1452,1010
2005-04-11,7.9722,7.9722,7.7993,7.9722,2365
2005-04-12,8.1111,8.1111,8.1111,8.1111,723
2005-04-14,7.9722,7.9722,7.9722,7.9722,649
2005-04-15,8.077,8.1452,8.077,8.1452,20293
2005-04-18,8.1111,8.1111,7.7993,7.7993,1398
2005-04-19,7.7993,7.7993,7.7993,7.7993,491
2005-04-22,7.9722,7.9722,7.9722,7.9722,2453
2005-04-26,7.7993,7.7993,7.7644,7.7993,37804
2005-04-27,7.6258,7.7644,7.4873,7.6607,9440
2005-05-02,7.4873,7.4873,7.4873,7.4873,248
2005-05-04,7.4873,7.4873,7.4873,7.4873,424
2005-05-09,7.6607,8.1452,7.6258,7.6955,24355
2005-05-10,7.6955,7.7993,7.6607,7.7993,1587
2005-05-13,7.6258,7.6258,7.6258,7.6258,115
2005-05-17,7.453,7.453,7.453,7.453,115
2005-05-18,7.3141,7.557,7.2797,7.4179,4466
2005-05-19,7.557,7.557,7.557,7.557,72
2005-05-20,7.3836,7.8682,7.3836,7.591,3147
2005-05-23,7.7644,7.904,7.6258,7.6258,16520
2005-05-25,7.7644,7.7644,7.591,7.591,260
2005-05-27,7.7644,7.7644,7.7644,7.7644,6582
2005-05-30,7.7644,7.904,7.7644,7.904,13708
2005-05-31,7.904,8.1809,7.904,8.1809,825
2005-06-03,8.077,8.077,8.008,8.008,1529
2005-06-06,7.904,8.008,7.904,8.008,14662
2005-06-07,7.904,8.008,7.904,8.008,3030
2005-06-08,7.904,7.904,7.8682,7.904,11612
2005-06-10,7.904,8.077,7.904,8.077,6427
2005-06-13,8.1111,8.4579,7.904,8.4579,4872
2005-06-14,7.904,8.0421,7.904,8.0421,736
2005-06-16,7.904,7.904,7.8682,7.8682,1442
2005-06-20,7.8682,7.8682,7.7993,7.8682,8801
2005-06-21,7.7993,7.9381,7.7644,7.9381,3058
2005-06-22,7.7993,7.7993,7.7644,7.7993,3678
2005-06-23,7.7993,7.7993,7.7993,7.7993,938
2005-06-24,7.6607,7.7644,7.6607,7.7644,1406
2005-06-27,7.7644,7.7644,7.7644,7.7644,76
2005-06-28,7.7644,7.7644,7.7644,7.7644,10674
2005-06-29,7.7993,7.9381,7.7993,7.9381,9114
2005-06-30,7.8682,7.9381,7.8682,7.9381,5512
2005-07-04,7.7644,7.904,7.7644,7.904,1983
2005-07-05,7.9381,8.077,7.9381,8.077,287
2005-07-08,8.25,8.25,8.25,8.25,36
2005-07-11,8.077,8.1111,8.077,8.1111,346
2005-07-14,7.9381,7.9381,7.9381,7.9381,260
2005-07-15,7.904,7.904,7.904,7.904,160
2005-07-18,7.904,7.904,7.904,7.904,145
2005-07-19,7.904,7.904,7.904,7.904,130
2005-07-21,7.8341,7.8341,7.8341,7.8341,1587
2005-07-22,7.7644,7.7644,7.7644,7.7644,1442
2005-07-25,7.9381,7.9722,7.9381,7.9722,101
2005-07-26,7.7993,7.7993,7.7993,7.7993,505
2005-07-27,7.6955,7.7993,7.591,7.7993,6387
2005-07-28,7.9722,7.9722,7.9722,7.9722,72
2005-08-01,7.9722,7.9722,7.9722,7.9722,72
2005-08-02,8.1111,8.215,7.9722,8.215,317
2005-08-03,8.0421,8.1111,8.0421,8.1111,267
2005-08-05,8.319,8.3548,8.1111,8.319,17838
2005-08-08,8.1452,8.5269,8.1452,8.4238,3786
2005-08-09,8.5269,8.8737,8.5269,8.6658,12597
2005-08-10,8.7007,8.8396,8.7007,8.8396,6272
2005-08-11,8.6658,8.6658,8.6658,8.6658,920
2005-08-12,8.7007,8.7007,8.7007,8.7007,610
2005-08-16,8.5269,8.5959,8.5269,8.5959,1218
2005-08-17,8.4238,8.5959,8.4238,8.5959,1606
2005-08-18,8.6658,9.2213,8.6658,9.0126,9945
2005-08-19,9.1515,9.2213,9.0126,9.0126,9455
2005-08-22,8.8737,8.8737,8.8737,8.8737,145
2005-08-23,9.4983,9.913,9.4284,9.775,19491
