Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,9.6,10.1,9.6,10,17023
2005-01-04,10.1,10.1,9.7,9.7,10351
2005-01-05,9.8,9.8,9.4,9.6,39288
2005-01-06,9.4,9.6,9.3,9.5,15377
2005-01-07,9.5,9.7,9.4,9.4,12666
2005-01-10,9.5,9.5,9.3,9.3,13602
2005-01-11,9.3,9.4,9,9,13921
2005-01-12,9,9.4,9,9.2,28695
2005-01-13,9.2,9.6,9.1,9.2,27795
2005-01-14,9.2,9.4,9.2,9.2,6689
2005-01-17,9.3,9.4,9,9.3,8782
2005-01-18,9.1,9.2,8.9,8.9,15369
2005-01-19,8.8,9,8.7,8.8,7843
2005-01-20,8.6,8.7,8,8.2,25000
2005-01-21,8.2,8.6,8.1,8.5,12467
2005-01-24,8.5,8.6,8.2,8.2,7949
2005-01-25,8.3,8.9,8.2,8.6,23518
2005-01-26,8.9,8.9,8.4,8.6,11948
2005-01-27,8.6,8.8,8.3,8.6,10894
2005-01-28,8.4,9,8.4,8.9,15467
2005-01-31,8.8,9.4,8.8,9.3,29593
2005-02-01,9.4,9.4,9,9.2,12735
2005-02-02,9.2,9.2,8.8,9.1,13655
2005-02-03,9,9.2,9,9,5384
2005-02-04,9.1,9.6,9,9.5,49025
2005-02-07,9.8,9.9,9.3,9.5,44806
2005-02-08,9.7,9.7,9.3,9.3,14240
2005-02-09,9.3,9.4,9,9.2,13222
2005-02-10,9.2,9.7,9.2,9.3,23660
2005-02-11,9.3,9.5,9.2,9.2,14554
2005-02-14,9.2,9.2,9,9,9526
2005-02-15,9.1,9.3,9.1,9.3,20902
2005-02-16,9.4,9.8,9.2,9.8,39329
2005-02-17,9.9,10.3,9.6,9.6,76037
2005-02-18,9.6,9.7,9.3,9.3,32374
2005-02-21,9.4,9.6,9.3,9.4,12875
2005-02-22,9.6,9.7,9.2,9.3,30824
2005-02-23,9.2,9.4,9.2,9.4,8429
2005-02-24,9.3,9.4,9.2,9.3,8488
2005-02-25,9.4,9.4,9.2,9.3,13847
2005-02-28,9.2,9.3,9.1,9.3,12046
2005-03-01,9.2,9.2,9.1,9.2,5071
2005-03-02,9.2,9.2,9,9.1,12550
2005-03-03,8.9,9.1,8.9,9.1,5961
2005-03-04,9.2,9.2,9,9.1,3405
2005-03-07,9.1,9.1,9,9,962
2005-03-08,9,9,8.9,9,4123
2005-03-09,8.9,9,8.8,8.9,6268
2005-03-10,8.9,9.1,8.8,9.1,11105
2005-03-11,9,9,8.8,8.9,4434
2005-03-14,8.9,8.9,8.7,8.7,4789
2005-03-15,8.6,8.7,8.6,8.7,1288
2005-03-16,8.7,8.7,8.4,8.6,5952
2005-03-17,8.6,8.6,8.4,8.4,2829
2005-03-18,8.4,8.6,8.3,8.6,6567
2005-03-21,8.7,8.7,8.4,8.5,2542
2005-03-22,8.5,8.5,8.4,8.4,612
2005-03-23,8.2,8.4,8.2,8.4,833
2005-03-24,8.3,8.6,8.3,8.5,4513
2005-03-29,8.6,9.2,8.3,8.8,19191
2005-03-30,9,9.1,8.8,9.1,8416
2005-03-31,9.1,9.1,8.8,8.8,3016
2005-04-01,8.9,9,8.8,9,3467
2005-04-04,8.9,8.9,8.7,8.7,404
2005-04-05,8.7,8.8,8.6,8.7,807
2005-04-06,8.7,8.7,8.7,8.7,472
2005-04-07,8.7,8.8,8.6,8.7,984
2005-04-11,8.6,8.6,8.6,8.6,406
2005-04-12,8.6,8.6,8.4,8.5,1031
2005-04-13,8.5,8.5,8.1,8.1,9874
2005-04-14,8.1,8.1,7.4,7.6,18663
