Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.6,0.6,0.6,0.6,106861
2005-01-04,0.6,0.6,0.6,0.6,47687
2005-01-05,0.6,0.6,0.6,0.6,65167
2005-01-06,0.6,0.6,0.6,0.6,75047
2005-01-07,0.6,0.6,0.6,0.6,122398
2005-01-10,0.6,0.6,0.6,0.6,155364
2005-01-11,0.6,0.6,0.6,0.6,13383
2005-01-12,0.6,0.6,0.6,0.6,309907
2005-01-13,0.6,0.7,0.6,0.65,1615125
2005-01-14,0.65,0.65,0.65,0.65,306515
2005-01-17,0.65,0.65,0.65,0.65,122311
2005-01-18,0.65,0.65,0.6,0.65,372912
2005-01-19,0.6,0.65,0.6,0.65,193774
2005-01-20,0.65,0.65,0.6,0.6,185537
2005-01-21,0.6,0.6,0.6,0.6,183405
2005-01-24,0.6,0.6,0.6,0.6,106919
2005-01-25,0.6,0.65,0.6,0.6,177889
2005-01-26,0.6,0.65,0.6,0.65,89764
2005-01-27,0.65,0.65,0.6,0.6,51874
2005-01-28,0.65,0.65,0.6,0.6,95888
2005-01-31,0.6,0.65,0.6,0.65,2027312
2005-02-01,0.65,0.65,0.65,0.65,244892
2005-02-02,0.65,0.65,0.6,0.6,375833
2005-02-03,0.65,0.65,0.6,0.65,157143
2005-02-04,0.6,0.65,0.6,0.65,192670
2005-02-07,0.65,0.65,0.6,0.6,171614
2005-02-08,0.6,0.65,0.6,0.65,118160
2005-02-09,0.65,0.65,0.6,0.65,316505
2005-02-10,0.6,0.65,0.6,0.65,269549
2005-02-11,0.65,0.65,0.6,0.6,238361
2005-02-14,0.65,0.65,0.6,0.6,265039
2005-02-15,0.6,0.65,0.6,0.6,497912
2005-02-16,0.6,0.6,0.6,0.6,187258
2005-02-17,0.6,0.65,0.6,0.65,200229
2005-02-18,0.6,0.65,0.6,0.65,253601
2005-02-21,0.65,0.65,0.6,0.65,323912
2005-02-22,0.65,0.65,0.6,0.6,433903
2005-02-23,0.6,0.65,0.6,0.65,509058
2005-02-24,0.65,0.65,0.65,0.65,183623
2005-02-25,0.65,0.65,0.65,0.65,228553
2005-02-28,0.65,0.65,0.65,0.65,123445
2005-03-01,0.65,0.65,0.65,0.65,66405
2005-03-02,0.65,0.65,0.65,0.65,159305
2005-03-03,0.6,0.65,0.6,0.65,64377
2005-03-04,0.6,0.65,0.6,0.65,52267
2005-03-07,0.65,0.7,0.65,0.65,568957
2005-03-08,0.65,0.7,0.65,0.7,1049791
2005-03-09,0.7,0.7,0.65,0.65,821173
2005-03-10,0.65,0.7,0.65,0.65,426990
2005-03-11,0.65,0.65,0.65,0.65,115643
2005-03-14,0.65,0.65,0.65,0.65,214279
2005-03-15,0.65,0.65,0.65,0.65,137470
2005-03-16,0.65,0.65,0.65,0.65,181642
2005-03-17,0.65,0.65,0.65,0.65,284982
2005-03-18,0.65,0.65,0.65,0.65,205230
2005-03-21,0.65,0.65,0.65,0.65,210795
2005-03-22,0.65,0.65,0.65,0.65,48076
2005-03-23,0.65,0.7,0.65,0.7,425961
2005-03-24,0.7,0.7,0.7,0.7,195943
2005-03-29,0.7,0.7,0.65,0.65,142239
2005-03-30,0.65,0.7,0.65,0.7,265695
2005-03-31,0.7,0.7,0.7,0.7,79307
2005-04-01,0.7,0.7,0.7,0.7,148360
2005-04-04,0.7,0.75,0.7,0.7,679547
2005-04-05,0.7,0.7,0.7,0.7,125725
2005-04-06,0.7,0.7,0.7,0.7,35156
2005-04-07,0.7,0.7,0.7,0.7,115656
2005-04-11,0.7,0.7,0.7,0.7,119627
2005-04-12,0.7,0.7,0.7,0.7,229903
2005-04-13,0.7,0.7,0.7,0.7,307588
2005-04-14,0.7,0.7,0.7,0.7,100399
2005-04-15,0.7,0.7,0.7,0.7,165431
2005-04-18,0.7,0.7,0.7,0.7,200682
2005-04-19,0.7,0.7,0.7,0.7,157849
2005-04-20,0.7,0.7,0.7,0.7,321375
2005-04-21,0.7,0.7,0.65,0.7,215537
2005-04-22,0.7,0.7,0.65,0.65,70609
2005-04-25,0.7,0.7,0.65,0.7,42371
2005-04-26,0.7,0.7,0.7,0.7,270548
2005-04-27,0.7,0.7,0.7,0.7,127170
2005-04-28,0.7,0.7,0.7,0.7,99700
2005-04-29,0.7,0.7,0.7,0.7,86030
2005-05-02,0.7,0.7,0.7,0.7,31679
2005-05-04,0.7,0.7,0.7,0.7,33192
2005-05-05,0.7,0.7,0.7,0.7,131261
2005-05-06,0.7,0.7,0.7,0.7,257532
2005-05-09,0.7,0.7,0.7,0.7,168273
2005-05-10,0.7,0.7,0.7,0.7,253198
2005-05-11,0.7,0.7,0.65,0.7,76936
2005-05-12,0.7,0.7,0.7,0.7,21516
2005-05-13,0.7,0.7,0.7,0.7,89613
2005-05-16,0.7,0.7,0.7,0.7,108678
2005-05-17,0.7,0.7,0.65,0.65,167740
2005-05-18,0.65,0.7,0.65,0.7,24999
2005-05-19,0.7,0.7,0.65,0.7,161970
2005-05-20,0.65,0.7,0.65,0.7,227156
2005-05-23,0.7,0.7,0.7,0.7,136506
2005-05-24,0.7,0.7,0.7,0.7,54449
2005-05-25,0.7,0.7,0.7,0.7,187199
2005-05-27,0.7,0.7,0.7,0.7,98903
2005-05-30,0.7,0.7,0.7,0.7,51280
2005-05-31,0.7,0.7,0.7,0.7,57057
2005-06-01,0.7,0.7,0.7,0.7,271907
2005-06-02,0.7,0.7,0.7,0.7,35976
2005-06-03,0.7,0.7,0.7,0.7,226130
2005-06-06,0.7,0.7,0.7,0.7,194846
2005-06-07,0.7,0.7,0.7,0.7,437777
2005-06-08,0.7,0.7,0.7,0.7,212959
2005-06-09,0.7,0.7,0.7,0.7,97062
2005-06-10,0.7,0.7,0.7,0.7,357472
2005-06-13,0.7,0.7,0.7,0.7,25096
2005-06-14,0.7,0.7,0.7,0.7,227608
2005-06-15,0.7,0.7,0.7,0.7,203074
2005-06-16,0.7,0.75,0.7,0.75,799564
2005-06-17,0.75,0.75,0.7,0.75,140278
2005-06-20,0.75,0.75,0.7,0.75,189411
2005-06-21,0.75,0.75,0.7,0.7,110623
2005-06-22,0.75,0.85,0.75,0.8,1730889
2005-06-23,0.85,0.85,0.8,0.8,826245
2005-06-24,0.8,0.9,0.8,0.85,1116080
2005-06-27,0.85,0.85,0.85,0.85,282450
2005-06-28,0.85,0.85,0.85,0.85,154821
2005-06-29,0.85,0.85,0.85,0.85,287602
2005-06-30,0.85,0.9,0.85,0.85,59245
2005-07-01,0.85,0.85,0.85,0.85,192770
2005-07-04,0.85,0.85,0.85,0.85,148096
2005-07-05,0.85,0.85,0.85,0.85,123886
2005-07-06,0.85,0.85,0.85,0.85,34897
2005-07-07,0.85,0.9,0.85,0.85,202036
2005-07-08,0.85,0.9,0.85,0.9,264498
2005-07-11,0.9,0.95,0.9,0.9,173320
2005-07-12,0.9,0.9,0.9,0.9,23408
2005-07-13,0.9,0.9,0.9,0.9,258565
2005-07-14,0.9,0.9,0.9,0.9,76743
2005-07-15,0.85,0.85,0.85,0.85,76714
2005-07-18,0.85,0.85,0.85,0.85,50849
2005-07-19,0.85,0.85,0.85,0.85,87878
2005-07-20,0.85,0.9,0.85,0.85,86505
2005-07-21,0.85,0.9,0.85,0.9,250255
2005-07-22,0.9,0.9,0.85,0.85,20205
2005-07-25,0.85,0.85,0.85,0.85,498391
2005-07-26,0.85,0.85,0.85,0.85,85240
2005-07-27,0.85,0.85,0.85,0.85,97565
2005-07-28,0.85,0.85,0.85,0.85,30647
2005-07-29,0.85,0.85,0.8,0.8,156785
2005-08-01,0.8,0.85,0.75,0.8,130029
2005-08-02,0.8,0.85,0.8,0.85,69989
2005-08-03,0.85,0.85,0.8,0.85,26359
2005-08-04,0.85,0.85,0.8,0.8,7829
2005-08-05,0.8,0.85,0.75,0.8,39144
2005-08-08,0.8,0.85,0.8,0.8,1111499
2005-08-09,0.8,0.85,0.8,0.8,115655
2005-08-10,0.8,0.8,0.8,0.8,26293
2005-08-11,0.8,0.8,0.8,0.8,25332
2005-08-12,0.8,0.8,0.8,0.8,12718
2005-08-16,0.8,0.8,0.8,0.8,728023
2005-08-17,0.8,0.8,0.75,0.8,78395
2005-08-18,0.75,0.8,0.75,0.75,21916
2005-08-19,0.8,0.8,0.75,0.75,43156
2005-08-22,0.75,0.8,0.75,0.75,91664
2005-08-23,0.75,0.75,0.75,0.75,60947
2005-08-24,0.75,0.75,0.75,0.75,30158
2005-08-25,0.75,0.75,0.75,0.75,49666
2005-08-26,0.75,0.75,0.75,0.75,20075
2005-08-29,0.75,0.75,0.75,0.75,29280
2005-08-30,0.75,0.75,0.75,0.75,10675
2005-08-31,0.75,0.75,0.75,0.75,25137
2005-09-01,0.75,0.75,0.75,0.75,16606
2005-09-02,0.75,0.75,0.75,0.75,35720
2005-09-05,0.75,0.75,0.75,0.75,13858
2005-09-06,0.75,0.75,0.75,0.75,23474
2005-09-07,0.75,0.75,0.75,0.75,95127
2005-09-08,0.7,0.7,0.7,0.7,133699
2005-09-09,0.7,0.75,0.7,0.7,162077
2005-09-12,0.7,0.7,0.7,0.7,58839
2005-09-13,0.7,0.7,0.7,0.7,31552
2005-09-14,0.7,0.7,0.7,0.7,22300
2005-09-15,0.7,0.7,0.7,0.7,35498
2005-09-16,0.7,0.7,0.7,0.7,19952
2005-09-19,0.7,0.7,0.7,0.7,125371
2005-09-20,0.7,0.7,0.65,0.7,48519
2005-09-21,0.7,0.7,0.7,0.7,812389
2005-09-22,0.7,0.75,0.7,0.7,80768
2005-09-23,0.7,0.7,0.7,0.7,94133
2005-09-26,0.7,0.75,0.7,0.75,47973
2005-09-27,0.75,0.75,0.7,0.7,233880
2005-09-28,0.7,0.75,0.7,0.75,154862
2005-09-29,0.75,0.75,0.75,0.75,15683
2005-09-30,0.75,0.75,0.7,0.75,26933
