Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,7.9834,8.2655,7.9015,8.1538,25445
2005-01-04,8.095,8.2059,7.9834,8.2059,9149
2005-01-05,8.095,8.2059,7.9834,8.1827,14002
2005-01-06,8.1827,8.5174,8.0653,8.5174,85777
2005-01-07,8.5174,9.1091,8.4351,8.9112,123781
2005-01-10,8.8288,8.9988,8.6872,8.7988,29419
2005-01-11,8.6872,9.555,8.6872,9.532,60291
2005-01-12,9.555,9.695,9.3627,9.4447,30025
2005-01-13,9.3322,9.673,9.2511,9.274,22656
2005-01-14,9.3036,9.3036,8.9988,9.2511,23768
2005-01-17,9.1329,9.4151,9.1329,9.192,9631
2005-01-18,9.274,9.3627,8.9385,9.1329,21596
2005-01-19,9.1625,9.2511,8.9385,9.2511,18806
2005-01-20,9.555,9.673,8.8572,8.8572,87254
2005-01-21,8.8572,8.9385,8.095,8.3234,198292
2005-01-24,8.3474,8.4351,8.2059,8.3234,15905
2005-01-25,8.3474,8.6572,8.2655,8.2945,13117
2005-01-26,8.2655,8.3772,7.8135,8.2059,75347
2005-01-27,8.095,8.5757,8.095,8.4581,29280
2005-01-28,8.5757,8.7174,8.2945,8.4351,10341
2005-01-31,8.4351,8.4351,8.2358,8.4053,13060
2005-02-01,8.4351,8.5466,8.3772,8.4872,8941
2005-02-02,8.4351,8.4351,8.2059,8.3772,12986
2005-02-03,8.3474,8.3772,8.2358,8.3772,8484
2005-02-04,8.5988,9.502,8.5988,9.4733,133334
2005-02-07,10.007,10.652,9.949,10.511,220229
2005-02-08,10.793,10.852,9.977,10.118,90086
2005-02-09,9.949,9.949,9.4151,9.4447,115121
2005-02-10,9.4447,9.4447,9.2216,9.274,38941
2005-02-11,9.4447,9.673,9.274,9.3322,29685
2005-02-14,9.532,9.644,9.3322,9.614,19941
2005-02-15,9.585,9.585,9.4151,9.4733,13564
2005-02-16,9.555,9.614,9.3627,9.555,21881
2005-02-17,9.555,9.555,9.2216,9.3036,22929
2005-02-18,9.4151,10.007,9.3036,9.585,55447
2005-02-21,9.897,10.118,9.866,10.007,33950
2005-02-22,10.118,10.118,9.755,9.837,21965
2005-02-23,9.785,10.007,9.695,9.977,26577
2005-02-24,9.897,10.37,9.813,10.178,43574
2005-02-25,10.178,10.178,9.813,10.007,29614
2005-02-28,10.065,10.065,9.725,9.755,16279
2005-03-01,9.925,9.925,9.673,9.897,8021
2005-03-02,9.837,9.837,9.4447,9.4447,17836
2005-03-03,9.3322,9.502,9.1329,9.3913,12069
2005-03-04,9.3913,9.532,9.1625,9.3913,13581
2005-03-07,9.3322,9.614,9.2216,9.614,13846
2005-03-08,9.673,9.673,9.3322,9.3627,8845
2005-03-09,9.3627,9.3913,9.2511,9.3913,7877
2005-03-10,9.3627,9.4151,8.9988,9.1091,30557
2005-03-11,9.1091,9.1091,8.7695,8.9988,28084
2005-03-14,9.274,9.4733,9.1329,9.2511,20579
2005-03-15,9.0514,9.2511,8.9988,9.0795,6860
2005-03-16,8.8811,8.8811,8.6872,8.7404,26773
2005-03-17,8.7174,8.8572,8.6289,8.6289,9640
2005-03-18,8.7988,8.8811,8.7174,8.8811,7405
2005-03-21,8.7404,8.8572,8.6289,8.7695,5042
2005-03-22,8.4872,8.6572,8.4351,8.5757,25117
2005-03-23,8.5174,8.5174,8.4351,8.5174,18681
2005-03-24,8.4872,8.9687,8.4872,8.9385,20058
2005-03-29,8.9988,9.1625,8.9988,9.022,4689
2005-03-30,9.022,9.1091,8.9112,9.1091,3278
2005-03-31,9.1091,9.2216,8.9988,9.0795,5472
2005-04-01,9.0514,9.0514,8.8811,8.9112,4076
2005-04-04,8.7695,8.9112,8.7404,8.8811,7642
2005-04-05,8.8288,8.8572,8.7404,8.7695,1202
2005-04-07,8.6572,8.8811,8.6572,8.7695,471
2005-04-11,8.5988,8.7695,8.5466,8.7695,5875
2005-04-12,8.7174,8.7695,8.5988,8.6872,1229
2005-04-13,8.7174,8.7174,8.5988,8.6872,1121
2005-04-14,8.5466,8.5988,8.3772,8.3772,15384
2005-04-15,8.3474,8.3474,8.095,8.1241,4544
2005-04-18,7.9537,7.9537,7.6432,7.8135,10259
2005-04-19,7.8717,7.8717,7.7609,7.8135,5672
2005-04-20,7.5904,8.2945,7.5904,7.9834,3748
2005-04-21,7.7609,8.0124,7.7609,8.0124,26160
2005-04-22,8.095,8.2655,7.9015,8.2059,10737
