Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,19.479,19.896,19.479,19.572,2474
2005-01-04,19.618,19.756,19.433,19.756,77779
2005-01-05,20.358,20.682,19.987,20.127,20010
2005-01-06,20.127,20.775,20.127,20.775,4636
2005-01-07,20.45,21.052,20.45,21.006,3635
2005-01-10,20.821,21.006,20.821,21.006,11731
2005-01-11,21.098,21.422,21.098,21.422,4608
2005-01-12,21.516,22.903,21.516,22.903,19829
2005-01-13,22.903,22.903,22.672,22.903,16245
2005-01-14,22.486,22.856,22.44,22.44,6464
2005-01-17,21.979,22.903,21.979,22.903,2496
2005-01-18,22.255,22.764,22.255,22.764,13536
2005-01-19,22.209,24.06,22.209,23.365,90829
2005-01-20,23.412,23.69,22.903,22.903,90713
2005-01-21,23.089,23.089,22.209,22.209,5358
2005-01-24,22.209,23.365,21.886,23.365,84491
2005-01-25,23.32,23.32,22.486,22.624,945
2005-01-26,23.134,23.365,22.209,22.209,23522
2005-01-27,22.44,22.672,22.209,22.44,6544
2005-01-28,22.44,22.672,22.393,22.672,11471
2005-01-31,22.672,23.042,22.071,22.672,10041
2005-02-01,22.624,23.134,22.624,23.134,6632
2005-02-02,23.134,23.412,22.903,23.412,132688
2005-02-03,23.412,23.412,23.134,23.412,64735
2005-02-04,23.134,23.828,23.134,23.828,143896
2005-02-07,23.273,24.013,23.227,23.875,233117
2005-02-08,24.06,24.984,24.06,24.984,40776
2005-02-09,24.523,24.523,24.199,24.199,23589
2005-02-10,23.596,24.938,23.365,24.106,198200
2005-02-11,24.799,24.799,24.06,24.106,6013
2005-02-14,24.106,24.153,23.551,24.013,14079
2005-02-15,23.32,23.596,23.32,23.596,13354
2005-02-16,23.922,24.847,23.922,24.06,18190
2005-02-17,24.523,24.984,24.523,24.984,55127
2005-02-18,24.754,24.938,24.337,24.938,4368
2005-02-21,24.384,24.892,24.384,24.523,1441
2005-02-22,24.938,24.938,23.69,23.69,5090
2005-02-23,23.736,23.828,23.596,23.596,13498
2005-02-24,23.365,23.69,22.81,23.134,66742
2005-02-25,22.718,23.089,22.672,22.672,9189
2005-02-28,22.672,22.672,22.44,22.672,6606
2005-03-01,22.44,22.44,22.301,22.301,2776
2005-03-02,22.44,22.764,22.44,22.672,14236
2005-03-03,22.486,22.903,22.44,22.903,6244
