Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,22.297,23.173,22.297,22.928,259
2005-01-04,23.493,23.493,23.114,23.114,295
2005-01-05,22.988,22.988,22.988,22.988,162
2005-01-06,23.054,23.054,22.862,23.054,143
2005-01-07,22.862,23.114,22.862,23.114,143
2005-01-10,22.423,22.49,21.05,22.49,3611
2005-01-11,21.859,21.926,20.359,21.926,420
2005-01-12,21.859,23.114,21.859,22.862,377
2005-01-13,22.735,22.735,22.55,22.55,6
2005-01-14,23.054,23.114,21.295,22.55,263
2005-01-17,23.114,23.114,22.862,22.862,28
2005-01-18,23.3,23.3,22.297,22.297,97
2005-01-19,22.238,22.238,22.178,22.178,249
2005-01-20,22.238,22.238,21.926,21.926,42
2005-01-21,22.238,22.238,21.985,22.238,188
2005-01-24,22.423,22.423,21.926,22.178,36
2005-01-25,22.238,22.238,22.238,22.238,67
2005-01-26,22.112,22.238,21.614,22.178,112
2005-01-27,22.112,22.112,20.047,21.926,5044
2005-01-28,21.859,21.926,21.614,21.926,42
2005-01-31,21.614,22.178,21.614,22.178,2
2005-02-01,22.112,22.178,22.112,22.178,80
2005-02-02,22.616,22.676,22.616,22.616,82
2005-02-03,22.802,22.802,22.802,22.802,103
2005-02-04,22.862,22.862,21.362,22.862,559
2005-02-07,22.735,22.862,22.735,22.862,23992
2005-02-08,23.114,23.114,23.114,23.114,21
2005-02-09,22.862,22.988,22.862,22.988,133
2005-02-10,22.928,22.988,21.421,22.928,65
2005-02-11,22.862,22.862,22.862,22.862,112
2005-02-14,23.619,23.619,23.552,23.552,196
2005-02-15,23.552,23.552,23.493,23.493,84
2005-02-16,23.173,23.173,23.173,23.173,43
2005-02-17,21.295,22.55,21.295,22.55,133
2005-02-18,23.054,23.054,23.054,23.054,7
2005-02-21,22.862,22.862,22.55,22.55,59
2005-02-24,21.235,21.235,21.235,21.235,201
2005-02-25,21.985,21.985,21.985,21.985,22
2005-02-28,21.235,21.295,21.235,21.295,107
2005-03-01,22.55,22.55,21.614,21.614,60
2005-03-03,21.859,21.859,21.859,21.859,2
2005-03-11,21.295,21.295,21.295,21.295,6
2005-03-15,19.416,19.416,19.416,19.416,79
2005-03-16,20.047,20.671,20.047,20.671,487
2005-03-17,20.612,20.612,20.612,20.612,53
2005-03-18,20.612,20.612,20.612,20.612,2
2005-03-23,20.612,20.612,20.612,20.612,4789
2005-03-29,20.612,20.612,20.612,20.612,43
2005-03-31,20.612,20.612,20.612,20.612,61
2005-04-01,20.047,20.047,20.047,20.047,638
2005-04-04,20.671,20.671,20.545,20.545,51
2005-04-05,20.671,20.671,20.671,20.671,3
2005-04-06,20.671,20.671,20.671,20.671,3
2005-04-11,20.047,20.047,20.047,20.047,6
2005-04-13,19.981,19.981,19.981,19.981,6
2005-04-14,20.047,20.047,20.047,20.047,2
2005-04-15,19.981,19.981,19.981,19.981,609
2005-04-18,19.981,19.981,19.981,19.981,2
2005-04-19,19.416,19.981,19.416,19.981,53
2005-04-20,19.981,19.981,19.981,19.981,6
2005-04-21,19.981,19.981,19.981,19.981,4
2005-04-22,19.981,19.981,19.981,19.981,5
2005-04-25,19.981,19.981,19.981,19.981,12
2005-04-26,19.981,19.981,19.728,19.728,21
2005-04-27,18.978,19.728,18.978,19.728,68
2005-04-28,19.416,19.416,19.416,19.416,16
2005-04-29,19.416,19.416,19.416,19.416,43
2005-05-02,19.728,19.728,19.728,19.728,34
2005-05-04,19.416,19.416,19.416,19.416,1
2005-05-05,19.669,19.669,19.669,19.669,5
2005-05-06,19.416,19.416,19.416,19.416,87
2005-05-09,19.728,19.728,19.728,19.728,2
2005-05-10,19.728,19.728,19.728,19.728,5
2005-05-11,19.416,19.416,19.416,19.416,6
2005-05-12,19.416,19.416,19.416,19.416,2
2005-05-13,19.416,19.416,19.416,19.416,4
2005-05-16,19.416,19.416,19.416,19.416,5
2005-05-17,19.416,19.416,19.416,19.416,131
2005-05-18,19.416,19.416,19.416,19.416,5
2005-05-19,19.416,19.416,18.793,18.793,22
2005-05-20,16.914,18.793,16.914,18.793,4
2005-05-23,18.793,18.793,18.793,18.793,25
2005-05-24,18.793,18.793,18.793,18.793,6
2005-05-25,18.793,18.793,18.793,18.793,6
2005-05-27,18.793,18.793,18.793,18.793,3
2005-05-30,18.793,18.793,18.793,18.793,6
2005-05-31,18.793,18.793,18.793,18.793,6
