Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,26.906,27.371,26.817,27.074,3708
2005-01-04,27.074,27.074,26.564,27.032,2106
2005-01-05,26.734,26.734,26.312,26.734,3028
2005-01-06,26.35,26.647,26.312,26.647,3421
2005-01-07,26.312,26.521,25.929,26.521,7208
2005-01-10,26.143,26.521,26.011,26.521,2361
2005-01-11,26.181,26.521,26.143,26.521,1806
2005-01-12,26.224,26.224,25.972,26.011,3849
2005-01-13,26.011,26.647,26.011,26.521,5241
2005-01-14,26.608,26.734,26.143,26.734,3823
2005-01-17,26.269,26.691,26.269,26.647,2026
2005-01-18,26.521,26.521,26.312,26.521,688
2005-01-19,26.181,26.181,26.011,26.181,8991
2005-01-20,26.312,26.312,25.714,25.714,3731
2005-01-21,25.714,26.098,25.165,26.098,3291
2005-01-24,25.675,26.011,25.63,25.675,3229
2005-01-25,25.884,25.884,25.461,25.461,4911
2005-01-26,25.461,26.521,25.039,26.521,9831
2005-01-27,26.269,26.312,25.884,25.884,3014
2005-01-28,25.884,25.884,25.675,25.675,4246
2005-01-31,25.675,25.84,25.461,25.505,2571
2005-02-01,25.84,25.884,25.291,25.884,2333
2005-02-02,25.884,26.224,25.714,26.224,2120
2005-02-03,25.884,26.35,25.884,26.35,4645
2005-02-04,25.972,26.35,25.929,26.35,2001
2005-02-07,26.055,26.439,26.011,26.098,15280
2005-02-08,25.929,25.972,25.039,25.247,32048
2005-02-09,25.802,25.802,25.247,25.374,5308
2005-02-10,25.714,25.714,25.374,25.714,5927
2005-02-11,25.758,25.84,25.374,25.84,8267
2005-02-14,25.758,25.802,25.461,25.758,2663
2005-02-15,25.758,25.758,25.417,25.714,2806
2005-02-16,25.461,25.884,25.417,25.884,11692
2005-02-17,25.802,25.84,25.461,25.84,9931
2005-02-18,25.714,25.84,25.675,25.84,3708
2005-02-21,25.63,25.972,25.63,25.972,4813
2005-02-22,25.714,26.269,25.714,26.269,6740
2005-02-23,25.929,26.269,25.884,25.929,4613
2005-02-24,25.884,26.269,25.758,26.269,1861
2005-02-25,26.312,27.113,26.312,27.113,26350
2005-02-28,26.779,27.157,26.564,27.157,15375
2005-03-01,26.734,27.245,26.608,26.987,6933
2005-03-02,27.113,27.327,26.987,27.284,9424
2005-03-03,27.157,27.371,27.157,27.371,14838
2005-03-04,27.032,27.284,26.906,26.943,3630
2005-03-07,27.371,27.667,27.157,27.58,25148
2005-03-08,27.964,28.008,27.58,27.794,27942
2005-03-09,27.794,27.964,27.712,27.794,4486
2005-03-10,27.58,27.794,27.58,27.794,33914
2005-03-11,27.794,27.838,27.58,27.58,3496
2005-03-14,27.371,27.58,27.245,27.58,5765
2005-03-15,27.58,27.921,27.157,27.921,5847
2005-03-16,27.157,27.371,27.074,27.371,8674
2005-03-17,29.792,30.17,29.193,29.281,80839
2005-03-18,29.621,29.621,28.853,29.024,20211
2005-03-21,29.024,29.281,28.387,28.387,10102
2005-03-22,28.518,28.853,28.387,28.853,53219
2005-03-23,28.815,29.068,28.644,29.068,7989
2005-03-24,28.985,29.193,28.942,29.024,5121
2005-03-29,29.068,29.068,28.897,29.068,929
2005-03-30,28.942,29.068,28.853,28.985,3325
2005-03-31,29.281,29.281,28.942,29.281,10337
2005-04-01,29.281,29.32,29.111,29.32,3826
2005-04-04,29.281,29.281,28.942,29.068,13966
2005-04-05,29.281,29.281,28.985,29.068,4301
2005-04-06,29.407,29.452,28.897,29.281,3186
2005-04-07,29.281,29.281,29.024,29.281,35067
2005-04-11,29.068,29.068,28.942,28.985,4706
2005-04-12,29.237,29.237,28.985,29.024,9184
2005-04-13,29.024,29.068,28.985,29.024,2578
2005-04-14,29.068,29.068,29.024,29.068,2945
2005-04-15,29.024,29.024,29.024,29.024,1309
2005-04-18,28.942,29.024,28.942,28.985,1466
2005-04-19,28.897,29.193,28.897,28.942,5419
2005-04-20,29.024,29.024,28.815,28.815,10601
2005-04-21,28.771,28.771,28.558,28.644,9246
2005-04-22,28.644,28.985,28.644,28.815,10773
2005-04-25,28.853,28.897,28.431,28.431,7628
2005-04-26,28.431,28.558,28.051,28.216,3881
2005-04-27,28.09,28.387,27.667,28.387,5704
2005-04-28,28.815,28.853,28.216,28.431,10686
2005-04-29,28.897,28.897,28.216,28.305,17244
2005-05-02,28.431,28.644,28.431,28.558,2316
2005-05-04,28.387,28.771,28.387,28.644,1928
2005-05-05,28.431,28.644,28.387,28.387,3121
2005-05-06,28.431,28.476,28.216,28.476,1869
2005-05-09,28.476,28.644,28.431,28.476,1932
2005-05-10,28.815,28.897,28.431,28.853,15256
2005-05-11,28.644,29.068,28.387,28.727,7846
2005-05-12,28.815,28.985,28.815,28.815,2630
2005-05-13,28.644,28.853,28.431,28.518,3419
2005-05-16,28.644,28.815,28.558,28.815,1549
2005-05-17,28.727,28.942,28.727,28.897,4761
2005-05-18,29.068,29.281,28.853,29.068,3108
2005-05-19,28.897,29.32,28.771,29.32,6244
2005-05-20,29.32,29.32,29.068,29.111,4517
2005-05-23,29.193,29.363,29.193,29.363,4304
2005-05-24,29.32,29.704,29.32,29.659,8209
2005-05-25,29.704,29.704,29.363,29.577,10783
2005-05-27,29.577,29.704,29.281,29.49,12003
2005-05-30,29.534,29.659,29.237,29.281,15200
2005-05-31,29.281,29.281,29.155,29.281,5649
2005-06-01,29.281,29.281,29.068,29.068,6006
2005-06-02,29.068,29.281,29.024,29.281,9630
2005-06-03,29.281,29.281,29.193,29.281,14897
2005-06-06,29.32,30.127,29.111,30.127,18202
2005-06-07,30.259,31.318,30.259,30.467,115225
2005-06-08,31.022,31.103,30.17,30.214,96839
2005-06-09,30.127,30.895,30,30.895,61662
2005-06-10,30.934,31.229,30.724,30.895,38761
2005-06-13,30.978,31.191,30.934,30.978,30963
2005-06-14,30.978,30.978,30.34,30.34,28631
2005-06-15,30.51,30.724,30.384,30.724,4937
2005-06-16,30.636,30.724,30.51,30.724,18356
2005-06-17,30.934,31.318,30.934,31.103,59680
2005-06-20,31.274,32.333,31.229,31.954,118020
2005-06-21,32.503,33.354,32.251,33.1,206604
2005-06-22,33.903,33.903,32.546,32.673,171626
2005-06-23,32.844,32.887,32.673,32.761,48931
2005-06-24,32.761,32.761,32.503,32.59,37815
2005-06-27,32.673,32.716,32.162,32.333,48170
2005-06-28,32.333,32.59,32.333,32.421,44343
2005-06-29,32.546,33.014,32.464,32.8,52547
2005-06-30,33.1,33.1,32.333,32.333,53487
2005-07-01,32.546,32.546,32.251,32.377,56835
2005-07-04,32.503,32.673,32.421,32.421,47142
2005-07-05,32.464,32.464,31.696,31.785,160968
2005-07-06,31.74,31.785,30.34,31.022,110076
2005-07-07,30.978,31.103,30.763,31.061,65405
2005-07-08,31.274,32.037,31.274,31.488,169351
2005-07-11,31.827,32.037,31.57,31.613,89015
2005-07-12,31.785,31.785,31.57,31.613,65649
2005-07-13,31.696,31.74,31.613,31.696,97858
2005-07-14,31.696,32.08,31.696,32.037,116082
2005-07-15,32.251,32.251,31.022,31.954,3087428
2005-07-18,32.377,32.503,32.162,32.162,207039
2005-07-19,32.251,32.295,31.954,32.251,180115
2005-07-20,32.295,32.377,32.037,32.162,334754
2005-07-21,32.365,32.722,31.256,31.256,101615
2005-07-22,31.256,31.256,29.39,29.748,133335
2005-07-25,30.401,30.753,29.797,30.704,58884
2005-07-26,30.801,30.906,30.5,30.704,55605
2005-07-27,30.604,30.604,29.995,30.248,33825
2005-07-28,30.198,30.248,29.797,29.945,33122
2005-07-29,29.995,30.149,29.244,29.495,22847
2005-08-01,29.495,29.495,28.836,29.088,30120
2005-08-02,29.04,29.04,28.134,28.738,82135
2005-08-03,28.887,29.244,28.887,29.193,24578
2005-08-04,29.139,29.945,29.139,29.896,12995
2005-08-05,30.149,30.653,29.643,30.302,51017
2005-08-08,30.5,30.906,30.248,30.906,31807
2005-08-09,30.955,31.207,30.906,31.158,31287
2005-08-10,31.158,31.713,31.005,31.46,52165
2005-08-11,31.508,31.663,30.554,30.653,19817
2005-08-12,30.653,31.663,30.653,31.109,21469
2005-08-16,30.906,31.356,30.352,30.653,26217
2005-08-17,30.604,30.906,30.604,30.704,24316
2005-08-18,30.704,30.704,29.995,30.05,55128
2005-08-19,29.945,30.248,29.896,29.945,7881
2005-08-22,29.995,30.248,29.945,30.05,14032
2005-08-23,30.05,30.198,29.545,30.05,24069
2005-08-24,29.643,30.099,29.643,30.05,4423
2005-08-25,30.05,30.05,29.896,29.995,16893
2005-08-26,29.797,29.945,29.495,29.846,3630
2005-08-29,29.945,29.945,29.39,29.748,3939
2005-08-30,29.643,29.692,29.441,29.495,25891
2005-08-31,29.495,29.495,28.99,29.193,32704
2005-09-01,28.689,30.248,28.689,30.248,109047
2005-09-02,30.198,30.198,29.244,29.643,12845
2005-09-05,29.244,29.896,29.244,29.643,19066
2005-09-06,29.244,29.643,29.244,29.545,5041
2005-09-07,29.39,29.595,29.39,29.495,7925
2005-09-08,29.595,29.595,29.495,29.595,6676
2005-09-09,29.643,29.846,29.643,29.797,9706
2005-09-12,29.896,29.896,29.595,29.692,6139
2005-09-13,29.692,29.692,29.244,29.595,8270
2005-09-14,29.595,29.643,29.595,29.595,17260
2005-09-15,29.595,29.692,29.595,29.643,18272
2005-09-16,29.595,29.692,29.495,29.595,20797
2005-09-19,29.595,29.692,29.495,29.545,38350
2005-09-20,29.595,29.595,29.39,29.39,32214
2005-09-21,29.39,29.441,29.244,29.342,19026
2005-09-22,29.292,29.342,29.139,29.139,27242
2005-09-23,29.139,29.292,28.99,29.139,20627
2005-09-26,29.139,29.139,28.738,28.942,16649
2005-09-27,28.942,29.692,28.836,29.495,47480
2005-09-28,29.545,29.692,28.99,29.088,25850
2005-09-29,29.244,29.244,28.99,28.99,10894
2005-09-30,29.04,29.244,29.04,29.139,16108
2005-10-03,28.99,29.139,28.836,28.99,52211
2005-10-04,28.942,29.244,28.887,28.99,95789
2005-10-05,28.99,29.244,28.99,29.139,9178
2005-10-06,29.244,29.292,29.088,29.088,18599
2005-10-07,28.99,29.139,28.887,28.942,11389
2005-10-10,29.244,29.244,28.738,28.99,2169
2005-10-11,28.942,28.942,28.689,28.689,10210
2005-10-12,28.887,28.942,28.633,28.738,6113
2005-10-13,28.836,28.887,28.486,28.836,15988
2005-10-14,28.486,28.738,28.486,28.738,17920
2005-10-17,28.586,28.99,28.486,28.887,9249
2005-10-18,29.04,29.545,29.04,29.495,28002
2005-10-19,29.193,29.495,29.04,29.244,34684
2005-10-20,29.292,29.495,29.088,29.495,43365
2005-10-21,29.342,29.692,29.139,29.692,11644
2005-10-24,29.595,29.595,29.39,29.441,8691
2005-10-25,29.595,29.595,29.39,29.595,4751
2005-10-26,29.441,29.545,29.292,29.342,27341
2005-10-27,29.244,29.39,28.99,29.342,24638
2005-10-28,29.088,29.39,29.088,29.342,14999
2005-10-31,29.088,29.748,29.088,29.643,16040
2005-11-02,29.643,30.099,29.643,30.099,13525
2005-11-03,30.248,30.955,30.099,30.704,30049
2005-11-04,30.753,30.801,30.401,30.704,23834
2005-11-07,30.604,30.704,30.198,30.352,11636
2005-11-08,30.248,30.401,29.995,30.05,152520
2005-11-09,29.995,30.401,29.995,30.352,9590
2005-11-10,30.401,30.5,30.352,30.401,13792
2005-11-14,30.5,30.5,30.302,30.451,26890
2005-11-15,30.604,31.005,30.554,31.005,35553
2005-11-16,31.109,31.256,30.653,30.906,12972
2005-11-17,31.207,31.508,30.801,31.508,39315
2005-11-18,31.609,31.763,31.508,31.663,28813
2005-11-21,31.663,31.663,31.158,31.207,4403
2005-11-22,31.158,31.256,31.158,31.207,23333
2005-11-23,31.158,31.207,31.158,31.207,9929
2005-11-24,31.256,31.256,31.158,31.207,13302
2005-11-25,31.207,31.256,31.207,31.207,11403
2005-11-28,31.005,31.207,31.005,31.207,9899
2005-11-29,31.207,31.307,31.053,31.158,28212
2005-11-30,31.256,31.256,30.906,31.053,12802
2005-12-01,31.053,31.861,31.053,31.861,47594
2005-12-02,31.861,32.365,31.861,32.267,70402
2005-12-05,32.365,32.415,32.063,32.162,19603
2005-12-06,32.162,32.162,31.663,32.162,14152
2005-12-07,32.162,32.162,31.663,32.113,3929
2005-12-08,31.763,32.162,31.763,32.162,6116
2005-12-09,32.016,32.415,32.016,32.415,19464
2005-12-12,32.415,32.519,31.861,32.519,15766
2005-12-13,32.569,32.569,32.267,32.365,35171
2005-12-14,32.162,32.519,31.965,32.519,7351
2005-12-15,32.267,32.519,32.162,32.415,16658
2005-12-16,32.113,32.47,32.063,32.47,21696
2005-12-19,32.113,32.317,32.016,32.267,16510
2005-12-20,32.267,32.772,32.218,32.772,63530
2005-12-21,32.668,33.678,32.668,33.678,45482
2005-12-22,33.579,33.93,33.524,33.777,58951
2005-12-23,33.881,33.881,33.376,33.777,12222
2005-12-27,33.678,34.029,33.524,34.029,43835
2005-12-28,33.777,33.777,33.277,33.579,16912
2005-12-29,32.871,33.426,32.871,33.277,15792
2005-12-30,33.524,33.777,33.326,33.524,25962
2006-01-02,33.277,33.832,32.772,33.777,57579
2006-01-03,33.881,34.534,33.832,34.332,36554
2006-01-04,34.787,35.544,34.787,35.34,143169
2006-01-05,35.34,35.544,35.038,35.291,28232
2006-01-06,35.089,35.592,35.038,35.592,25972
2006-01-09,35.544,35.592,34.083,35.243,61649
2006-01-10,35.038,35.291,34.787,35.243,36039
2006-01-11,35.291,35.592,35.291,35.544,26527
2006-01-12,35.34,35.691,35.34,35.592,63394
2006-01-13,35.544,35.642,35.192,35.494,17209
2006-01-16,35.291,35.796,35.192,35.796,35100
2006-01-17,35.895,35.895,35.445,35.592,58096
2006-01-18,35.691,35.691,34.941,35.291,16100
2006-01-19,35.038,35.796,35.038,35.796,36669
2006-01-20,35.796,35.796,35.038,35.796,48640
2006-01-23,35.291,35.544,35.089,35.192,3328
2006-01-24,35.192,35.291,35.137,35.291,11015
2006-01-25,35.291,35.691,35.291,35.544,91231
2006-01-26,35.39,35.796,35.39,35.691,54277
2006-01-27,35.846,35.945,35.746,35.846,134157
2006-01-30,35.945,35.999,35.34,35.494,9922
2006-01-31,35.544,35.691,35.39,35.494,37914
2006-02-01,35.34,35.592,35.038,35.494,17548
2006-02-02,35.39,35.691,35.243,35.691,10617
2006-02-03,35.796,36.499,35.691,35.691,38126
2006-02-06,35.895,36.905,35.691,36.855,34092
2006-02-07,37.053,37.509,36.954,37.459,55021
2006-02-08,37.41,37.809,37.108,37.809,61720
2006-02-09,37.809,37.809,37.004,37.761,15781
2006-02-10,37.809,37.809,37.41,37.41,38704
2006-02-13,36.954,37.41,36.751,36.855,48245
2006-02-14,36.806,37.361,36.806,37.053,42727
2006-02-15,37.256,37.256,36.554,36.554,7596
2006-02-16,36.554,37.156,36.554,36.806,6697
2006-02-17,36.806,37.306,36.806,37.207,52078
2006-02-20,36.905,37.306,36.905,37.053,1296
2006-02-21,37.053,37.306,36.855,36.855,11186
2006-02-22,37.053,37.207,36.855,37.207,9163
2006-02-23,37.306,37.306,37.004,37.004,3594
2006-02-24,36.855,37.256,36.855,36.954,6806
2006-02-27,36.751,37.108,36.751,36.954,20109
2006-02-28,36.954,37.361,36.954,37.207,26849
2006-03-01,36.554,36.855,36.301,36.855,37225
2006-03-02,36.954,37.361,36.954,37.306,40527
2006-03-03,37.306,37.306,37.156,37.306,159720
2006-03-06,37.108,37.108,36.806,37.108,4432
2006-03-07,37.108,37.207,36.701,37.053,37350
2006-03-08,36.806,37.108,36.148,36.252,26461
2006-03-09,35.746,36.048,35.494,35.796,12912
2006-03-10,35.592,35.945,35.592,35.642,20426
2006-03-13,35.089,35.291,34.835,35.291,25969
2006-03-14,35.038,35.038,34.583,34.891,35582
2006-03-15,35.038,35.544,35.038,35.291,8800
2006-03-16,35.445,36.806,35.445,36.499,56639
2006-03-17,36.806,37.41,36.499,36.554,229125
2006-03-20,36.806,36.806,36.197,36.301,14545
2006-03-21,36.197,36.45,36.048,36.048,47229
2006-03-22,36.4,36.554,35.895,36.197,77323
2006-03-23,36.554,36.905,36.45,36.905,23194
2006-03-24,37.053,37.207,36.351,37.053,140227
2006-03-27,36.806,36.954,36.499,36.954,21843
2006-03-28,36.954,36.954,36.554,36.554,13336
2006-03-29,36.652,36.652,36.301,36.301,27005
2006-03-30,36.806,36.806,36.048,36.499,27661
2006-03-31,36.301,36.554,36.099,36.554,45656
2006-04-03,36.197,36.499,36.148,36.301,30876
2006-04-04,36.301,36.554,36.301,36.301,58929
2006-04-05,36.301,36.602,36.301,36.4,7283
2006-04-06,36.4,36.602,36.301,36.554,212671
2006-04-07,36.602,36.954,36.554,36.905,80160
2006-04-10,37.004,37.053,36.905,37.053,118617
2006-04-11,37.053,37.053,36.806,37.053,46453
2006-04-12,37.004,37.004,36.554,36.905,5179
2006-04-13,36.806,37.004,36.602,36.905,58190
2006-04-18,37.053,37.053,36.806,37.053,19144
2006-04-19,37.004,37.004,36.701,36.806,115933
2006-04-20,36.806,36.905,36.602,36.806,106423
2006-04-21,36.905,36.954,36.602,36.806,162812
2006-04-24,36.905,36.954,36.554,36.855,39094
2006-04-25,36.806,36.954,36.554,36.554,26646
2006-04-26,36.806,36.905,36.4,36.554,61513
2006-04-27,36.806,36.806,35.746,36.301,267774
2006-04-28,36.652,36.652,35.846,36.301,29160
2006-05-02,36.301,36.4,36.252,36.301,72834
2006-05-04,36.301,36.301,35.895,36.048,14449
2006-05-05,35.945,36.301,35.796,36.148,148447
2006-05-08,36.301,36.554,35.846,36.197,100490
2006-05-09,36.048,36.301,36.048,36.048,30306
2006-05-10,35.895,35.895,35.089,35.544,55435
2006-05-11,36.301,36.301,35.796,35.895,25710
2006-05-12,36.148,36.252,35.796,35.895,12085
2006-05-15,35.746,35.746,35.089,35.137,26952
2006-05-16,35.137,35.192,34.583,34.787,47203
2006-05-17,34.787,34.835,34.281,34.332,205520
2006-05-18,34.332,34.332,33.98,34.281,178521
2006-05-19,34.534,34.534,34.231,34.281,131919
2006-05-22,34.688,34.688,34.182,34.281,55605
2006-05-23,34.182,34.281,32.772,34.134,133406
