Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,46.81,47.897,46.71,47.897,777
2005-01-05,47.697,47.697,46.999,46.999,184
2005-01-07,47.199,47.199,47.199,47.199,160
2005-01-10,47.199,47.298,47.199,47.298,262
2005-01-11,47.996,49.692,47.996,49.692,1467
2005-01-12,48.694,49.692,48.694,49.692,758
2005-01-13,49.692,49.692,49.692,49.692,50
2005-01-17,49.692,49.692,48.196,48.196,183
2005-01-18,48.694,48.694,48.694,48.694,15
2005-01-19,47.199,47.897,46.71,47.398,170
2005-01-20,47.697,47.697,47.697,47.697,100
2005-01-21,47.797,47.897,47.697,47.897,349
2005-01-25,48.694,50.28,48.694,49.492,512
2005-01-26,49.492,49.492,49.492,49.492,100
2005-01-27,49.592,49.592,48.096,48.096,108
2005-01-28,48.196,48.395,47.199,48.196,567
2005-01-31,48.196,48.196,47.199,47.199,120
2005-02-01,47.298,48.694,47.298,48.694,485
2005-02-02,49.592,49.592,48.694,48.694,477
2005-02-03,49.592,49.592,48.196,48.196,44
2005-02-04,48.196,48.196,47.697,47.697,206
2005-02-07,48.296,48.694,48.296,48.296,1014
2005-02-08,49.592,49.881,49.592,49.881,550
2005-02-09,50.679,50.779,49.881,49.881,376
2005-02-10,49.692,50.28,49.692,50.28,124
2005-02-15,50.081,50.081,49.193,49.193,322
2005-02-16,49.981,49.981,49.193,49.193,170
2005-02-17,49.692,49.692,47.897,49.193,570
2005-02-18,48.694,48.694,47.697,47.697,154
2005-02-21,47.697,47.797,47.697,47.797,57
2005-02-22,48.096,49.692,48.096,48.495,30
2005-02-23,48.495,48.495,48.495,48.495,6
2005-02-25,48.495,48.694,48.495,48.694,11
2005-02-28,47.897,48.694,47.897,48.694,981
2005-03-01,47.897,48.694,47.897,48.694,704
2005-03-02,47.897,48.196,47.897,48.196,604
2005-03-03,48.694,48.694,48.694,48.694,402
2005-03-04,47.897,47.897,47.897,47.897,112
2005-03-07,47.897,47.897,47.897,47.897,391
2005-03-08,47.996,48.694,47.996,48.694,302
2005-03-09,48.694,48.894,48.694,48.894,1677
2005-03-10,48.894,49.193,48.794,48.794,174
2005-03-11,48.894,49.881,48.794,49.692,4821
2005-03-14,50.679,50.978,50.18,50.18,1073
2005-03-15,50.18,50.18,48.395,48.994,831
2005-03-16,48.694,48.694,48.694,48.694,191
2005-03-18,47.797,47.797,47.797,47.797,8
2005-03-21,47.797,47.797,47.199,47.199,771
2005-03-23,47.498,47.498,47.199,47.298,486
2005-03-24,47.697,47.697,45.713,47.099,1862
2005-03-29,46.71,47.398,46.71,47.398,80
2005-03-30,47.697,47.697,47.697,47.697,1006
2005-03-31,47.498,47.697,47.498,47.697,50
2005-04-01,47.498,47.697,47.498,47.697,242
2005-04-04,47.498,47.498,47.498,47.498,5
2005-04-05,47.697,47.697,47.498,47.498,1112
2005-04-06,46.71,47.697,46.71,47.697,149
2005-04-07,48.196,48.196,47.199,47.199,66
2005-04-12,48.196,48.196,48.196,48.196,22
2005-04-15,48.096,48.096,48.096,48.096,20
2005-04-18,48.694,48.694,47.697,47.697,11
2005-04-19,45.813,46.71,45.813,46.211,659
2005-04-20,46.211,46.211,46.211,46.211,277
2005-04-21,46.211,46.211,46.211,46.211,151
2005-04-22,46.211,46.211,46.211,46.211,201
2005-04-25,46.211,46.211,45.015,45.015,132
2005-04-26,45.214,45.214,45.214,45.214,4
2005-04-29,45.214,46.112,44.915,44.915,341
2005-05-02,45.015,45.015,44.915,44.915,402
2005-05-04,45.015,45.015,43.828,44.117,452
2005-05-05,43.928,44.117,43.928,44.117,1079
2005-05-06,44.217,44.217,44.217,44.217,10
2005-05-09,44.915,44.915,44.915,44.915,191
2005-05-10,45.713,45.713,45.713,45.713,90
2005-05-11,46.211,46.71,46.211,46.71,2618
2005-05-12,47.199,47.697,47.199,47.697,730
2005-05-13,48.495,49.193,48.196,48.794,1055
2005-05-16,49.492,49.492,49.492,49.492,30
2005-05-17,49.492,49.492,47.598,47.598,46
2005-05-18,47.797,48.595,47.697,48.595,427
2005-05-19,47.996,47.996,47.996,47.996,100
2005-05-20,49.093,49.692,48.395,48.595,742
2005-05-23,50.679,50.679,50.081,50.081,30
2005-05-24,50.38,50.38,50.38,50.38,115
2005-05-25,49.193,49.193,48.794,48.794,43
2005-05-30,49.781,49.781,49.781,49.781,15
2005-06-01,46.71,49.781,46.71,49.781,186
2005-06-02,49.781,50.18,49.692,50.18,563
2005-06-03,49.692,50.18,49.692,50.18,21
2005-06-07,49.193,49.193,49.193,49.193,214
2005-06-10,49.293,50.081,49.293,50.081,165
2005-06-13,49.692,49.692,48.694,48.694,155
2005-06-14,48.694,49.692,47.797,49.692,692
2005-06-15,49.692,49.692,48.894,48.894,228
2005-06-16,49.692,49.692,48.694,48.694,26
2005-06-17,49.692,49.781,49.692,49.781,352
2005-06-20,49.692,50.18,49.692,50.18,2026
2005-06-21,50.38,51.178,50.081,50.779,944
2005-06-22,49.781,50.579,49.781,50.579,298
2005-06-23,50.579,52.175,50.579,51.876,501
2005-06-24,52.474,52.763,52.474,52.763,35
2005-06-27,52.763,53.162,52.763,53.162,34
2005-06-28,53.062,53.661,52.574,52.574,936
2005-06-29,52.863,53.661,52.763,53.661,732
2005-06-30,52.075,52.075,52.075,52.075,47
2005-07-01,53.461,53.461,53.461,53.461,142
2005-07-04,54.06,54.458,54.06,54.159,814
2005-07-05,54.159,54.458,53.661,54.458,181
2005-07-06,54.658,55.545,53.76,55.545,593
2005-07-07,55.645,56.144,54.758,56.144,248
2005-07-08,54.758,56.842,54.758,56.842,343
2005-07-11,56.942,56.942,54.758,55.745,382
2005-07-12,54.758,55.645,54.758,55.645,367
2005-07-13,54.758,54.847,54.359,54.847,704
2005-07-14,54.847,54.847,54.758,54.758,479
2005-07-15,54.359,54.359,54.359,54.359,35
2005-07-18,53.86,53.96,53.76,53.76,293
2005-07-20,53.76,53.76,52.763,52.763,231
2005-07-21,52.763,52.763,52.763,52.763,50
2005-07-25,52.763,52.763,52.763,52.763,22
2005-07-26,52.763,52.763,52.763,52.763,13
2005-07-27,54.359,54.359,52.963,53.361,130
2005-07-29,53.461,53.461,53.461,53.461,2
2005-08-01,53.561,53.561,53.561,53.561,80
2005-08-02,53.76,53.76,53.76,53.76,117
2005-08-03,54.259,54.758,54.159,54.159,80
2005-08-04,54.06,54.259,53.96,54.259,78
2005-08-08,54.758,55.845,54.758,54.947,241
2005-08-09,54.359,54.359,54.359,54.359,45
2005-08-10,54.658,54.658,54.259,54.259,17
2005-08-12,54.758,54.758,54.758,54.758,100
2005-08-16,54.847,54.847,54.758,54.758,59
2005-08-17,54.847,55.745,54.847,54.847,155
2005-08-18,56.243,58.238,56.243,58.238,347
2005-08-19,60.721,62.017,59.235,59.235,651
2005-08-22,60.133,60.92,60.133,60.133,663
2005-08-23,60.133,60.232,58.836,60.232,318
2005-08-24,59.335,59.335,59.235,59.235,326
2005-08-25,58.238,58.238,58.238,58.238,20
2005-08-26,58.737,58.737,58.737,58.737,100
2005-08-29,57.241,58.138,57.241,58.138,185
2005-08-30,58.737,58.737,58.338,58.737,936
2005-08-31,58.737,59.235,58.737,59.235,301
2005-09-02,60.133,60.133,59.235,59.235,35
2005-09-05,59.734,59.734,59.734,59.734,2
2005-09-06,61.718,65.707,60.721,65.707,483
2005-09-07,67.692,72.668,67.692,72.169,752
2005-09-08,73.266,73.266,71.182,71.68,1031
2005-09-09,72.568,72.568,70.783,70.783,723
2005-09-12,71.68,72.568,71.68,72.269,1761
2005-09-14,72.169,78.043,72.169,74.064,2897
