Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,6.4836,6.5485,6.4197,6.4512,66613
2005-01-04,6.4836,6.4836,6.3549,6.4197,135673
2005-01-05,6.6124,6.6773,6.3549,6.4512,682712
2005-01-06,6.4512,6.4512,6.3549,6.4355,33628
2005-01-07,6.4512,6.4836,6.3549,6.4836,69884
2005-01-10,6.5809,6.5809,6.4197,6.4512,100241
2005-01-11,6.4512,6.4836,6.4197,6.4512,48787
2005-01-12,6.4512,6.4512,6.3873,6.4355,29146
2005-01-13,6.4355,6.4355,6.3549,6.403,56498
2005-01-14,6.403,6.403,6.1288,6.2261,233130
2005-01-17,6.1937,6.1937,6.1288,6.1612,62514
2005-01-18,6.1612,6.1612,6,6.1612,36311
2005-01-19,5.6776,6.0963,5.6776,6.0963,102899
2005-01-20,6.1288,6.1288,5.9676,6.0963,208834
2005-01-21,6.0963,6.2094,6.0649,6.2094,68813
2005-01-24,6.29,6.3549,6.2743,6.3549,77104
2005-01-25,6.5161,6.5809,6.4512,6.4836,103428
2005-01-26,6.5161,6.5485,6.3067,6.4512,127415
2005-01-27,6.5161,6.5161,6.4197,6.4512,233880
2005-01-28,6.5161,6.5161,6.4355,6.4512,597265
2005-01-31,6.5161,6.5809,6.4512,6.5161,418476
2005-02-01,6.5161,6.6773,6.5161,6.6458,499698
2005-02-02,6.7097,6.7746,6.6124,6.7097,195567
2005-02-03,6.7097,6.7097,6.6124,6.6458,181379
2005-02-04,6.6458,6.6773,6.5809,6.6773,90352
2005-02-07,6.7097,6.7097,6.4836,6.6458,193965
2005-02-08,6.6124,6.6124,6.5485,6.5809,270024
2005-02-09,6.5809,6.7746,6.5809,6.6773,610911
2005-02-10,6.7422,6.7422,6.6773,6.7097,277406
2005-02-11,6.7097,6.7746,6.7097,6.7097,192528
2005-02-14,6.7746,6.8709,6.7422,6.7422,457780
2005-02-15,6.807,6.8709,6.7746,6.807,241632
2005-02-16,6.8385,7.2258,6.807,7.097,422916
2005-02-17,7.1285,7.7418,7.097,7.7418,917945
2005-02-18,7.903,7.903,7.4194,7.4194,835584
2005-02-21,7.4843,7.5167,7.2582,7.4843,702046
2005-02-22,7.4843,8.0328,7.4843,7.7743,650957
2005-02-23,7.903,8.2254,7.8706,8.194,2707776
2005-02-24,8.3552,8.5803,8.2579,8.2903,938236
2005-02-25,8.3228,8.3552,7.9679,8.0642,821228
2005-02-28,8.0642,8.194,7.8067,7.9355,410263
2005-03-01,7.903,7.903,7.6779,7.8067,279013
2005-03-02,7.8067,7.903,7.7418,7.7743,85181
2005-03-03,7.7418,7.7743,7.6455,7.7418,125374
2005-03-04,7.7094,8.0967,7.7094,7.9355,832876
2005-03-07,8.0967,8.1291,8.0003,8.0642,246767
2005-03-08,8.0328,8.0642,7.9679,8.0003,81246
2005-03-09,8.0328,8.0328,7.9679,7.9679,87082
2005-03-10,8.0003,8.0003,7.903,8.0003,245179
2005-03-11,8.0003,8.0003,7.903,7.9679,237036
2005-03-14,7.9679,7.9679,7.8706,7.903,239843
2005-03-15,7.903,7.9679,7.8391,7.9679,242736
2005-03-16,7.9355,7.9355,7.8391,7.8706,412841
2005-03-17,7.8067,8.0642,7.7743,7.9355,406569
2005-03-18,8.0003,8.2254,8.0003,8.0967,558901
2005-03-21,8.1616,8.2254,8.0003,8.0642,614998
2005-03-22,8.0642,8.0642,8.0003,8.0642,218988
2005-03-23,8.0642,8.0642,8.0003,8.0003,58254
2005-03-24,8.0003,8.0003,7.7743,7.8706,178692
2005-03-29,7.9355,7.9355,7.7094,7.9355,1375660
2005-03-30,7.9355,7.9679,7.8706,7.9679,20704
2005-03-31,7.9355,7.9355,7.8391,7.8706,61472
2005-04-01,7.8391,7.903,7.8067,7.8706,42775
2005-04-04,7.8067,7.9355,7.7743,7.9355,1346115
2005-04-05,7.9355,7.9679,7.903,7.903,38292
2005-04-06,7.9355,7.9355,7.8391,7.903,59945
2005-04-07,7.903,7.903,7.8067,7.8706,41463
2005-04-11,7.8706,7.8706,7.7743,7.8706,52545
2005-04-12,7.8706,7.903,7.8067,7.903,45782
2005-04-13,7.903,7.9355,7.8706,7.8706,24240
2005-04-14,7.8067,7.8706,7.7743,7.8391,35770
2005-04-15,7.4194,7.6779,7.4194,7.4194,167431
2005-04-18,7.3545,7.3545,6.8709,7.0646,653880
2005-04-19,6.9034,6.9358,6.7422,6.7746,276033
2005-04-20,6.7746,6.8709,6.7422,6.7746,268139
