Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.975,2,1.975,2,88
2005-01-04,1.825,2,1.825,2,576
2005-01-18,1.7625,1.775,1.7625,1.775,2664
2005-01-20,1.75,1.75,1.75,1.75,3832
2005-01-21,1.775,1.775,1.775,1.775,24
2005-01-27,1.85,1.85,1.85,1.85,3240
2005-01-28,1.775,1.775,1.775,1.775,776
2005-01-31,1.975,1.975,1.975,1.975,4
2005-02-01,1.85,1.85,1.85,1.85,4296
2005-02-02,1.7875,1.7875,1.7875,1.7875,180
2005-02-03,1.875,1.875,1.875,1.875,4
2005-02-07,1.8,1.8,1.8,1.8,200
2005-02-08,1.7375,1.7375,1.7375,1.7375,2320
2005-02-09,1.75,1.75,1.75,1.75,3184
2005-02-10,1.75,1.75,1.75,1.75,360
2005-02-14,1.425,1.7,1.425,1.7,600
2005-02-15,1.75,1.8625,1.75,1.8625,6720
2005-02-17,1.8625,1.8625,1.85,1.85,7444
2005-02-18,1.8,1.85,1.8,1.85,1372
2005-02-23,1.75,1.75,1.75,1.75,464
2005-02-24,1.75,1.75,1.75,1.75,800
2005-02-25,1.75,1.75,1.75,1.75,1224
2005-03-01,1.7875,1.7875,1.7875,1.7875,2940
2005-03-04,1.75,1.75,1.75,1.75,800
2005-03-11,1.525,1.6,1.525,1.6,6748
2005-03-14,1.575,1.575,1.575,1.575,568
2005-03-15,1.625,1.675,1.625,1.675,1108
2005-03-16,1.775,1.775,1.775,1.775,1264
2005-03-18,1.5875,1.5875,1.5875,1.5875,200
2005-03-21,1.75,1.75,1.75,1.75,12
2005-04-04,1.5375,1.7375,1.5375,1.7375,1120
2005-04-05,1.6,1.6,1.6,1.6,656
2005-04-07,1.625,1.725,1.625,1.725,1408
2005-04-11,1.725,1.725,1.625,1.625,1120
2005-04-13,1.625,1.625,1.625,1.625,1012
2005-04-14,1.575,1.575,1.55,1.55,4064
2005-04-15,1.575,1.6,1.575,1.6,2400
2005-04-28,1.6,1.6,1.6,1.6,244
2005-04-29,1.65,1.65,1.65,1.65,400
2005-05-06,1.65,1.725,1.65,1.725,6204
2005-05-09,1.75,1.775,1.75,1.775,4240
2005-05-10,1.9,2,1.9,2,5416
2005-05-11,1.975,1.975,1.975,1.975,600
2005-05-12,2,2,1.775,1.775,9060
2005-05-13,1.7375,1.775,1.7375,1.775,4628
2005-05-17,1.75,1.75,1.725,1.725,6796
2005-05-18,1.65,1.75,1.65,1.75,2012
2005-05-19,1.65,1.7375,1.65,1.7375,7484
2005-05-20,1.725,1.75,1.725,1.75,2064
2005-05-25,1.65,1.65,1.65,1.65,3400
2005-05-27,1.5,1.575,1.5,1.575,3160
2005-05-30,1.5,1.575,1.5,1.575,356
2005-05-31,1.65,1.8125,1.65,1.8125,16
2005-06-01,1.9875,1.9875,1.9875,1.9875,12
2005-06-02,1.8625,1.8625,1.8375,1.8375,1284
2005-06-03,1.5875,1.7375,1.5875,1.7375,796
2005-06-06,1.7625,1.7625,1.6,1.6,5632
2005-06-07,1.6125,1.775,1.6125,1.775,4912
2005-06-08,1.7875,1.7875,1.6375,1.6375,1520
2005-06-09,1.75,1.75,1.75,1.75,2228
2005-06-10,1.6625,1.825,1.6625,1.825,2188
2005-06-13,1.8625,1.8625,1.675,1.675,4372
2005-06-14,1.825,1.825,1.825,1.825,3000
2005-06-15,2,2.125,2,2.125,12020
2005-06-16,2.05,2.125,2.05,2.125,2268
2005-06-17,2.2375,2.25,2.2375,2.25,4772
2005-06-20,2.475,2.475,2.475,2.475,3168
2005-06-22,2.25,2.25,2.25,2.25,1396
2005-06-23,2.375,2.375,2.375,2.375,464
2005-06-24,2.5,2.5,2.475,2.475,3360
2005-06-27,2.625,2.625,2.4,2.4,2000
2005-06-28,2.325,2.3875,2.325,2.3875,1200
2005-06-29,2.175,2.175,2.175,2.175,640
2005-06-30,2.1875,2.1875,2.1875,2.1875,13600
2005-07-04,2.275,2.275,2.275,2.275,360
2005-07-05,2.3,2.3,2.225,2.225,20140
2005-07-06,2.35,2.35,2.35,2.35,640
2005-07-07,2.3,2.3,2.2625,2.2625,1480
2005-07-08,2.225,2.225,2.225,2.225,20
2005-07-11,2.225,2.225,2.225,2.225,14492
2005-07-12,2.0125,2.025,2.0125,2.025,520
2005-07-13,2.275,2.325,2.275,2.325,5360
2005-07-19,2.1,2.1,2.1,2.1,188
2005-07-20,2.25,2.25,2.25,2.25,1784
2005-07-21,2.325,2.575,2.325,2.575,22504
2005-07-22,2.625,2.875,2.625,2.875,9344
2005-07-25,3.1625,3.5,3.1625,3.5,2520
2005-07-26,3.7875,3.7875,3.65,3.65,1048
2005-08-01,3.475,3.475,3.475,3.475,208
2005-08-04,3.325,3.325,3.325,3.325,480
2005-08-05,3.225,3.225,2.8875,2.8875,6576
2005-08-08,2.8875,2.8875,2.8875,2.8875,1784
2005-08-09,2.9,2.9,2.9,2.9,1360
2005-08-10,3,3.2,3,3.2,4816
2005-08-11,3.125,3.225,3.125,3.225,1944
2005-08-17,3,3,3,3,560
2005-08-18,2.8375,2.8375,2.625,2.625,2200
2005-08-19,2.75,2.8375,2.75,2.8375,22828
2005-08-22,3.1,3.1,3.1,3.1,280
2005-08-23,2.875,2.8875,2.875,2.8875,2184
2005-08-25,2.7625,2.95,2.7625,2.95,6124
2005-08-26,2.9625,2.9625,2.9625,2.9625,2124
2005-08-29,3.05,3.05,3.05,3.05,8684
2005-08-30,3.1125,3.1125,3.1,3.1,612
2005-08-31,2.8125,3.05,2.8125,3.05,1496
2005-09-01,3.05,3.05,3.05,3.05,24
2005-09-02,3.05,3.05,3.05,3.05,80
2005-09-05,3.05,3.05,3.05,3.05,184
2005-09-07,2.75,3.025,2.75,3.025,6624
2005-09-08,2.75,2.75,2.75,2.75,200
2005-09-09,3.025,3.025,3.025,3.025,120
2005-09-12,2.7625,2.7625,2.7625,2.7625,200
2005-09-13,2.7625,2.7625,2.7625,2.7625,156
2005-09-14,3.025,3.025,3.025,3.025,80
2005-09-15,2.8125,2.8125,2.8125,2.8125,700
2005-09-16,2.8125,2.95,2.8125,2.95,320
2005-09-20,2.8125,2.8125,2.8125,2.8125,200
2005-09-21,2.8125,2.8125,2.8125,2.8125,768
2005-09-23,2.75,2.75,2.75,2.75,1604
2005-09-27,2.725,2.75,2.725,2.75,1996
2005-09-28,2.9,2.9,2.9,2.9,280
2005-09-29,2.7,2.875,2.7,2.875,60
2005-09-30,2.8375,2.8375,2.8375,2.8375,320
2005-10-05,2.8375,2.8375,2.8375,2.8375,220
2005-10-06,2.875,2.875,2.8,2.8,768
2005-10-07,2.75,2.75,2.75,2.75,1000
2005-10-10,2.6375,2.6375,2.6125,2.6125,3168
2005-10-11,2.675,2.75,2.675,2.75,12372
2005-10-12,2.8,2.9,2.8,2.9,728
2005-10-13,2.8125,2.875,2.8125,2.875,13040
2005-10-14,2.875,2.875,2.875,2.875,260
2005-10-17,2.925,2.925,2.925,2.925,440
2005-10-18,2.925,2.925,2.925,2.925,1784
2005-10-19,2.875,3,2.875,3,20008
2005-10-21,2.9125,2.9125,2.9125,2.9125,400
2005-10-24,2.875,2.875,2.675,2.675,16988
2005-10-26,2.625,2.75,2.625,2.75,1920
2005-10-27,2.6625,2.6625,2.625,2.625,812
2005-10-28,2.625,2.625,2.625,2.625,400
2005-10-31,2.475,2.475,2.4625,2.4625,3380
2005-11-02,2.325,2.325,2.2875,2.2875,4572
2005-11-03,2.3125,2.3125,2.3125,2.3125,1208
2005-11-04,2.4125,2.5,2.4125,2.5,3488
2005-11-07,2.3375,2.35,2.3375,2.35,4520
2005-11-08,2.35,2.35,2.35,2.35,1732
2005-11-09,2.4,2.45,2.4,2.45,1420
2005-11-10,2.45,2.5,2.45,2.5,1208
2005-11-14,2.575,2.575,2.575,2.575,320
2005-11-15,2.75,2.75,2.7375,2.7375,5240
2005-11-16,2.7625,2.8625,2.7625,2.8625,4680
2005-11-17,2.8625,2.9,2.8625,2.9,6692
2005-11-18,2.925,2.9875,2.925,2.9875,2400
2005-11-21,3.05,3.05,3.05,3.05,15044
2005-11-22,3.1375,3.15,3.1375,3.15,3200
2005-11-23,3.1875,3.2375,3.1875,3.2375,5800
2005-11-24,3.25,3.375,3.25,3.375,19436
2005-11-25,3.5,3.65,3.5,3.65,6968
2005-11-28,3.7,3.7625,3.7,3.7625,4452
2005-11-29,3.85,3.9,3.85,3.9,5416
2005-11-30,4,4.15,4,4.15,10172
2005-12-01,4.25,4.25,4.2,4.2,6948
2005-12-02,3.925,3.925,3.7,3.7,4656
2005-12-05,3.4375,3.675,3.4375,3.675,4696
2005-12-06,3.6875,3.75,3.6875,3.75,1400
2005-12-07,3.75,3.75,3.75,3.75,180
2005-12-08,3.4875,3.7,3.4875,3.7,792
2005-12-09,3.6875,3.6875,3.6875,3.6875,80
2005-12-12,3.6875,3.6875,3.6875,3.6875,280
2005-12-13,3.6875,3.6875,3.6875,3.6875,616
2005-12-14,3.675,3.675,3.675,3.675,100
2005-12-19,3.675,3.7625,3.675,3.7625,2212
2005-12-20,3.75,3.75,3.75,3.75,252
2005-12-21,3.75,3.75,3.5,3.5,608
2005-12-22,3.5,3.7125,3.5,3.7125,488
2005-12-23,3.475,3.475,3.45,3.45,6140
2005-12-27,3.5,3.55,3.5,3.55,4396
2005-12-28,3.45,3.45,3.45,3.45,56
2005-12-29,3.4875,3.4875,3.4875,3.4875,992
2005-12-30,3.425,3.425,3.425,3.425,380
2006-01-02,3.425,4.1,3.425,4.1,240
2006-01-03,3.675,3.675,3.675,3.675,6820
2006-01-04,3.875,3.875,3.875,3.875,136
2006-01-05,3.75,3.75,3.75,3.75,200
2006-01-10,3.5,3.5,3.5,3.5,252
2006-01-11,3.625,3.625,3.625,3.625,148
2006-01-16,3.5,3.5,3.5,3.5,5716
2006-01-17,3.5,3.5,3.5,3.5,3852
2006-01-18,3.625,3.625,3.625,3.625,400
2006-01-19,3.75,3.75,3.75,3.75,800
2006-01-23,3.45,3.45,3.45,3.45,140
2006-01-24,3.75,3.75,3.75,3.75,4136
2006-01-26,3.75,3.75,3.75,3.75,800
2006-01-27,3.75,3.75,3.75,3.75,6404
2006-01-30,3.75,3.75,3.75,3.75,800
2006-01-31,3.875,3.875,3.875,3.875,200
2006-02-02,3.75,4.2,3.75,4.2,4708
2006-02-06,4.05,4.05,4.05,4.05,1540
2006-02-07,4,4.1,4,4.1,1000
2006-02-13,4,4,4,4,460
2006-02-14,3.75,4,3.75,4,1400
2006-02-15,4.075,4.075,4.075,4.075,4368
2006-02-16,4.2,4.2,4.2,4.2,2000
2006-02-21,3.825,3.825,3.825,3.825,520
2006-02-22,4,4,4,4,8
2006-02-27,3.75,3.75,3.75,3.75,100
2006-02-28,3.875,4,3.875,4,892
2006-03-07,3.875,3.875,3.875,3.875,4
2006-03-17,3.875,3.975,3.875,3.975,5400
2006-03-23,3.85,3.85,3.85,3.85,400
2006-03-30,3.975,3.975,3.975,3.975,372
2006-04-06,3.75,3.75,3.75,3.75,2512
2006-04-10,3.625,3.625,3.625,3.625,180
2006-04-11,3.75,3.75,3.625,3.625,180
2006-04-12,3.75,3.75,3.75,3.75,340
2006-04-18,3.75,3.75,3.75,3.75,20936
2006-04-19,3.825,3.925,3.825,3.925,33292
2006-04-20,4.75,4.775,4.75,4.775,14856
2006-04-21,4.775,5,4.775,5,35168
2006-04-24,4.75,5.375,4.75,5.375,11168
2006-04-25,5.175,5.5,5.175,5.5,10052
2006-04-26,5.8,6.95,5.8,6.95,3464
2006-04-27,6.5,6.5,6.475,6.475,4976
2006-04-28,6.5,7.225,6.5,7.225,4596
2006-05-02,8.375,9.625,8.375,9.625,1676
2006-05-04,8.375,8.375,8.25,8.25,10760
2006-05-05,7.75,7.75,7.5,7.5,5328
2006-05-08,7.425,7.425,7.125,7.125,2712
2006-05-09,8.25,9.45,8.25,9.45,24732
2006-05-10,10,10,10,10,4432
2006-05-11,9.65,9.65,9.625,9.625,1980
2006-05-12,9.6,9.6,9.6,9.6,828
2006-05-15,9,9.5,9,9.5,3280
2006-05-16,9,9.5,9,9.5,2496
2006-05-17,10.5,10.5,10.5,10.5,960
2006-05-18,10.45,10.45,10.375,10.375,816
2006-05-19,9.25,9.5,9.25,9.5,9456
2006-05-22,9.825,9.825,8.75,8.75,1804
2006-05-23,7.5,7.75,7.5,7.75,5436
2006-05-24,8.75,8.75,8.75,8.75,40
2006-05-25,8.475,8.475,8.475,8.475,120
2006-05-26,8.475,8.475,8.475,8.475,640
2006-05-30,7.475,7.475,7.475,7.475,2324
2006-05-31,6.75,7.125,6.75,7.125,924
2006-06-01,7.125,7.125,7,7,1660
2006-06-02,7.5,8.475,7.5,8.475,1736
2006-06-05,8.5,8.5,8.5,8.5,524
2006-06-06,8.25,8.25,8.25,8.25,60
2006-06-07,7,7.475,7,7.475,1312
2006-06-08,8.175,8.175,8.175,8.175,120
2006-06-09,8,8,7.875,7.875,80
2006-06-12,7.975,7.975,7.975,7.975,40
2006-06-13,7.225,7.225,7,7,364
2006-06-14,6.975,6.975,6.975,6.975,5216
2006-06-16,6.75,6.75,6.75,6.75,3260
2006-06-19,7.25,7.25,7.25,7.25,60
2006-06-20,7.45,7.45,7.45,7.45,100
2006-06-21,6.75,6.75,6.725,6.725,2020
2006-06-22,7.375,7.375,7.375,7.375,48
2006-06-23,7.45,7.45,7.225,7.225,472
2006-06-26,7.225,7.225,6.05,6.05,3032
2006-06-27,6.35,6.375,6.35,6.375,13320
2006-06-28,6.375,6.375,6.375,6.375,400
2006-06-29,6.375,6.375,6.25,6.25,1532
2006-06-30,6.25,7.175,6.25,7.175,1608
2006-07-03,7.15,7.15,7.15,7.15,72
2006-07-04,8.175,8.175,8.175,8.175,640
2006-07-07,6.525,7.625,6.525,7.625,800
