Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,36.305,36.791,36.305,36.305,10873
2005-01-04,36.499,36.499,35.916,36.208,1696
2005-01-05,36.014,36.208,35.82,36.208,4074
2005-01-06,35.626,35.82,35.14,35.626,5314
2005-01-07,35.626,35.626,35.335,35.335,12446
2005-01-10,35.82,35.82,35.335,35.626,15890
2005-01-11,35.335,35.626,35.335,35.528,1818
2005-01-12,35.431,35.722,35.431,35.722,2915
2005-01-13,35.528,35.528,35.14,35.14,14017
2005-01-14,35.14,35.335,35.14,35.335,1902
2005-01-17,35.626,36.596,35.626,36.305,24879
2005-01-18,36.11,36.401,33.499,35.82,16856
2005-01-19,35.82,35.82,35.335,35.335,2617
2005-01-20,35.052,35.335,34.956,35.335,17060
2005-01-21,35.335,35.82,35.335,35.722,1864
2005-01-24,35.626,36.014,35.626,36.014,1588
2005-01-25,36.305,36.305,35.82,36.11,47280
2005-01-26,36.305,36.499,36.305,36.499,3538
2005-01-27,36.499,38.149,36.499,38.149,31927
2005-01-28,38.245,39.215,37.954,38.924,42048
2005-01-31,39.215,39.497,39.022,39.215,10762
2005-02-01,39.022,39.022,37.664,38.731,17108
2005-02-02,38.537,39.119,37.954,38.342,44790
2005-02-03,38.537,38.731,38.44,38.44,43513
2005-02-04,38.342,40.275,38.342,40.177,25675
2005-02-07,40.759,41.439,39.594,39.691,97396
2005-02-08,39.691,39.79,39.691,39.691,116711
2005-02-09,39.497,39.594,39.401,39.594,9964
2005-02-10,39.401,39.401,38.924,39.401,2533
2005-02-11,39.401,39.401,38.924,38.924,4994
2005-02-14,38.829,38.924,38.052,38.537,5251
2005-02-15,37.857,38.731,37.761,38.731,24958
2005-02-16,39.119,39.304,38.633,38.633,177670
2005-02-17,38.537,39.022,38.44,38.537,2102
2005-02-18,38.537,38.537,38.245,38.342,4162
2005-02-21,38.633,38.633,37.954,37.954,1913
2005-02-22,37.954,38.052,37.276,37.276,4634
2005-02-23,37.179,37.276,37.179,37.276,5190
2005-02-24,37.761,37.761,36.692,37.664,4359
2005-02-25,37.664,37.664,36.888,37.276,876
2005-02-28,37.371,37.371,36.791,37.276,9136
2005-03-01,37.276,37.857,37.276,37.857,62136
2005-03-02,37.761,38.245,37.276,38.149,1117
2005-03-03,38.245,38.537,37.761,38.245,21002
2005-03-04,38.245,38.245,37.954,38.245,51165
2005-03-07,38.342,38.537,37.761,38.245,22133
2005-03-08,38.245,38.245,38.149,38.245,20910
2005-03-09,38.245,38.245,38.245,38.245,16087
2005-03-10,38.149,38.245,36.692,38.245,18332
2005-03-14,37.371,37.371,37.08,37.08,547
2005-03-15,37.08,37.08,36.791,36.791,993
2005-03-16,36.305,36.401,35.82,35.82,5023
2005-03-17,35.626,35.626,33.889,34.374,22440
2005-03-18,34.081,35.335,33.403,33.695,12800
2005-03-21,33.889,33.889,33.403,33.403,6917
2005-03-22,33.403,33.889,32.142,32.336,6935
2005-03-23,32.529,33.597,32.142,33.597,915
2005-03-24,33.695,34.277,33.695,33.695,1848
2005-03-29,33.403,33.403,32.821,33.403,3526
2005-03-30,33.015,33.015,32.917,32.917,1005
2005-03-31,32.917,33.695,32.917,33.695,1285
2005-04-01,33.597,34.081,33.499,33.985,417
2005-04-04,34.277,34.277,33.695,33.695,228
2005-04-05,33.695,34.18,33.695,34.18,173
2005-04-06,34.374,34.761,34.277,34.761,707
2005-04-07,34.761,34.859,34.666,34.859,264
2005-04-11,34.859,34.859,33.889,33.889,111
2005-04-12,33.889,34.761,33.889,33.889,175
2005-04-13,34.567,34.859,34.277,34.859,303
2005-04-14,34.277,34.277,33.985,33.985,667
