Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,7.6577,7.7002,7.615,7.7002,8116
2005-01-04,7.7002,7.7002,7.6577,7.6577,4828
2005-01-05,7.615,7.615,7.3758,7.4185,3566
2005-01-06,7.4185,7.4614,7.4185,7.4185,11963
2005-01-07,7.4185,7.5807,7.4185,7.4185,4220
2005-01-10,7.4185,7.4185,7.3758,7.3758,943
2005-01-11,7.3758,7.3758,7.2564,7.2564,120782
2005-01-12,7.2137,7.299,7.2137,7.299,4459
2005-01-13,7.171,7.3758,7.171,7.3758,7949
2005-01-14,7.2564,7.4185,7.2564,7.4185,5757
2005-01-17,7.2564,7.4185,7.2564,7.4185,9170
2005-01-18,7.3758,7.4614,7.2564,7.4614,22101
2005-01-19,7.4185,7.4614,7.4185,7.4614,7783
2005-01-20,7.2564,7.4955,7.2564,7.4955,2067
2005-01-21,7.299,7.299,7.171,7.171,868
2005-01-24,7.2564,7.2564,7.171,7.2564,2174
2005-01-25,7.2137,7.2137,7.2137,7.2137,1262
2005-01-26,7.3332,7.4614,7.2137,7.3332,2801
2005-01-27,7.2137,7.3332,7.2137,7.3332,6041
2005-01-28,7.2137,7.4955,7.2137,7.4185,14396
2005-01-31,7.4185,7.4185,7.2564,7.4185,14834
2005-02-01,7.2564,7.5807,7.2564,7.5807,11407
2005-02-02,7.4955,7.5807,7.4955,7.5807,59629
2005-02-03,7.3758,7.5807,7.3758,7.5807,6992
2005-02-04,7.5807,7.5807,7.3758,7.5807,4080
2005-02-07,7.3758,7.6577,7.3758,7.6577,17605
2005-02-08,7.6577,7.6577,7.4614,7.6577,3456
2005-02-09,7.4614,7.6577,7.4614,7.6577,7853
2005-02-10,7.4614,7.6577,7.4614,7.6577,61958
2005-02-11,7.6577,7.7429,7.6577,7.7429,21210
2005-02-14,7.7002,7.7002,7.5382,7.6577,2096
2005-02-15,7.615,7.615,7.5382,7.615,6901
2005-02-16,7.4614,7.7002,7.4614,7.7002,5643
2005-02-17,7.6577,7.7771,7.6577,7.7771,55237
2005-02-18,7.7002,7.7771,7.6577,7.7771,269788
2005-02-21,7.7771,7.7771,7.4614,7.6577,306509
2005-02-22,7.7429,7.9821,7.6577,7.8966,220975
2005-02-23,7.8626,8.3833,7.8626,8.3833,245782
2005-02-24,8.4687,8.4687,8.221,8.3833,34311
2005-02-25,8.2637,8.8698,8.2637,8.8698,229361
2005-02-28,8.8271,8.8271,8.4687,8.7076,299203
2005-03-01,8.7502,9.0321,8.588,8.8698,138169
