Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,26.47,26.47,26.47,26.47,2647475
2005-01-04,27.095,27.095,27.095,27.095,3420621
2005-01-05,27.708,27.708,27.708,27.708,4230936
2005-01-06,27.191,27.191,27.191,27.191,2597932
2005-01-07,27.935,27.935,27.935,27.935,2501846
2005-01-10,28.1,28.1,28.1,28.1,3088917
2005-01-11,27.987,27.987,27.987,27.987,1951342
2005-01-12,27.458,27.458,27.458,27.458,3575961
2005-01-13,26.555,26.555,26.555,26.555,9091003
2005-01-14,27.095,27.095,27.095,27.095,5454003
2005-01-17,27.168,27.168,27.168,27.168,4438272
2005-01-18,27.152,27.152,27.152,27.152,5112592
2005-01-19,26.952,26.952,26.952,26.952,2492550
2005-01-20,26.827,26.827,26.827,26.827,3200793
2005-01-21,26.51,26.51,26.51,26.51,2586223
2005-01-24,26.493,26.493,26.493,26.493,1003464
2005-01-25,27.225,27.225,27.225,27.225,5826679
2005-01-26,27.095,27.095,27.095,27.095,5500457
2005-01-27,26.952,26.952,26.952,26.952,1943504
2005-01-28,27.066,27.066,27.066,27.066,1686490
2005-01-31,26.755,26.755,26.755,26.755,1631996
2005-02-01,26.982,26.982,26.982,26.982,3343853
2005-02-02,26.952,26.952,26.952,26.952,1592836
2005-02-03,26.55,26.55,26.55,26.55,1659590
2005-02-04,26.918,26.918,26.918,26.918,2697065
2005-02-07,27.423,27.423,27.423,27.423,3684925
2005-02-08,27.65,27.65,27.65,27.65,2358298
2005-02-09,28.264,28.264,28.264,28.264,2736167
2005-02-10,28.576,28.576,28.576,28.576,3512532
2005-02-11,29.515,29.515,29.515,29.515,5314072
2005-02-14,29.31,29.31,29.31,29.31,3131598
2005-02-15,29.14,29.14,29.14,29.14,3181849
2005-02-16,28.998,28.998,28.998,28.998,2903136
2005-02-17,29.196,29.196,29.196,29.196,3984240
2005-02-18,29.945,29.945,29.945,29.945,5096762
2005-02-21,30.712,30.712,30.712,30.712,4110756
2005-02-22,31.581,31.581,31.581,31.581,5836808
2005-02-23,31.66,31.66,31.66,31.66,3355603
2005-02-24,30.98,30.98,30.98,30.98,4648738
2005-02-25,31.201,31.201,31.201,31.201,5655897
2005-02-28,31.995,31.995,31.995,31.995,4282132
2005-03-01,32.002,32.002,32.002,32.002,2030495
2005-03-02,32.024,32.024,32.024,32.024,2604755
2005-03-03,31.171,31.171,31.171,31.171,5425015
2005-03-04,32.161,32.161,32.161,32.161,5027709
2005-03-07,33.206,33.206,33.206,33.206,5131629
2005-03-08,33.069,33.069,33.069,33.069,3493428
2005-03-09,33.695,33.695,33.695,33.695,3459551
2005-03-10,35.425,35.425,35.425,35.425,4831225
2005-03-11,35.113,35.113,35.113,35.113,4041341
2005-03-14,33.597,33.597,33.597,33.597,10174267
2005-03-15,33.245,33.245,33.245,33.245,14601236
2005-03-16,31.008,31.008,31.008,31.008,15210618
2005-03-17,30.565,30.565,30.565,30.565,14706421
2005-03-18,30.236,30.236,30.236,30.236,10728095
2005-03-21,29.48,29.48,29.48,29.48,13976848
2005-03-22,31.417,31.417,31.417,31.417,8931007
2005-03-23,31.207,31.207,31.207,31.207,7478001
2005-03-24,32.388,32.388,32.388,32.388,4674829
2005-03-25,32.609,32.609,32.609,32.609,3462572
2005-03-29,32.064,32.064,32.064,32.064,4296805
2005-03-30,30.791,30.791,30.791,30.791,6574571
2005-03-31,31.66,31.66,31.66,31.66,7908331
2005-04-01,31.303,31.303,31.303,31.303,4490699
2005-04-04,30.667,30.667,30.667,30.667,5064453
2005-04-05,31.735,31.735,31.735,31.735,5134668
2005-04-06,31.746,31.746,31.746,31.746,3510839
2005-04-07,31.649,31.649,31.649,31.649,2236907
2005-04-08,31.78,31.78,31.78,31.78,1999283
2005-04-11,31.769,31.769,31.769,31.769,2527369
2005-04-12,32.195,32.195,32.195,32.195,3989826
2005-04-13,33.007,33.007,33.007,33.007,6733246
2005-04-14,33.705,33.705,33.705,33.705,5712940
2005-04-15,33.649,33.649,33.649,33.649,4704167
2005-04-18,32.933,32.933,32.933,32.933,4205825
2005-04-19,33.337,33.337,33.337,33.337,4568236
2005-04-20,32.694,32.694,32.694,32.694,3872389
2005-04-21,32.666,32.666,32.666,32.666,2158174
2005-04-22,33.21,33.21,33.21,33.21,1673613
2005-04-25,33.444,33.444,33.444,33.444,1620095
2005-04-26,33.337,33.337,33.337,33.337,2431711
2005-04-27,32.195,32.195,32.195,32.195,4408375
2005-04-28,31.382,31.382,31.382,31.382,6122228
2005-04-29,32.309,32.309,32.309,32.309,6729569
2005-05-02,32.637,32.637,32.637,32.637,3946859
2005-05-03,32.296,32.296,32.296,32.296,3661654
2005-05-04,31.735,31.735,31.735,31.735,4300044
2005-05-05,32.098,32.098,32.098,32.098,4173957
2005-05-06,32.257,32.257,32.257,32.257,2624608
2005-05-09,32.819,32.819,32.819,32.819,2627711
2005-05-10,32.694,32.694,32.694,32.694,5030095
2005-05-11,32.199,32.199,32.199,32.199,4164043
2005-05-12,31.547,31.547,31.547,31.547,2870295
2005-05-13,30.758,30.758,30.758,30.758,5645110
2005-05-16,30.088,30.088,30.088,30.088,13688515
2005-05-17,29.889,29.889,29.889,29.889,5510728
2005-05-18,31.632,31.632,31.632,31.632,7632739
2005-05-19,32.166,32.166,32.166,32.166,5453768
2005-05-20,32.524,32.524,32.524,32.524,8025300
2005-05-23,32.808,32.808,32.808,32.808,5586887
2005-05-24,32.337,32.337,32.337,32.337,2684605
2005-05-25,31.797,31.797,31.797,31.797,5312162
2005-05-26,32.086,32.086,32.086,32.086,3033642
2005-05-27,31.921,31.921,31.921,31.921,1513113
2005-05-30,31.382,31.382,31.382,31.382,2401627
2005-05-31,31.95,31.95,31.95,31.95,4005045
2005-06-01,32.604,32.604,32.604,32.604,4332043
2005-06-02,33.058,33.058,33.058,33.058,6043649
2005-06-03,33.11,33.11,33.11,33.11,6616842
2005-06-06,32.642,32.642,32.642,32.642,7317397
2005-06-07,32.814,32.814,32.814,32.814,2817215
2005-06-08,32.814,32.814,32.814,32.814,3125993
2005-06-09,33.2,33.2,33.2,33.2,3265912
2005-06-10,33.115,33.115,33.115,33.115,4068725
2005-06-13,34.586,34.586,34.586,34.586,5427759
2005-06-14,34.523,34.523,34.523,34.523,4842805
2005-06-15,34.653,34.653,34.653,34.653,4865053
2005-06-16,36.516,36.516,36.516,36.516,8211014
2005-06-17,36.788,36.788,36.788,36.788,7866919
2005-06-20,37.527,37.527,37.527,37.527,7589452
2005-06-21,36.324,36.324,36.324,36.324,8687203
2005-06-22,36.948,36.948,36.948,36.948,5556443
2005-06-23,36.147,36.147,36.147,36.147,3365779
2005-06-24,36.237,36.237,36.237,36.237,4330567
2005-06-27,35.722,35.722,35.722,35.722,4498561
2005-06-28,36.272,36.272,36.272,36.272,2936438
2005-06-29,36.124,36.124,36.124,36.124,1686527
2005-06-30,35.961,35.961,35.961,35.961,2317620
2005-07-01,36.13,36.13,36.13,36.13,2772091
2005-07-04,36.107,36.107,36.107,36.107,3590600
2005-07-07,37.022,37.022,37.022,37.022,9729054
2005-07-08,37.386,37.386,37.386,37.386,5568501
2005-07-11,37.892,37.892,37.892,37.892,2316586
2005-07-12,39.412,39.412,39.412,39.412,5756139
2005-07-13,39.913,39.913,39.913,39.913,5505338
2005-07-14,39.458,39.458,39.458,39.458,4684560
2005-07-15,39.329,39.329,39.329,39.329,3696761
2005-07-18,39.141,39.141,39.141,39.141,1720572
2005-07-19,39.578,39.578,39.578,39.578,1692482
2005-07-20,40.269,40.269,40.269,40.269,4888828
2005-07-21,39.895,39.895,39.895,39.895,4059718
2005-07-22,40.083,40.083,40.083,40.083,1913067
2005-07-25,40.277,40.277,40.277,40.277,1629029
2005-07-26,40.503,40.503,40.503,40.503,1916822
2005-07-27,41.388,41.388,41.388,41.388,2107872
2005-07-28,40.311,40.311,40.311,40.311,3123079
2005-07-29,40.243,40.243,40.243,40.243,3260594
2005-08-01,40.043,40.043,40.043,40.043,4198958
2005-08-02,40.259,40.259,40.259,40.259,2146766
2005-08-03,40.36,40.36,40.36,40.36,2377870
2005-08-04,40.713,40.713,40.713,40.713,3056265
2005-08-05,40.719,40.719,40.719,40.719,1120716
2005-08-08,41.52,41.52,41.52,41.52,2257642
2005-08-09,41.553,41.553,41.553,41.553,2196156
2005-08-10,42.309,42.309,42.309,42.309,4476186
2005-08-11,42.775,42.775,42.775,42.775,3315264
2005-08-12,42.768,42.768,42.768,42.768,2513390
2005-08-15,43.093,43.093,43.093,43.093,2138801
2005-08-16,43.297,43.297,43.297,43.297,1630841
2005-08-17,42.685,42.685,42.685,42.685,1242524
2005-08-18,42.547,42.547,42.547,42.547,1492884
2005-08-19,42.599,42.599,42.599,42.599,1283249
2005-08-22,43.154,43.154,43.154,43.154,903441
2005-08-23,43.519,43.519,43.519,43.519,1886505
2005-08-24,43.86,43.86,43.86,43.86,2270744
2005-08-25,45.302,45.302,45.302,45.302,3540002
2005-08-26,45.585,45.585,45.585,45.585,2931883
2005-08-29,45.638,45.638,45.638,45.638,1752874
2005-08-30,47.13,47.13,47.13,47.13,4874426
2005-08-31,49.214,49.214,49.214,49.214,4786560
2005-09-01,51.196,51.196,51.196,51.196,13770694
2005-09-02,52.133,52.133,52.133,52.133,13174220
