Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-10,18.804,19.056,17.783,17.85,2200218
2005-02-11,18.042,18.042,17.723,17.975,231380
2005-02-14,17.908,18.226,17.85,18.101,167582
2005-02-15,18.168,18.226,18.101,18.168,57868
2005-02-16,18.168,18.419,18.101,18.36,274010
2005-02-17,18.36,18.36,18.101,18.293,127291
2005-02-18,18.168,18.293,17.908,18.293,107620
2005-02-21,17.975,18.419,17.783,18.293,193778
2005-02-22,18.226,18.546,18.042,18.486,145058
2005-02-23,18.293,18.93,18.293,18.93,197022
2005-02-24,18.989,19.818,18.989,19.751,547250
2005-02-25,20.01,20.196,19.692,19.885,387702
2005-02-28,20.07,20.196,19.692,19.692,153420
2005-03-01,19.374,19.751,19.248,19.692,72927
2005-03-02,19.692,19.751,19.567,19.692,307911
2005-03-03,19.625,19.885,19.625,19.692,46841
2005-03-04,19.692,19.692,19.182,19.374,32889
2005-03-07,19.248,19.433,18.804,19.182,58396
2005-03-08,19.056,19.182,18.804,19.182,80591
2005-03-09,19.182,19.182,18.93,18.989,59329
2005-03-10,18.989,18.989,18.546,18.737,90940
2005-03-11,18.804,18.804,18.36,18.546,83659
2005-03-14,18.546,18.671,18.293,18.486,34902
2005-03-15,18.419,18.611,18.226,18.611,18088
2005-03-16,18.546,18.864,18.36,18.611,63313
2005-03-17,18.419,18.546,18.293,18.419,30295
2005-03-18,18.419,18.546,18.419,18.419,48112
2005-03-21,18.419,18.611,18.419,18.419,28042
2005-03-22,18.419,18.419,18.226,18.293,49777
2005-03-23,18.226,18.293,18.101,18.168,80851
2005-03-24,18.101,18.168,17.975,18.168,161692
2005-03-29,18.101,18.101,17.85,17.975,5139
2005-03-30,17.975,18.36,17.975,18.36,9414
2005-03-31,18.419,18.419,18.226,18.293,12823
2005-04-01,18.168,18.293,18.042,18.293,76272
2005-04-04,18.293,18.293,18.101,18.101,87851
2005-04-05,18.042,18.36,18.042,18.36,5952
2005-04-06,18.36,18.486,18.168,18.486,5241
2005-04-07,18.419,18.546,18.168,18.419,5784
2005-04-11,18.101,18.419,18.101,18.293,7015
2005-04-12,18.419,18.419,18.101,18.101,15351
2005-04-13,18.042,18.419,18.042,18.226,12367
2005-04-14,18.101,18.419,18.101,18.419,15523
2005-04-15,18.226,18.486,18.168,18.419,13561
2005-04-18,18.101,18.36,17.783,18.36,35297
2005-04-19,18.101,18.101,17.85,17.908,2282
2005-04-20,17.908,18.101,17.531,17.723,17706
2005-04-21,17.783,17.783,17.147,17.147,6245
2005-04-22,17.213,17.213,16.576,16.836,8464
2005-04-25,16.517,16.517,15.815,16.074,61006
2005-04-26,16.133,16.199,15.563,15.815,14466
2005-04-27,15.881,15.881,15.178,15.178,34178
2005-04-28,15.119,15.244,14.482,15.244,41556
2005-04-29,15.244,16.007,15.119,15.881,37878
2005-05-02,16.199,16.325,16.074,16.325,4266
2005-05-04,16.451,16.451,16.074,16.199,7926
2005-05-05,16.007,16.133,15.623,16.074,7695
2005-05-06,15.689,16.007,15.689,15.881,6347
2005-05-09,16.074,16.074,15.881,16.007,20259
2005-05-10,16.133,16.133,15.815,15.881,13922
2005-05-11,15.756,15.881,15.756,15.881,10947
2005-05-12,15.815,15.941,15.756,15.881,9154
2005-05-13,15.815,15.881,15.689,15.881,4888
