Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,66.56,66.652,64.801,65.725,1381
2005-01-04,66.56,66.56,65.449,65.449,3010
2005-01-05,65.449,66.097,64.801,65.449,10218
2005-01-06,65.449,65.449,64.709,64.709,2168
2005-01-07,64.43,64.801,64.339,64.801,1588
2005-01-10,64.801,64.801,63.875,63.875,2777
2005-01-11,63.691,64.801,63.504,64.43,28648
2005-01-12,63.875,65.542,63.875,64.06,13573
2005-01-13,64.339,64.801,63.783,64.06,1881
2005-01-14,63.875,64.339,63.783,64.153,1327
2005-01-17,63.875,64.615,63.875,63.875,2640
2005-01-18,63.875,64.339,63.783,63.783,7850
2005-01-19,62.949,64.247,62.949,63.597,6432
2005-01-20,62.949,64.247,62.949,63.875,4976
2005-01-21,63.875,64.339,62.949,64.339,5422
2005-01-24,64.06,64.523,64.06,64.523,2042
2005-01-25,64.615,64.709,62.949,64.339,37247
2005-01-26,64.06,64.06,62.949,63.875,6695
2005-01-27,63.783,64.339,63.135,63.875,3323
2005-01-28,64.339,64.339,63.412,64.247,91
2005-01-31,64.339,64.615,63.597,64.339,3307
2005-02-01,64.523,64.523,62.765,64.06,6295
2005-02-02,64.06,64.709,64.06,64.153,7890
2005-02-03,64.523,64.709,64.247,64.247,1603
2005-02-04,64.523,64.523,63.227,63.691,421
2005-02-07,63.875,63.875,63.227,63.597,989
2005-02-08,63.412,63.412,63.135,63.412,2258
2005-02-09,62.949,63.412,62.949,63.412,12634
2005-02-10,62.949,62.949,62.394,62.949,23370
2005-02-11,62.949,62.949,62.486,62.949,25404
2005-02-14,63.041,63.041,62.857,62.949,383
2005-02-15,62.949,62.949,61.838,61.838,19876
2005-02-16,62.117,62.486,61.375,62.024,4610
2005-02-17,62.024,62.949,62.024,62.949,26259
2005-02-18,63.412,65.171,62.58,64.615,23291
2005-02-21,64.801,64.986,62.949,64.709,3751
2005-02-22,64.06,64.709,63.968,64.709,6457
2005-02-23,64.06,64.801,63.32,63.875,2572
2005-02-24,63.227,64.247,62.673,62.673,3206
2005-02-25,62.949,63.691,62.209,62.58,4201
2005-02-28,63.412,63.412,62.301,62.949,862
2005-03-01,62.949,62.949,62.301,62.857,1003
2005-03-02,63.504,63.504,60.45,61.098,2680
2005-03-03,61.098,61.098,60.08,61.098,4149
2005-03-04,61.098,62.024,60.356,61.098,76618
2005-03-07,60.45,61.098,60.356,60.543,6565
2005-03-08,60.543,60.635,59.988,60.08,1481
2005-03-09,59.988,61.098,59.709,61.098,5551
