Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,4.0956,4.1234,4.068,4.0956,139739
2005-01-04,4.068,4.068,4.0124,4.068,106190
2005-01-05,4.0124,4.0124,3.9847,3.9847,93608
2005-01-06,4.0402,4.0402,3.9014,4.0124,118977
2005-01-07,4.0124,4.0124,3.929,3.9847,72399
2005-01-10,4.0124,4.0124,3.929,3.9847,205395
2005-01-11,4.0124,4.0124,3.929,3.9847,36251
2005-01-12,3.957,3.9847,3.929,3.9847,68848
2005-01-13,3.9847,3.9847,3.929,3.9847,62146
2005-01-14,3.9847,4.0124,3.9014,3.929,46447
2005-01-17,3.929,3.929,3.7902,3.9014,114997
2005-01-18,3.8459,3.8459,3.7138,3.7138,132531
2005-01-19,3.6861,3.818,3.6583,3.7347,216022
2005-01-20,3.7347,3.7625,3.5751,3.7138,470443
2005-01-21,3.7347,3.7347,3.6583,3.7138,185397
2005-01-24,3.7138,3.7138,3.6583,3.7138,84273
2005-01-25,3.6861,3.6861,3.6307,3.6861,76387
2005-01-26,3.6861,3.8459,3.6861,3.7625,149162
2005-01-27,3.818,3.818,3.7347,3.818,85629
2005-01-28,3.818,3.818,3.7138,3.7625,117258
2005-01-31,3.7625,3.7625,3.6583,3.7347,127981
2005-02-01,3.7347,3.7625,3.7138,3.7347,188196
2005-02-02,3.7625,3.7625,3.6583,3.6861,126315
2005-02-03,3.6583,3.7347,3.6583,3.7138,161654
2005-02-04,3.7138,3.7347,3.6583,3.7138,123350
2005-02-07,3.7347,3.7625,3.6029,3.6583,144880
2005-02-08,3.7347,3.7347,3.6861,3.7138,391185
2005-02-09,3.7347,3.929,3.7138,3.8459,489860
2005-02-10,3.929,3.957,3.8459,3.8459,184659
2005-02-11,3.8459,3.8736,3.818,3.8459,823401
2005-02-14,3.8736,4.068,3.8736,3.957,297931
2005-02-15,3.957,3.9847,3.929,3.957,200521
2005-02-16,3.9847,3.9847,3.9014,3.929,82099
2005-02-17,3.9014,3.957,3.818,3.8736,144565
2005-02-18,3.929,3.929,3.8459,3.9014,90009
2005-02-21,3.9014,3.957,3.8736,3.8736,79562
2005-02-22,3.8736,3.9014,3.8459,3.8736,66181
2005-02-23,3.9014,3.9014,3.818,3.8736,223633
2005-02-24,3.8459,3.8736,3.818,3.818,74054
2005-02-25,3.8459,3.8459,3.7902,3.8459,134276
2005-02-28,3.818,3.8459,3.7902,3.8459,120367
2005-03-01,3.8459,3.8459,3.7347,3.7902,61349
2005-03-02,3.818,3.818,3.7347,3.7347,18292
2005-03-03,3.7902,3.7902,3.7138,3.7625,270808
2005-03-04,3.7902,3.818,3.7138,3.818,120870
2005-03-07,3.818,3.8459,3.7625,3.7902,56757
2005-03-08,3.7347,3.7902,3.7138,3.7138,80662
2005-03-09,3.7138,3.7347,3.7138,3.7347,137608
2005-03-10,3.7138,3.7625,3.7138,3.7347,77581
2005-03-11,3.7138,3.7347,3.6583,3.7138,198986
2005-03-14,3.6861,3.6861,3.5473,3.5751,58929
2005-03-15,3.6029,3.6029,3.4918,3.6029,456146
2005-03-16,3.5751,3.5751,3.4918,3.5751,31413
2005-03-17,3.5473,3.5473,3.4085,3.464,93591
2005-03-18,3.5195,3.5473,3.353,3.4363,102375
2005-03-21,3.4363,3.464,3.3808,3.4085,81939
2005-03-22,3.464,3.5195,3.4363,3.4363,84352
2005-03-23,3.4363,3.4918,3.4363,3.4918,22878
2005-03-24,3.4918,3.5473,3.4363,3.4918,57687
2005-03-29,3.5195,3.5751,3.5195,3.5473,4357
2005-03-30,3.5751,3.5751,3.5195,3.5473,59238
2005-03-31,3.5473,3.5473,3.464,3.5195,31108
2005-04-01,3.5195,3.5195,3.464,3.4918,26820
2005-04-04,3.4918,3.4918,3.4085,3.4085,53298
2005-04-05,3.4363,3.4918,3.4085,3.4918,20239
2005-04-06,3.5473,3.6307,3.4918,3.5195,195739
2005-04-07,3.5751,3.5751,3.464,3.4918,148277
2005-04-11,3.4918,3.4918,3.4085,3.4918,19614
2005-04-12,3.4363,3.464,3.4085,3.464,26092
2005-04-13,3.4085,3.4085,3.2974,3.3251,182163
2005-04-14,3.353,3.353,3.1863,3.3251,540217
2005-04-15,3.2698,3.3251,3.2698,3.3251,77421
2005-04-18,3.242,3.242,3.1031,3.1586,130848
2005-04-19,3.1031,3.1308,2.9989,3.1031,229981
2005-04-20,3.1863,3.242,3.0753,3.1031,47777
