Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.71,0.74,0.7,0.74,27452
2005-01-05,0.7,0.72,0.69,0.72,19808
2005-01-06,0.69,0.7,0.68,0.7,22671
2005-01-07,0.7,0.74,0.69,0.74,5090
2005-01-10,0.72,0.72,0.71,0.71,10428
2005-01-11,0.68,0.71,0.68,0.71,5047
2005-01-12,0.68,0.7,0.68,0.68,36168
2005-01-13,0.68,0.69,0.68,0.68,24969
2005-01-14,0.69,0.7,0.68,0.68,14645
2005-01-17,0.68,0.68,0.62,0.64,102105
2005-01-18,0.66,0.66,0.64,0.64,16891
2005-01-19,0.64,0.66,0.63,0.66,17703
2005-01-20,0.67,0.67,0.66,0.67,15467
2005-01-21,0.66,0.66,0.62,0.63,21575
2005-01-24,0.62,0.63,0.6,0.6,34169
2005-01-25,0.64,0.65,0.61,0.64,4206
2005-01-26,0.66,0.66,0.63,0.64,57901
2005-01-27,0.64,0.67,0.64,0.65,31332
2005-01-28,0.65,0.66,0.63,0.66,23776
2005-01-31,0.67,0.67,0.63,0.66,13275
2005-02-01,0.65,0.66,0.63,0.66,19109
2005-02-02,0.66,0.68,0.63,0.68,37821
2005-02-03,0.66,0.75,0.65,0.72,268510
2005-02-04,0.72,0.72,0.7,0.7,80024
2005-02-07,0.7,0.7,0.67,0.7,82828
2005-02-08,0.7,0.7,0.67,0.68,58388
2005-02-09,0.67,0.68,0.66,0.66,23705
2005-02-10,0.66,0.68,0.64,0.66,17004
2005-02-11,0.68,0.68,0.67,0.67,8794
2005-02-14,0.65,0.68,0.65,0.66,65185
2005-02-15,0.65,0.66,0.64,0.66,29981
2005-02-16,0.66,0.67,0.66,0.67,45970
2005-02-17,0.65,0.66,0.63,0.66,17580
2005-02-18,0.66,0.66,0.65,0.65,1865
2005-02-21,0.66,0.66,0.66,0.66,7071
2005-02-22,0.66,0.66,0.64,0.64,13222
2005-02-23,0.64,0.68,0.64,0.67,164116
2005-02-24,0.67,0.68,0.66,0.66,10676
2005-02-25,0.66,0.66,0.64,0.64,86664
2005-02-28,0.66,0.66,0.63,0.63,35098
2005-03-01,0.66,0.66,0.65,0.66,141
2005-03-02,0.65,0.65,0.63,0.63,10359
2005-03-03,0.61,0.62,0.61,0.62,11101
2005-03-04,0.62,0.63,0.62,0.63,4596
2005-03-07,0.63,0.63,0.63,0.63,18605
2005-03-08,0.62,0.62,0.61,0.61,36680
2005-03-09,0.61,0.61,0.61,0.61,2669
2005-03-10,0.62,0.62,0.61,0.61,30378
2005-03-11,0.6,0.61,0.6,0.61,4419
2005-03-14,0.59,0.6,0.59,0.6,3535
2005-03-15,0.61,0.63,0.61,0.62,9015
2005-03-16,0.62,0.62,0.62,0.62,52
2005-03-17,0.59,0.59,0.59,0.59,5683
2005-03-18,0.57,0.58,0.56,0.58,31386
2005-03-21,0.58,0.58,0.55,0.58,106
2005-03-22,0.57,0.57,0.53,0.57,7513
2005-03-23,0.56,0.59,0.56,0.59,1547
2005-03-24,0.59,0.59,0.55,0.58,11959
2005-03-29,0.58,0.58,0.54,0.57,11321
2005-03-30,0.57,0.57,0.55,0.57,8652
2005-03-31,0.57,0.57,0.57,0.57,5647
2005-04-01,0.57,0.61,0.57,0.59,54339
2005-04-04,0.62,0.62,0.59,0.59,19444
2005-04-05,0.6,0.62,0.6,0.61,4587
2005-04-06,0.59,0.61,0.59,0.61,4516
2005-04-07,0.58,0.61,0.58,0.61,451
2005-04-12,0.59,0.61,0.57,0.61,7494
2005-04-13,0.6,0.61,0.57,0.57,13726
2005-04-14,0.57,0.58,0.55,0.58,7804
2005-04-15,0.56,0.58,0.56,0.58,177
2005-04-18,0.55,0.57,0.54,0.57,6788
2005-04-21,0.54,0.56,0.54,0.56,3535
2005-04-25,0.53,0.58,0.53,0.58,6115
2005-04-26,0.57,0.58,0.56,0.58,460
2005-04-27,0.55,0.59,0.55,0.58,37935
2005-04-28,0.57,0.57,0.57,0.57,16
2005-04-29,0.53,0.57,0.53,0.57,1422
2005-05-02,0.54,0.58,0.54,0.57,16926
2005-05-04,0.55,0.57,0.54,0.57,6063
2005-05-05,0.55,0.55,0.53,0.55,32773
2005-05-06,0.53,0.55,0.51,0.51,39703
2005-05-09,0.53,0.53,0.51,0.51,3101
