Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,52.719,53.252,52.457,52.719,14697
2005-01-04,52.826,52.826,52.457,52.719,4917
2005-01-05,52.508,52.508,51.392,52.187,41755
2005-01-06,52.508,52.613,51.925,52.187,2997
2005-01-07,52.187,52.187,51.443,51.55,5954
2005-01-10,51.18,51.23,48.94,48.94,32261
2005-01-11,48.783,48.783,47.025,47.181,69668
2005-01-12,47.239,47.607,47.025,47.286,6538
2005-01-13,47.344,47.82,47.075,47.132,27186
2005-01-14,47.132,47.394,46.862,46.862,5008
2005-01-17,46.862,46.862,46.649,46.813,4559
2005-01-18,46.706,46.706,44.84,44.84,12259
2005-01-19,44.785,45.797,44.572,45.797,198090
2005-01-20,46.068,46.33,45.43,45.797,5189
2005-01-21,45.797,46.173,45.642,46.173,1788
2005-01-24,46.173,46.6,45.797,46.6,6284
2005-01-25,46.6,47.82,46.6,47.499,8217
2005-01-26,47.925,48.996,47.663,48.996,18544
2005-01-27,49.472,49.846,48.465,48.465,30653
2005-01-28,48.465,48.465,47.45,47.925,10092
2005-01-31,47.45,48.408,47.45,48.408,2799
2005-02-01,48.408,49.528,47.607,49.047,8902
2005-02-02,49.528,49.528,48.996,49.047,10863
2005-02-03,49.259,49.259,48.996,48.996,2837
2005-02-04,48.996,49.259,48.677,48.783,7294
2005-02-07,48.891,48.996,48.465,48.57,4300
2005-02-08,48.783,48.783,47.982,48.465,5752
2005-02-09,48.465,48.465,47.394,47.394,6548
2005-02-10,47.286,47.925,46.918,47.876,1795
2005-02-11,47.876,47.876,47.394,47.394,3044
2005-02-14,48.195,48.195,47.025,47.025,2738
2005-02-15,46.918,46.918,45.266,45.266,19237
2005-02-16,44.997,45.16,43.139,43.351,64650
2005-02-17,43.139,43.351,42.657,42.657,19612
2005-02-18,42.712,43.614,42.712,43.401,15214
2005-02-21,44.094,44.253,43.933,44.039,26581
2005-02-22,44.52,44.678,44.094,44.52,22438
2005-02-23,44.465,44.465,43.508,43.508,10059
2005-02-24,43.508,43.508,42.764,42.764,27610
2005-02-25,43.139,43.139,42.337,42.606,26349
2005-02-28,42.606,42.606,41.535,42.067,8989
2005-03-01,41.535,41.806,40.578,41.004,31428
2005-03-02,40.741,40.954,39.407,39.891,16134
2005-03-03,39.679,40.741,39.195,40.047,14108
2005-03-04,40.954,41.004,39.996,40.153,10297
2005-03-07,40.685,40.741,39.572,39.679,7888
2005-03-08,39.679,39.94,39.407,39.407,4468
2005-03-09,39.407,40.365,39.407,40.365,7553
2005-03-10,40.741,40.898,40.365,40.578,12406
2005-03-11,40.472,40.472,39.352,39.94,16435
2005-03-14,40.317,40.317,39.407,39.727,9483
2005-03-15,39.784,39.94,39.459,39.459,10947
2005-03-16,39.407,40.365,39.407,39.679,35142
2005-03-17,39.679,40.472,39.679,40.472,21066
2005-03-18,40.578,41.429,40.578,41.004,19067
2005-03-21,41.273,41.487,40.954,41.06,11755
2005-03-22,41.217,42.925,41.217,42.443,38177
2005-03-23,42.5,43.139,41.855,42.282,39394
2005-03-24,42.606,42.606,42.23,42.337,30240
2005-03-29,42.606,42.606,42.23,42.23,10598
2005-03-30,42.23,42.55,42.067,42.067,3521
2005-03-31,42.067,42.388,41.806,41.806,5147
2005-04-01,41.535,41.535,40.103,40.634,16102
2005-04-04,40.634,40.634,39.996,40.365,5199
2005-04-05,40.472,40.954,40.21,40.685,13172
2005-04-06,40.848,41.487,40.848,41.273,5881
2005-04-07,41.487,41.535,41.11,41.535,15155
2005-04-11,42.5,42.925,42.067,42.5,31890
2005-04-12,43.139,43.671,42.976,43.351,44042
2005-04-13,43.457,43.671,43.245,43.245,15028
2005-04-14,43.245,43.245,42.925,42.925,4105
2005-04-15,42.976,43.032,42.388,42.606,6900
2005-04-18,42.337,42.337,41.699,41.699,5296
2005-04-19,41.961,42.019,41.593,41.961,3023
2005-04-20,42.388,42.5,41.912,42.067,55081
2005-04-21,42.125,42.606,42.125,42.5,18683
2005-04-22,42.55,43.671,42.55,43.188,31684
2005-04-25,43.188,44.094,43.188,44.094,25319
2005-04-26,44.202,44.465,43.933,44.094,23749
2005-04-27,44.202,44.202,43.401,43.614,5753
2005-04-28,43.401,44.202,43.401,44.039,27182
2005-04-29,43.989,44.202,42.764,44.202,26796
2005-05-02,44.202,44.202,43.614,43.933,837
2005-05-04,43.989,43.989,43.671,43.777,24041
2005-05-05,43.188,43.671,43.188,43.671,7277
2005-05-06,43.671,43.826,43.188,43.826,3076
2005-05-09,43.883,44.039,43.563,43.883,3639
2005-05-10,43.989,43.989,43.401,43.777,4734
2005-05-11,43.139,43.671,42.818,43.671,5961
2005-05-12,43.139,44.039,43.139,43.188,6757
2005-05-13,43.139,43.563,43.139,43.457,874
2005-05-16,43.777,43.777,43.139,43.401,4767
2005-05-17,43.401,43.563,43.188,43.563,80704
2005-05-18,43.508,43.671,43.401,43.671,17237
2005-05-19,43.671,44.146,43.401,44.094,15283
2005-05-20,44.094,44.094,43.826,44.094,3424
2005-05-23,44.094,44.572,43.933,44.465,7466
2005-05-24,44.253,45.691,44.253,45.323,18202
2005-05-25,45.373,45.854,45.373,45.43,13674
2005-05-27,45.748,45.748,45.323,45.323,4776
2005-05-30,45.266,45.536,45.266,45.373,84278
2005-05-31,45.373,45.43,44.202,44.202,55722
2005-06-01,44.094,44.734,44.039,44.308,34616
2005-06-02,44.52,45.266,44.308,44.997,22563
2005-06-03,45.103,45.797,45.103,45.536,14777
2005-06-06,45.642,46.173,45.536,46.173,6783
2005-06-07,46.33,46.385,46.01,46.33,6157
2005-06-08,46.437,46.437,46.223,46.223,12539
2005-06-09,46.33,46.493,46.223,46.437,4068
2005-06-10,46.493,46.6,45.797,46.068,13754
2005-06-13,46.068,46.068,45.536,45.585,7743
2005-06-14,45.585,45.748,45.323,45.585,5230
2005-06-15,45.479,45.479,44.627,45.266,18623
2005-06-16,45.266,45.43,44.947,45.053,15638
2005-06-17,45.16,45.479,44.785,45.266,11812
2005-06-20,45.266,45.797,45.053,45.103,7842
2005-06-21,45.266,45.266,44.997,45.211,25826
2005-06-22,45.266,45.43,45.053,45.266,5548
2005-06-23,45.266,45.373,45.16,45.211,6567
2005-06-24,45.266,45.536,44.997,45.536,9522
2005-06-27,45.748,45.797,45.211,45.585,3651
2005-06-28,45.642,45.642,45.211,45.211,10519
2005-06-29,45.323,45.642,44.734,45.642,8237
2005-06-30,45.691,46.33,45.536,46.33,8966
2005-07-01,46.068,46.33,45.797,46.28,7072
2005-07-04,46.28,46.437,46.28,46.437,8909
2005-07-05,46.493,46.542,46.173,46.33,8060
2005-07-06,46.33,46.33,45.797,46.173,5496
2005-07-07,46.28,46.28,45.053,45.373,24398
2005-07-08,46.068,46.117,45.797,46.01,10265
2005-07-11,46.223,46.223,45.323,45.323,16140
2005-07-12,45.854,45.854,45.536,45.797,13190
2005-07-13,45.797,46.223,45.479,46.223,24016
2005-07-14,46.8,47.094,46.111,46.744,19192
