Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-06-21,12.084,12.135,11.73,11.935,272748
2005-06-22,11.834,11.885,11.73,11.834,23729
2005-06-23,11.834,11.885,11.782,11.834,28422
2005-06-24,11.429,11.782,11.429,11.63,10845
2005-06-27,11.578,11.834,11.578,11.834,13487
2005-06-28,11.73,11.885,11.73,11.885,32989
2005-06-29,11.73,11.885,11.73,11.782,4979
2005-06-30,11.885,11.935,11.885,11.885,7130
2005-07-01,11.68,11.885,11.68,11.885,1221
2005-07-04,11.73,11.935,11.73,11.935,9582
2005-07-05,11.885,11.987,11.885,11.987,12905
2005-07-06,11.987,11.987,11.885,11.885,3381
2005-07-07,11.885,11.885,10.975,11.885,8946
2005-07-08,11.63,11.885,11.63,11.885,556
2005-07-11,11.63,11.935,11.63,11.935,7683
2005-07-12,11.63,11.885,11.63,11.885,4070
2005-07-13,11.987,11.987,11.987,11.987,13148
2005-07-14,11.935,11.987,11.885,11.885,12946
2005-07-15,11.885,11.885,11.885,11.885,108
2005-07-18,11.63,11.63,11.63,11.63,1449
2005-07-19,11.63,11.73,11.63,11.73,99095
2005-07-20,11.834,11.834,11.63,11.834,100853
2005-07-21,11.63,11.885,11.63,11.63,4059
2005-07-25,11.531,11.578,11.531,11.578,1945
2005-07-26,11.73,11.73,11.68,11.73,51019
2005-07-27,11.885,11.885,11.531,11.531,2069
2005-07-28,11.531,11.63,11.531,11.63,2130
2005-07-29,11.63,11.63,11.63,11.63,395
2005-08-01,11.531,11.531,11.531,11.531,169
2005-08-02,11.531,11.68,10.821,11.68,4543
2005-08-03,11.68,11.68,11.68,11.68,1939
2005-08-04,11.73,11.834,11.73,11.834,2105
2005-08-05,11.429,12.084,11.429,12.084,23953
2005-08-08,12.084,12.538,12.084,12.135,34424
2005-08-09,12.185,12.492,12.084,12.492,13446
2005-08-10,12.339,12.39,12.236,12.236,5166
2005-08-11,12.135,12.135,12.135,12.135,146
2005-08-12,12.032,12.135,12.032,12.135,937
2005-08-16,12.135,12.339,11.935,12.339,7985
2005-08-17,12.339,12.897,12.339,12.641,21758
2005-08-18,12.641,12.693,12.442,12.59,3116
2005-08-19,12.59,12.693,12.339,12.39,4684
2005-08-22,12.538,12.538,12.288,12.538,11658
2005-08-23,11.935,12.39,11.935,12.39,8698
2005-08-24,12.135,12.39,12.135,12.39,3757
2005-08-25,12.236,12.492,12.236,12.492,5637
2005-08-26,12.288,12.492,12.288,12.492,7587
2005-08-29,12.236,12.39,12.236,12.236,4311
2005-08-30,12.288,12.794,12.288,12.742,49655
2005-08-31,12.742,12.998,12.641,12.897,25910
2005-09-01,13.095,13.095,12.641,12.641,8022
2005-09-02,12.844,12.844,12.641,12.641,2678
2005-09-05,12.59,12.641,12.288,12.641,2379
2005-09-06,12.39,12.641,12.39,12.641,2029
2005-09-07,12.442,12.442,12.39,12.39,1026
2005-09-08,12.39,12.59,12.39,12.59,75
2005-09-09,12.39,12.693,12.39,12.693,4139
2005-09-12,12.442,12.59,12.442,12.59,485
