Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,55.394,58.431,55.207,55.207,176
2005-01-04,56.819,56.819,53.597,53.597,326
2005-01-05,53.597,53.597,52.544,53.597,185
2005-01-06,52.729,52.729,52.358,52.358,198
2005-01-07,53.101,55.207,53.101,55.207,447
2005-01-10,53.597,55.207,53.288,53.288,246
2005-01-11,53.288,53.288,50.562,50.562,681
2005-01-12,52.544,54.155,52.172,52.172,349
2005-01-13,52.729,53.41,52.729,53.41,326
2005-01-14,51.305,53.101,51.305,53.101,109
2005-01-18,51.118,52.729,50.932,52.729,150
2005-01-19,53.101,53.101,53.101,53.101,28
2005-01-20,51.8,51.8,51.8,51.8,136
2005-01-21,51.118,51.118,51.118,51.118,14
2005-01-24,50.065,50.746,50.065,50.746,489
2005-01-25,51.49,51.8,51.49,51.8,273
2005-01-27,51.8,52.915,51.8,52.915,628
2005-01-28,52.729,52.729,52.729,52.729,823
2005-01-31,53.101,53.597,53.101,53.597,573
2005-02-01,54.526,54.526,53.969,53.969,417
2005-02-02,55.022,55.022,53.597,53.783,285
2005-02-03,52.729,52.729,52.729,52.729,185
2005-02-04,51.8,51.986,50.065,51.986,1884
2005-02-08,50.932,50.932,50.932,50.932,1524
2005-02-09,50.19,51.305,50.19,51.305,196
2005-02-10,51.676,51.8,50.746,50.746,86
2005-02-11,51.8,53.101,51.8,51.986,411
2005-02-14,51.118,51.8,51.118,51.8,130
2005-02-15,52.544,53.101,52.544,52.729,615
2005-02-16,52.729,52.729,52.729,52.729,243
2005-02-17,52.729,53.101,52.729,52.729,1292
2005-02-18,53.101,53.969,52.729,53.969,1373
2005-02-21,49.693,51.986,49.693,51.8,1589
2005-02-22,50.932,53.288,50.932,52.729,3185
2005-02-23,52.729,52.729,51.8,51.8,340
2005-02-25,51.305,52.172,51.118,52.172,290
2005-02-28,52.172,52.172,52.172,52.172,89
2005-03-02,52.544,52.544,52.544,52.544,56
2005-03-03,52.544,52.544,52.358,52.358,31
2005-03-07,51.305,51.8,51.305,51.8,56
2005-03-08,51.8,51.8,51.49,51.49,171
2005-03-10,50.932,50.932,50.746,50.746,46
2005-03-14,50.932,50.932,50.746,50.932,2831
2005-03-15,50.375,50.375,50.375,50.375,97
2005-03-16,50.375,50.375,50.065,50.065,1478
2005-03-18,49.136,49.136,49.136,49.136,391
2005-03-24,48.269,48.269,47.71,47.71,370
2005-03-31,48.269,48.269,48.269,48.269,13
2005-04-01,46.844,48.764,46.844,48.764,8
2005-04-04,48.949,48.949,48.949,48.949,28
2005-04-05,48.949,48.949,47.339,48.949,77
2005-04-06,49.136,49.136,49.136,49.136,5
2005-04-07,49.136,49.136,49.136,49.136,5
2005-04-11,48.64,49.322,47.029,47.029,249
2005-04-12,49.322,49.322,49.322,49.322,32
2005-04-13,49.136,49.136,49.136,49.136,4
2005-04-14,49.136,49.136,49.136,49.136,5
2005-04-15,46.657,49.136,46.657,49.136,37
2005-04-18,46.657,46.844,46.471,46.844,274
2005-04-19,46.471,46.471,44.86,45.604,1196
2005-04-20,45.604,47.029,45.418,47.029,104
2005-04-21,46.844,48.082,46.286,48.082,37670
2005-04-22,48.64,48.64,48.64,48.64,112
2005-04-25,46.657,48.082,46.657,46.657,91
2005-04-26,48.764,48.764,47.525,47.525,335
2005-04-27,46.657,46.657,46.471,46.471,146
2005-04-28,46.657,46.844,46.657,46.844,39
2005-04-29,46.844,48.64,46.471,48.64,201
2005-05-04,46.471,48.269,46.471,48.269,1153
2005-05-05,48.269,48.269,46.471,47.897,577
2005-05-06,46.471,47.525,46.471,47.525,31
2005-05-09,46.1,46.844,45.418,46.471,934
2005-05-10,46.471,46.471,46.471,46.471,1699
2005-05-11,46.471,46.471,45.047,46.471,4078
2005-05-12,46.657,46.657,46.657,46.657,562
2005-05-13,46.657,46.657,45.604,45.604,738
2005-05-16,45.047,46.657,45.047,46.657,27
2005-05-17,46.286,46.286,46.286,46.286,173
2005-05-18,45.233,45.233,45.233,45.233,176
2005-05-19,44.117,44.675,44.117,44.675,23
2005-05-20,45.604,46.471,45.604,46.471,487
2005-05-23,47.525,49.136,47.339,47.339,740
2005-05-24,46.471,47.525,46.471,47.525,183
2005-05-25,47.339,47.525,47.339,47.525,692
2005-05-27,48.64,48.64,48.64,48.64,218
2005-05-30,48.949,50.065,48.949,50.065,587
2005-05-31,50.065,50.375,50.065,50.375,279
2005-06-01,50.065,50.065,50.065,50.065,602
2005-06-02,50.562,50.562,50.065,50.19,136
2005-06-03,50.375,50.932,50.375,50.375,401
2005-06-06,50.065,50.375,50.065,50.375,539
2005-06-07,51.118,51.118,51.118,51.118,35
2005-06-08,50.065,51.8,50.065,51.8,776
2005-06-09,51.676,51.676,50.375,50.375,117
2005-06-13,51.305,51.305,51.305,51.305,56
2005-06-14,50.932,50.932,50.932,50.932,28
2005-06-15,50.932,50.932,50.932,50.932,14
2005-06-16,50.065,50.065,50.065,50.065,341
2005-06-17,50.065,50.932,50.065,50.932,25
2005-06-20,51.305,51.305,50.19,51.118,249
2005-06-21,50.375,50.932,50.19,50.932,445
2005-06-22,51.305,51.305,51.305,51.305,3
2005-06-23,49.693,50.375,49.693,50.375,41
2005-06-24,50.932,50.932,50.932,50.932,5
2005-06-27,51.118,51.118,50.065,50.065,201
2005-06-28,50.065,50.065,50.065,50.065,196
2005-06-29,50.932,52.172,50.932,52.172,1692
2005-06-30,52.172,52.172,52.172,52.172,26
2005-07-04,52.172,52.172,52.172,52.172,39
2005-07-05,51.8,51.8,51.8,51.8,15
2005-07-06,51.8,51.8,51.8,51.8,5
2005-07-07,51.8,51.8,51.8,51.8,5
2005-07-08,51.8,51.8,51.676,51.676,3139
2005-07-11,50.562,51.49,50.562,51.49,12
2005-07-12,51.49,51.49,51.49,51.49,112
2005-07-13,51.8,51.8,51.8,51.8,5
2005-07-14,51.8,52.172,51.8,52.172,407
2005-07-15,52.172,52.172,52.172,52.172,724
2005-07-18,52.172,52.172,52.172,52.172,25
2005-07-19,51.118,51.118,51.118,51.118,66
2005-07-21,50.375,51.118,50.375,51.118,461
2005-07-22,51.49,51.49,51.49,51.49,12
2005-07-25,51.49,51.49,51.49,51.49,5
2005-07-26,51.305,51.305,51.305,51.305,5
2005-07-27,50.375,51.676,50.375,51.676,345
2005-07-28,51.118,51.8,50.746,51.8,173
2005-07-29,51.8,51.8,51.8,51.8,5
2005-08-01,51.8,51.8,50.746,51.8,162
2005-08-02,51.8,51.8,51.8,51.8,96
2005-08-03,51.8,51.8,51.8,51.8,5
2005-08-04,51.8,51.8,49.693,49.693,173
2005-08-05,50.746,50.746,50.746,50.746,187
2005-08-08,51.676,51.676,51.676,51.676,5
2005-08-09,51.676,51.676,51.676,51.676,5
2005-08-10,50.562,51.49,50.562,51.49,12
2005-08-11,51.305,51.305,50.375,51.305,20
2005-08-12,51.676,51.676,50.562,50.562,62
2005-08-16,50.746,51.118,50.746,51.118,56
2005-08-17,51.305,51.305,51.118,51.118,78
2005-08-18,51.305,51.305,51.305,51.305,1
2005-08-19,50.932,50.932,50.932,50.932
2005-08-22,50.932,50.932,50.932,50.932,4
2005-08-23,49.88,50.932,49.88,50.932,2963
2005-08-24,50.932,50.932,50.932,50.932,112
2005-08-25,50.932,50.932,50.932,50.932,3
2005-08-26,50.932,50.932,50.746,50.746,2
2005-08-29,50.932,50.932,50.932,50.932,3
2005-08-30,50.932,50.932,49.88,50.932,216
2005-08-31,50.932,50.932,50.932,50.932,2802
2005-09-01,50.932,50.932,50.932,50.932,868
2005-09-02,50.932,50.932,50.932,50.932,178
2005-09-05,50.932,50.932,50.932,50.932,417
2005-09-06,50.932,50.932,50.932,50.932,253
2005-09-07,50.932,50.932,50.932,50.932,357
2005-09-08,50.932,51.305,50.932,50.932,117
2005-09-09,51.305,51.305,51.305,51.305,72
2005-09-12,50.932,50.932,50.932,50.932,88
2005-09-13,51.305,51.305,50.932,50.932,6
2005-09-14,50.932,50.932,50.932,50.932,3718
2005-09-15,51.118,51.118,51.118,51.118,34
2005-09-16,51.118,51.118,51.118,51.118,35
2005-09-19,50.932,51.118,50.932,51.118,28622
2005-09-20,51.118,51.118,50.932,50.932,66
2005-09-21,50.932,50.932,47.897,47.897,6120
2005-09-22,47.029,48.082,47.029,47.153,215
2005-09-23,47.339,47.339,47.339,47.339,5
2005-09-26,46.471,46.471,43.807,44.303,1786
2005-09-27,44.675,44.675,42.877,42.877,891
2005-09-28,42.506,42.506,42.196,42.382,1071
2005-09-29,42.011,42.011,42.011,42.011,1449
2005-09-30,42.506,45.233,42.382,43.249,837
2005-10-03,42.691,42.691,42.691,42.691
2005-10-04,42.691,43.249,40.214,43.249,674
2005-10-05,42.877,42.877,40.214,40.214,1408
2005-10-06,40.214,40.214,39.469,39.469,661
2005-10-07,40.399,42.011,38.416,42.011,1088
2005-10-10,42.506,42.506,41.08,42.011,157
2005-10-11,42.877,43.249,41.452,43.249,587
2005-10-12,43.807,43.807,42.877,43.807,371
2005-10-13,43.807,43.807,42.877,43.621,260
2005-10-14,42.877,42.877,42.877,42.877,189
2005-10-17,42.877,43.621,41.638,42.011,437
2005-10-18,43.064,43.621,41.638,41.638,239
2005-10-19,41.452,41.452,41.452,41.452,90
2005-10-20,42.382,43.807,42.382,42.877,123
2005-10-21,42.877,42.877,42.877,42.877,6
2005-10-24,42.196,42.877,40.399,41.824,517
2005-10-25,40.957,41.824,39.346,40.957,390
2005-10-26,40.028,42.011,39.346,42.011,1161
2005-10-27,42.196,42.196,42.011,42.011,140
2005-10-28,42.011,42.877,41.824,42.691,539
2005-10-31,43.249,43.249,43.249,43.249,56
2005-11-02,42.011,42.506,40.957,42.196,1269
2005-11-03,42.011,42.011,40.771,41.08,960
2005-11-04,41.267,41.267,39.655,39.655,342
2005-11-07,39.655,41.452,39.655,40.214,226
2005-11-08,41.08,41.08,39.469,40.771,178
2005-11-09,40.957,40.957,40.957,40.957,45
2005-11-10,40.957,40.957,40.957,40.957,50
2005-11-14,40.214,40.214,38.416,39.346,1109
2005-11-15,40.028,40.028,38.045,39.346,578
2005-11-16,39.655,39.655,38.602,39.16,157
2005-11-17,39.346,39.346,39.346,39.346,2
2005-11-18,39.346,39.346,38.602,39.346,119
2005-11-21,39.841,39.841,38.045,38.788,795
2005-11-22,39.346,39.346,38.602,38.974,454
2005-11-23,39.655,39.655,38.974,39.346,1637
2005-11-24,40.028,40.028,39.841,40.028,657
2005-11-25,40.214,41.824,40.214,41.824,515
2005-11-28,41.638,41.638,40.957,41.452,274
2005-11-29,41.452,41.452,40.585,41.267,364
2005-11-30,41.08,41.638,41.08,41.638,469
2005-12-01,42.011,42.011,41.08,41.452,176
2005-12-02,42.011,42.011,41.638,41.638,34
2005-12-05,41.452,41.452,40.585,41.452,193
2005-12-06,41.452,42.877,40.585,42.877,1823
2005-12-07,42.877,43.435,42.877,43.435,192
2005-12-08,42.877,44.117,42.877,44.117,445
2005-12-09,43.435,44.489,42.691,44.489,886
