Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-10-24,75.801,81.317,67.086,70.574,1100721
2006-10-25,74.355,74.816,71.154,73.771,198383
2006-10-26,75.164,75.164,70.283,70.283,97252
2006-10-27,70.283,71.154,69.703,70.574,88267
2006-10-30,71.678,71.678,67.377,68.83,44568
2006-10-31,69.586,69.76,68.539,69.703,28872
2006-11-02,69.934,69.934,69.121,69.411,83557
2006-11-03,69.703,69.703,69.004,69.295,13657
2006-11-06,69.703,71.446,68.539,70.283,20665
2006-11-07,72.027,74.121,70.283,74.005,65262
2006-11-08,74.355,74.355,72.027,74.355,17703
2006-11-09,73.771,74.296,73.187,73.187,13126
2006-11-10,73.187,73.187,72.201,72.728,8594
2006-11-13,73.187,73.187,72.027,72.027,26479
2006-11-14,71.735,72.318,70.283,71.446,33168
2006-11-15,72.549,72.549,69.76,70.399,17454
2006-11-16,70.805,72.549,70.805,71.446,59995
2006-11-17,71.561,72.318,70.981,71.446,47873
2006-11-20,71.446,72.027,70.981,71.735,26198
2006-11-21,72.027,73.012,71.735,72.608,35515
2006-11-22,72.608,73.712,72.608,73.478,80842
2006-11-23,73.712,73.712,73.187,73.478,23059
2006-11-24,73.478,74.932,73.187,74.581,56152
2006-11-27,74.932,78.415,74.932,78.063,121559
2006-11-28,76.492,78.239,75.684,78.239,44817
2006-11-29,78.125,80.16,77.254,80.039,53228
2006-11-30,80.16,80.967,79.171,79.751,32690
2006-12-01,80.16,81.263,79.231,81.022,49466
2006-12-04,81.317,85.383,80.63,84.339,48652
2006-12-05,85.443,85.674,84.803,85.383,51221
2006-12-06,85.494,85.964,83.356,83.932,157964
2006-12-07,83.932,85.674,83.932,85.383,20922
2006-12-08,85.903,85.903,84.275,84.931,27957
2006-12-11,85.281,85.281,83.643,83.812,20415
2006-12-12,84.227,84.227,82.772,83.292,107367
2006-12-13,82.949,83.643,82.197,82.197,22894
2006-12-14,82.3,83.532,79.171,81.317,35092
2006-12-15,80.16,82.477,77.826,82.477,57274
2006-12-18,82.477,83.589,80.743,83.532,41239
2006-12-19,83.356,83.589,81.901,83.356,91771
2006-12-20,82.477,84.227,80.79,81.901,57905
2006-12-21,80.455,81.317,80.455,80.79,20354
2006-12-22,80.79,81.317,80.214,80.743,51089
2006-12-27,80.743,82.421,80.743,81.901,19289
2006-12-28,81.901,82.477,80.743,82.477,32661
2006-12-29,80.334,87.131,80.334,87.131,78900
2007-01-02,85.964,86.492,85.383,85.383,22733
2007-01-03,85.844,85.844,82.772,83.763,35824
2007-01-04,83.643,83.643,81.613,82.197,28512
2007-01-05,82.772,86.833,82.477,85.324,107016
2007-01-08,85.383,86.722,83.068,86.722,24521
2007-01-09,86.253,89.45,85.383,88.871,83049
2007-01-10,89.45,90.038,88.052,89.45,16875
2007-01-11,88.581,91.492,88.581,91.31,29950
2007-01-12,92.358,92.649,90.379,90.846,52172
2007-01-15,91.766,95.847,90.601,95.146,24252
2007-01-16,95.847,95.847,92.586,95.146,27515
2007-01-17,94.69,94.69,92.941,93.515,25813
2007-01-18,94.043,95.546,92.941,95.328,58241
2007-01-19,95.255,95.255,93.406,94.098,22171
2007-01-22,93.059,94.098,92.768,93.515,63372
2007-01-23,93.806,93.806,90.601,92.941,47105
2007-01-24,92.996,94.098,92.358,94.098,20763
2007-01-25,94.736,96.011,94.736,95.847,68806
2007-01-26,95.328,95.72,92.941,94.69,31946
2007-01-29,95.209,98.562,94.098,97.469,46667
2007-01-30,97.706,98.052,95.847,97.587,25040
2007-01-31,96.412,98.562,96.412,97.587,25541
2007-02-01,98.562,99.85,98.161,98.799,33183
2007-02-02,99.61,102.81,99.327,101.94,17770
2007-02-05,101.65,103.52,101.07,102.52,15504
2007-02-06,102.52,102.81,101.07,101.94,6890
2007-02-07,100.26,101.65,99.391,100.49,16891
2007-02-08,99.9,99.9,92.13,95.546,45902
2007-02-09,94.736,97.286,94.736,95.601,24464
2007-02-12,95.847,97.068,94.69,97.068,83827
2007-02-13,97.76,99.045,97.068,98.161,60747
2007-02-14,99.9,99.9,98.161,98.862,10553
2007-02-15,99.55,99.55,94.098,95.847,17673
2007-02-16,95.847,98.744,95.847,95.847,21546
2007-02-19,97.997,97.997,94.909,97.469,71908
2007-02-20,97.469,97.523,95.847,95.847,22517
2007-02-21,96.995,97.286,95.546,95.847,44298
2007-02-22,95.956,96.995,95.546,96.713,87284
2007-02-23,96.995,96.995,95.209,95.546,124074
2007-02-26,97.35,97.35,95.601,95.601,14105
2007-02-27,95.601,95.847,89.8,90.038,36239
2007-02-28,88.112,92.996,88.112,92.996,91773
2007-03-01,94.098,95.209,91.492,92.941,40331
2007-03-02,92.649,95.255,91.201,94.399,39979
2007-03-05,91.492,94.043,89.22,93.059,45397
2007-03-06,91.83,94.399,91.83,94.28,16791
2007-03-07,94.399,95.847,94.098,95.847,38973
2007-03-08,95.847,98.443,95.847,97.633,32585
2007-03-09,98.626,101.35,97.879,98.744,69557
2007-03-12,98.744,101.07,98.744,99.96,23696
2007-03-13,100.19,100.19,99.9,100.02,90829
2007-03-14,98.161,100.19,96.412,100.19,27405
2007-03-15,99.9,101.01,99.9,100.19,34010
2007-03-16,100.49,101.59,99.9,99.9,95887
2007-03-19,101.3,101.3,98.744,99.9,6990
2007-03-20,99.9,100.49,98.161,99.85,11691
2007-03-21,98.744,99.96,98.744,99.9,65873
2007-03-22,100.19,101.01,99.9,100.19,15250
2007-03-23,101.01,101.01,98.744,100.14,13152
2007-03-26,98.799,99.9,98.799,99.61,9200
2007-03-27,98.917,99.9,98.917,99.9,22424
2007-03-28,99.85,100.19,98.744,100.19,15860
2007-03-29,98.862,100.19,98.862,99.96,12597
2007-03-30,99.9,102.23,99.61,99.61,72318
2007-04-02,101.07,101.53,98.799,101.53,9791
2007-04-03,101.65,101.65,99.327,101.01,5078
2007-04-04,101.07,102.23,101.07,101.65,25971
2007-04-05,101.65,101.94,101.07,101.65,6668
2007-04-10,101.65,102.81,101.65,102.52,37034
2007-04-11,102.88,108.34,102.88,107.98,48746
2007-04-12,108.34,108.37,102.81,104.85,17409
2007-04-13,105.14,107.46,105.14,106.3,39785
