Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,19.758,20.578,19.531,19.985,49391
2005-01-04,19.985,20.032,19.531,19.621,19226
2005-01-05,19.758,19.758,19.212,19.531,17590
2005-01-06,18.892,19.257,18.757,18.892,15557
2005-01-07,18.892,19.348,18.892,19.12,7406
2005-01-10,18.939,18.939,18.027,18.164,15462
2005-01-11,17.983,17.983,17.117,17.117,32919
2005-01-12,16.981,17.39,16.981,17.208,12385
2005-01-13,17.39,17.436,16.981,17.072,9518
2005-01-14,17.117,17.163,16.571,16.844,19792
2005-01-17,16.616,16.799,15.98,16.161,22492
2005-01-18,16.025,16.161,15.296,15.569,22998
2005-01-19,15.524,16.799,15.341,16.707,35035
2005-01-20,16.571,16.571,16.07,16.208,7535
2005-01-21,16.343,16.48,15.797,16.161,7705
2005-01-24,16.208,16.208,15.707,16.161,5903
2005-01-25,16.208,17.39,16.161,17.345,36244
2005-01-26,17.846,18.21,17.027,17.481,43202
2005-01-27,17.527,17.618,16.981,17.39,22156
2005-01-28,17.481,17.481,17.163,17.436,11278
2005-01-31,17.436,17.846,17.208,17.618,14677
2005-02-01,17.618,17.618,17.39,17.573,4478
2005-02-02,17.618,17.618,17.208,17.436,7389
2005-02-03,17.3,17.436,17.117,17.163,4872
2005-02-04,17.163,17.39,17.163,17.253,6490
2005-02-07,17.253,17.253,16.799,17.163,15669
2005-02-08,16.981,17.163,16.844,17.163,4475
2005-02-09,17.253,17.253,16.935,17.117,2537
2005-02-10,16.981,17.117,16.935,17.117,2674
2005-02-11,17.072,17.072,16.889,16.981,3546
2005-02-14,16.935,16.935,16.571,16.571,9354
2005-02-15,16.571,16.571,16.025,16.343,11779
2005-02-16,16.799,17.117,16.343,16.571,14328
2005-02-17,16.388,16.935,16.208,16.799,6848
2005-02-18,16.799,16.799,16.571,16.799,2250
2005-02-21,16.571,16.799,16.388,16.799,1525
2005-02-22,16.616,16.616,16.343,16.571,2505
2005-02-23,16.571,16.571,16.388,16.388,5062
2005-02-24,16.388,17.39,16.343,17.3,19805
2005-02-25,17.436,17.618,16.981,17.3,19129
2005-02-28,17.072,17.072,16.799,16.844,2571
2005-03-01,16.799,17.072,16.754,16.844,1559
2005-03-02,16.754,16.799,16.48,16.616,3354
2005-03-03,16.48,16.799,16.343,16.48,3832
2005-03-04,16.754,16.754,16.388,16.388,1407
2005-03-07,16.343,16.571,16.343,16.526,5863
2005-03-08,16.526,16.526,16.161,16.298,1627
2005-03-09,16.48,16.48,16.208,16.253,1526
2005-03-10,16.253,16.388,16.253,16.253,682
2005-03-11,16.253,16.298,15.797,16.161,1592
2005-03-14,16.161,16.161,15.98,16.161,613
2005-03-15,15.934,15.934,15.707,15.797,4455
2005-03-16,15.707,15.707,15.114,15.478,10970
2005-03-17,15.296,15.341,15.068,15.114,4910
2005-03-18,15.205,15.388,15.068,15.296,5426
2005-03-21,15.296,15.433,15.023,15.296,9221
2005-03-22,15.16,15.296,15.068,15.205,7299
2005-03-23,15.205,15.251,14.841,15.023,4191
2005-03-24,14.841,14.933,14.659,14.75,2289
2005-03-29,14.887,14.887,14.75,14.795,1067
2005-03-30,14.887,15.569,14.887,15.569,4628
2005-03-31,15.341,15.569,15.296,15.296,2226
2005-04-01,15.614,15.614,15.068,15.114,1352
2005-04-04,15.068,15.068,14.795,14.795,1579
2005-04-05,14.887,14.887,14.75,14.795,976
2005-04-06,14.75,14.978,14.75,14.978,1403
2005-04-07,14.887,15.023,14.887,15.023,775
2005-04-11,15.023,15.023,14.887,14.887,942
2005-04-12,14.841,14.887,14.841,14.887,423
2005-04-13,14.887,14.887,14.295,14.432,2015
2005-04-14,14.432,14.432,13.749,14.34,3170
2005-04-15,14.249,14.249,13.885,14.249,3862
2005-04-18,14.249,14.249,13.612,13.703,4953
2005-04-19,13.612,13.657,13.521,13.657,1541
2005-04-20,13.657,13.749,13.293,13.612,3009
2005-04-21,13.703,13.749,13.339,13.566,1200
2005-04-22,13.749,14.249,13.749,13.976,2218
2005-04-25,14.022,14.249,13.839,14.249,1739
2005-04-26,14.249,14.34,13.839,13.839,3496
2005-04-27,13.839,13.839,13.839,13.839,152
2005-04-28,13.612,13.612,13.566,13.612,1877
2005-04-29,13.839,13.839,13.475,13.839,422
2005-05-02,13.839,13.839,13.839,13.839,238
2005-05-04,13.931,14.113,13.749,13.749,847
2005-05-05,14.022,14.022,14.022,14.022,589
2005-05-06,13.612,13.612,12.702,13.384,7109
2005-05-09,13.293,13.293,12.747,12.747,6363
2005-05-10,12.792,12.929,12.702,12.883,2286
2005-05-11,12.702,12.929,12.656,12.929,1978
2005-05-12,12.929,12.929,12.656,12.656,214
2005-05-13,12.474,12.747,12.246,12.747,2404
2005-05-16,12.747,12.792,12.428,12.702,1719
2005-05-17,12.428,12.428,11.79,11.836,5479
2005-05-18,12.064,12.109,12.018,12.064,1770
2005-05-19,11.928,12.201,11.928,12.201,1932
2005-05-20,11.973,12.201,11.973,12.201,268
2005-05-23,12.246,12.246,11.79,12.155,6527
2005-05-24,12.246,12.61,12.246,12.382,8126
2005-05-25,12.337,12.382,12.246,12.382,4585
2005-05-27,12.382,12.382,12.246,12.337,1856
2005-05-30,12.337,12.474,12.246,12.474,3937
2005-05-31,12.474,13.43,12.382,13.384,22765
2005-06-01,13.293,13.293,12.975,13.111,5260
2005-06-02,12.975,13.293,12.883,12.883,3060
2005-06-03,12.792,12.929,12.656,12.883,3231
2005-06-06,12.747,13.065,12.747,13.065,3042
2005-06-07,13.202,13.612,13.156,13.384,9416
2005-06-08,13.566,13.612,13.065,13.248,8041
2005-06-09,13.475,13.475,12.975,13.156,2537
2005-06-10,13.156,13.156,12.883,13.156,2004
2005-06-13,12.975,13.156,12.929,13.111,2392
2005-06-14,12.975,13.065,12.838,13.065,3679
2005-06-15,12.975,12.975,12.747,12.747,3345
2005-06-16,12.702,12.883,12.656,12.747,1833
2005-06-17,12.702,12.702,12.474,12.61,5980
2005-06-20,12.382,12.61,12.201,12.291,7116
2005-06-21,12.291,12.291,12.109,12.246,4706
2005-06-22,12.155,12.246,12.155,12.246,551
2005-06-23,12.201,12.975,12.155,12.519,19781
2005-06-24,12.519,12.519,12.291,12.337,2638
2005-06-27,12.155,12.747,12.155,12.747,4322
2005-06-28,12.564,12.564,12.519,12.519,1294
2005-06-29,12.337,12.337,12.291,12.337,2267
2005-06-30,12.337,12.337,12.246,12.337,247
2005-07-01,12.337,12.337,12.109,12.337,1873
2005-07-04,12.201,12.291,12.064,12.155,895
2005-07-05,12.201,12.337,12.064,12.109,2723
2005-07-06,12.155,12.291,12.064,12.291,1677
2005-07-07,12.155,12.337,12.109,12.337,7224
2005-07-08,12.291,12.291,12.064,12.109,14810
2005-07-11,12.155,12.519,12.109,12.201,4566
2005-07-12,12.246,12.246,12.109,12.109,1238
2005-07-13,12.109,13.065,12.109,12.656,53811
2005-07-14,12.838,13.156,12.291,12.382,35795
2005-07-15,12.382,12.519,12.201,12.337,7203
2005-07-18,12.201,12.519,12.109,12.337,5012
2005-07-19,12.474,12.519,12.064,12.201,10636
2005-07-20,12.064,12.246,11.79,12.246,9417
2005-07-21,12.246,12.246,11.883,11.883,1764
2005-07-22,11.883,12.018,11.563,11.655,7644
2005-07-25,11.472,11.472,11.063,11.154,14828
2005-07-26,11.154,11.7,11.109,11.472,10916
2005-07-27,11.472,11.7,11.154,11.336,9800
2005-07-28,11.563,11.563,11.289,11.517,5252
2005-07-29,11.563,11.883,10.971,11.154,18394
2005-08-01,11.427,11.836,11.289,11.609,16136
2005-08-02,11.655,11.655,11.472,11.609,4134
2005-08-03,11.563,11.609,11.382,11.517,3007
2005-08-04,11.382,11.7,11.382,11.609,2231
2005-08-05,11.244,11.382,11.016,11.289,8492
2005-08-08,11.109,11.154,11.063,11.154,2461
2005-08-09,11.109,11.289,11.109,11.199,3863
2005-08-10,11.244,11.244,11.063,11.063,1373
2005-08-11,10.926,10.926,10.289,10.516,9506
2005-08-12,10.516,10.516,10.197,10.516,4601
2005-08-16,10.562,10.562,9.788,9.788,15090
2005-08-17,9.1049,9.742,9.1049,9.514,18243
2005-08-18,9.3775,9.788,9.3323,9.742,10492
2005-08-19,9.788,9.788,9.606,9.742,1969
2005-08-22,9.606,9.742,9.56,9.742,1410
2005-08-23,9.697,9.742,9.56,9.56,2673
2005-08-24,9.56,10.425,9.56,9.788,9050
2005-08-25,9.788,10.289,9.788,10.107,5401
2005-08-26,10.243,10.653,10.243,10.516,11442
2005-08-29,10.607,10.607,10.334,10.38,3385
2005-08-30,10.516,10.516,10.197,10.425,9511
2005-08-31,10.47,10.653,10.425,10.425,23236
2005-09-01,10.425,10.47,10.425,10.47,1147
2005-09-02,10.425,10.47,10.425,10.47,8114
2005-09-05,10.516,10.516,10.516,10.516,94
2005-09-06,10.562,10.562,10.197,10.47,7308
2005-09-07,10.516,10.516,10.425,10.425,1981
2005-09-08,10.562,10.562,10.425,10.562,2454
2005-09-09,10.425,10.47,10.425,10.47,1295
2005-09-12,10.38,10.38,10.151,10.38,353
2005-09-13,10.151,10.151,9.788,9.833,3033
2005-09-14,9.788,9.924,9.788,9.924,799
2005-09-15,9.788,10.107,9.788,9.833,1090
2005-09-16,9.788,9.97,9.788,9.97,4907
2005-09-19,10.197,11.016,10.197,10.743,23091
2005-09-20,10.698,11.063,10.653,10.926,7646
2005-09-21,11.109,11.609,11.063,11.472,16430
2005-09-22,11.745,11.745,11.154,11.427,10913
2005-09-23,11.427,11.472,11.199,11.336,5619
2005-09-26,11.199,11.336,11.154,11.289,3237
2005-09-27,11.289,11.655,11.154,11.563,15277
2005-09-28,11.655,11.655,11.336,11.517,5640
2005-09-29,11.517,11.745,11.382,11.745,8160
2005-09-30,11.745,12.428,11.745,12.109,15031
2005-10-03,12.291,12.702,12.291,12.519,22265
2005-10-04,12.337,12.883,12.337,12.61,22285
2005-10-05,12.337,12.564,12.291,12.564,3346
2005-10-06,12.109,12.337,11.973,12.337,5012
2005-10-07,11.655,11.928,11.427,11.745,24262
2005-10-10,11.609,11.745,11.517,11.745,6939
2005-10-11,11.745,12.246,11.745,12.155,7862
2005-10-12,12.109,12.155,11.745,12.064,1415
