Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.5234,0.5247,0.5221,0.5247,107304
2005-01-04,0.5239,0.5239,0.5234,0.5234,605913
2005-01-05,0.5229,0.5229,0.5071,0.5071,584973
2005-01-06,0.49717,0.49717,0.48598,0.49061,1974576
2005-01-07,0.49061,0.49411,0.4872,0.49061,15709625
2005-01-10,0.49717,0.49717,0.49061,0.49324,197640
2005-01-11,0.49061,0.49061,0.48414,0.49061,625632
2005-01-12,0.49061,0.49061,0.48536,0.48536,10240
2005-01-13,0.48466,0.49122,0.48466,0.49009,618907
2005-01-14,0.4872,0.49411,0.4872,0.49061,923395
2005-01-17,0.49061,0.49061,0.48808,0.49061,445417
2005-01-18,0.49061,0.49061,0.47417,0.47758,995697
2005-01-19,0.47758,0.49061,0.47417,0.49061,2518124
2005-01-20,0.48414,0.48466,0.48414,0.48466,61294
2005-01-21,0.48466,0.48466,0.48466,0.48466,916
2005-01-24,0.48414,0.49411,0.47758,0.49411,597202
2005-01-25,0.49411,0.49411,0.49411,0.49411,45855
2005-01-26,0.49122,0.49122,0.49061,0.49061,1500572
2005-01-27,0.49061,0.49061,0.4872,0.49009,243499
2005-01-31,0.49061,0.509,0.49009,0.509,617685
2005-02-01,0.49717,0.4998,0.48939,0.49717,1165669
2005-02-02,0.49061,0.5004,0.49061,0.5004,83613
2005-02-03,0.5043,0.5043,0.5033,0.5033,51972
2005-02-04,0.5037,0.5037,0.5033,0.5033,3055
2005-02-07,0.5011,0.5024,0.5011,0.5024,951061
2005-02-08,0.5024,0.5037,0.5024,0.5037,152855
2005-02-09,0.5071,0.5071,0.5037,0.5037,296539
2005-02-10,0.5103,0.5169,0.5103,0.5169,318700
2005-02-11,0.5204,0.5204,0.5108,0.5108,1063868
2005-02-14,0.5108,0.5142,0.5037,0.5037,232032
2005-02-15,0.5071,0.5071,0.49717,0.5037,3917204
2005-02-16,0.5056,0.5064,0.49717,0.5037,2140270
2005-02-17,0.5037,0.5051,0.49901,0.5051,314577
2005-02-18,0.49901,0.5056,0.49901,0.5056,448476
2005-02-21,0.5037,0.5037,0.49901,0.49901,10240
2005-02-22,0.5103,0.5103,0.4998,0.5004,1730774
2005-02-23,0.5004,0.5071,0.5004,0.5004,351261
2005-02-24,0.49848,0.5004,0.49848,0.5004,6726
2005-02-25,0.5024,0.5071,0.5004,0.5033,1198534
2005-02-28,0.5071,0.5071,0.49542,0.5033,914070
2005-03-02,0.5019,0.5019,0.49254,0.5019,42036
2005-03-03,0.5037,0.5037,0.49901,0.5033,170892
2005-03-04,0.49254,0.49254,0.49192,0.49192,136194
2005-03-07,0.49455,0.49717,0.49411,0.49717,340252
2005-03-08,0.5037,0.5037,0.5037,0.5037,53500
2005-03-09,0.5037,0.5071,0.5037,0.5071,350340
2005-03-10,0.5071,0.5097,0.5037,0.5037,202380
2005-03-11,0.5043,0.5043,0.5043,0.5043,122283
2005-03-14,0.49901,0.5037,0.49665,0.49665,239216
2005-03-15,0.49717,0.49717,0.48676,0.49595,306778
2005-03-16,0.49061,0.49061,0.47163,0.49009,702213
2005-03-17,0.4781,0.4781,0.47495,0.47758,850023
2005-03-18,0.47102,0.47102,0.46192,0.46323,423714
2005-03-21,0.45143,0.46708,0.45143,0.46446,375563
2005-03-22,0.4593,0.47417,0.4593,0.47417,851857
2005-03-23,0.47364,0.4802,0.47364,0.4781,6380148
2005-03-24,0.48598,0.49542,0.48598,0.49061,4528926
2005-03-29,0.4998,0.4998,0.49061,0.49061,198862
2005-03-30,0.49192,0.5103,0.49192,0.5037,442207
2005-03-31,0.5071,0.5108,0.5037,0.5037,435636
2005-04-01,0.5043,0.5169,0.5043,0.5169,2976841
2005-04-04,0.5169,0.5234,0.5134,0.5142,283544
2005-04-05,0.5169,0.5234,0.5103,0.5234,6474611
2005-04-06,0.5234,0.5234,0.5142,0.5142,6433341
2005-04-07,0.5169,0.5229,0.5169,0.5169,23080
2005-04-11,0.5229,0.5273,0.5229,0.5234,194279
2005-04-12,0.5234,0.5435,0.5234,0.5364,7457619
2005-04-13,0.5364,0.5396,0.5333,0.5333,35615
2005-04-14,0.5299,0.5333,0.5299,0.5333,142154
2005-04-15,0.5266,0.5364,0.5103,0.5239,3924693
2005-04-18,0.5204,0.5333,0.5204,0.5204,60988
2005-04-19,0.5333,0.556,0.5325,0.556,1841746
2005-04-20,0.556,0.5757,0.556,0.5595,358139
2005-04-21,0.556,0.5595,0.556,0.5574,449697
2005-04-22,0.556,0.5652,0.556,0.5639,1181718
2005-04-25,0.5725,0.5725,0.5639,0.5639,258326
2005-04-26,0.5692,0.5789,0.5692,0.5752,1257840
2005-04-27,0.5822,0.5822,0.5757,0.5822,450920
2005-04-28,0.5789,0.5888,0.5789,0.5797,134206
2005-04-29,0.5882,0.5954,0.5882,0.5954,2242987
2005-05-02,0.6032,0.6145,0.6032,0.6145,19871
2005-05-04,0.6216,0.622,0.5954,0.5954,6662624
2005-05-05,0.5894,0.6019,0.5776,0.6019,269328
2005-05-06,0.5971,0.5971,0.5971,0.5971,61141
2005-05-09,0.5888,0.5954,0.5822,0.5827,88963
2005-05-10,0.5888,0.5888,0.5822,0.5822,51207
2005-05-11,0.5789,0.5954,0.5789,0.5789,51666
2005-05-13,0.5919,0.5919,0.5725,0.5725,103178
2005-05-16,0.5875,0.5882,0.5697,0.5697,55334
2005-05-17,0.5631,0.5783,0.5567,0.5783,1894172
2005-05-18,0.5789,0.5822,0.5705,0.5739,3987365
2005-05-19,0.5822,0.5822,0.5725,0.5776,1128219
2005-05-20,0.5888,0.6346,0.5888,0.5988,237689
2005-05-23,0.605,0.605,0.5954,0.5954,65882
2005-05-24,0.584,0.5888,0.5835,0.5888,887320
2005-05-25,0.5856,0.6014,0.5856,0.5888,1210456
2005-05-27,0.5856,0.5919,0.5822,0.5919,998445
2005-05-30,0.5888,0.5888,0.5856,0.5888,1533589
2005-05-31,0.5822,0.5822,0.5757,0.5789,6992178
2005-06-01,0.5789,0.5789,0.5789,0.5789,2348761
2005-06-02,0.5797,0.5797,0.5797,0.5797,93855
2005-06-03,0.5888,0.5919,0.5822,0.5822,63435
2005-06-06,0.5919,0.5954,0.5827,0.5954,1727257
2005-06-07,0.5856,0.5856,0.5856,0.5856,30572
