Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,8.4203,8.4203,8.2223,8.3963,699
2005-01-04,8.3345,8.3345,8.1355,8.3345,5656
2005-01-05,8.3087,8.4828,8.2223,8.4203,20579
2005-01-06,8.4203,8.5073,8.2779,8.5073,22156
2005-01-07,8.6505,9.3711,8.6505,9.2832,88418
2005-01-10,8.9994,9.0863,8.5073,8.6816,26555
2005-01-11,8.595,8.6816,8.4203,8.6505,16531
2005-01-12,8.6262,8.968,8.4828,8.9116,6900
2005-01-13,8.6505,9.1102,8.5386,9.0299,12674
2005-01-14,9.0299,9.3711,8.6262,9.1417,67881
2005-01-17,9.1102,9.1972,8.713,8.713,20298
2005-01-18,8.7371,8.7999,8.0484,8.2223,65954
2005-01-19,7.9922,8.3345,7.9922,8.2539,9071
2005-01-20,8.1666,8.2223,7.477,7.7878,40112
2005-01-21,7.8498,7.9612,7.6757,7.9051,7969
2005-01-24,8.1355,8.1905,7.9612,8.1905,10642
2005-01-25,8.1905,8.5073,8.1905,8.4828,14242
2005-01-26,8.4828,8.6262,8.4203,8.5646,8658
2005-01-27,8.5073,8.5073,8.2539,8.5073,3926
2005-01-28,8.3963,8.4519,8.3345,8.3963,2657
2005-01-31,8.5073,8.6262,8.3345,8.595,9589
2005-02-01,8.595,8.595,8.0484,8.4203,25359
2005-02-02,8.5073,8.5073,8.1045,8.1355,48274
2005-02-03,8.1355,8.2779,8.0484,8.2539,4825
2005-02-04,8.2539,8.2539,7.9922,8.1666,11482
2005-02-07,8.1045,8.1045,7.7067,8.0484,36700
2005-02-08,7.9368,7.9922,7.7878,7.7878,11606
2005-02-09,7.8498,7.8498,7.5329,7.7316,20090
2005-02-10,7.6757,7.8498,7.5018,7.6757,17562
2005-02-11,7.6757,7.7067,7.5889,7.6198,7337
2005-02-14,7.7067,7.9368,7.6198,7.8498,17834
2005-02-15,7.7067,7.8188,7.477,7.5018,24329
2005-02-16,7.5329,7.6757,7.5329,7.6446,5900
2005-02-17,7.5329,7.6446,7.5329,7.6198,5973
2005-02-18,7.5577,7.6757,7.477,7.6757,4212
2005-02-21,7.6446,7.7067,7.5329,7.7067,4345
2005-02-22,7.5889,7.7067,7.39,7.6198,33382
2005-02-23,7.6198,7.6198,7.477,7.6198,1193
