Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,2.044,2.226,2.044,2.226,902
2005-01-04,2.226,2.226,2.226,2.226,83
2005-01-05,2.114,2.156,2.114,2.156,1915
2005-01-07,2.156,2.184,1.974,2.184,10459
2005-01-10,2.156,2.184,2.156,2.184,3440
2005-01-11,2.128,2.128,2.128,2.128,297
2005-01-12,1.988,2.072,1.974,2.072,609
2005-01-13,2.072,2.086,2.072,2.086,645
2005-01-14,2.072,2.156,1.988,2.156,5172
2005-01-17,2.128,2.128,1.96,1.988,15502
2005-01-18,2.016,2.184,1.834,2.1,21301
2005-01-19,2.1,2.17,2.1,2.17,4743
2005-01-20,2.1,2.1,2.1,2.1,3576
2005-01-24,2.016,2.1,2.016,2.1,487
2005-01-26,2.044,2.044,2.044,2.044,1060
2005-01-27,2.016,2.184,1.988,2.184,21311
2005-01-28,2.156,2.156,2.128,2.128,6665
2005-01-31,2.044,2.184,2.03,2.184,17374
2005-02-01,2.128,2.212,2.1,2.212,12037
2005-02-02,2.212,2.38,2.212,2.366,24146
2005-02-03,2.366,2.828,2.366,2.828,45282
2005-02-04,2.814,2.828,2.604,2.632,20885
2005-02-07,2.758,3.08,2.758,3.08,42107
2005-02-08,3.08,3.99,3.08,3.99,103628
2005-02-09,4.046,4.606,3.57,3.57,118647
2005-02-10,3.108,3.346,3.024,3.108,75796
2005-02-11,2.968,2.996,2.66,2.912,56092
2005-02-14,2.884,2.884,2.534,2.534,5047
2005-02-15,2.646,2.646,2.632,2.632,2413
2005-02-16,2.464,2.464,2.464,2.464,1683
2005-02-17,2.296,2.296,2.282,2.282,13856
2005-02-18,2.282,2.282,2.282,2.282,6010
2005-02-21,2.296,2.45,2.296,2.45,559
2005-02-22,2.506,2.506,2.24,2.24,2001
2005-02-23,2.268,2.268,2.268,2.268,3154
2005-02-25,2.24,2.24,2.044,2.044,1729
2005-02-28,2.24,2.24,2.24,2.24,72
2005-03-01,2.24,2.24,2.24,2.24,4295
2005-03-02,2.226,2.226,2.198,2.198,3937
2005-03-04,2.24,2.24,2.24,2.24,358
2005-03-07,2.212,2.212,2.212,2.212,1074
2005-03-09,2.212,2.212,2.016,2.016,5949
2005-03-10,2.016,2.016,1.806,1.806,4428
2005-03-11,1.708,1.722,1.708,1.722,3995
2005-03-14,1.722,1.722,1.722,1.722,11529
2005-03-15,1.848,1.848,1.736,1.736,451
2005-03-16,1.736,1.736,1.722,1.722,4027
2005-03-17,1.722,1.722,1.722,1.722,1428
2005-03-22,1.694,1.694,1.694,1.694,143
2005-03-30,1.652,1.652,1.652,1.652,4295
2005-04-05,1.624,1.624,1.624,1.624,372
2005-04-07,1.54,1.54,1.54,1.54,283
2005-04-11,1.54,1.54,1.4,1.4,25274
2005-04-12,1.54,1.54,1.526,1.526,648
2005-04-13,1.54,1.54,1.302,1.302,2735
2005-04-14,1.4,1.484,1.4,1.484,2631
2005-04-18,1.554,1.554,1.554,1.554,1615
2005-04-19,1.708,1.708,1.708,1.708,1432
2005-04-22,1.68,1.68,1.68,1.68,1529
2005-04-26,1.652,1.652,1.624,1.624,1471
2005-05-02,1.848,1.848,1.848,1.848,11
2005-05-04,1.68,1.68,1.386,1.386,17396
2005-05-05,1.386,1.442,1.386,1.442,15867
2005-05-06,1.526,1.526,1.386,1.386,32006
2005-05-09,1.4,1.4,1.4,1.4,1568
2005-05-10,1.162,1.4,1.162,1.4,9106
2005-05-11,1.47,1.47,1.47,1.47,36
2005-05-13,1.344,1.344,1.344,1.344,4524
2005-05-16,1.386,1.386,1.386,1.386,18
2005-05-17,1.386,1.386,1.386,1.386,358
2005-05-20,1.302,1.302,1.302,1.302,5190
2005-05-23,1.176,1.176,1.176,1.176,3963
2005-05-24,1.358,1.358,1.358,1.358,7
2005-05-30,1.232,1.232,1.232,1.232,315
2005-06-01,1.106,1.106,1.106,1.106,190
2005-06-03,1.092,1.092,1.092,1.092,5648
2005-06-06,1.162,1.19,1.162,1.19,1901
2005-06-07,1.19,1.19,1.19,1.19,15
2005-06-08,1.176,1.176,1.176,1.176,358
2005-06-09,1.204,1.204,1.204,1.204,26931
2005-06-10,1.344,1.344,1.232,1.232,5935
2005-06-13,1.12,1.246,1.12,1.246,1149
2005-06-14,1.246,1.246,1.12,1.12,1683
2005-06-15,1.26,1.26,1.26,1.26,5999
2005-06-16,1.344,1.386,1.344,1.386,3927
2005-06-17,1.512,1.512,1.512,1.512,358
2005-06-21,1.26,1.26,1.26,1.26,2255
