Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,16.203,16.265,15.901,15.901,3396
2005-01-04,15.661,15.661,15.661,15.661,268
2005-01-05,15.604,16.203,15.604,15.78,7598
2005-01-06,15.661,16.026,15.604,15.901,10288
2005-01-07,16.146,16.505,16.082,16.082,8078
2005-01-10,15.724,15.901,15.724,15.901,2129
2005-01-11,16.026,16.385,15.724,16.082,5910
2005-01-12,16.082,16.082,16.082,16.082,51
2005-01-13,15.78,15.901,15.724,15.724,1418
2005-01-14,16.146,16.146,15.901,15.901,586
2005-01-17,15.78,15.843,15.661,15.843,2855
2005-01-18,15.843,15.843,15.541,15.604,2666
2005-01-19,15.604,15.963,15.604,15.843,5854
2005-01-20,15.484,16.203,15.484,16.082,15115
2005-01-21,15.78,15.843,15.78,15.843,686
2005-01-24,15.604,15.604,15.604,15.604,1749
2005-01-25,15.724,15.901,15.724,15.901,918
2005-01-26,15.661,15.724,15.661,15.724,1392
2005-01-27,15.901,16.146,15.724,16.146,7788
2005-01-28,16.203,16.203,15.843,16.146,649
2005-01-31,15.843,16.146,15.78,16.082,4746
2005-02-01,16.026,16.385,16.026,16.385,3245
2005-02-02,16.265,16.801,16.265,16.801,21508
2005-02-03,17.04,17.103,16.745,16.921,3491
2005-02-04,16.801,17.582,16.745,17.582,19886
2005-02-07,17.703,18.123,17.223,17.223,12721
2005-02-08,17.223,17.223,16.745,16.745,5960
2005-02-09,17.103,18.003,17.103,17.582,9929
2005-02-10,17.884,18.003,17.406,17.406,3866
2005-02-11,17.406,17.703,17.223,17.406,5892
2005-02-14,17.04,17.406,16.921,17.406,4790
2005-02-15,17.103,17.406,17.103,17.103,4004
2005-02-16,17.406,17.406,16.801,16.801,4735
2005-02-17,16.801,17.286,16.801,17.223,6185
2005-02-18,17.223,17.223,16.921,17.103,1857
2005-02-21,16.801,17.166,16.801,17.166,1270
2005-02-22,17.223,17.223,16.443,17.103,5657
2005-02-23,16.745,16.745,16.443,16.505,6571
2005-02-24,16.385,16.385,16.203,16.265,12851
2005-02-25,16.203,17.04,16.146,16.801,45390
2005-02-28,17.04,17.04,16.322,16.801,4530
2005-03-01,16.505,16.801,16.505,16.801,33943
2005-03-02,16.745,16.745,15.78,15.78,18631
2005-03-03,15.724,16.082,15.724,16.026,838
