Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.0295,1.0924,1.0295,1.0806,17275
2005-01-04,1.0806,1.0924,1.0806,1.0924,16937
2005-01-05,1.0806,1.0888,1.0568,1.0806,17758
2005-01-06,1.0531,1.0806,1.0377,1.0568,15896
2005-01-07,1.0377,1.065,1.0377,1.065,12360
2005-01-10,1.0769,1.0769,1.0723,1.0769,723
2005-01-11,1.065,1.065,1.065,1.065,635
2005-01-12,1.0806,1.0806,1.0377,1.0568,2693
2005-01-13,1.065,1.065,1.0568,1.0568,7751
2005-01-14,1.065,1.065,1.065,1.065,1303
2005-01-17,1.0769,1.0769,1.0769,1.0769,65
2005-01-18,1.0568,1.0687,1.0568,1.0687,186
2005-01-19,1.0258,1.0614,1.0258,1.0495,6909
2005-01-20,1.0614,1.1043,1.0495,1.0924,49725
2005-01-21,1.0961,1.1354,1.0806,1.0888,83245
2005-01-24,1.0998,1.0998,1.0723,1.0888,17023
2005-01-25,1.0961,1.108,1.0888,1.108,18895
2005-01-26,1.1272,1.1272,1.0961,1.108,38974
2005-01-27,1.1162,1.1162,1.0961,1.1043,4390
2005-01-28,1.1162,1.12,1.1117,1.12,30850
2005-01-31,1.1318,1.1592,1.1117,1.1272,70973
2005-02-01,1.1272,1.1473,1.0888,1.12,28935
2005-02-02,1.151,1.2368,1.151,1.2094,180416
2005-02-03,1.214,1.2916,1.214,1.2643,296526
2005-02-04,1.2761,1.2844,1.2213,1.245,67513
2005-02-07,1.2368,1.2368,1.1747,1.2022,56653
2005-02-08,1.194,1.1985,1.1866,1.1903,21994
2005-02-09,1.1866,1.1903,1.1784,1.1784,17100
2005-02-10,1.1985,1.2213,1.1665,1.214,15272
2005-02-11,1.1821,1.1903,1.1747,1.1903,11112
2005-02-14,1.1628,1.1903,1.1628,1.1903,9612
2005-02-15,1.1903,1.2213,1.1903,1.2213,37759
2005-02-16,1.2368,1.2533,1.2368,1.2368,31792
2005-02-17,1.2368,1.2368,1.2094,1.2213,23450
2005-02-18,1.1985,1.2057,1.1985,1.2057,16739
2005-02-21,1.1784,1.1784,1.1318,1.1784,75100
2005-02-22,1.1821,1.1821,1.1784,1.1784,23713
2005-02-23,1.1272,1.1747,1.1272,1.1546,16947
2005-02-24,1.1272,1.1628,1.1272,1.1628,1215
