Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,0.19921,0.20786,0.19054,0.19921,794339
2005-01-04,0.20786,0.20786,0.19921,0.19921,274482
2005-01-05,0.19921,0.19921,0.19054,0.19054,154512
2005-01-06,0.18189,0.19921,0.18189,0.19921,449834
2005-01-07,0.19921,0.19921,0.19054,0.19054,329244
2005-01-10,0.19054,0.19054,0.18189,0.19054,322766
2005-01-11,0.19921,0.19921,0.18189,0.18189,172504
2005-01-12,0.19054,0.19054,0.18189,0.19054,156135
2005-01-13,0.19054,0.20786,0.18189,0.19921,842045
2005-01-14,0.19921,0.19921,0.19921,0.19921,89381
2005-01-17,0.19921,0.19921,0.19054,0.19921,176006
2005-01-18,0.19921,0.24251,0.19921,0.23384,2127226
2005-01-19,0.23384,0.25117,0.22519,0.25117,695105
2005-01-20,0.25117,0.26849,0.23384,0.24251,1610974
2005-01-21,0.24251,0.26849,0.24251,0.25983,1281253
2005-01-24,0.26849,0.27714,0.25117,0.25983,2276780
2005-01-25,0.25983,0.26849,0.25983,0.26849,645663
2005-01-26,0.26849,0.29447,0.26849,0.28582,1047662
2005-01-27,0.29447,0.3551,0.29447,0.32912,2322116
2005-01-28,0.34645,0.38975,0.34645,0.38108,3353962
2005-01-31,0.38108,0.38108,0.28582,0.3118,9967249
2005-02-01,0.32045,0.33777,0.32045,0.32912,3347536
2005-02-02,0.3551,0.3551,0.33777,0.33777,1933472
2005-02-03,0.33777,0.33777,0.32045,0.32912,1044029
2005-02-04,0.32045,0.34645,0.30314,0.34645,2550799
2005-02-07,0.3551,0.3551,0.32912,0.33777,1140817
2005-02-08,0.33777,0.34645,0.3118,0.32045,1655149
2005-02-09,0.32045,0.32045,0.3118,0.3118,841826
2005-02-10,0.3118,0.3118,0.28582,0.28582,1597542
2005-02-11,0.27714,0.27714,0.25983,0.25983,1354292
2005-02-14,0.25983,0.30314,0.25983,0.30314,1403026
2005-02-15,0.3118,0.32045,0.30314,0.30314,1321564
2005-02-16,0.30314,0.30314,0.28582,0.29447,1025471
2005-02-17,0.30314,0.30314,0.28582,0.28582,366581
2005-02-18,0.27714,0.29447,0.27714,0.27714,546865
2005-02-21,0.26849,0.29447,0.26849,0.27714,224498
2005-02-22,0.28582,0.29447,0.27714,0.28582,568103
2005-02-23,0.28582,0.28582,0.26849,0.27714,1019006
2005-02-24,0.27714,0.27714,0.26849,0.27714,388489
