Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-05-11,60.381,76.537,59.483,74.66,1165835
2007-05-14,84.044,87.22,78.331,87.22,295709
2007-05-15,85.672,85.672,81.187,83.227,96110
2007-05-16,79.147,82.411,77.515,79.8,65301
2007-05-17,79.147,81.595,76.046,79.8,46765
2007-05-18,78.739,79.065,76.373,78.331,36687
2007-05-21,78.331,84.454,78.331,82.411,36735
2007-05-22,83.145,84.044,81.595,83.227,53785
2007-05-23,83.227,84.044,82.164,84.044,36795
2007-05-24,84.369,84.369,80.778,83.631,14726
2007-05-25,80.127,82.815,80.127,80.778,15347
2007-05-28,80.044,81.513,78.493,80.778,14709
2007-05-29,81.432,81.432,78.331,79.8,10571
2007-05-30,78.739,78.739,76.046,78.739,14995
2007-05-31,79.229,80.778,78.412,80.778,20442
2007-06-01,81.187,81.187,78.658,80.778,18618
2007-06-04,78.331,79.963,76.699,79.963,12701
2007-06-05,78.412,80.33,78.331,79.963,11817
2007-06-06,78.454,79.963,77.393,79.963,17120
2007-06-08,77.556,77.597,75.394,77.515,15610
2007-06-11,77.515,79.147,76.699,79.147,10269
2007-06-12,79.556,80.371,78.331,79.963,21101
2007-06-13,79.963,85.672,79.963,82.411,25416
2007-06-14,82.815,84.044,81.595,84.044,16026
2007-06-15,83.227,83.631,82.576,83.227,6415
2007-06-18,81.106,83.878,81.106,83.878,62928
2007-06-19,82.411,82.411,75.72,76.699,76621
2007-06-20,76.78,78.331,76.046,77.107,59151
2007-06-21,77.107,77.515,75.639,75.883,22093
2007-06-22,75.883,76.455,73.272,76.292,87680
2007-06-25,75.883,75.883,73.598,74.006,11831
2007-06-26,75.435,75.435,73.394,74.17,127857
2007-06-27,74.17,74.985,70.334,72.864,22743
2007-06-28,71.11,73.436,70.498,72.212,9891
2007-06-29,71.803,72.212,69.03,69.356,9452
2007-07-02,66.5,67.968,66.214,67.317,33736
2007-07-03,66.908,70.579,66.908,70.172,11863
2007-07-04,70.172,71.763,68.417,70.579,5061
2007-07-05,71.272,71.272,67.804,69.682,5224
2007-07-06,69.356,70.824,68.539,70.824,23886
2007-07-09,71.723,73.436,70.824,72.701,21719
2007-07-10,72.498,72.579,71.396,72.212,13604
2007-07-11,72.212,72.212,70.988,72.212,9779
2007-07-12,73.23,76.699,73.23,74.252,16459
2007-07-13,75.883,77.515,75.475,77.148,15553
2007-07-16,77.148,77.148,73.11,75.394,12237
2007-07-17,73.436,76.699,73.436,75.475,12445
2007-07-18,76.699,76.699,73.843,75.883,4337
2007-07-19,75.801,76.292,75.067,75.883,4923
2007-07-20,75.965,76.495,73.721,75.475,4698
2007-07-23,73.843,75.435,73.15,74.252,54330
2007-07-24,74.985,74.985,70.579,72.987,15309
2007-07-25,71.803,71.844,70.416,71.803,4264
2007-07-26,71.396,72.498,70.988,70.988,24202
2007-07-27,69.151,72.212,67.804,70.988,17887
2007-07-30,69.03,73.354,69.03,72.619,11179
2007-07-31,72.619,74.619,72.619,74.619,38965
2007-08-01,74.17,74.17,70.253,72.212,3954
2007-08-02,72.538,72.538,71.723,72.455,1816
2007-08-03,72.455,72.455,70.498,72.416,23537
2007-08-06,69.845,70.947,67.968,70.172,12747
2007-08-07,70.214,72.538,70.214,70.579,38935
2007-08-08,70.988,71.803,70.784,70.988,19610
2007-08-09,72.538,72.538,70.988,71.803,30984
2007-08-10,70.416,70.416,69.845,70.172,49927
2007-08-13,68.702,69.764,66.255,69.356,29854
2007-08-14,69.438,69.438,65.276,65.276,16571
2007-08-16,62.748,62.748,57.321,58.748,67514
2007-08-17,58.26,62.584,57.932,60.952,14283
2007-08-20,63.317,69.356,62.012,62.829,20428
2007-08-21,62.829,64.42,61.85,62.829,13212
2007-08-22,62.829,64.46,62.421,64.46,9590
2007-08-23,65.276,66.009,63.644,65.276,1564
2007-08-24,66.009,67.234,65.276,67.234,4003
2007-08-27,67.479,69.682,67.398,68.539,4035
2007-08-28,68.621,69.601,68.621,69.438,3377
2007-08-29,64.502,68.906,64.502,68.906,22525
2007-08-30,70.09,70.579,69.356,70.172,9198
2007-08-31,70.988,72.212,69.478,70.988,727
2007-09-03,70.988,72.538,70.253,71.803,1867
2007-09-04,72.212,74.089,71.069,74.006,36279
2007-09-05,74.66,75.394,74.414,75.067,7038
2007-09-06,74.414,75.067,74.374,74.66,36107
2007-09-07,74.334,74.74,71.885,73.436,2982
2007-09-10,71.885,72.335,70.294,72.212,21925
2007-09-11,73.354,73.354,72.212,72.701,2483
2007-09-12,73.436,74.252,73.436,74.17,3286
2007-09-13,74.17,74.252,73.639,74.252,1473
2007-09-14,71.151,73.843,71.151,73.598,1064
2007-09-17,74.252,74.252,73.436,73.436,20240
2007-09-18,73.436,74.252,73.436,74.252,41461
2007-09-19,74.252,75.475,74.252,75.067,7196
2007-09-20,75.067,75.067,73.557,75.067,2549
2007-09-21,75.067,75.148,74.293,75.148,3463
2007-09-24,74.334,74.334,73.557,73.598,422
2007-09-25,73.557,74.089,71.803,73.517,1455
2007-09-26,74.252,74.252,73.436,74.252,4843
2007-09-27,75.067,75.067,73.436,74.252,2823
2007-09-28,73.436,74.252,73.436,74.252,13043
2007-10-01,73.11,73.721,72.619,73.436,287
2007-10-02,72.619,74.252,72.293,74.252,926
2007-10-03,71.968,74.66,71.968,74.252,730
2007-10-04,73.517,75.067,73.436,75.067,1150
2007-10-05,74.252,74.538,73.436,74.538,217
2007-10-08,73.762,74.455,73.68,74.252,5656
2007-10-09,74.252,74.66,73.11,74.66,1506
2007-10-10,74.252,74.577,73.557,74.577,1178
2007-10-11,73.517,76.087,73.517,76.006,9537
2007-10-12,75.883,76.292,75.109,75.883,2498
2007-10-15,74.293,76.537,74.293,76.292,2466
2007-10-16,75.883,76.985,75.883,76.863,3289
2007-10-17,76.699,77.107,76.537,76.699,3347
2007-10-18,75.312,77.107,75.312,76.699,4025
2007-10-19,77.107,78.698,77.107,78.331,4501
2007-10-22,77.515,78.331,76.903,78.331,3620
2007-10-23,78.331,82,78.331,81.677,6669
2007-10-24,81.595,81.595,77.922,80.127,3744
2007-10-25,79.963,80.127,78.781,79.963,4156
2007-10-26,79.963,80.778,79.963,79.963,7122
2007-10-29,79.963,81.35,79.963,80.044,16141
2007-10-30,81.595,84.208,80.86,81.432,13770
2007-10-31,81.187,81.187,79.963,80.778,8450
2007-11-02,80.778,80.778,78.331,78.739,9929
2007-11-05,77.719,79.229,77.719,79.147,2896
2007-11-06,78.535,79.474,78.535,79.229,7498
2007-11-07,79.147,79.147,71.314,76.863,17722
2007-11-08,72.13,76.251,72.13,75.883,6359
2007-11-09,75.067,75.067,74.455,74.455,12990
2007-11-12,73.436,74.006,71.803,73.436,16024
2007-11-13,71.803,73.436,71.314,73.436,15608
2007-11-14,73.436,75.067,73.436,73.517,1717
2007-11-15,74.089,74.252,72.212,73.436,5733
2007-11-16,72.701,73.436,69.356,73.436,24193
2007-11-19,73.436,73.517,71.803,73.517,19332
2007-11-20,73.843,74.252,71.477,71.885,14147
2007-11-21,70.172,71.803,70.172,71.723,2649
2007-11-22,68.947,73.436,68.131,73.436,7314
2007-11-23,73.436,73.843,71.11,73.026,14973
2007-11-26,72.293,72.945,71.968,72.945,259
2007-11-27,72.782,73.436,72.619,72.619,1698
2007-11-28,70.416,73.843,70.416,71.396,559
2007-11-29,73.026,73.436,72.253,72.253,879
2007-11-30,73.026,74.252,72.374,74.252,1276
2007-12-03,72.212,74.252,70.988,74.252,770
2007-12-04,74.455,76.21,73.476,76.21,751
2007-12-05,76.699,78.126,76.046,78.126,2820
2007-12-06,78.126,79.229,78.126,79.147,2121
2007-12-07,76.903,79.963,76.903,79.147,2969
2007-12-10,76.21,79.147,76.21,79.147,792
2007-12-11,77.189,79.065,77.189,79.065,276
2007-12-12,74.985,79.556,74.985,79.556,8894
2007-12-13,78.086,79.556,77.922,79.556,2328
2007-12-14,79.147,79.556,76.943,78.698,4185
2007-12-17,78.739,78.739,76.333,77.515,1838
2007-12-18,75.965,76.046,75.312,75.883,2042
2007-12-19,75.475,76.292,73.68,76.292,1748
2007-12-20,76.74,78.412,73.272,73.272,2068
2007-12-21,73.272,75.883,70.988,75.883,595715
2007-12-27,76.292,76.292,71.803,75.842,2189
2007-12-28,73.026,75.067,73.026,73.926,2662
2008-01-02,73.436,73.436,73.354,73.436,100
2008-01-03,73.436,73.517,73.436,73.436,289
2008-01-04,75.639,75.639,71.844,72.619,5406
2008-01-07,70.579,70.743,68.947,69.519,6065
2008-01-08,68.295,70.988,68.295,70.253,6848
2008-01-09,68.131,69.356,63.766,65.684,7295
2008-01-10,65.276,65.276,62.829,64.378,5136
2008-01-11,64.256,64.378,63.644,63.644,2169
2008-01-14,62.012,64.46,62.012,62.012,25597
2008-01-15,60.707,63.155,60.626,60.626,13267
2008-01-16,57.117,58.667,55.485,58.667,18803
2008-01-17,58.748,59.972,57.157,57.932,9905
2008-01-18,58.013,59.483,57.281,57.932,31647
2008-01-21,58.34,62.012,58.34,59.401,5771
2008-01-22,57.932,59.32,57.117,59.239,26967
2008-01-23,59.156,60.707,59.156,59.646,22101
2008-01-24,59.851,63.563,59.851,63.235,1551
2008-01-25,65.195,65.602,64.46,65.602,6175
2008-01-28,65.602,65.602,63.726,65.438,2003
2008-01-29,65.602,70.743,65.602,69.356,1314
2008-01-30,70.376,70.416,69.356,70.253,7058
2008-01-31,69.764,69.845,67.724,69.764,3816
2008-02-01,71.641,71.803,70.824,71.396,7885
2008-02-04,71.518,72.212,71.518,71.803,12192
2008-02-05,69.356,71.396,69.315,70.988,6891
2008-02-06,69.03,70.172,68.539,70.172,20602
2008-02-07,70.172,70.172,67.479,70.13,239
2008-02-08,67.724,70.172,67.724,70.172,20747
2008-02-11,70.172,70.172,70.172,70.172,11
2008-02-12,68.539,73.436,68.539,73.436,8524
2008-02-13,70.784,73.436,70.784,73.436,1482
2008-02-14,71.803,73.313,70.579,72.823,515
2008-02-18,71.641,72.619,70.172,72.619,2258
2008-02-20,71.028,72.455,70.988,72.455,112
2008-02-21,71.803,72.455,70.988,72.455,408
2008-02-22,71.723,73.436,71.396,72.619,23997
2008-02-25,71.803,73.843,70.988,73.436,1116
2008-02-26,73.436,74.252,72.212,73.436,3608
2008-02-27,73.191,73.436,71.968,73.436,32189
2008-02-28,71.803,73.026,71.191,72.048,7726
2008-02-29,71.968,72.619,69.356,70.579,1967
2008-03-03,70.214,70.988,69.438,70.988,549
2008-03-04,72.455,72.619,71.314,72.374,166
2008-03-05,70.172,72.619,70.172,72.619,716
2008-03-06,73.436,73.436,73.436,73.436,98
2008-03-07,73.436,73.436,71.232,73.11,1370
2008-03-10,73.15,73.436,73.15,73.436,5708
2008-03-11,73.394,74.66,71.803,74.66,6961
2008-03-12,74.252,74.252,74.252,74.252,17
2008-03-13,72.212,73.436,72.212,73.436,3928
2008-03-14,73.436,74.17,73.436,73.436,13349
2008-03-17,69.764,71.803,69.764,71.803,2400
2008-03-18,70.579,72.619,70.579,72.619,8337
2008-03-19,71.803,73.394,68.539,73.191,2047
2008-03-20,72.987,72.987,72.987,72.987,11
2008-03-25,72.864,72.864,72.048,72.864,228
2008-03-26,72.212,72.864,71.803,72.864,1183
2008-03-27,72.619,73.436,71.11,73.436,38561
2008-03-28,73.394,73.394,72.619,73.394,635
2008-03-31,73.436,73.436,73.436,73.436,11
2008-04-01,72.905,73.436,71.437,73.436,1280
2008-04-02,71.968,72.945,71.518,72.945,39447
2008-04-03,72.945,73.026,71.803,71.803,1586
2008-04-04,71.803,71.803,70.579,71.803,189
2008-04-07,71.069,71.803,70.988,70.988,2070
2008-04-08,70.988,71.396,70.988,71.396,102
2008-04-09,70.988,70.988,70.579,70.988,4561
2008-04-10,70.62,71.803,70.62,71.803,744
2008-04-11,71.803,71.803,71.803,71.803,1001
2008-04-14,71.477,71.803,70.172,71.803,1059
