Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-18,37.844,37.844,35.527,35.719,22706
2005-02-21,35.237,35.527,33.403,33.886,7627
2005-02-22,33.886,34.754,33.886,34.754,1260
2005-02-23,34.465,34.754,34.465,34.754,716
2005-02-24,34.465,34.947,33.693,34.947,1749
2005-02-25,34.947,35.527,34.175,35.237,1196
2005-02-28,35.237,35.237,34.175,34.754,748
2005-03-01,33.886,34.465,33.886,34.465,772
2005-03-02,33.886,33.886,32.341,33.113,725
2005-03-03,32.92,33.113,32.147,32.92,527
2005-03-04,33.113,33.113,32.92,32.92,125
2005-03-07,31.858,32.341,31.569,32.341,636
2005-03-08,31.569,32.147,31.279,31.858,1172
2005-03-09,31.858,33.886,31.858,33.403,1505
2005-03-10,33.113,34.754,33.113,33.886,1052
2005-03-11,33.886,34.175,32.63,32.63,1394
2005-03-14,33.886,33.886,32.341,33.403,261
2005-03-15,32.63,33.403,32.63,33.403,261
2005-03-16,33.113,33.403,32.341,32.341,545
2005-03-17,32.341,32.341,32.147,32.341,581
2005-03-18,32.341,32.341,32.147,32.147,537
2005-03-21,31.569,31.858,31.569,31.569,484
2005-03-22,31.569,33.403,31.569,33.113,416
2005-03-23,32.63,32.63,32.63,32.63,88
2005-03-24,32.147,33.403,32.147,32.147,538
2005-03-29,31.858,33.113,31.858,33.113,130
2005-03-30,33.403,33.403,32.63,33.113,228
2005-03-31,33.113,33.693,32.63,33.693,233
2005-04-01,33.693,34.175,32.341,33.886,1411
2005-04-04,32.341,33.886,32.341,33.886,158
2005-04-05,32.63,33.693,32.63,33.693,233
2005-04-06,32.92,32.92,32.92,32.92,55
2005-04-07,33.113,33.113,32.92,32.92,248
2005-04-11,32.63,33.403,32.341,33.403,177
2005-04-12,32.341,32.341,32.341,32.341,97
2005-04-13,32.341,32.341,32.147,32.341,249
2005-04-14,32.341,32.92,31.569,32.92,510
2005-04-15,31.858,32.92,31.858,32.92,20
2005-04-18,32.147,32.147,31.279,31.569,1019
2005-04-19,31.279,31.279,29.252,30.506,1676
2005-04-20,28.962,28.962,26.838,27.128,3095
2005-04-21,26.838,28.479,26.356,26.645,1833
2005-04-22,26.066,28.673,25.584,26.645,1230
2005-04-25,28.19,28.479,27.9,28.19,1335
2005-04-26,28.673,30.314,28.673,29.734,1158
2005-04-27,28.962,30.024,28.962,30.024,690
2005-04-28,28.962,30.024,28.962,30.024,552
2005-04-29,29.252,30.024,28.962,30.024,406
2005-05-02,28.962,30.024,28.673,30.024,193
2005-05-04,28.962,30.797,28.962,30.314,1010
2005-05-05,29.252,30.024,29.252,30.024,136
2005-05-06,29.252,29.445,28.673,29.445,675
2005-05-09,28.962,29.445,28.962,29.445,98
2005-05-10,28.673,29.252,28.479,28.673,3767
2005-05-11,28.19,28.673,28.19,28.673,338
2005-05-12,28.673,29.252,28.673,28.673,177
2005-05-13,28.673,28.673,28.673,28.673,172
2005-05-16,28.19,28.479,26.645,28.479,385
2005-05-17,27.9,27.9,26.645,26.838,412
2005-05-18,26.356,28.19,26.356,26.838,653
2005-05-19,26.356,27.417,26.356,27.128,482
2005-05-20,27.128,27.9,27.128,27.9,39
2005-05-23,27.707,28.479,27.707,28.479,296
2005-05-24,28.19,29.252,27.9,29.252,1355
2005-05-25,28.479,29.252,27.9,29.252,600
2005-05-27,29.252,29.252,29.252,29.252,2
2005-05-30,29.252,29.445,29.252,29.445,606
2005-05-31,29.252,30.797,29.252,30.797,1381
2005-06-01,30.506,31.858,30.506,31.858,3397
2005-06-02,31.279,31.279,30.314,30.506,2336
2005-06-03,30.024,30.506,29.734,29.734,315
2005-06-06,30.506,31.086,29.734,30.797,1114
2005-06-07,30.314,31.858,30.024,31.858,2041
2005-06-08,31.858,32.147,31.279,31.858,2615
2005-06-09,31.858,33.886,31.858,33.403,3607
2005-06-10,33.403,33.403,33.113,33.113,6807
2005-06-13,32.92,34.175,32.63,34.175,3907
2005-06-14,34.465,34.947,34.465,34.947,1504
2005-06-15,35.237,35.237,34.465,34.947,4003
2005-06-16,34.754,34.754,34.754,34.754,1035
2005-06-17,34.754,34.947,34.465,34.754,1165
2005-06-20,34.175,34.465,33.693,34.465,309
2005-06-21,33.886,33.886,33.693,33.693,1084
2005-06-22,33.113,33.886,33.113,33.403,975
2005-06-23,33.886,35.527,33.886,35.527,4690
2005-06-24,34.947,36.299,34.947,36.299,2643
2005-06-27,36.01,37.071,36.01,37.071,3457
2005-06-28,36.782,37.071,36.01,36.492,1435
2005-06-29,35.719,36.782,35.719,36.782,540
2005-06-30,36.492,36.492,36.299,36.299,951
2005-07-01,35.719,36.299,35.719,36.299,87
2005-07-04,35.527,35.527,34.175,34.947,536
2005-07-05,34.947,36.01,34.947,35.719,1948
2005-07-06,35.237,35.719,34.465,35.719,621
2005-07-07,34.947,34.947,34.947,34.947,91
2005-07-08,34.175,34.175,33.403,33.403,462
2005-07-11,34.175,34.175,33.403,34.175,264
2005-07-12,34.754,34.947,34.754,34.754,703
2005-07-13,33.886,34.754,32.92,34.175,1469
2005-07-14,34.754,34.754,33.403,33.886,142
2005-07-15,33.113,33.113,32.147,33.113,818
2005-07-18,33.113,33.693,32.92,33.693,552
2005-07-19,33.403,33.403,32.147,32.341,1059
2005-07-20,32.63,32.63,31.858,32.147,2447
2005-07-21,31.858,31.858,29.445,29.734,5341
2005-07-22,30.314,30.314,28.19,28.479,1862
2005-07-25,28.19,29.734,27.707,28.19,1663
2005-07-26,28.19,28.19,27.9,28.19,1458
2005-07-27,28.479,28.673,28.479,28.673,488
2005-07-28,28.479,29.445,28.479,29.445,644
2005-07-29,29.252,29.445,28.962,28.962,741
2005-08-01,28.962,29.252,28.962,29.252,598
2005-08-02,28.962,29.445,28.479,29.252,1247
2005-08-03,28.479,28.673,27.417,28.479,1689
2005-08-04,27.9,28.19,27.707,28.19,634
2005-08-05,28.479,28.479,27.707,28.19,803
2005-08-08,28.19,28.673,27.417,28.19,1200
2005-08-09,27.128,28.19,27.128,28.19,517
2005-08-10,27.707,28.19,27.707,28.19,175
2005-08-11,28.19,28.673,27.707,28.19,35
2005-08-12,28.673,28.673,27.417,27.707,154
2005-08-16,27.707,27.9,27.128,27.9,115
2005-08-17,27.9,28.19,27.128,27.128,439
2005-08-18,27.128,27.128,26.066,26.066,1281
2005-08-19,26.066,26.066,25.584,26.066,998
2005-08-22,25.969,26.066,25.68,26.066,377
2005-08-23,26.066,26.838,26.066,26.838,611
2005-08-24,27.128,27.707,26.356,26.838,2993
2005-08-25,27.128,27.417,27.128,27.128,306
2005-08-26,27.417,28.673,27.128,28.673,4803
2005-08-29,28.19,29.445,28.19,29.445,2612
2005-08-30,29.734,30.024,28.479,28.673,1890
2005-08-31,29.252,29.252,27.707,28.19,268
2005-09-01,28.19,28.673,27.9,28.19,554
2005-09-02,27.707,27.9,26.645,26.645,1789
2005-09-05,26.066,26.066,25.969,26.066,2056
2005-09-06,25.969,28.19,25.969,26.838,2962
2005-09-07,26.645,27.9,26.645,26.838,10571
2005-09-08,27.128,27.128,26.838,26.838,2145
2005-09-09,26.645,26.838,26.066,26.838,459
2005-09-12,26.645,26.838,26.066,26.838,564
2005-09-13,26.066,26.645,26.066,26.645,664
2005-09-14,26.356,26.356,26.356,26.356,6
2005-09-15,26.066,26.645,26.066,26.356,952
2005-09-16,26.356,27.707,26.356,26.645,2855
2005-09-19,26.356,27.9,26.356,26.838,695
2005-09-20,27.128,27.9,26.356,26.645,1281
2005-09-21,26.645,26.645,25.584,26.066,3181
2005-09-22,25.969,26.066,25.873,26.066,1989
2005-09-23,25.873,25.873,25.68,25.873,1478
2005-09-26,26.356,26.645,26.066,26.066,805
2005-09-27,25.873,26.066,25.68,26.066,1400
2005-09-28,25.873,26.356,25.873,26.066,258
2005-09-29,26.066,26.645,26.066,26.066,596
2005-09-30,26.066,26.066,25.873,26.066,292
2005-10-03,26.066,26.645,25.486,25.486,1472
2005-10-04,25.969,26.645,25.486,26.066,570
2005-10-05,26.066,26.066,25.293,25.776,1849
2005-10-06,25.39,25.486,24.617,25.293,1385
2005-10-07,25.1,25.776,25.1,25.776,545
2005-10-10,25.293,25.776,25.197,25.584,1416
2005-10-11,25.584,25.776,25.39,25.39,751
2005-10-12,25.39,26.066,25.39,26.066,223
2005-10-13,26.066,26.066,25.584,25.776,388
2005-10-14,25.293,25.969,25.1,25.969,845
2005-10-17,26.645,27.707,25.776,26.838,4102
2005-10-18,27.707,27.707,26.356,26.356,1540
2005-10-19,26.838,26.838,26.066,26.645,1356
2005-10-20,26.066,27.417,25.969,27.417,4261
2005-10-21,27.417,27.707,26.838,27.417,1077
2005-10-24,27.707,27.707,27.707,27.707,39
2005-10-25,27.707,27.707,26.645,27.707,1642
2005-10-26,27.707,28.479,27.128,27.417,2205
2005-10-27,27.707,28.19,27.417,27.9,1177
2005-10-28,27.9,27.9,26.645,27.128,152
2005-10-31,27.707,27.707,27.707,27.707,95
2005-11-02,27.707,27.9,27.128,27.707,385
2005-11-03,26.838,28.19,26.838,27.707,2178
2005-11-04,26.838,28.479,26.838,27.9,4409
2005-11-07,28.19,29.252,28.19,29.252,7892
2005-11-08,29.252,29.445,28.962,29.252,2053
2005-11-09,28.962,28.962,28.19,28.673,2114
2005-11-10,28.673,28.673,27.9,28.673,495
2005-11-14,27.9,28.962,26.838,28.962,1198
2005-11-15,28.19,29.252,27.9,28.673,1348
2005-11-16,28.19,28.19,27.9,27.9,848
2005-11-17,28.673,29.252,27.417,28.479,400
2005-11-18,28.962,28.962,27.707,28.962,192
2005-11-21,28.673,28.962,28.19,28.19,210
2005-11-22,28.673,28.673,27.128,27.707,2560
2005-11-23,26.838,26.838,25.584,25.584,9762
2005-11-24,25.584,26.356,25.584,26.356,655
2005-11-25,25.873,26.066,25.873,26.066,485
2005-11-28,26.066,26.645,26.066,26.645,1707
2005-11-29,26.356,26.356,25.969,25.969,1097
2005-11-30,25.969,26.356,25.969,26.356,358
2005-12-01,26.356,27.707,26.356,26.356,2659
2005-12-02,26.838,27.9,26.645,27.9,1475
2005-12-05,27.9,27.9,26.838,26.838,604
2005-12-06,27.128,27.707,26.066,26.066,3123
2005-12-07,26.356,27.128,26.356,27.128,295
2005-12-08,27.128,27.128,26.356,26.838,991
2005-12-09,27.128,27.128,26.356,26.356,2168
2005-12-12,26.066,26.838,26.066,26.645,766
2005-12-13,26.356,26.356,26.066,26.356,676
2005-12-14,26.356,26.838,26.356,26.838,1897
2005-12-15,26.838,28.19,26.838,27.128,3411
2005-12-16,27.417,29.734,27.417,28.19,6989
2005-12-19,28.673,29.734,28.19,28.673,4206
2005-12-20,28.962,29.252,28.19,29.252,3285
2005-12-21,29.252,31.086,29.252,31.086,10227
2005-12-22,31.279,31.858,30.506,31.086,7741
2005-12-23,31.086,31.086,30.024,30.024,3440
2005-12-27,30.024,31.086,29.445,30.314,5682
2005-12-28,29.734,30.506,29.445,30.506,941
2005-12-29,30.024,30.024,30.024,30.024,124
2005-12-30,29.252,29.252,28.673,28.962,1446
2006-01-02,28.479,30.797,28.479,29.252,1993
2006-01-03,29.445,29.445,28.673,28.962,1576
2006-01-04,28.962,30.024,28.962,29.734,1952
2006-01-05,29.734,29.734,29.252,29.252,1898
2006-01-06,29.252,29.445,28.673,29.445,886
2006-01-09,28.962,29.445,28.673,29.445,1233
2006-01-10,29.445,29.445,29.252,29.445,228
2006-01-11,29.252,29.252,28.479,29.252,1111
2006-01-12,28.962,28.962,28.19,28.19,2129
2006-01-13,28.479,33.113,27.417,31.086,12656
2006-01-16,31.086,32.92,30.506,32.92,11448
2006-01-17,32.92,32.92,31.569,32.92,4670
2006-01-18,32.341,37.554,31.858,34.947,20535
2006-01-19,35.237,37.844,35.237,36.492,16006
2006-01-20,36.492,37.554,35.237,36.782,8038
2006-01-23,36.01,36.01,34.947,36.01,1068
2006-01-24,36.01,37.361,35.719,37.071,5622
2006-01-25,37.071,37.844,36.492,37.554,5171
2006-01-26,37.361,37.361,36.299,36.492,2031
2006-01-27,36.299,37.361,36.01,37.361,3382
2006-01-30,36.782,41.802,36.782,41.802,15376
2006-01-31,41.802,41.802,38.327,38.327,3369
2006-02-01,37.554,42.284,36.782,41.802,14112
2006-02-02,44.601,51.938,43.54,47.015,34281
2006-02-03,47.497,47.497,43.829,44.891,10638
2006-02-06,45.953,45.953,43.829,44.408,4109
2006-02-07,44.891,47.98,43.829,47.497,7013
2006-02-08,47.497,47.497,44.891,46.243,2327
2006-02-09,47.015,47.015,44.891,46.243,2552
2006-02-10,45.373,46.725,44.408,44.891,990
2006-02-13,44.408,45.181,44.408,44.891,2005
2006-02-14,45.373,45.373,44.601,45.181,1495
2006-02-15,44.119,45.181,43.347,44.119,2410
2006-02-16,44.119,44.119,41.802,42.284,2050
2006-02-17,41.512,45.953,40.16,43.54,3312
2006-02-20,43.829,45.664,41.995,41.995,8289
2006-02-21,41.995,43.829,40.74,41.512,4826
2006-02-22,41.802,45.664,41.802,43.829,6323
2006-02-23,44.408,46.243,43.347,45.953,4688
2006-02-24,49.332,50.104,47.015,48.27,16057
2006-02-27,48.56,48.56,46.725,47.015,5626
2006-02-28,47.98,47.98,45.953,46.725,3607
2006-03-01,47.497,47.497,44.408,45.664,2954
2006-03-02,45.953,45.953,44.601,44.601,478
2006-03-03,45.181,45.373,44.408,44.408,293
2006-03-06,44.119,45.181,44.119,44.408,667
2006-03-07,44.408,44.601,43.54,44.119,812
2006-03-08,43.347,43.347,40.933,43.057,2483
2006-03-09,41.802,43.829,41.802,42.767,924
2006-03-10,43.54,43.54,41.223,42.284,657
2006-03-13,41.802,44.119,41.802,43.829,4293
2006-03-14,43.829,43.829,42.767,43.057,1101
2006-03-15,43.057,44.119,43.057,43.829,1341
2006-03-16,43.829,44.119,43.347,43.829,528
2006-03-17,44.408,44.408,43.057,43.54,2028
2006-03-20,43.057,43.347,42.284,43.347,632
2006-03-21,42.767,43.347,42.767,42.767,497
2006-03-22,43.347,44.601,43.347,44.408,5821
2006-03-23,44.408,47.497,43.54,47.015,7458
2006-03-24,47.208,50.877,47.015,48.56,9181
2006-03-27,49.042,52.229,49.042,50.587,25299
2006-03-28,51.649,52.229,50.394,50.394,5273
2006-03-29,49.042,50.104,49.042,49.042,859
2006-03-30,49.042,49.814,48.56,49.621,1089
2006-03-31,48.56,49.814,47.497,49.814,1268
2006-04-03,48.849,54.545,48.849,50.394,8147
2006-04-04,52.229,53.773,52.229,53.194,4654
2006-04-05,53.194,59.468,53.194,57.442,8504
2006-04-06,54.835,59.468,54.835,59.275,2762
2006-04-07,59.758,59.758,56.379,57.151,2278
2006-04-10,58.503,60.048,56.09,56.09,5013
2006-04-11,55.897,55.897,54.835,55.897,1994
2006-04-12,60.048,61.592,58.696,60.24,5246
2006-04-13,61.11,61.303,58.986,60.048,1328
2006-04-18,60.048,60.048,57.442,58.696,864
2006-04-19,58.696,60.048,57.634,59.758,2561
2006-04-20,58.696,58.696,57.924,58.214,487
2006-04-21,57.924,58.214,56.379,57.442,1662
2006-04-24,56.379,57.442,54.835,56.379,683
2006-04-25,55.318,57.442,55.318,57.442,1083
2006-04-26,57.151,57.442,55.897,57.442,282
2006-04-27,56.09,56.862,54.835,56.862,1088
2006-04-28,56.379,56.379,54.255,55.897,333
2006-05-02,55.318,55.897,54.835,55.897,1434
2006-05-04,55.318,58.214,55.318,56.379,482
2006-05-05,57.634,58.214,56.379,57.924,1147
2006-05-08,58.214,58.214,56.862,57.442,1012
2006-05-09,56.379,57.151,55.318,55.897,996
2006-05-10,56.862,57.151,55.027,55.897,881
2006-05-11,54.835,56.862,54.835,56.862,1098
2006-05-12,57.151,57.151,55.027,55.318,3593
2006-05-15,54.835,55.318,52.421,54.255,3467
2006-05-16,53.483,55.318,51.166,53.483,1116
2006-05-17,54.835,55.027,52.421,53.483,791
2006-05-18,52.229,55.897,52.229,54.062,675
2006-05-19,55.318,55.897,53.194,54.835,753
2006-05-22,56.09,56.862,51.938,53.483,1168
2006-05-23,52.229,54.835,48.56,53.483,2307
2006-05-24,54.835,56.379,52.229,54.255,4704
2006-05-25,53.194,55.027,53.194,55.027,1394
2006-05-26,56.379,58.696,56.379,57.151,3157
2006-05-29,58.503,60.531,58.503,59.758,3321
2006-05-30,60.531,60.531,56.862,57.442,1535
2006-05-31,56.09,57.442,55.897,57.442,1624
2006-06-01,57.442,60.048,57.442,59.758,1795
2006-06-02,59.758,60.82,58.986,60.531,2901
2006-06-05,61.303,61.303,60.24,61.11,569
2006-06-06,59.758,60.531,58.503,60.531,1177
2006-06-07,58.503,60.82,58.503,59.275,1307
2006-06-08,58.214,58.986,57.442,58.214,301
2006-06-09,57.151,57.442,56.379,57.442,951
2006-06-12,56.09,56.379,53.194,54.255,3537
2006-06-13,50.877,53.194,46.436,50.877,3616
2006-06-14,49.814,51.649,48.56,50.104,1460
2006-06-16,52.229,54.062,50.877,51.649,699
2006-06-19,53.773,53.773,51.649,52.229,439
2006-06-20,53.194,53.773,52.229,53.001,301
2006-06-21,53.773,54.835,52.229,53.194,312
2006-06-22,54.835,54.835,51.938,53.194,650
2006-06-23,52.229,52.229,51.456,52.229,437
2006-06-26,53.194,53.773,52.229,53.001,35
2006-06-27,52.229,53.483,51.649,53.483,220
2006-06-28,52.229,53.194,52.229,53.194,315
2006-06-29,51.456,52.229,51.456,52.229,145
2006-06-30,53.194,54.062,52.229,53.194,718
2006-07-03,51.649,53.001,51.649,53.001,54
2006-07-04,53.001,53.001,51.649,52.229,174
2006-07-05,51.649,54.255,51.649,53.001,946
2006-07-06,53.001,53.001,52.229,53.001,130
2006-07-07,53.194,54.835,53.001,54.545,1053
2006-07-10,52.711,55.607,52.711,55.607,557
2006-07-11,54.835,56.09,54.062,55.318,344
2006-07-12,55.318,55.607,53.773,55.607,329
2006-07-13,54.835,57.442,54.835,56.669,379
2006-07-14,54.545,54.835,53.001,53.483,180
2006-07-17,54.835,55.897,54.835,55.897,147
2006-07-18,55.607,55.607,53.773,55.318,426
2006-07-19,55.318,55.318,55.318,55.318,127
2006-07-20,55.607,55.607,54.835,55.027,601
2006-07-21,55.607,55.607,55.607,55.607,2
2006-07-24,55.318,55.318,51.166,54.545,777
2006-07-25,54.255,54.545,54.062,54.062,72
2006-07-26,53.001,54.835,53.001,54.545,488
2006-07-27,55.607,55.607,54.062,54.835,101
2006-07-28,53.483,54.545,53.483,54.255,892
2006-07-31,54.255,55.607,53.194,54.062,1683
2006-08-01,55.027,55.318,53.194,53.773,885
2006-08-02,54.255,54.255,52.229,53.773,579
2006-08-03,52.229,53.001,50.587,52.229,1048
2006-08-04,52.229,54.062,51.456,52.229,3716
2006-08-07,51.649,54.062,51.456,52.229,1683
2006-08-08,52.229,53.773,51.456,53.483,2258
2006-08-09,52.229,53.001,51.649,53.001,1228
2006-08-10,52.229,52.711,51.456,51.938,1254
2006-08-11,51.649,52.711,51.166,51.938,766
2006-08-14,50.877,50.877,46.243,46.436,8530
2006-08-16,47.015,47.98,43.347,45.953,4968
2006-08-17,44.891,47.497,43.829,46.725,19427
2006-08-18,47.208,47.788,46.436,47.497,2994
2006-08-21,47.015,50.587,47.015,47.98,2598
2006-08-22,49.814,49.814,47.497,49.042,3380
2006-08-23,47.788,49.042,47.015,47.788,3853
2006-08-24,46.725,47.788,46.436,47.208,2790
2006-08-25,47.015,47.208,46.243,46.725,1020
2006-08-28,47.015,47.015,45.664,47.015,245
2006-08-29,47.208,47.208,45.373,47.015,2971
2006-08-30,47.015,47.497,46.243,46.243,526
2006-08-31,47.497,47.497,46.436,46.436,504
2006-09-01,45.953,47.208,45.953,47.015,305
2006-09-04,46.243,49.236,46.243,49.042,6453
2006-09-05,49.332,49.621,47.884,49.042,3072
2006-09-06,47.98,48.27,47.305,48.27,625
2006-09-07,47.98,48.56,47.594,48.56,1174
2006-09-08,49.525,49.525,47.98,48.849,331
