Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-03-09,4.5096,4.8316,4.5032,4.5677,1232834
2007-03-12,4.5741,5.6692,4.5741,5.4437,284916
2007-03-13,5.9592,6.5003,5.476,5.6047,343622
2007-03-14,5.476,5.476,5.1538,5.4309,128609
2007-03-15,5.4437,5.7594,5.315,5.5276,332570
2007-03-16,5.7272,5.7788,5.476,5.7014,261964
2007-03-19,5.7337,5.9269,5.7207,5.7981,100546
2007-03-20,6.0236,6.0236,5.7337,5.7852,45997
2007-03-21,5.8432,5.8561,5.5725,5.6692,45331
2007-03-22,5.7981,5.8303,5.6047,5.7337,81545
2007-03-23,5.7916,5.7916,5.5597,5.7337,234649
2007-03-26,5.6047,5.7852,5.6047,5.7659,19651
2007-03-27,5.7981,5.8624,5.6306,5.8109,36522
2007-03-28,5.8561,5.8561,5.6564,5.7981,25937
2007-03-29,5.7981,5.8496,5.6821,5.7981,53502
2007-03-30,5.7981,5.8367,5.6756,5.8303,212588
2007-04-02,5.8238,5.8238,5.6821,5.8045,13047
2007-04-03,5.7401,5.8238,5.7337,5.7337,172677
2007-04-04,5.8174,5.8238,5.6628,5.7981,310602
2007-04-05,5.8238,5.8303,5.7337,5.7981,24546
2007-04-10,5.7981,5.8624,5.7272,5.8303,41449
2007-04-11,5.9141,7.602,5.8948,6.7579,374616
2007-04-12,7.0095,7.0095,6.3135,6.4231,85487
2007-04-13,6.6807,6.7,6.3135,6.4295,41974
2007-04-16,6.3006,6.9252,6.3006,6.7645,104175
2007-04-17,6.9576,7.9887,6.8291,7.6985,131862
2007-04-18,7.8923,8.0205,7.2477,7.7306,395457
2007-04-19,7.4084,7.7306,7.377,7.7306,39398
2007-04-20,7.8597,9.0194,7.8597,8.6978,719345
2007-04-23,9.1484,9.664,8.9549,9.0194,202917
2007-04-24,9.0839,9.0839,8.4513,8.9549,313961
2007-04-25,8.9549,9.0194,8.6978,8.9867,58633
2007-04-26,8.9867,9.0194,8.8135,8.8586,65991
2007-04-27,8.7747,9.3419,8.7747,8.9231,93028
2007-04-30,8.8842,9.0388,8.8842,9.0194,79104
2007-05-02,9.045,9.3348,8.9231,9.1484,122743
2007-05-04,9.303,9.625,9.22,9.4064,67859
2007-05-07,9.599,9.729,9.2765,9.3348,33856
2007-05-08,9.3092,9.3092,8.6978,9.0194,71401
2007-05-09,8.6262,8.8904,8.484,8.878,85523
2007-05-10,8.6978,8.8188,7.4727,8.3103,110675
2007-05-11,7.7306,7.8597,7.602,7.8597,110587
2007-05-14,8.1944,8.6006,7.9953,8.2785,35951
2007-05-15,8.5688,8.5688,7.7306,8.0532,32947
2007-05-16,8.0205,8.6978,7.7306,8.3748,143237
2007-05-17,8.2132,8.6916,8.2132,8.4142,59214
