Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-12-29,6.3474,6.3514,5.8944,6.1612,888063
2007-01-02,6.3126,6.3514,6.1304,6.22,197858
2007-01-03,6.231,6.231,5.8171,5.9059,69124
2007-01-04,5.8944,5.8944,5.5113,5.7356,65926
2007-01-05,5.6777,5.8715,5.5925,5.7742,37196
2007-01-08,5.7125,5.7786,5.6236,5.7786,33219
2007-01-09,5.7979,5.7979,5.7203,5.7786,6726
2007-01-10,5.7742,5.7742,5.6545,5.7549,3982
2007-01-11,5.6933,5.8171,5.55,5.8171,36144
2007-01-12,5.8207,5.9331,5.7592,5.8171,47417
2007-01-15,5.9138,5.9138,5.7398,5.7786,32483
2007-01-16,5.8907,5.8907,5.7706,5.7979,18693
2007-01-17,5.8015,5.8865,5.7629,5.7979,25449
2007-01-18,5.7592,5.7592,5.7241,5.7592,30433
2007-01-19,5.8787,5.8787,5.6661,5.8715,20973
2007-01-22,5.8944,5.9331,5.7786,5.848,17567
2007-01-23,5.8557,5.8557,5.7398,5.7398,6477
2007-01-24,5.7786,5.8944,5.7398,5.8171,18907
2007-01-25,5.7786,6.0066,5.7786,6.0066,82834
2007-01-26,5.9681,6.0066,5.8171,5.9758,12790
2007-01-29,6.0646,6.1226,5.9681,6.1226,32992
2007-01-30,6.0646,6.084,5.9523,6.0568,34987
2007-01-31,5.9372,6.1226,5.9331,6.119,86018
2007-02-01,6.0646,6.1226,6.0453,6.0453,39120
2007-02-02,6.1267,7.2488,6.0453,7.0405,981932
2007-02-05,7.0405,7.1946,6.5952,6.8313,240155
2007-02-06,6.7734,6.8431,6.4321,6.6953,127155
2007-02-07,6.6953,6.6953,6.4051,6.5058,46915
2007-02-08,6.4366,6.5447,6.3901,6.4865,45393
2007-02-09,6.4205,6.742,6.1689,6.742,84939
2007-02-12,6.8508,7.0787,6.7923,6.9393,52060
2007-02-13,6.8926,7.0787,6.8354,7.0787,34518
2007-02-14,7.0132,7.6138,7.0132,7.423,97009
2007-02-15,7.4623,7.4623,7.1171,7.2685,13332
2007-02-16,7.3348,7.6515,7.0787,7.6515,111449
2007-02-19,7.6553,7.7683,7.4623,7.6553,50228
2007-02-20,7.5859,7.6553,7.5007,7.6515,18437
2007-02-21,7.5814,7.8452,7.5814,7.7487,13940
2007-02-22,7.9148,8.1508,7.7487,8.1434,66716
2007-02-23,8.0345,8.0345,7.8059,8.0271,19092
2007-02-26,8.0345,8.0345,7.6553,7.864,55819
2007-02-27,7.6553,7.6553,6.9435,7.0014,48072
2007-02-28,6.811,7.4192,6.6217,6.9665,82747
2007-03-01,7.0982,7.2685,6.6953,6.8849,34431
2007-03-02,6.8187,6.9588,6.8159,6.8849,25155
2007-03-05,6.8926,6.8926,6.5447,6.6217,25303
2007-03-06,6.7539,6.8508,6.3126,6.4321,79856
2007-03-07,6.5641,6.9044,6.5641,6.8508,19510
2007-03-08,6.811,6.9818,6.673,6.9818,23982
2007-03-09,7.0787,7.0787,6.7002,6.7002,18558
2007-03-12,6.7734,6.8898,6.6339,6.8236,19671
2007-03-13,6.7002,6.7344,6.5835,6.6217,7342
2007-03-14,6.5525,6.9971,6.3514,6.7344,16528
2007-03-15,6.811,6.811,6.6217,6.6217,4398
2007-03-16,6.5525,6.641,6.5447,6.5835,9965
2007-03-19,6.7149,6.811,6.641,6.7734,16035
2007-03-20,6.7734,6.811,6.6953,6.7734,12459
2007-03-21,6.9087,6.9588,6.7769,6.7923,38421
2007-03-22,6.8898,7.1171,6.7923,6.7923,38345
2007-03-23,6.7923,7.3454,6.7539,7.2571,97905
2007-03-26,7.2715,7.5203,7.2142,7.3454,51126
2007-03-27,7.3423,7.4464,7.3423,7.3423,17079
2007-03-28,7.2715,7.3265,7.2715,7.3107,27193
2007-03-29,7.3107,7.9951,7.3107,7.9951,214221
2007-03-30,7.9951,8.2253,7.7246,8.2253,47244
2007-04-02,8.1901,8.6108,7.8878,8.6108,75555
2007-04-03,8.6108,8.6108,8.3244,8.4138,41253
2007-04-04,8.5738,8.646,8.2286,8.3793,104492
2007-04-05,8.2974,8.4138,8.0345,8.3678,76967
2007-04-10,8.2859,8.3408,8.0345,8.3408,12767
2007-04-11,8.2589,8.2589,7.9951,8.0303,34044
2007-04-12,7.9542,8.0303,7.2715,7.8452,13397
2007-04-13,7.8255,7.8255,7.5007,7.7096,24930
2007-04-16,7.6357,7.7487,7.6357,7.6553,1358
2007-04-17,7.3839,7.616,7.3839,7.616,18797
2007-04-18,7.5399,8.2286,7.3454,7.3839,66468
2007-04-19,7.4623,7.4623,7.2956,7.4623,5008
2007-04-20,7.3914,7.5158,7.2715,7.5158,45709
2007-04-23,7.6673,7.6673,7.2715,7.2806,41081
2007-04-24,7.4623,7.6138,7.3152,7.6138,6538
2007-04-25,7.5354,8.0738,7.5354,8.0345,20574
2007-04-26,7.9566,7.9763,7.6553,7.9763,30591
2007-04-27,7.8952,7.9812,7.7487,7.8837,23049
2007-04-30,8.0393,8.0393,7.7096,7.8452,3948
2007-05-02,7.8059,8.0738,7.8059,8.0738,8503
2007-05-04,8.0738,8.4178,8.0738,8.3408,25069
2007-05-07,8.4138,9.0872,8.2859,9.0872,36585
2007-05-08,9.0872,9.0872,8.494,8.5391,92892
2007-05-09,8.6108,8.6108,7.9608,8.0345,25470
2007-05-10,8.1901,8.1901,7.3839,7.3839,23725
2007-05-11,7.3839,7.7019,7.0243,7.7019,36004
2007-05-14,7.7019,7.7019,7.3183,7.3642,31439
2007-05-15,7.4623,7.6553,7.1171,7.616,28226
2007-05-16,7.5399,7.616,7.2715,7.5783,29840
2007-05-17,7.5783,7.5783,7.3107,7.5701,5820
2007-05-18,7.567,7.567,7.3454,7.4192,3259
2007-05-21,7.5783,7.5783,7.3454,7.3839,10399
2007-05-22,7.5354,7.5399,7.2715,7.2715,9161
2007-05-23,7.4162,7.5158,7.2881,7.5158,4141
2007-05-24,7.3107,7.5007,7.3107,7.3423,2171
2007-05-25,7.3454,7.4886,7.2715,7.4578,4251
2007-05-28,7.466,7.5783,7.4623,7.5474,4379
2007-05-29,7.5587,7.5587,7.4623,7.4736,32895
2007-05-30,7.435,7.435,7.3423,7.4305,1568
2007-05-31,7.35,7.7246,7.2761,7.7246,15311
2007-06-01,7.6553,7.6553,7.4434,7.4464,4668
2007-06-04,7.4434,7.4547,7.4434,7.4434,14055
2007-06-05,7.4969,7.4969,7.3914,7.423,2267
2007-06-06,7.4004,7.4004,7.2685,7.2715,5561
2007-06-08,7.1984,7.2715,7.0787,7.1526,15148
2007-06-11,7.0787,7.4162,7.0787,7.4162,7034
2007-06-12,7.4623,7.4623,7.2337,7.3891,22326
2007-06-13,7.3454,7.4578,7.3454,7.4434,41147
2007-06-14,7.4578,7.7246,7.3839,7.6553,51246
2007-06-15,7.8026,7.8026,7.5399,7.6515,55177
2007-06-18,7.6899,7.8452,7.6553,7.6553,65312
2007-06-19,7.7863,7.7863,7.5783,7.6515,1237
2007-06-20,7.8026,7.8026,7.2715,7.2715,27634
2007-06-21,7.2715,7.4578,7.2715,7.4578,3911
2007-06-22,7.4192,8.4096,7.4192,8.0345,180335
2007-06-25,8.1975,8.503,8.0393,8.0393,28963
2007-06-26,7.9608,8.494,7.9608,8.4178,19651
2007-06-27,8.4563,8.9176,8.3293,8.9176,49269
2007-06-28,8.84,8.84,8.5801,8.5801,11773
2007-06-29,8.5136,8.5136,8.0738,8.3408,41089
2007-07-02,8.2589,8.4138,8.0345,8.3244,21018
2007-07-03,8.2393,8.3752,8.1131,8.3023,10476
2007-07-04,8.467,8.6108,8.0345,8.3408,791
2007-07-05,8.0582,8.3408,8.0582,8.0582,4909
2007-07-06,8.2286,8.4064,7.9608,7.9608,10513
2007-07-09,8.1131,8.2785,8.0345,8.1319,9258
2007-07-10,8.0467,8.0467,7.6553,7.7096,11876
2007-07-11,7.8452,7.8452,7.6206,7.8255,1714
2007-07-12,7.9345,7.9812,7.9345,7.9345,2638
2007-07-13,8.0115,8.0115,7.8566,7.9296,480
2007-07-16,7.8493,7.9542,7.4886,7.9542,2580
2007-07-17,7.8722,8.0115,7.5082,7.9951,4844
2007-07-18,7.9148,7.9345,7.567,7.9345,1605
2007-07-19,7.8526,8.0115,7.8526,8.0115,1022
2007-07-20,7.9296,7.9296,7.7057,7.7366,2786
2007-07-23,7.7366,7.8108,7.6628,7.8108,9985
2007-07-24,7.5889,7.8566,7.5889,7.7412,16025
2007-07-25,7.6628,7.7412,7.6628,7.7412,5092
2007-07-26,7.8174,7.9296,7.5859,7.7789,13401
2007-07-27,7.6974,7.6974,7.4109,7.6823,3816
2007-07-30,7.6055,7.8952,7.4698,7.8566,6513
2007-07-31,7.7758,7.9345,7.6244,7.9296,2518
2007-08-01,7.7487,7.7487,7.6628,7.7412,27887
2007-08-02,7.7412,7.7412,7.7412,7.7412,4
2007-08-06,7.7329,7.7329,7.5082,7.7292,4783
2007-08-07,7.7019,7.9763,7.7019,7.8174,136267
2007-08-08,7.973,7.973,7.8174,7.973,28239
2007-08-09,8.0861,8.0861,7.3642,7.7019,33562
2007-08-10,7.8566,7.8566,7.3914,7.6786,14163
2007-08-13,7.8132,7.8452,7.3642,7.8452,10931
2007-08-14,7.7638,7.919,7.3733,7.8911,5210
2007-08-16,7.2806,7.8132,7.0055,7.2761,7667
2007-08-17,7.2029,7.2375,6.7734,7.2337,25658
2007-08-20,7.1603,7.4305,6.4639,7.3808,16585
2007-08-21,7.5278,7.5278,6.9894,7.0083,6239
2007-08-22,7.3808,7.3808,7.1018,7.3537,6032
2007-08-23,7.2761,7.4886,7.2105,7.3537,36590
2007-08-24,7.4109,7.4969,7.0055,7.2761,10659
2007-08-27,7.2761,7.6206,7.2761,7.3566,36197
2007-08-28,7.3537,7.524,7.2761,7.524,31246
2007-08-29,7.4434,7.616,7.3537,7.616,4121
2007-08-30,7.5512,7.6432,7.5429,7.6244,9320
2007-08-31,7.6605,7.7412,7.512,7.6628,3366
2007-09-03,7.7412,7.7863,7.5474,7.7863,24303
2007-09-04,7.9108,8.0115,7.7487,8.0115,8444
2007-09-05,7.9345,8.0934,7.7593,7.9927,12764
2007-09-06,7.9148,7.9148,7.5941,7.9148,25146
2007-09-07,7.7412,7.7442,7.2571,7.5354,8493
2007-09-10,7.4578,7.4578,7.2761,7.4192,2193
2007-09-11,7.4275,7.4275,7.1984,7.2761,5459
2007-09-12,7.4547,7.7412,7.3537,7.5278,9249
2007-09-13,7.3566,7.6974,7.3537,7.4162,3887
2007-09-14,7.6244,7.6244,7.3566,7.4109,2072
2007-09-17,7.3152,7.3808,7.1984,7.3348,3223
2007-09-18,7.1603,7.1603,7.0439,7.1407,2846
2007-09-19,7.3152,7.3152,7.0822,7.2761,2309
2007-09-20,7.2375,7.3348,7.1289,7.3348,2647
2007-09-21,7.3348,7.3348,7.1331,7.2956,698
2007-09-24,7.2761,7.2881,7.2761,7.2881,324
2007-09-25,7.2956,7.5474,7.2911,7.5474,3938
2007-09-26,7.6628,7.6628,7.5082,7.5474,3756
2007-09-27,7.567,7.567,7.5278,7.567,2512
2007-09-28,7.2844,7.3348,7.2715,7.3348,3393
2007-10-01,7.261,7.4109,7.261,7.4109,1040
2007-10-02,7.35,7.3537,7.087,7.3454,647
2007-10-03,7.087,7.2715,6.8236,7.2715,2817
2007-10-04,7.3152,7.3152,7.1603,7.3107,4633
2007-10-05,7.1212,7.3107,7.1212,7.3107,8426
2007-10-08,7.2761,7.3107,7.1682,7.1984,1347
2007-10-09,7.3152,7.3152,7.1212,7.3152,5118
2007-10-10,7.3537,7.3537,7.1984,7.35,7157
2007-10-11,7.4502,7.4502,7.4502,7.4502,130
