Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,4.71,4.84,4.71,4.84,19666
2005-01-04,4.84,4.84,4.74,4.74,40125
2005-01-05,4.84,4.84,4.79,4.79,2654
2005-01-06,4.79,4.79,4.68,4.68,12321
2005-01-07,4.68,4.76,4.68,4.74,68002
2005-01-10,4.74,4.9,4.74,4.84,25849
2005-01-11,4.9,4.95,4.9,4.93,23649
2005-01-12,5.01,5.17,4.93,4.95,19861
2005-01-13,5.01,5.01,4.9,5.01,17362
2005-01-14,4.84,4.98,4.84,4.95,3772
2005-01-17,4.84,4.9,4.76,4.87,5960
2005-01-18,4.87,4.9,4.82,4.87,6702
2005-01-19,4.93,4.93,4.82,4.82,1758
2005-01-20,4.9,4.95,4.82,4.82,2805
2005-01-21,4.84,4.84,4.79,4.79,2717
2005-01-24,4.74,4.95,4.74,4.84,8317
2005-01-25,4.82,4.95,4.82,4.84,7193
2005-01-26,4.84,4.9,4.84,4.9,7887
2005-01-27,4.9,4.98,4.9,4.95,18310
2005-01-28,4.93,4.93,4.84,4.9,20419
2005-01-31,4.9,5.03,4.87,5.01,16094
2005-02-01,5.12,5.8,5.12,5.61,184848
2005-02-02,5.61,5.77,5.44,5.61,101930
2005-02-03,5.66,5.69,5.44,5.63,20026
2005-02-04,5.99,6.23,5.85,5.85,247712
2005-02-07,6.12,6.26,5.58,5.99,156477
2005-02-08,5.99,5.99,5.85,5.99,38445
2005-02-09,5.88,5.93,5.69,5.77,35414
2005-02-10,5.63,5.71,5.55,5.71,34697
2005-02-11,5.55,5.55,5.5,5.52,5416
2005-02-14,5.58,5.66,5.5,5.61,19409
2005-02-15,5.85,5.88,5.74,5.74,25988
2005-02-16,5.88,5.88,5.69,5.74,16703
2005-02-17,5.74,5.8,5.61,5.77,46642
2005-02-18,5.77,5.77,5.61,5.69,10757
2005-02-21,5.66,5.71,5.61,5.61,9844
2005-02-22,5.5,5.61,5.5,5.61,7239
2005-02-23,5.61,5.61,5.47,5.5,9939
2005-02-24,5.55,5.55,5.47,5.5,9498
2005-02-25,5.47,5.61,5.39,5.44,17294
2005-02-28,5.44,5.47,5.25,5.36,21244
2005-03-01,5.42,5.5,5.28,5.5,15319
2005-03-02,5.58,5.58,5.44,5.58,4047
2005-03-03,5.55,5.69,5.5,5.66,19359
2005-03-04,5.58,5.69,5.5,5.63,6004
2005-03-07,5.55,5.69,5.52,5.55,5824
2005-03-08,5.5,5.5,5.31,5.44,6430
2005-03-09,5.31,5.47,5.31,5.47,3551
2005-03-10,5.39,5.5,5.39,5.5,3762
2005-03-11,5.5,5.5,5.39,5.5,20261
2005-03-14,5.44,5.66,5.44,5.44,166325
2005-03-15,5.39,5.52,5.39,5.5,5844
2005-03-16,5.44,5.47,5.39,5.47,14362
2005-03-17,5.47,5.63,5.47,5.63,9370
2005-03-18,5.5,5.55,5.47,5.55,19194
2005-03-21,5.5,5.55,5.44,5.55,2397
2005-03-22,5.47,5.52,5.44,5.52,5576
2005-03-23,5.61,5.69,5.39,5.52,46430
2005-03-24,5.58,5.61,5.47,5.52,10362
2005-03-29,5.44,5.5,5.39,5.5,15150
2005-03-30,5.47,5.5,5.42,5.42,40874
2005-03-31,5.5,5.5,5.36,5.36,10472
2005-04-01,5.39,5.42,5.36,5.36,35392
2005-04-04,5.39,5.47,5.36,5.36,25520
2005-04-05,5.36,5.47,5.36,5.44,24462
2005-04-07,5.39,5.39,5.39,5.39,7347
2005-04-11,5.39,5.52,5.39,5.44,24408
2005-04-12,5.44,5.44,5.44,5.44,2122
2005-04-13,5.39,5.39,5.39,5.39,3399
2005-04-14,5.17,5.2,5.14,5.14,4960
2005-04-15,4.95,5.01,4.93,4.95,4879
2005-04-18,4.95,4.95,4.93,4.95,2057
2005-04-19,4.95,4.95,4.95,4.95,3307
2005-04-20,4.79,4.79,4.46,4.6,11485
2005-04-21,4.46,4.46,4.25,4.46,15793
2005-04-22,4.27,4.71,4.22,4.71,26936
2005-04-25,4.63,4.65,4.63,4.63,1102
2005-04-26,4.38,4.57,4.38,4.57,3382
2005-04-27,4.46,4.46,4.41,4.41,4409
2005-04-28,4.35,4.57,4.35,4.54,4483
2005-04-29,4.52,4.52,4.38,4.38,4336
2005-05-02,4.41,4.52,4.41,4.52,1118
2005-05-04,4.54,4.63,4.41,4.63,4067
2005-05-05,4.65,4.79,4.63,4.71,8435
2005-05-06,5.03,5.03,4.87,4.9,22971
2005-05-09,4.95,5.17,4.95,5.12,27726
2005-05-10,5.12,5.12,4.82,4.82,1361
