Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-08-04,1.8689,1.9666,1.7956,1.9361,8757756
2006-08-07,1.93,1.9361,1.9116,1.9361,1204105
2006-08-08,1.9361,1.9422,1.93,1.9422,1111954
2006-08-09,1.9361,1.9545,1.9238,1.9422,1322362
2006-08-10,1.9422,1.9483,1.93,1.9361,425019
2006-08-11,1.9361,1.9422,1.93,1.9361,275754
2006-08-14,1.9238,1.9361,1.9238,1.9361,546429
2006-08-16,1.9361,1.9361,1.9178,1.9238,363002
2006-08-17,1.9238,1.93,1.9238,1.9238,416960
2006-08-18,1.9178,1.9238,1.8628,1.9238,719345
2006-08-21,1.9238,1.9238,1.9116,1.9238,648216
2006-08-22,1.9056,1.9238,1.9056,1.9116,244745
2006-08-23,1.9056,1.9238,1.8994,1.9178,682379
2006-08-24,1.9116,1.9545,1.9116,1.9545,2296438
2006-08-25,1.9422,1.991,1.9422,1.9728,1929583
2006-08-28,1.9849,2.0216,1.9849,2.0216,1388235
2006-08-29,2.0032,2.1621,2.0032,2.1621,1307295
2006-08-30,2.1132,2.1132,2.0521,2.0826,132797
2006-08-31,2.1132,2.1132,2.0583,2.0766,338999
2006-09-01,2.101,2.1377,2.0766,2.1254,1081295
2006-09-04,2.1132,2.1499,2.1071,2.1499,119657
2006-09-05,2.1499,2.1986,2.1132,2.1986,651370
2006-09-06,2.1986,2.1986,2.1682,2.1804,61142
2006-09-07,2.1804,2.1804,2.0949,2.1499,83217
2006-09-08,2.1499,2.1621,2.1499,2.1499,136125
2006-09-11,2.1499,2.1559,2.1499,2.1559,30834
2006-09-12,2.1499,2.1682,2.1377,2.1437,196743
2006-09-13,2.1254,2.1437,2.1254,2.1377,186582
2006-09-14,2.1377,2.1377,2.1254,2.1377,67624
2006-09-15,2.1377,2.1377,2.1377,2.1377,70078
2006-09-18,2.1377,2.1377,2.1254,2.1254,5958
2006-09-19,2.1377,2.1377,2.0949,2.1193,197268
2006-09-20,2.1193,2.1193,2.0583,2.0766,176770
2006-09-21,2.0766,2.0766,1.9972,2.0766,240890
2006-09-22,2.0766,2.0766,2.0032,2.0705,32411
2006-09-25,2.0521,2.0643,2.0521,2.0643,31009
2006-09-26,2.0643,2.0643,2.0521,2.0521,54660
2006-09-27,2.046,2.0643,2.0276,2.0583,1396819
2006-09-28,2.0521,2.0583,2.0521,2.0583,6656
2006-09-29,2.0826,2.1071,2.0583,2.1071,87421
2006-10-02,2.1132,2.1377,2.0521,2.0521,274002
2006-10-03,2.046,2.0826,2.046,2.0521,402069
2006-10-04,2.1132,2.1132,2.046,2.0766,216714
2006-10-05,2.1132,2.1132,2.0521,2.101,43274
2006-10-06,2.1071,2.1621,2.0521,2.1559,806417
2006-10-09,2.1621,2.1682,2.1132,2.1437,674495
2006-10-10,2.1132,2.1437,2.1132,2.1437,274002
2006-10-11,2.1132,2.1621,2.1132,2.1621,57112
2006-10-12,2.1621,2.1682,2.1499,2.1682,1172396
2006-10-13,2.1682,2.2109,2.1682,2.2109,821306
2006-10-16,2.2109,2.217,2.1621,2.2109,321480
