Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-04,3.6,3.6,3.6,3.6
2005-01-05,3.76,3.76,3.76,3.76,522
2005-01-06,3.6,3.6,3.6,3.6,352
2005-01-10,3.44,3.44,3.44,3.44,15
2005-01-12,3.44,3.44,3.44,3.44
2005-01-13,3.44,3.44,3.44,3.44,783
2005-01-14,3.44,3.44,3.44,3.44,493
2005-01-19,3.44,3.44,3.44,3.44,286
2005-01-21,3.44,3.44,3.44,3.44,920
2005-01-25,3.44,3.44,3.44,3.44,940
2005-01-26,3.28,3.28,3.28,3.28,104
2005-02-01,3.28,3.44,3.28,3.44,138
2005-02-02,3.44,3.44,3.04,3.04,79
2005-02-09,3.44,3.44,3.44,3.44,381
2005-02-10,3.44,3.44,3.44,3.44,2796
2005-02-11,3.44,3.44,3.44,3.44,1894
2005-02-24,3.44,3.44,3.44,3.44,679
2005-02-25,3.2,3.2,3.2,3.2,522
2005-03-08,3.52,4.4,3.52,4.4,1044
2005-03-09,4,4,3.28,3.28,2115
2005-03-10,3.6,4.24,3.6,4.24,1828
2005-03-16,3.36,3.36,3.36,3.36,131
2005-03-17,3.44,3.44,3.44,3.44,131
2005-03-21,3.44,3.44,3.44,3.44,157
2005-03-24,2.72,3.12,2.72,3.12,131
2005-04-01,3.12,3.12,3.12,3.12,131
2005-04-04,3.12,3.12,3.12,3.12,85
2005-04-05,3.12,3.12,3.12,3.12,131
2005-04-14,3.76,3.76,3.76,3.76,235
2005-04-18,3.12,3.12,2.8,2.8,226
2005-04-19,2.64,2.64,2.64,2.64
2005-04-20,2.64,2.64,2.64,2.64,1044
2005-04-21,2.64,2.72,2.64,2.72,1242
2005-04-22,2.72,2.72,2.72,2.72,261
2005-04-28,2.88,2.88,2.88,2.88,392
2005-04-29,3.04,3.04,3.04,3.04,355
2005-05-10,2.64,2.72,2.64,2.72,574
2005-05-17,2.64,2.64,2.64,2.64,457
2005-05-20,2.64,2.64,2.64,2.64,356
2005-05-25,3.04,3.04,3.04,3.04,535
2005-05-30,2.64,2.64,2.64,2.64,506
2005-05-31,2.64,2.64,2.56,2.56,809
2005-06-01,2.64,2.64,2.64,2.64,844
2005-06-02,2.32,2.32,2.32,2.32,18341
2005-06-03,2.64,2.64,2.64,2.64,10
2005-06-06,2.64,2.64,2.64,2.64,2575
2005-06-07,2.64,2.64,2.64,2.64,1814
2005-06-08,2.4,2.4,2.4,2.4,5248
2005-06-09,2.4,2.4,2.4,2.4,1501
2005-06-10,2.64,2.64,2.64,2.64,3
2005-06-13,2.64,2.64,2.64,2.64,27
2005-06-14,2.32,2.32,2.32,2.32,2433
2005-06-15,2.32,2.32,2.32,2.32,772
2005-06-16,2.32,2.32,2.32,2.32,60
2005-06-20,2.32,2.32,2.08,2.08,287
2005-06-21,1.84,2.32,1.84,2.32,275
2005-06-23,2.24,2.24,2.08,2.08,311
2005-06-24,2.24,2.24,2.24,2.24
2005-07-04,1.52,2.16,1.52,2.16,444
2005-07-05,2,2,1.84,1.84,261
