Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.2652,5.3335,5.2309,5.3335,601
2005-01-04,5.2652,5.2992,5.1967,5.2992,1874
2005-01-05,5.1967,5.2309,5.1625,5.1625,2718
2005-01-06,5.1283,5.1283,4.9917,4.9917,2488
2005-01-07,4.9917,5.1283,4.9917,5.1283,877
2005-01-10,4.9917,5.06,4.9917,5.0258,1256
2005-01-11,5.0258,5.0941,4.7865,5.0941,3342
2005-01-12,5.1283,5.1625,5.1283,5.1625,1465
2005-01-13,5.1283,5.1283,5.1283,5.1283,511
2005-01-14,5.06,5.06,5.06,5.06,247
2005-01-17,5.0941,5.0941,5.0941,5.0941,1889
2005-01-18,5.06,5.06,5.0258,5.06,546
2005-01-19,5.0258,5.0941,5.0258,5.0941,1936
2005-01-20,5.06,5.0941,4.9917,5.0941,3560
2005-01-24,4.9575,4.9575,4.9575,4.9575,587
2005-01-25,4.9917,4.9917,4.9917,4.9917,731
2005-01-26,4.9575,4.9917,4.8549,4.9575,3430
2005-01-27,4.8549,4.9233,4.7865,4.7865,1646
2005-01-28,4.9233,5.0258,4.9233,5.0258,1096
2005-01-31,5.06,5.06,5.06,5.06,570
2005-02-01,5.06,5.2309,5.06,5.1967,6403
2005-02-02,5.0941,5.2309,5.0941,5.1967,4139
2005-02-03,5.1967,5.9489,5.1967,5.6411,90617
2005-02-04,5.6753,5.7437,5.3676,5.7437,20711
2005-02-07,5.7096,5.8121,5.6411,5.778,7818
2005-02-08,5.8121,5.9147,5.607,5.9147,11651
2005-02-09,5.983,5.983,5.6411,5.9147,9847
2005-02-10,5.7437,5.8121,5.5727,5.8121,3520
2005-02-11,5.6411,5.8121,5.6411,5.778,1025
2005-02-14,5.7437,5.8121,5.7437,5.778,1025
2005-02-15,5.7096,5.7437,5.5727,5.5727,4006
2005-02-16,5.5727,5.5727,5.3335,5.5044,10243
2005-02-17,5.5044,5.5044,5.1625,5.4704,9176
2005-02-18,5.2309,5.4362,5.1625,5.4362,3279
2005-02-21,5.4362,5.4362,5.2992,5.3676,1876
2005-02-22,5.2309,5.2309,5.1283,5.1283,4306
2005-02-23,5.1283,5.1967,4.9233,4.9233,6341
2005-02-24,5.1625,5.2309,4.889,5.1967,3428
2005-02-25,5.1967,5.2309,4.9917,5.2309,5988
2005-02-28,5.1967,5.1967,5.0258,5.1967,1079
2005-03-01,5.1283,5.1283,5.1283,5.1283,541
2005-03-04,4.889,4.9233,4.889,4.9233,659
2005-03-07,4.718,5.1283,4.6497,4.718,3892
2005-03-08,4.513,5.06,4.4788,4.9575,1199
2005-03-09,4.6497,4.6497,4.6497,4.6497,439
2005-03-11,4.889,4.9233,4.889,4.9233,199
2005-03-14,4.9233,4.9917,4.7865,4.9233,1589
2005-03-16,4.718,4.718,4.5814,4.5814,1168
2005-03-17,4.6838,4.6838,4.4788,4.6497,5731
2005-03-18,4.6497,4.6838,4.5814,4.6838,294
2005-03-21,4.6838,4.6838,4.6497,4.6497,122
2005-03-22,4.513,4.5814,4.3762,4.3762,4611
2005-03-23,4.4105,4.4445,4.3762,4.4445,961
2005-03-24,4.4105,4.4445,4.4105,4.4445,1579
2005-03-29,4.3762,4.4445,4.2735,4.4445,2418
2005-03-30,4.3078,4.4445,4.3078,4.4445,1025
2005-03-31,4.4105,4.4445,4.4105,4.4445,364
2005-04-01,4.4445,4.4788,4.3078,4.3078,1760
2005-04-04,4.1711,4.2394,4.0344,4.0344,7045
2005-04-05,4.0344,4.2735,4.0344,4.2735,3613
2005-04-06,4.2394,4.3078,4.2394,4.3078,293
2005-04-07,4.2394,4.2394,4.2394,4.2394,1133
2005-04-11,4.2052,4.2735,4.2052,4.2735,1469
2005-04-12,4.1711,4.1711,4.1711,4.1711,73
2005-04-13,4.2735,4.5814,4.2735,4.5814,5329
2005-04-14,4.4445,4.5814,4.4445,4.5814,1549
2005-04-15,4.4445,4.4445,4.4445,4.4445,156
2005-04-18,4.342,4.342,4.0344,4.0344,10793
2005-04-19,4.1369,4.1369,4.1369,4.1369,833
2005-04-20,4.0685,4.2052,4.0685,4.1369,5015
2005-04-21,4.0344,4.0344,4.0344,4.0344,731
2005-04-22,4.1369,4.1369,4,4,2456
2005-04-25,4.0685,4.1027,4.0685,4.1027,1609
2005-04-26,4.0344,4.0344,3.8291,3.8976,12463
2005-04-27,3.8291,3.966,3.7609,3.9318,5696
2005-04-28,3.8291,3.966,3.8291,3.966,2101
