Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,8.4256,8.5985,8.1881,8.4256,11217
2005-01-04,8.3896,8.4616,8.2528,8.4616,8223
2005-01-05,8.3896,8.3896,8.3248,8.3896,9478
2005-01-06,8.2528,8.3896,8.2528,8.3896,1456
2005-01-07,8.3896,8.4616,8.1881,8.3248,242041
2005-01-10,8.3248,8.3248,8.224,8.3248,25541
2005-01-11,8.3248,8.3248,8.2528,8.3248,13212
2005-01-12,8.2528,8.2888,8.224,8.2888,20829
2005-01-13,8.1881,8.3536,8.0512,8.3536,6856
2005-01-14,8.3536,8.3536,7.9144,8.1881,18987
2005-01-17,7.9792,8.2528,7.9144,8.2528,3886
2005-01-18,8.2888,8.2888,8.0151,8.224,1761
2005-01-19,8.1159,8.1159,7.9144,8.1159,2537
2005-01-20,7.8422,8.0512,7.7775,8.0512,5286
2005-01-21,8.0512,8.0512,7.7055,7.9792,7065
2005-01-24,7.8784,8.0512,7.7055,8.0512,40460
2005-01-25,8.0512,8.1159,7.8422,8.0151,36064
2005-01-26,8.0151,8.0151,7.8784,7.9144,5623
2005-01-27,7.8784,7.8784,7.8422,7.8784,45612
2005-01-28,7.8784,7.9144,7.7775,7.8784,6439
2005-01-31,7.8422,7.9792,7.8422,7.9144,6448
2005-02-01,7.9792,8.1159,7.8784,8.1159,4538
2005-02-02,7.9504,7.9792,7.9504,7.9792,7564
2005-02-03,8.0871,8.1881,7.9504,7.9792,6087
2005-02-04,7.9504,7.9792,7.8422,7.9504,11274
2005-02-07,7.8422,7.9144,7.8422,7.9144,18197
2005-02-08,7.9144,8.0512,7.8136,8.0512,15283
2005-02-09,8.0512,8.0512,7.7055,7.9144,196511
2005-02-10,7.9144,7.9144,7.7775,7.9144,20318
2005-02-11,7.9144,7.9792,7.9144,7.9792,33421
2005-02-14,7.9144,8.0151,7.8784,7.8784,30199
2005-02-15,7.8784,7.9144,7.8422,7.8784,36612
2005-02-16,7.7775,7.8784,7.7415,7.8422,80465
2005-02-17,7.7775,7.8136,7.7055,7.7775,7850
2005-02-18,7.7055,7.9792,7.576,7.8422,772542
2005-02-21,7.8422,7.8422,7.576,7.7055,6545
2005-02-22,7.7055,7.7055,7.5039,7.7055,7820
2005-02-23,7.7415,7.7775,7.6048,7.7775,5479
2005-02-24,7.7055,7.8136,7.6408,7.7415,17249
2005-02-25,7.7055,7.7415,7.6048,7.7055,11151
2005-02-28,7.6408,7.8784,7.6408,7.8422,1200
2005-03-01,8.0512,8.0512,7.7775,7.7775,16542
2005-03-02,7.6408,7.8422,7.5039,7.576,69116
2005-03-03,7.576,7.7055,6.9926,7.4392,103884
2005-03-04,7.5039,7.5039,7.3312,7.4679,10816
2005-03-07,7.4031,7.5039,7.3671,7.4679,53751
2005-03-08,7.5039,7.5039,7.1656,7.1656,72046
2005-03-09,7.2663,7.2663,6.9278,7.0287,43651
2005-03-10,6.9926,6.9926,6.755,6.8198,66115
2005-03-11,6.8198,6.8198,6.755,6.8198,6064
2005-03-14,6.755,6.8198,6.5462,6.8198,14775
2005-03-15,6.683,6.683,6.6182,6.683,13406
2005-03-16,6.683,6.8198,6.6182,6.8198,25749
2005-03-17,6.6182,6.9566,6.6182,6.9566,2494
2005-03-18,6.8198,7.1656,6.8198,7.1656,205308
2005-03-21,7.0287,7.1656,6.9926,7.1656,1898
2005-03-22,6.9566,7.1656,6.9566,7.1656,2864
2005-03-23,7.1944,7.2302,7.1294,7.1656,14533
2005-03-24,7.3671,7.3671,7.1294,7.3671,33044
2005-03-29,7.3671,7.4392,7.3022,7.4392,3769
2005-03-30,7.4392,7.4392,7.3022,7.4031,7109
2005-03-31,7.2302,7.5039,7.2302,7.5039,11206
2005-04-01,7.5039,7.5039,7.3022,7.5039,4217
2005-04-04,7.5039,7.5039,7.2663,7.4031,12512
2005-04-05,7.3312,7.4392,7.2663,7.4392,3599
2005-04-06,7.3022,7.5039,7.3022,7.5039,3089
2005-04-07,7.5039,7.576,7.0935,7.5039,8795
2005-04-11,7.5039,7.576,7.5039,7.576,5657
2005-04-12,7.6048,7.6048,7.4031,7.576,3575
2005-04-13,7.576,7.6048,7.4392,7.6048,937
2005-04-14,7.4392,7.7775,7.4031,7.7775,4893
2005-04-15,7.6408,7.6408,7.5039,7.5039,11527
2005-04-18,7.4031,7.4031,7.1294,7.3022,13889
2005-04-19,7.1656,7.1656,7.0574,7.1656,15977
2005-04-20,7.1656,7.1656,6.9566,7.0574,133767
2005-04-21,7.0574,7.0574,6.9278,6.9278,19257
2005-04-22,6.9278,6.9566,6.3804,6.8198,49657
2005-04-25,6.7189,6.8198,6.7189,6.8198,2491
2005-04-26,6.683,6.8198,6.6541,6.8198,6349
2005-04-28,6.8198,7.0287,6.8198,7.0287,953
2005-04-29,6.8558,7.0574,6.8558,7.0287,4946
2005-05-02,7.0574,7.0574,6.9278,6.9278,2511
2005-05-04,6.8558,7.0935,6.8558,7.0935,2264
2005-05-05,7.0935,7.0935,6.9566,7.0287,6531
2005-05-06,7.0574,7.1944,7.0287,7.1944,2951
2005-05-09,7.1944,7.3022,7.1944,7.3022,650
2005-05-10,7.1656,7.2302,7.0935,7.2302,4542
2005-05-11,7.3312,7.3312,7.0574,7.2663,804
2005-05-12,7.3312,7.4392,7.2663,7.2663,4954
2005-05-13,7.3671,7.3671,7.2302,7.2302,6235
2005-05-16,7.3022,7.3022,6.9926,7.2302,6484
2005-05-17,7.0574,7.3022,7.0574,7.3022,12859
2005-05-18,7.3022,7.3022,7.2302,7.3022,2758
2005-05-19,7.3022,7.3671,7.1294,7.2302,18866
2005-05-20,7.1656,7.3022,7.0935,7.1656,51320
2005-05-23,7.1656,7.1656,7.1656,7.1656,5270
2005-05-24,7.0287,7.1656,6.9926,7.1656,23453
2005-05-25,7.2302,7.2302,7.0574,7.1656,4383
2005-05-27,7.0574,7.4031,7.0574,7.4031,4058
2005-05-30,7.2663,7.3022,7.2302,7.3022,10509
2005-05-31,7.3022,7.3671,7.2302,7.3671,4111
2005-06-01,7.3671,7.3671,7.3671,7.3671,1141
2005-06-02,7.3671,7.4392,7.3022,7.4392,2940
2005-06-03,7.3671,7.5039,7.3022,7.5039,4314
2005-06-06,7.5039,7.6408,7.4392,7.6408,3790
2005-06-07,7.6048,7.6048,7.5039,7.5039,1332
2005-06-08,7.5399,7.5399,7.4031,7.5039,2007
2005-06-09,7.576,7.576,7.576,7.576,146
2005-06-10,7.6408,7.6408,7.576,7.6408,3503
2005-06-13,7.6408,7.6408,7.5399,7.6048,9220
2005-06-14,7.6048,7.6048,7.4392,7.576,3961
2005-06-15,7.4392,7.5039,7.4031,7.5039,1797
2005-06-16,7.4031,7.4031,7.3671,7.3671,4367
2005-06-17,7.3022,7.5039,7.1944,7.5039,25435
2005-06-20,7.3671,7.5039,7.3671,7.5039,1301
2005-06-21,7.4031,7.5039,7.4031,7.5039,821
2005-06-22,7.4031,7.4392,7.3671,7.4392,1690
2005-06-23,7.3671,7.4031,7.3671,7.4031,1098
2005-06-24,7.3022,7.3671,7.3022,7.3671,938
2005-06-27,7.2663,7.4392,7.2663,7.4392,1901
2005-06-28,7.3022,7.5399,7.3022,7.5399,35713
2005-06-29,7.5039,7.576,7.4392,7.4392,16843
2005-06-30,7.5039,7.6048,7.3671,7.6048,7831
2005-07-01,7.6048,7.6408,7.576,7.6408,2346
2005-07-04,7.6408,7.6408,7.4679,7.6408,4653
2005-07-05,7.5039,7.6408,7.5039,7.6408,4807
2005-07-06,7.5399,7.6408,7.5039,7.6408,5915
2005-07-07,7.576,7.576,7.3671,7.5039,4089
2005-07-08,7.5399,7.7129,7.5399,7.7129,81408
2005-07-11,7.7129,7.7488,7.6408,7.7488,4195
2005-07-12,7.6408,7.7488,7.6408,7.7488,2099
2005-07-13,7.7488,7.7488,7.6408,7.7129,563
2005-07-14,7.6767,7.6767,7.576,7.6408,1639
2005-07-15,7.6119,7.7129,7.6119,7.7129,5676
2005-07-18,7.576,7.8496,7.576,7.7849,99709
2005-07-19,7.7849,7.8136,7.7849,7.7849,1368
2005-07-20,7.8136,7.8856,7.8136,7.8856,73396
2005-07-21,7.8856,7.8856,7.7488,7.7488,882
2005-07-22,7.7488,7.7488,7.7129,7.7488,1621
2005-07-25,7.7488,7.8496,7.7488,7.7849,45689
2005-07-26,7.7849,7.9215,7.7849,7.8856,525
2005-07-27,7.8856,7.9936,7.8856,7.9936,5592
2005-07-28,8.0584,8.0584,7.8856,8.0225,1640
2005-07-29,7.8136,8.0225,7.6408,8.0225,12609
2005-08-01,7.8496,7.9215,7.8136,7.8136,5050
2005-08-02,7.7849,8.1664,7.7849,8.1664,7895
2005-08-03,8.1664,8.1664,8.1304,8.1304,1477
2005-08-04,8.0584,8.2023,8.0225,8.2023,3164
2005-08-05,8.1664,8.2313,8.1664,8.2313,444
2005-08-08,8.0945,8.2023,8.0945,8.2023,3637
2005-08-09,8.0945,8.2313,8.0584,8.2313,6268
2005-08-10,8.1664,8.1664,8.0225,8.1304,4474
2005-08-11,8.1304,8.2023,7.7849,8.0584,19962
2005-08-12,8.0584,8.0584,8.0584,8.0584,1151
2005-08-16,8.0584,8.0945,7.8856,7.9936,8894
2005-08-17,7.8856,8.0584,7.7849,7.9936,2476
2005-08-18,7.9936,7.9936,7.8496,7.9936,1898
2005-08-19,7.8496,7.8856,7.7849,7.8856,6100
2005-08-22,7.8856,7.9936,7.7488,7.8856,3588
2005-08-23,7.8856,7.8856,7.7849,7.8856,2336
2005-08-24,7.8856,7.9577,7.8856,7.8856,574
2005-08-25,7.8496,7.9215,7.6767,7.9215,7250
