Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,99.228,99.228,96.377,96.853,1193
2005-01-04,96.853,96.853,94.573,95.903,1047
2005-01-05,93.529,94.953,92.484,93.529,1584
2005-01-06,93.529,93.529,88.402,91.345,2512
2005-01-07,90.395,90.395,88.781,89.256,4689
2005-01-10,89.256,89.256,88.117,88.781,881
2005-01-11,87.642,88.307,86.407,86.882,873
2005-01-12,86.977,87.357,85.458,86.122,2869
2005-01-13,86.407,88.211,85.078,85.078,20090
2005-01-14,85.743,86.787,85.458,86.028,1970
2005-01-17,86.407,88.022,86.028,87.832,4868
2005-01-18,88.402,90.11,85.363,88.307,99758
2005-01-19,89.161,91.155,88.971,89.256,5515
2005-01-20,89.826,90.87,86.407,90.206,5768
2005-01-21,90.68,91.155,88.876,89.921,646
2005-01-24,91.155,91.155,89.256,89.921,857
2005-01-25,89.731,89.921,88.876,89.731,820
2005-01-26,89.731,90.206,88.971,90.206,2212
2005-01-27,89.066,90.206,88.971,89.921,208
2005-01-28,90.206,90.395,89.256,90.11,613
2005-01-31,90.11,90.395,89.066,89.731,670
2005-02-01,89.826,89.826,87.357,88.496,1813
2005-02-02,89.446,89.541,88.687,88.876,1064
2005-02-03,89.256,89.731,88.876,89.731,1078
2005-02-04,90.016,90.016,89.256,89.731,1144
2005-02-07,89.731,91.155,89.446,91.155,1766
2005-02-08,91.535,91.535,89.921,90.206,2530
2005-02-09,90.206,91.061,90.206,90.585,7733
2005-02-10,90.87,91.061,89.826,89.826,2889
2005-02-11,89.826,90.016,85.933,89.256,4145
2005-02-14,90.776,90.87,89.541,90.206,1203
2005-02-15,90.206,90.395,89.256,89.731,36983
2005-02-16,90.11,90.206,89.256,90.206,5411
2005-02-17,90.206,90.491,88.971,88.971,2419
2005-02-18,89.161,89.256,88.971,89.256,2262
2005-02-21,89.256,90.206,89.256,90.11,10947
2005-02-22,91.061,91.155,90.68,91.061,25722
2005-02-23,90.965,94.003,90.965,93.149,4047
2005-02-24,94.003,97.327,94.003,94.479,8182
2005-02-25,95.428,96.377,93.529,94.003,1905
2005-02-28,94.003,94.003,91.629,91.629,1682
2005-03-01,91.629,94.858,91.629,92.58,7243
2005-03-02,94.479,94.479,91.82,92.58,3399
2005-03-03,94.003,94.003,91.914,92.01,596
2005-03-04,91.914,92.959,91.44,91.535,1407
2005-03-07,92.484,93.054,91.629,92.01,1898
2005-03-08,92.58,92.58,91.155,92.01,22041
2005-03-09,91.914,92.01,90.395,92.01,54109
2005-03-10,92.105,92.105,90.206,91.061,763
2005-03-11,90.206,91.061,89.826,90.87,749
2005-03-14,89.731,90.206,88.307,89.636,1374
2005-03-15,88.307,89.256,88.307,89.256,4902
2005-03-16,89.066,90.206,88.687,90.206,22371
2005-03-17,89.731,90.68,89.731,90.585,6218
2005-03-18,90.68,91.629,90.3,91.629,3653
2005-03-21,92.295,92.959,92.105,92.105,1016
2005-03-22,92.58,97.327,92.58,96.377,13908
2005-03-23,97.803,99.7,97.327,97.327,20446
2005-03-24,97.803,98.756,95.903,96.853,3849
2005-03-29,97.803,99.228,97.327,99.228,7473
2005-03-30,98.756,98.756,97.327,98.274,5422
2005-03-31,98.274,98.274,95.903,97.803,2718
2005-04-01,97.803,97.803,93.529,94.288,9174
2005-04-04,94.288,94.479,93.624,94.003,893
2005-04-05,94.668,94.764,93.909,94.479,253
2005-04-06,94.764,94.953,94.003,94.858,709
2005-04-07,93.434,94.858,93.434,94.003,1030
2005-04-11,94.003,95.428,94.003,94.953,424
2005-04-12,94.953,96.853,94.764,94.953,523
2005-04-13,96.853,96.853,94.003,95.428,2798
2005-04-14,94.003,94.953,94.003,94.953,116
2005-04-15,94.003,94.003,93.054,94.003,674
2005-04-18,92.674,94.003,88.781,92.58,2390
2005-04-19,92.484,93.054,90.016,93.054,799
2005-04-20,94.003,94.003,92.105,92.105,548
2005-04-21,90.206,93.054,89.446,90.776,12137
2005-04-22,93.054,93.814,90.776,92.105,63
2005-04-25,89.731,92.959,89.731,91.155,10939
2005-04-26,91.155,91.155,88.781,88.781,784
2005-04-27,88.781,90.11,88.781,88.781,1879
2005-04-28,88.876,90.206,88.781,90.11,3107
2005-04-29,90.68,91.155,90.206,90.206,2157
2005-05-02,90.206,91.629,90.206,91.629,51
2005-05-04,91.629,91.914,91.155,91.155,5595
2005-05-05,91.155,91.155,90.965,91.155,7148
2005-05-06,91.061,91.155,90.68,90.68,146
2005-05-09,89.826,91.155,89.826,91.155,1816
2005-05-10,90.3,91.155,90.3,91.155,1852
2005-05-11,90.206,91.155,90.206,91.155,425
2005-05-12,91.44,91.629,91.44,91.44,892
2005-05-13,91.914,93.814,91.914,93.434,1496
2005-05-16,93.624,93.814,92.674,93.814,4301
2005-05-17,93.054,94.764,93.054,94.668,569
2005-05-18,92.295,94.953,92.295,94.953,7335
2005-05-19,94.953,94.953,94.573,94.573,848
2005-05-20,94.764,94.764,94.479,94.479,1773
2005-05-23,94.573,94.953,94.573,94.668,528
2005-05-24,94.573,94.668,94.573,94.668,192
2005-05-25,94.668,94.764,94.668,94.764,7182
2005-05-27,94.764,94.764,94.479,94.479,169
2005-05-30,94.479,94.668,94.099,94.479,216
2005-05-31,94.479,94.953,94.479,94.858,264
2005-06-01,94.858,95.428,94.479,94.479,9567
2005-06-02,94.479,95.428,94.479,95.428,593
2005-06-03,94.573,94.953,94.479,94.953,339
2005-06-06,94.953,95.903,94.953,95.428,1495
2005-06-07,95.903,96.377,94.953,95.903,660
2005-06-08,95.903,97.803,94.953,97.803,3221
2005-06-09,95.903,98.274,95.903,98.274,6874
2005-06-10,97.803,97.803,95.428,96.853,323
2005-06-13,96.377,96.377,94.953,95.903,622
2005-06-14,94.479,94.479,94.003,94.003,775
2005-06-15,94.003,94.479,92.58,94.003,99
2005-06-16,94.479,94.479,92.295,93.529,36920
2005-06-17,94.003,94.003,92.58,92.58,350
2005-06-20,92.199,94.953,92.199,92.674,10696
2005-06-21,93.814,93.814,92.58,92.58,21100
2005-06-22,93.054,93.054,92.674,92.674,97
2005-06-23,93.529,93.529,92.105,93.529,267
2005-06-24,93.149,93.149,92.199,92.199,429
2005-06-27,93.909,93.909,92.105,93.718,424
2005-06-28,92.105,93.624,92.105,93.624,67
2005-06-29,93.529,94.003,92.295,92.769,43156
2005-06-30,92.674,94.003,92.674,94.003,12657
2005-07-01,94.003,94.764,94.003,94.764,17
2005-07-04,94.764,95.903,94.003,95.903,1125
