Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-06-26,12.104,12.153,11.569,11.667,251824
2006-06-27,11.618,11.861,10.743,11.083,331007
2006-06-28,11.375,11.472,11.083,11.229,15397
2006-06-29,11.521,11.813,11.278,11.667,92954
2006-06-30,11.861,12.056,11.667,11.667,105899
2006-07-03,12.104,12.104,11.667,11.667,26320
2006-07-04,11.813,11.813,11.472,11.667,5334
2006-07-05,11.667,11.667,11.424,11.618,34345
2006-07-06,11.569,11.569,11.278,11.424,11233
2006-07-07,11.424,11.424,11.229,11.229,25596
2006-07-10,11.181,11.569,11.181,11.424,5856
2006-07-11,11.618,11.667,11.521,11.618,22815
2006-07-12,11.569,12.007,11.569,11.91,23132
2006-07-13,12.007,12.007,11.569,11.569,4343
2006-07-14,11.472,11.764,11.472,11.764,2515
2006-07-17,11.764,11.764,11.569,11.667,6934
2006-07-18,11.667,11.861,11.569,11.667,10135
2006-07-19,11.764,11.764,11.569,11.764,14456
2006-07-20,11.667,11.861,11.569,11.764,4754
2006-07-21,11.861,11.861,11.667,11.764,1245
2006-07-24,11.813,11.813,11.667,11.813,3060
2006-07-25,11.813,11.813,11.667,11.667,5919
2006-07-26,12.153,12.736,11.958,12.542,24805
2006-07-27,12.542,12.542,12.201,12.542,34261
2006-07-28,12.59,13.514,12.59,13.319,75779
2006-07-31,13.611,15.507,13.611,14.875,202739
2006-08-01,15.361,15.458,14.243,14.486,85708
2006-08-02,14.389,15.069,14.389,14.826,27318
2006-08-03,15.507,16.333,15.264,15.896,295051
2006-08-04,16.333,18.472,16.285,17.986,358562
2006-08-07,17.986,18.181,16.333,16.868,272662
2006-08-08,16.868,16.868,15.944,16.236,91946
2006-08-09,16.528,17.208,16.382,17.014,89241
2006-08-10,17.111,17.16,16.528,16.965,34365
2006-08-11,16.819,16.868,16.431,16.479,33687
2006-08-14,16.042,16.285,15.556,15.75,26031
