Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,8.6185,8.7391,8.6185,8.6587,54267
2005-01-04,8.6587,8.6989,8.5782,8.6185,9322
2005-01-05,8.537,8.6185,8.1753,8.1753,133008
2005-01-06,8.0544,8.1349,7.9257,8.0383,96009
2005-01-07,8.0383,8.1349,7.9174,8.1349,151432
2005-01-10,8.1349,8.1349,7.9497,8.1349,83892
2005-01-11,8.1349,8.3364,8.0544,8.3364,88262
2005-01-12,8.3364,8.3364,8.0544,8.1753,16351
2005-01-13,8.1753,8.1753,8.1349,8.1753,3166
2005-01-14,8.1349,8.1349,7.8128,7.9739,23763
2005-01-17,8.0544,8.0947,8.0544,8.0544,97944
2005-01-18,8.0544,8.0544,7.5711,7.5711,23789
2005-01-19,7.8128,7.8128,7.6113,7.7726,110411
2005-01-20,7.7323,7.8933,7.7323,7.8208,335132
2005-01-21,7.8128,7.9739,7.8128,7.8933,98877
2005-01-24,7.8933,7.8933,7.7323,7.8933,183824
2005-01-25,7.9497,7.9497,7.8208,7.8933,22249
2005-01-26,7.9497,8.1349,7.9335,8.0947,1406769
2005-01-27,8.1349,8.2557,8.0544,8.2155,17778
2005-01-28,8.1753,8.2155,8.0947,8.1753,9151
2005-01-31,8.1753,8.2155,8.1753,8.2155,19926
2005-02-01,8.2557,8.5782,8.2557,8.537,298768
2005-02-02,8.5782,8.6185,8.4977,8.537,192180
2005-02-03,8.4573,8.6185,8.4573,8.6185,20572
2005-02-04,8.7391,8.7391,8.6185,8.6989,9038
2005-02-07,8.6989,8.6989,8.5782,8.6185,2372
2005-02-08,8.6185,8.6185,8.1753,8.296,20983
2005-02-09,8.3765,8.537,8.1349,8.4573,46100
2005-02-10,8.4573,8.7391,8.4169,8.7391,200164
2005-02-11,8.7391,8.7796,8.6989,8.6989,109766
2005-02-14,8.7391,8.7391,8.6185,8.7391,10652
2005-02-15,8.6989,8.7391,8.6185,8.6587,45279
2005-02-16,8.6989,8.7391,8.4573,8.537,292883
2005-02-17,8.537,8.8193,8.4977,8.8193,81296
2005-02-18,8.7391,8.8193,8.7391,8.7796,93402
