Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.2136,5.3444,5.1652,5.1812,1063953
2005-01-04,5.23,5.3116,5.1484,5.3116,751417
2005-01-05,5.2952,5.2952,5.1812,5.23,662206
2005-01-06,5.23,5.2628,5.1484,5.2628,523806
2005-01-07,5.2628,5.4912,5.23,5.4748,1161384
2005-01-10,5.5724,5.7028,5.4912,5.4912,1339023
2005-01-11,5.4912,5.5396,5.3772,5.5236,502570
2005-01-12,5.5888,5.8656,5.556,5.8168,1721408
2005-01-13,5.9308,6.11,5.784,5.8332,2422435
2005-01-14,5.784,5.8984,5.7188,5.8496,655556
2005-01-17,5.8656,5.9636,5.8332,5.8656,369149
2005-01-18,5.8168,5.8332,5.5396,5.5396,813076
2005-01-19,5.5396,5.6376,5.3772,5.6212,1073660
2005-01-20,5.4912,5.5888,5.4584,5.4912,347376
2005-01-21,5.5072,5.5396,5.4096,5.4584,295448
2005-01-24,5.4584,5.6864,5.442,5.67,584116
2005-01-25,5.7352,5.8168,5.7028,5.7352,626031
2005-01-26,5.7676,5.784,5.4748,5.4912,1344104
2005-01-27,5.5396,5.6048,5.5072,5.5396,619383
2005-01-28,5.5888,5.6212,5.4912,5.4912,356069
2005-01-31,5.556,5.7352,5.5072,5.5724,897221
2005-02-01,5.6536,5.8332,5.5888,5.8332,1289060
2005-02-02,5.8656,6.0288,5.6048,5.7028,1825384
2005-02-03,5.67,5.8656,5.6376,5.7188,703888
2005-02-04,5.7676,5.8168,5.7188,5.7516,223162
2005-02-07,5.8168,5.8168,5.7676,5.7676,361327
2005-02-08,5.8004,5.8004,5.67,5.7028,451979
2005-02-09,5.7028,5.7188,5.6536,5.67,156800
2005-02-10,5.6536,5.7028,5.6376,5.67,181375
2005-02-11,5.6864,5.7188,5.6536,5.67,265326
2005-02-14,5.6864,5.8332,5.67,5.7352,228495
2005-02-15,5.784,5.784,5.7028,5.7676,242094
2005-02-16,5.784,5.784,5.7028,5.7028,259483
2005-02-17,5.7188,5.784,5.6864,5.6864,315743
2005-02-18,5.7028,5.7028,5.6376,5.67,241785
2005-02-21,5.67,5.7028,5.6536,5.67,129550
2005-02-22,5.67,5.67,5.3116,5.556,651694
2005-02-23,5.4748,5.5236,5.3932,5.4748,313779
2005-02-24,5.4748,5.5888,5.4584,5.556,201546
2005-02-25,5.5724,5.5888,5.4912,5.5236,238819
2005-02-28,5.5396,5.8168,5.4584,5.7516,1017617
2005-03-01,5.5396,5.7028,5.5072,5.6212,480773
2005-03-02,5.556,5.6048,5.426,5.426,502812
2005-03-03,5.4584,5.556,5.442,5.4748,257248
2005-03-04,5.5072,5.5236,5.4584,5.4912,88042
2005-03-07,5.5236,5.5236,5.426,5.4584,143519
2005-03-08,5.4096,5.426,5.2788,5.3116,467701
2005-03-09,5.328,5.4584,5.2788,5.3932,466387
2005-03-10,5.3772,5.426,5.3444,5.4096,221191
2005-03-11,5.3772,5.3772,5.328,5.3608,129224
2005-03-14,5.3608,5.3608,5.23,5.2952,210572
2005-03-15,5.2952,5.3116,5.2464,5.2952,155301
2005-03-16,5.2628,5.2628,5.0508,5.1324,626145
2005-03-17,5.0672,5.1,4.986,5.0672,418965
2005-03-18,5.0508,5.2136,5.0508,5.1976,243393
2005-03-21,5.2464,5.2464,5.0508,5.0672,268067
2005-03-22,5.0672,5.1976,5.002,5.1324,421644
2005-03-23,5.1,5.1812,5.0672,5.1812,152057
2005-03-24,5.1976,5.3116,5.1652,5.23,239491
2005-03-29,5.2788,5.4912,5.2788,5.4912,616056
2005-03-30,5.5396,5.6048,5.4748,5.5396,295015
2005-03-31,5.556,5.5888,5.4584,5.4584,222668
2005-04-01,5.4584,5.5236,5.442,5.4912,176375
2005-04-04,5.5236,5.5396,5.4584,5.4912,90337
2005-04-05,5.4748,5.5072,5.4748,5.5072,45593
2005-04-06,5.5888,5.67,5.5396,5.67,515940
2005-04-07,5.6212,5.7676,5.6048,5.6536,521748
2005-04-11,5.5724,5.7676,5.5724,5.6212,279243
2005-04-12,5.6212,5.67,5.5724,5.5888,106606
2005-04-13,5.6212,5.6376,5.556,5.5724,69962
2005-04-14,5.5396,5.5396,5.4584,5.4912,119250
2005-04-15,5.4584,5.4748,5.2952,5.3772,144300
2005-04-18,5.2464,5.328,5.2464,5.2788,268826
2005-04-19,5.2464,5.3444,5.2464,5.2952,119877
2005-04-20,5.3608,5.3772,5.2136,5.2628,129943
2005-04-21,5.2788,5.3772,5.2628,5.3608,112538
2005-04-22,5.4096,5.442,5.3444,5.3444,182010
2005-04-25,5.3608,5.3772,5.3116,5.3116,79390
2005-04-26,5.3772,5.4748,5.328,5.3608,194215
2005-04-27,5.4096,5.426,5.328,5.3444,132006
2005-04-28,5.3932,5.426,5.3444,5.3608,135417
2005-04-29,5.426,5.5072,5.3444,5.4584,257261
2005-05-02,5.5396,5.6212,5.5396,5.5724,168627
2005-05-04,5.5724,5.6536,5.5724,5.6536,230271
2005-05-05,5.67,5.7352,5.67,5.7352,350818
2005-05-06,5.784,5.8004,5.6864,5.7352,600330
2005-05-09,5.8168,5.8168,5.7352,5.7676,285468
2005-05-10,5.7676,5.7676,5.442,5.4748,514471
2005-05-11,5.4748,5.5396,5.3444,5.4584,420787
2005-05-12,5.5072,5.5888,5.4748,5.5396,331636
2005-05-13,5.5888,5.5888,5.2788,5.3608,1310749
2005-05-16,4.872,5.002,4.8064,4.8556,849309
2005-05-17,4.872,4.872,4.8064,4.8392,111994
2005-05-18,4.8392,4.9208,4.8228,4.888,221860
2005-05-19,4.986,5.002,4.9368,4.9532,312712
2005-05-20,4.9532,4.9532,4.9044,4.9368,134305
2005-05-23,4.9044,4.9368,4.872,4.9208,223409
2005-05-24,4.888,5.1,4.888,5.1,465570
2005-05-25,5.1324,5.2788,5.116,5.23,427720
2005-05-27,5.2788,5.328,5.2136,5.23,134681
2005-05-30,5.2136,5.2136,5.116,5.1652,113338
2005-05-31,5.1484,5.23,5.1324,5.1652,392219
2005-06-01,5.1484,5.1652,5.0836,5.116,244993
2005-06-02,5.116,5.2136,5.116,5.1976,262081
2005-06-03,5.2136,5.2788,5.2136,5.2464,302948
2005-06-06,5.2464,5.2464,5.1812,5.1812,125204
2005-06-07,5.1812,5.23,5.1812,5.2136,505364
2005-06-08,5.2136,5.2136,5.1484,5.1652,124813
2005-06-09,5.1652,5.2464,5.116,5.23,595394
2005-06-10,5.2628,5.4096,5.2464,5.2952,857049
2005-06-13,5.2952,5.328,5.2628,5.2788,113190
2005-06-14,5.3116,5.3116,5.1652,5.1812,367520
2005-06-15,5.1976,5.2788,5.1976,5.2628,68412
2005-06-16,5.2628,5.3608,5.2464,5.3116,223522
2005-06-17,5.3444,5.3444,5.2628,5.2788,96979
2005-06-20,5.2464,5.3116,5.2464,5.2952,106567
2005-06-21,5.2952,5.3116,5.2788,5.2952,127031
2005-06-22,5.2952,5.3116,5.2628,5.2788,319975
2005-06-23,5.2788,5.2952,5.23,5.2788,199042
2005-06-24,5.2628,5.3444,5.2136,5.3116,214273
2005-06-27,5.328,5.4584,5.2952,5.3444,243193
2005-06-28,5.3444,5.3444,5.3116,5.3116,46159
2005-06-29,5.328,5.328,5.2952,5.3116,109181
2005-06-30,5.3116,5.3116,5.2952,5.3116,109157
2005-07-01,5.2788,5.3116,5.2788,5.2952,60125
2005-07-04,5.2952,5.3608,5.2788,5.328,122437
2005-07-05,5.328,5.3608,5.3116,5.3444,112461
2005-07-06,5.3608,5.442,5.3444,5.442,679641
2005-07-07,5.442,5.4584,5.3444,5.4584,671879
2005-07-08,5.5072,5.67,5.5072,5.6212,777197
2005-07-11,5.67,5.7188,5.6048,5.6536,446854
2005-07-12,5.6376,5.6864,5.6212,5.67,90571
2005-07-13,5.6864,5.6864,5.5396,5.556,245859
2005-07-14,5.5396,5.5724,5.4584,5.4584,167263
2005-07-15,5.4584,5.5724,5.3932,5.556,179990
2005-07-18,5.6048,5.6048,5.5072,5.5072,82721
2005-07-19,5.4912,5.5396,5.4748,5.5396,67565
2005-07-20,5.5072,5.6048,5.5072,5.5724,199788
2005-07-21,5.6048,5.6376,5.5888,5.6048,123215
2005-07-22,5.6212,5.6212,5.5724,5.6048,120657
2005-07-25,5.6048,5.6212,5.556,5.5888,115574
