Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,10.195,10.322,10.195,10.322,6127
2005-01-04,10.139,10.322,10.139,10.322,5993
2005-01-05,10.165,10.322,10.116,10.116,484
2005-01-06,10.116,10.216,10.116,10.216,10064
2005-01-07,10.116,10.216,9.827,9.827,14667
2005-01-10,9.3593,9.804,9.2596,9.804,11228
2005-01-11,9.571,9.804,9.571,9.804,2966
2005-01-12,9.4929,9.699,9.4929,9.699,2974
2005-01-13,9.4656,9.699,9.4656,9.699,12388
2005-01-14,9.543,9.671,9.543,9.671,497
2005-01-17,9.4148,9.671,9.4148,9.671,5098
2005-01-18,9.3593,9.649,9.3367,9.4929,4883
2005-01-19,9.3875,9.4929,9.3875,9.4929,6491
2005-01-20,9.2314,9.593,9.2314,9.3875,3914
2005-01-21,9.3875,9.593,9.3367,9.593,871
2005-01-24,9.4148,9.593,9.0254,9.1816,7477
2005-01-25,8.8422,9.2813,8.8422,8.8969,47739
2005-01-26,8.9756,8.9756,8.3244,8.5301,40851
2005-01-27,8.7418,8.792,8.6082,8.792,3886
2005-01-28,8.9756,9.0753,8.8422,8.8691,10648
2005-01-31,9.0527,9.0527,8.8189,8.9756,4864
2005-02-01,9.0527,9.1816,8.9756,9.1816,8496
2005-02-02,9.0753,9.4148,9.0753,9.3367,11253
2005-02-03,9.1816,9.1816,9.1044,9.1044,6054
2005-02-04,8.9202,9.2314,8.9202,9.2314,2046
2005-02-07,9.2041,9.2041,8.9202,9.1308,1751
2005-02-08,8.9492,9.0753,8.8422,9.0254,20601
2005-02-09,8.9202,8.9202,8.8422,8.9202,14216
2005-02-10,8.8189,8.9202,8.7149,8.8969,7663
2005-02-11,8.9202,9.0753,8.6862,9.0753,11499
2005-02-14,9.0753,9.0753,8.7149,8.8189,9952
2005-02-15,8.9756,9.0753,8.8691,9.0254,6606
2005-02-16,9.0753,9.0753,8.8691,8.9756,8079
2005-02-17,8.8691,9.0753,8.8189,9.0753,3223
2005-02-18,8.8422,9.0527,8.8189,8.8189,4804
2005-02-21,8.792,9.0753,8.6646,8.9756,2802
2005-02-22,8.9756,8.9756,8.7149,8.8189,1365
2005-02-23,8.7149,8.9492,8.7149,8.9202,5265
2005-02-24,8.8189,8.9202,8.7149,8.9202,4064
2005-02-25,8.7418,8.8691,8.6646,8.8422,1362
2005-02-28,8.9756,9.0527,8.6082,9.0527,3514
2005-03-01,9.0254,9.0527,8.8189,9.0254,32177
2005-03-02,9.0254,9.0753,8.7641,9.0753,18864
2005-03-03,9.0753,9.0753,8.8691,9.0753,3605
2005-03-04,8.8691,9.0254,8.8691,9.0254,1759
2005-03-07,8.8691,8.8691,8.7149,8.7149,3173
2005-03-08,8.7149,8.7149,8.4029,8.558,3642
2005-03-09,8.2963,8.558,8.2963,8.2963,8365
2005-03-10,8.1965,8.2468,7.729,8.0634,19884
2005-03-11,8.091,8.091,7.829,8.0407,3141
2005-03-14,7.829,8.0407,7.6229,7.829,6099
2005-03-15,7.6229,7.829,7.6229,7.829,2477
2005-03-16,7.5738,7.7794,7.056,7.6791,19607
2005-03-17,7.2896,8.0407,7.2896,8.0407,3537
2005-03-18,7.7794,7.8849,7.7794,7.7794,1813
2005-03-21,7.7794,7.7794,7.5738,7.6014,3119
2005-03-22,7.729,7.9628,7.6229,7.7794,3735
2005-03-23,7.9628,8.4524,7.5738,8.091,12804
2005-03-24,8.1965,8.5301,8.1965,8.5085,10241
2005-03-29,8.5301,8.7149,8.091,8.7149,4444
2005-03-30,8.7149,8.7149,8.6862,8.6862,1543
2005-03-31,8.558,8.7641,8.558,8.7641,4813
2005-04-01,8.7149,8.7149,8.4524,8.7149,145
2005-04-04,8.4524,8.6646,8.4524,8.6646,1792
