Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-07-20,7.4688,13.042,7.4688,12.915,1774484
2006-07-21,12.444,14.696,8.9512,8.9512,1030863
2006-07-24,8.8936,9.629,6.6644,6.8484,493387
2006-07-25,7.1128,7.6756,6.1016,6.722,447131
2006-07-26,6.8712,7.2276,6.4576,6.6072,143162
2006-07-27,6.6988,7.2848,6.228,7.1128,279187
2006-07-28,7.1128,7.4344,6.8484,6.8712,114715
2006-07-31,7.1128,7.1128,6.7564,6.7908,41569
2006-08-01,6.6644,6.7908,6.4004,6.4576,91327
2006-08-02,6.3428,6.3428,6.1016,6.1932,66458
2006-08-03,6.1016,7.354,5.952,7.0208,319171
2006-08-04,7.4688,7.4688,6.9056,7.1128,101088
2006-08-07,7.2044,7.4112,6.6644,6.9288,126209
2006-08-08,7.1472,7.1472,6.6644,7.1128,55682
2006-08-09,7.4112,7.4112,6.6988,6.6988,76661
2006-08-10,6.584,6.722,6.4004,6.492,24996
2006-08-11,6.4004,6.6416,6.3084,6.5152,28008
2006-08-14,6.584,6.584,6.228,6.492,6103
2006-08-16,6.4004,6.4576,6.228,6.4348,14801
2006-08-17,6.4348,6.4576,6.0784,6.4004,31658
2006-08-18,6.228,6.228,5.8028,5.8028,50568
2006-08-21,5.8948,6.5152,5.5156,6.2508,115893
2006-08-22,6.044,6.1016,5.6648,5.688,33397
2006-08-23,5.8716,5.8948,5.4236,5.5728,50493
2006-08-24,5.6304,5.688,5.4236,5.458,49614
2006-08-25,5.6648,5.6648,5.458,5.596,12220
2006-08-28,5.7224,5.9864,5.366,5.9864,72223
2006-08-29,6.044,6.228,5.688,5.7452,36924
2006-08-30,5.8948,5.8948,5.4236,5.5156,37688
2006-08-31,5.6648,5.688,5.458,5.458,22092
2006-09-01,5.5728,5.688,5.458,5.458,10232
2006-09-04,5.5844,5.7452,5.4236,5.7452,42511
2006-09-05,7.3768,7.3768,6.4116,6.4808,375032
2006-09-06,6.4808,6.5152,6.0784,6.3772,100115
2006-09-07,6.6072,7.3196,6.492,7.078,137004
2006-09-08,7.078,7.3196,6.7908,7.2736,58861
2006-09-11,7.492,8.2388,7.4688,7.848,129393
2006-09-12,7.94,7.94,7.5492,7.756,41379
2006-09-13,7.94,7.94,7.0552,7.0552,81284
2006-09-14,7.3196,7.3196,6.584,6.9288,84360
2006-09-15,6.6988,6.9288,6.6988,6.7336,13014
2006-09-18,6.9056,6.9864,6.7908,6.9632,19055
2006-09-19,6.9864,7.4688,6.86,7.4688,73787
2006-09-20,7.71,7.848,7.2848,7.4688,82781
