Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,60.423,60.884,60.423,60.884,563
2005-01-04,60.7,61.714,60.7,61.714,400
2005-01-05,60.054,62.084,59.962,61.992,802
2005-01-06,61.992,61.992,59.962,60.976,395
2005-01-07,60.884,61.992,60.054,61.992,256
2005-01-10,60.239,60.607,59.869,59.962,475
2005-01-11,57.933,61.807,57.933,61.807,618
2005-01-12,58.301,61.807,58.301,61.807,21
2005-01-13,61.53,61.53,61.345,61.53,76
2005-01-14,61.53,61.53,59.131,61.438,174
2005-01-17,61.53,61.622,58.855,61.438,500
2005-01-18,61.622,61.622,61.622,61.622,55
2005-01-19,61.53,61.53,61.53,61.53,12
2005-01-21,61.161,61.438,59.039,59.962,341
2005-01-24,59.962,61.254,59.962,61.254,157
2005-01-25,58.855,59.409,58.117,59.409,829
2005-01-26,59.962,59.962,59.869,59.962,337
2005-01-27,57.656,59.962,57.656,59.962,359
2005-01-28,59.962,59.962,59.039,59.962,108
2005-01-31,59.962,59.962,58.579,59.962,204
2005-02-01,57.841,59.962,57.841,59.869,359
2005-02-02,59.869,59.962,59.869,59.869,54
2005-02-03,59.962,59.962,59.777,59.962,132
2005-02-04,59.962,59.962,59.869,59.869,136
2005-02-07,58.393,60.423,58.393,60.423,35
2005-02-08,59.962,59.962,59.962,59.962,66
2005-02-09,59.962,59.962,59.039,59.039,8719
2005-02-10,60.331,60.331,59.039,59.501,2809
2005-02-11,59.869,60.7,58.579,60.7,1311
2005-02-14,60.607,60.7,60.607,60.7,38
2005-02-15,59.131,59.131,54.704,55.073,154906
2005-02-16,55.627,58.117,55.627,55.627,222
2005-02-17,57.656,57.656,56.272,56.272,230
2005-02-18,57.748,57.841,56.272,56.733,211
2005-02-21,57.564,57.564,55.35,55.35,427
2005-02-22,55.35,57.195,55.35,57.195,8
2005-02-23,55.627,57.103,55.35,57.103,562
2005-02-24,57.103,57.103,55.35,55.81,1218
2005-02-25,56.272,56.272,52.583,55.81,753
2005-02-28,55.81,55.81,54.889,55.257,741
2005-03-01,56.272,56.272,53.32,55.165,475
