Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,5.0245,5.0245,5.0245,5.0245,3269
2005-01-04,4.9892,4.9892,4.9892,4.9892,575
2005-01-05,5.2437,5.2437,5.2437,5.2437,3523
2005-01-06,5.2437,5.2437,5.2437,5.2437,761
2005-01-07,5.2437,5.2437,5.2437,5.2437,115
2005-01-10,5.2437,5.2437,5.2437,5.2437,1154
2005-01-11,5.9363,6.0679,5.9363,6.0679,5987
2005-01-12,5.8924,5.8924,5.7697,5.7697,508
2005-01-13,5.6382,5.6382,5.6382,5.6382,415
2005-01-14,5.6821,5.6821,5.6382,5.6382,1107
2005-01-18,5.3751,5.3751,5.3751,5.3751,263
2005-01-19,5.2874,5.2874,5.2874,5.2874,230
2005-01-20,5.5506,5.5506,5.5506,5.5506,286
2005-01-21,5.6382,5.6382,5.6382,5.6382,575
2005-01-25,5.6382,5.6382,5.6382,5.6382,2870
2005-01-26,5.6382,5.6382,5.6382,5.6382,211
2005-01-27,5.6382,5.6382,5.5066,5.5066,402
2005-02-01,5.5506,5.8487,5.5506,5.8487,2178
2005-02-02,5.8487,5.8487,5.6382,5.6382,462
2005-02-03,5.8487,5.8487,5.8487,5.8487,3879
2005-02-04,5.9802,5.9802,5.9802,5.9802,725
2005-02-08,6.0239,6.0239,6.0239,6.0239,831
2005-02-09,6.0679,6.0679,6.0679,6.0679,115
2005-02-15,6.0679,6.0679,6.0679,6.0679,637
2005-02-16,6.5064,6.6728,6.5064,6.6728,7896
2005-02-17,7.3306,7.3306,6.9359,6.9359,749
2005-02-21,6.9359,6.9359,6.9359,6.9359,402
2005-02-22,6.5064,6.5064,6.5064,6.5064,7482
2005-02-23,6.9359,6.9359,6.9359,6.9359,374
2005-02-24,6.5064,6.5064,6.5064,6.5064,179
2005-02-25,6.5501,6.5501,6.5501,6.5501,968
2005-02-28,6.6291,6.6291,6.6291,6.6291,3416
2005-03-01,6.6291,6.6291,6.0679,6.0679,1527
2005-03-02,6.2432,6.2432,6.0679,6.0679,416
2005-03-04,5.6821,5.6821,5.419,5.419,3203
2005-03-07,5.6382,5.6382,5.2874,5.2874,3921787
2005-03-08,6.1115,6.1115,6.1115,6.1115,39563
2005-03-09,6.0679,6.1115,6.0679,6.1115,9074
2005-03-10,5.9363,6.0679,5.9363,6.0679,6340
2005-03-11,5.8048,6.1993,5.8048,6.1993,6129
2005-03-14,5.8924,5.9363,5.8924,5.9363,4613
2005-03-15,5.9363,6.0239,5.9363,6.0239,6622
2005-03-16,6.0679,6.0679,6.0679,6.0679,17312
2005-03-17,6.0679,6.0679,6.0679,6.0679,12037
2005-03-18,6.0679,6.0679,6.0679,6.0679,24912
2005-03-21,6.2432,6.2432,6.1993,6.1993,21409
2005-03-23,6.1993,6.1993,5.9363,5.9363,462
2005-03-24,6.1555,6.2432,6.1555,6.2432,6744
2005-03-29,6.2432,6.2432,6.2432,6.2432,11316
2005-03-30,6.1555,6.2432,6.1555,6.2432,7810
2005-03-31,6.4186,6.4186,6.2432,6.2432,5914
2005-04-01,6.2432,6.2432,6.2432,6.2432,19606
2005-04-04,6.0679,6.0679,6.0679,6.0679,9416
2005-04-05,6.0679,6.0679,6.0679,6.0679,6344
2005-04-06,5.9802,5.9802,5.9802,5.9802,295
2005-04-07,5.9802,5.9802,5.9802,5.9802,29
2005-04-11,6.1555,6.1555,6.1555,6.1555,11106
2005-04-12,6.1555,6.1555,6.0239,6.0239,7132
2005-04-13,5.9363,5.9363,5.9363,5.9363,597
2005-04-14,5.7697,5.7697,5.7697,5.7697,466
2005-04-18,5.5943,5.8924,5.5943,5.8924,12778
2005-04-19,5.8924,5.8924,5.8924,5.8924,115
2005-04-20,5.6382,5.6382,5.6382,5.6382,9779
2005-04-21,5.5943,5.5943,5.3751,5.3751,2267
2005-04-22,5.3751,5.3751,5.3751,5.3751,773
2005-04-25,5.3751,5.3751,5.3751,5.3751,96762
2005-04-26,5.1997,5.1997,5.1997,5.1997,3102
2005-04-27,5.6821,5.6821,5.6821,5.6821,192
2005-04-29,5.6821,5.6821,5.6821,5.6821,2074
2005-05-05,5.2874,5.2874,5.2874,5.2874,629
2005-05-06,5.5506,5.5506,5.5506,5.5506,115
2005-05-10,5.2437,5.5506,5.2437,5.5506,601
2005-05-17,5.1997,5.1997,5.1997,5.1997,6902
2005-05-18,5.1121,5.1121,5.1121,5.1121,2834
2005-05-20,5.1121,5.1121,5.1121,5.1121,806
2005-05-23,4.7702,4.7702,4.7702,4.7702,12416
2005-05-24,4.7702,4.9892,4.7702,4.9892,10543
2005-05-27,5.156,5.156,5.156,5.156,172
2005-05-31,4.8139,4.8139,4.8139,4.8139,3250
2005-06-01,4.9016,4.9016,4.9016,4.9016,940
2005-06-02,4.8577,4.9454,4.8577,4.9454,5589
2005-06-03,4.7702,4.9892,4.7702,4.9892,7508
2005-06-06,4.9892,4.9892,4.9454,4.9454,2881
2005-06-07,4.9454,4.9892,4.9454,4.9892,12878
2005-06-08,5.0682,5.2437,5.0682,5.2437,5713
2005-06-09,5.0245,5.0245,5.0245,5.0245,10258
2005-06-10,5.0245,5.2437,5.0245,5.2437,2328
2005-06-13,5.2874,5.2874,5.2874,5.2874,268
2005-06-14,5.156,5.156,5.156,5.156,1378
2005-06-16,5.156,5.156,5.156,5.156,11864
2005-06-17,5.2874,5.2874,5.2874,5.2874,2798
2005-06-20,5.419,5.419,5.419,5.419,63
2005-06-21,5.3751,5.3751,5.2437,5.2437,636
2005-06-22,5.3751,5.3751,5.3751,5.3751,343
2005-06-23,4.9454,5.0682,4.9454,5.0682,24555
2005-06-24,5.156,5.156,5.156,5.156,323
2005-06-27,5.0245,5.0245,5.0245,5.0245,331
2005-06-28,5.1121,5.1121,5.1121,5.1121,575
2005-06-29,5.1121,5.1121,5.1121,5.1121,558
2005-06-30,5.2874,5.2874,5.0682,5.0682,828
2005-07-01,5.2874,5.2874,5.2874,5.2874,115
2005-07-04,5.3313,5.3313,5.3313,5.3313,697
2005-07-05,5.3313,5.3313,5.3313,5.3313,1850
2005-07-06,5.3751,5.4628,5.3751,5.4628,11869
2005-07-07,5.5506,5.5506,5.5066,5.5066,3689
2005-07-08,5.2874,5.5066,5.2874,5.5066,6003
2005-07-11,5.5506,5.5506,5.5506,5.5506,2015
2005-07-12,5.5943,5.7697,5.5943,5.7697,9785
2005-07-13,5.8048,5.8048,5.8048,5.8048,4617
2005-07-14,5.9802,5.9802,5.9802,5.9802,5
2005-07-15,5.6821,5.9363,5.6821,5.9363,2297
2005-07-18,5.6821,5.9363,5.6821,5.9363,853
2005-07-19,5.9363,5.9363,5.8924,5.8924,165
2005-07-20,5.5066,5.5066,5.5066,5.5066,28359
2005-07-21,5.8048,5.8048,5.8048,5.8048,344
2005-07-22,5.5066,5.5066,5.5066,5.5066,922
2005-07-26,5.7259,5.7259,5.7259,5.7259,230
2005-07-27,5.6382,5.6382,5.6382,5.6382,19162
2005-07-28,5.6382,5.6382,5.6382,5.6382,23310
2005-07-29,5.6382,5.6382,5.6382,5.6382,468187
2005-08-01,5.7697,5.9802,5.7697,5.9802,16819
