Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-12-16,3.4425,3.613,3.4425,3.613,70617
2008-12-18,3.4761,3.5376,3.4761,3.5376,36567
2008-12-19,3.5444,3.5444,3.5444,3.5444,72
2008-12-22,3.5444,3.5444,3.5444,3.5444,72
2008-12-23,3.5444,3.5444,3.5444,3.5444,42
2008-12-29,3.5444,3.5444,3.5444,3.5444,28
2008-12-30,3.5444,3.5444,3.5444,3.5444,15
2008-12-31,3.5444,3.5444,3.5444,3.5444,15
2009-01-05,3.5444,3.5444,3.5444,3.5444,15
2009-01-06,3.5444,3.5444,3.5444,3.5444,15
2009-01-07,3.5444,3.5444,3.5444,3.5444,15
2009-01-08,3.5444,3.5444,3.5444,3.5444,15
2009-01-09,3.5444,3.5444,3.5444,3.5444,15
2009-01-12,3.5444,3.5444,3.5444,3.5444,15
2009-01-13,3.5444,3.5444,2.8355,2.8355,935
2009-01-14,2.7267,2.7267,2.7267,2.7267,15
2009-01-15,2.9991,3.272,2.9991,3.272,540
2009-01-16,3.3399,3.4084,3.3399,3.4084,366
2009-01-19,3.4084,3.4084,3.4084,3.4084,15
2009-01-20,3.4084,3.4084,3.4084,3.4084,15
2009-01-21,3.4084,3.4084,3.4084,3.4084,15
2009-01-22,3.4084,3.4084,3.4084,3.4084,15
2009-01-23,3.4084,3.4084,3.4084,3.4084,15
2009-01-26,3.4084,3.4084,3.4084,3.4084,15
2009-01-27,3.4084,3.4084,3.4084,3.4084,15
2009-01-28,3.4084,3.4084,3.4084,3.4084,15
2009-01-29,3.4084,3.4084,3.4084,3.4084,15
2009-01-30,3.4084,3.4084,3.4084,3.4084,15
2009-02-02,3.4084,3.4084,3.4084,3.4084,15
2009-02-03,3.4084,3.4084,3.4084,3.4084,15
2009-02-04,3.4084,3.4084,3.4084,3.4084,15
2009-02-05,3.4084,3.4084,3.4084,3.4084,15
2009-02-06,3.4084,3.4084,3.4084,3.4084,15
2009-02-09,3.4084,3.4084,3.4084,3.4084,15
2009-02-10,3.4084,3.4084,3.4084,3.4084,15
2009-02-11,3.4084,3.4084,3.4084,3.4084,15
2009-02-12,3.4084,3.4084,3.4084,3.4084,15
2009-02-13,3.4084,3.4084,3.4084,3.4084,15
2009-02-16,3.4084,3.4084,3.4084,3.4084,15
2009-02-17,3.4084,3.4084,3.4084,3.4084,15
2009-02-18,3.4084,3.4084,3.4084,3.4084,15
2009-02-19,3.4084,3.4084,3.4084,3.4084,15
2009-02-20,3.4084,3.4084,3.4084,3.4084,15
2009-02-23,3.4084,3.4084,3.4084,3.4084,15
2009-02-24,3.4084,3.4084,3.4084,3.4084,15
2009-02-25,3.4084,3.4084,3.4084,3.4084,15
2009-02-26,3.4084,3.4084,3.4084,3.4084,15
2009-02-27,3.4084,3.4084,3.4084,3.4084,15
2009-03-02,3.4084,3.4084,3.4084,3.4084,15
