Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,6.8759,7.1719,6.809,7.1241,131025
2005-01-04,7.2149,7.3963,6.8998,7.1909,135735
2005-01-05,6.9426,7.2626,6.9188,7.1719,68013
2005-01-06,7.1719,7.3723,7.1241,7.3055,419034
2005-01-07,7.3055,7.3534,6.9664,7.1241,26166
2005-01-10,6.9905,7.0811,6.7851,6.809,66244
2005-01-11,6.809,6.8519,6.7184,6.809,32931
2005-01-12,6.8759,6.8998,6.809,6.809,7768
2005-01-13,6.7851,6.9426,6.7374,6.7374,32790
2005-01-14,6.7374,6.7374,6.6037,6.6275,12349
2005-01-17,6.4891,6.7612,6.4891,6.6037,20413
2005-01-18,6.7374,6.809,6.6275,6.6705,17512
2005-01-19,6.7612,6.8759,6.5798,6.7184,7419
2005-01-20,6.6944,6.6944,6.4891,6.6705,25189
2005-01-21,6.7184,6.7184,6.5798,6.6468,28309
2005-01-24,6.6468,6.6468,6.5798,6.6275,7133
2005-01-25,6.6275,6.7612,6.6037,6.6275,1144
2005-01-26,6.7612,6.7612,6.6705,6.6705,5066
2005-01-27,6.6705,6.9905,6.6705,6.8759,69160
2005-01-28,6.9426,7.5349,6.9426,7.2149,109456
2005-01-31,7.2626,7.3294,6.9426,6.9905,28780
2005-02-01,7.0334,7.2626,6.9905,7.1719,236400
2005-02-02,7.1719,7.1719,6.9905,7.0334,94555
2005-02-03,6.8759,7.0334,6.8759,6.9905,9623
2005-02-04,6.9905,6.9905,6.7612,6.7851,26364
2005-02-07,6.7612,6.8759,6.7612,6.7612,29960
2005-02-08,6.7184,6.7612,6.6705,6.7612,28364
2005-02-09,6.6705,6.7612,6.6468,6.7612,45398
2005-02-10,6.9188,6.9188,6.6275,6.7184,14648
2005-02-11,6.7184,6.809,6.7184,6.809,52592
2005-02-14,6.8998,6.8998,6.6468,6.809,17830
2005-02-15,6.809,6.8519,6.7184,6.809,136412
2005-02-16,6.809,6.8759,6.809,6.809,172146
2005-02-17,6.6944,6.809,6.6944,6.809,22859
2005-02-18,6.8519,6.8519,6.6944,6.7851,35194
2005-02-21,6.809,6.8998,6.809,6.809,12965
2005-02-22,6.8519,6.8519,6.6944,6.6944,994
2005-02-23,6.6705,6.809,6.6705,6.7184,7867
2005-02-24,6.7612,6.9905,6.7612,6.8998,73766
2005-02-25,6.8998,6.8998,6.8519,6.8519,5344
2005-02-28,6.8519,7.0095,6.8519,6.9905,26687
2005-03-01,7.1241,7.1241,6.9426,6.9664,23266
2005-03-02,7.0095,7.1241,6.8998,7.0811,26886
2005-03-03,7.1241,7.4631,7.1241,7.3963,45092
2005-03-04,7.3963,7.5778,7.3963,7.5778,34081
2005-03-07,7.5778,7.8499,7.5778,7.8069,27997
2005-03-08,7.8977,7.8977,7.3723,7.3723,20372
2005-03-09,7.3055,7.5538,7.3055,7.4871,9595
2005-03-10,7.444,7.4871,7.2626,7.3723,8114
