Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-03,1.7884,1.8247,1.7884,1.8247,129180
2005-01-04,1.8247,1.9337,1.8247,1.9064,916163
2005-01-05,1.9246,1.9246,1.8157,1.8429,432687
2005-01-06,1.8247,1.8247,1.7703,1.7884,296306
2005-01-07,1.8066,1.8338,1.7884,1.8066,418232
2005-01-10,1.8247,1.8429,1.8247,1.8429,451201
2005-01-11,1.8429,1.852,1.8338,1.8429,378896
2005-01-12,1.8429,1.852,1.8429,1.852,436190
2005-01-13,1.852,1.8701,1.8429,1.8701,633978
2005-01-14,1.8792,1.8792,1.8611,1.8792,118422
2005-01-17,1.8792,1.8883,1.8611,1.8792,574989
2005-01-18,1.8792,1.9064,1.8792,1.9064,885697
2005-01-19,1.9155,1.9246,1.9064,1.9155,1231011
2005-01-20,1.9155,1.9246,1.8883,1.9064,1247886
2005-01-21,1.9155,1.9246,1.9064,1.9155,569484
2005-01-24,1.9155,1.9155,1.8611,1.8792,266200
2005-01-25,1.8611,1.8611,1.8247,1.852,427573
2005-01-26,1.852,1.8701,1.8338,1.8338,167682
2005-01-27,1.8429,1.8974,1.8429,1.8792,562146
2005-01-28,1.8701,1.9518,1.8429,1.9518,838438
2005-01-31,1.9428,1.9428,1.9155,1.9337,276181
2005-02-01,1.9337,1.9518,1.9155,1.9428,856034
2005-02-02,1.9518,1.9518,1.9337,1.9337,219027
2005-02-03,1.9064,1.9518,1.9064,1.9155,113780
2005-02-04,1.9064,1.9155,1.9064,1.9155,151197
2005-02-07,1.8974,1.9155,1.8792,1.8883,204015
2005-02-08,1.9064,1.9064,1.8883,1.8883,173408
2005-02-09,1.8883,1.8883,1.8883,1.8883,371640
2005-02-10,1.8883,1.9064,1.8883,1.9064,181163
2005-02-11,1.8883,1.9155,1.8883,1.9064,661221
2005-02-14,1.8974,1.9155,1.8883,1.9155,286883
2005-02-15,1.9155,1.9155,1.9155,1.9155,531400
2005-02-16,1.8974,1.9155,1.8974,1.9064,328192
2005-02-17,1.9064,1.9155,1.9064,1.9155,281628
2005-02-18,1.9155,1.9246,1.9155,1.9155,247408
2005-02-21,1.9155,1.9246,1.9064,1.9155,234565
2005-02-22,1.9155,1.9518,1.9155,1.9246,316822
2005-02-23,1.9337,2.1244,1.9337,2.0608,821981
2005-02-24,2.0971,2.1244,1.9882,2.0517,802605
2005-02-25,2.0517,2.0517,1.9518,1.9882,425876
2005-02-28,1.9609,2.0336,1.9428,2.0063,1205577
2005-03-01,1.97,1.9972,1.9518,1.9972,62574
2005-03-02,2.0154,2.0154,1.9518,1.97,85676
2005-03-03,1.97,2.0063,1.9518,1.9609,14676
2005-03-04,1.9518,2.0063,1.9518,2.0063,81561
2005-03-07,2.0426,2.0426,1.9609,2.0154,61046
2005-03-08,2.0154,2.0154,1.97,1.9882,39585
2005-03-09,1.9882,1.9882,1.9609,1.9609,17012
2005-03-10,1.9428,1.9518,1.9246,1.9246,60434
2005-03-11,1.8974,1.9337,1.8066,1.8611,140078
