Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-06,1.1073,1.1073,1.1073,1.1073,2857
2005-01-10,1.2468,1.2468,1.2468,1.2468,100
2005-01-12,1.1073,1.1073,1.0971,1.0971,24582
2005-01-14,1.1121,1.1121,1.1121,1.1121,1203
2005-01-20,1.1172,1.1172,1.1172,1.1172,4010
2005-01-21,1.1121,1.1121,1.1121,1.1121,90
2005-02-02,1.3965,1.3965,1.3965,1.3965,100
2005-02-07,1.3965,1.4913,1.3965,1.4913,2707
2005-02-08,1.3467,1.3467,1.2966,1.2966,602
2005-02-09,1.2468,1.2468,1.1172,1.1172,12131
2005-02-10,1.137,1.4562,1.137,1.4562,13033
2005-02-11,1.4664,1.4664,1.4664,1.4664,5013
2005-02-15,1.4664,1.4664,1.4664,1.4664,722
2005-02-18,1.4613,1.4613,1.4613,1.4613,10
2005-02-23,1.2168,1.4064,1.2168,1.4064,180
2005-02-24,1.3365,1.3365,1.3365,1.3365,1474
2005-02-28,1.3266,1.3266,1.3266,1.3266,4291
2005-03-03,1.227,1.227,1.227,1.227,3950
2005-03-14,1.2069,1.2069,1.2069,1.2069,782
2005-03-16,1.2069,1.2069,1.2069,1.2069,772
2005-03-24,1.2069,1.2069,1.2069,1.2069,110
2005-04-15,1.1322,1.1322,1.1172,1.1172,14637
2005-04-18,1.1571,1.1571,1.0026,1.0026,9504
2005-04-21,1.2168,1.2168,1.2168,1.2168,20432
2005-04-22,1.197,1.197,1.197,1.197,34187
2005-04-25,1.197,1.197,1.197,1.197,100
2005-05-02,1.0674,1.0674,1.0674,1.0674,561
2005-05-05,1.0773,1.0971,1.0773,1.0971,6707
2005-05-19,1.0971,1.0971,1.0971,1.0971,3008
2005-06-17,1.0971,1.3866,1.0971,1.0971,42488
2005-06-28,1.0473,1.0473,1.0473,1.0473,30
2005-07-04,1.0473,1.0473,1.0473,1.0473,1955
2005-07-06,1.0473,1.0473,1.0473,1.0473,10045
2005-07-21,0.8976,0.8976,0.8976,0.8976,952
2005-08-02,0.9924,0.9924,0.9924,0.9924,100
2005-08-22,0.8976,0.8976,0.8976,0.8976,1003
2005-08-23,0.8976,0.8976,0.8976,0.8976,2165
2005-08-26,0.8976,0.8976,0.8976,0.8976,2005
2005-09-09,0.9876,0.9924,0.9876,0.9924,4963
2005-10-28,0.9975,0.9975,0.9975,0.9975,100
2005-11-03,0.798,0.798,0.798,0.798,5013
2005-11-04,0.8976,1.7955,0.8976,1.7955,12031
2005-11-08,0.6135,0.6135,0.6135,0.6135,100
2005-11-17,0.9924,0.9975,0.9924,0.9975,3008
2005-12-30,0.9078,0.9078,0.9078,0.9078,7188
2006-01-09,0.9975,0.9975,0.9975,0.9975,1003
2006-01-17,0.9876,0.9924,0.9876,0.9924,1504
2006-01-18,0.9924,0.9924,0.9924,0.9924,5504
2006-01-25,0.9477,0.9477,0.9477,0.9477,100
2006-01-26,0.9477,1.0374,0.9477,1.0374,1544
2006-01-30,1.0971,1.0971,1.0971,1.0971,501
2006-02-01,0.9924,0.9924,0.9924,0.9924,1033
2006-02-03,0.9924,0.9924,0.9924,0.9924,742
2006-02-07,0.9876,0.9876,0.9876,0.9876,1163
2006-02-08,0.9876,0.9876,0.9876,0.9876,8852
2006-02-09,0.9924,1.1172,0.9924,1.1172,22126
2006-02-10,1.1172,1.1172,1.1172,1.1172,2506
2006-02-14,0.9975,1.0473,0.9774,1.0473,7218
2006-02-15,1.0473,1.197,1.0473,1.1073,11660
2006-02-16,1.1472,1.3965,1.1472,1.3965,5003
2006-02-17,1.3965,1.4961,1.197,1.197,6035
2006-02-20,1.197,1.197,1.197,1.197,1634
2006-02-21,1.4364,1.4364,1.4364,1.4364,1694
2006-02-22,1.4364,1.4412,1.4265,1.4412,7018
2006-02-23,1.4412,1.4412,1.4412,1.4412,1855
2006-02-24,1.3467,1.3467,1.2966,1.3068,16261
2006-02-27,1.2966,1.2966,1.2966,1.2966,2005
2006-03-02,1.2468,1.2468,1.1073,1.1073,1394
2006-03-03,1.1121,1.1121,1.1121,1.1121,752
2006-03-07,1.1172,1.1172,1.1073,1.1073,3409
2006-03-10,1.0074,1.2768,0.9975,1.2768,7730
2006-03-20,1.2867,1.2867,1.2867,1.2867,1003
2006-03-21,1.2966,1.2966,1.2966,1.2966,1003
2006-03-23,1.197,1.197,1.197,1.197,1003
2006-03-28,1.1871,1.4862,1.1871,1.2867,25384
2006-04-04,1.3416,1.3467,1.3416,1.3467,1504
2006-04-05,1.3416,1.3416,1.3416,1.3416,1704
2006-04-06,1.3467,1.3467,1.3467,1.3467,1003
2006-04-07,1.3416,1.4961,1.3416,1.4961,33294
2006-04-10,1.4961,1.4961,1.4961,1.4961,18256
2006-04-11,1.4961,1.4961,1.4961,1.4961,1003
2006-04-18,1.4664,1.4664,1.4664,1.4664,1825
2006-04-19,1.4862,1.4961,1.4862,1.4961,20251
2006-04-20,1.4961,1.4961,1.4961,1.4961,1003
2006-04-21,1.6407,1.6407,1.6407,1.6407,1003
2006-04-25,1.5162,1.5162,1.5063,1.5063,2005
2006-04-26,1.5462,1.5462,1.5462,1.5462,902
2006-04-27,1.4463,1.4463,1.4463,1.4463,902
2006-04-28,1.3167,1.3167,1.3167,1.3167,100
2006-05-02,1.5162,1.5162,1.5162,1.5162,1003
2006-05-09,1.596,1.596,1.596,1.596,1103
2006-05-23,1.3965,1.3965,1.3965,1.3965,2005
2006-05-24,1.4961,1.4961,1.4961,1.4961,1504
2006-05-29,1.4961,1.4961,1.2966,1.2966,602
2006-06-02,1.4862,1.4913,1.4862,1.4913,2005
2006-06-12,1.3467,1.3467,1.3467,1.3467,1504
2006-06-16,1.2468,1.2468,1.2468,1.2468,2005
2006-06-21,1.2669,1.2966,1.2669,1.2966,2105
2006-06-22,1.2168,1.2168,1.2168,1.2168,1003
2006-06-29,1.2369,1.2369,1.2369,1.2369,1704
2006-06-30,1.2966,1.2966,1.2966,1.2966,5113
2006-07-06,1.2966,1.2966,1.2966,1.2966,170
2006-07-20,1.4763,1.4763,1.4763,1.4763,461
2006-08-02,1.4562,1.4562,1.4562,1.4562,511
2006-08-03,1.4562,1.4961,1.4562,1.4961,211
2006-08-04,1.4862,1.4862,1.4862,1.4862,431
2006-08-07,1.3965,1.3965,1.3965,1.3965,1203
2006-08-09,1.3965,1.3965,1.3965,1.3965,862
2006-08-17,1.4763,1.4763,1.4763,1.4763,1003
2006-08-21,1.4763,1.4763,1.4763,1.4763,1003
2006-08-24,1.4763,1.4913,1.4763,1.4913,4110
2006-08-25,1.4763,1.5063,1.4763,1.5063,34417
2006-08-28,1.5063,1.7955,1.5063,1.7955,9725
2006-08-29,1.7955,2.1945,1.7955,1.995,12732
2006-08-30,1.995,2.0946,1.995,1.995,11088
2006-08-31,1.995,2.2443,1.995,1.995,19850
2006-09-01,2.1945,2.6034,2.1945,2.5935,68955
2006-09-04,2.793,5.1867,2.6931,4.9374,40463
2006-09-05,4.9872,5.6856,2.394,4.9872,36292
2006-09-06,4.9872,4.9872,3.3414,3.3915,38718
2006-09-07,3.192,3.192,2.8029,2.9925,5785
2006-09-08,3.0423,3.2916,2.9925,3.2916,11970
2006-09-11,3.3915,3.8403,3.0921,3.4911,16722
2006-09-12,3.4812,3.4812,3.102,3.102,1504
2006-09-13,3.0921,3.0921,3.0921,3.0921,7980
2006-09-14,2.7132,2.7429,2.6931,2.6931,8572
2006-09-15,2.7132,2.7132,2.7132,2.7132,1003
2006-09-18,2.4936,2.4936,1.4961,1.7955,17264
2006-09-19,1.995,2.5434,1.995,2.5434,9344
2006-09-20,2.5434,2.5434,2.5434,2.5434,1003
2006-09-21,2.0049,2.0049,1.9053,1.9053,5013
2006-09-22,1.995,1.995,1.8951,1.8951,3599
