Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-06-04,87.902,87.902,73.883,75.778,1918824
2007-06-05,76.914,76.914,72.983,73.457,272016
2007-06-06,74.215,74.215,71.326,71.989,149727
2007-06-08,71.042,71.421,70.473,70.852,91750
2007-06-11,71.421,74.831,71.042,73.362,97400
2007-06-12,73.883,73.883,69.147,71.989,90935
2007-06-13,71.799,71.799,70.189,71.231,20646
2007-06-14,71.942,71.942,70.237,70.568,53468
2007-06-15,70.284,70.284,69.242,70,42767
2007-06-18,70.094,70.379,68.2,69.147,106245
2007-06-19,69.147,70.615,69.005,70.473,67497
2007-06-20,70.852,71.894,70.094,70.094,32362
2007-06-21,70.852,70.852,68.816,69.431,29063
2007-06-22,69.147,69.147,67.632,67.726,47659
2007-06-25,68.2,68.2,65.832,67.442,73599
2007-06-26,68.2,68.2,65.548,66.258,24863
2007-06-27,66.211,66.211,63.937,64.411,70479
2007-06-28,64.127,64.411,61.096,61.901,64586
2007-06-29,61.096,61.522,57.781,61.522,124603
2007-07-02,60.717,60.717,58.207,58.728,36756
2007-07-03,57.781,61.759,57.496,61.001,95559
2007-07-04,61.096,63.937,61.096,62.896,56233
2007-07-05,62.99,64.411,61.569,62.327,32424
2007-07-06,62.517,62.517,61.569,62.28,40008
2007-07-09,62.896,62.896,60.622,60.859,33343
2007-07-10,59.77,60.622,59.201,59.675,30393
2007-07-11,59.675,59.675,57.781,58.491,33742
2007-07-12,58.538,58.822,57.449,57.781,21180
2007-07-13,58.538,59.675,57.496,58.538,15560
2007-07-16,57.781,58.349,54.56,56.644,72792
2007-07-17,55.791,56.739,53.992,56.644,25029
2007-07-18,56.644,57.307,55.507,55.886,20909
2007-07-19,55.602,56.17,55.412,55.507,15263
2007-07-20,55.649,55.697,53.897,53.897,49972
2007-07-23,53.044,53.471,50.818,52.192,47930
2007-07-24,51.292,52.097,50.203,50.203,71088
2007-07-25,48.403,51.15,46.887,51.15,123083
2007-07-26,52.002,52.287,47.74,48.308,35141
2007-07-27,45.94,48.308,44.519,47.408,75955
2007-07-30,47.361,47.551,45.94,46.603,36491
2007-07-31,46.793,50.345,46.698,49.729,74501
2007-08-01,48.308,48.308,46.887,48.119,32928
2007-08-02,51.15,52.002,50.25,51.15,68589
2007-08-03,51.15,53.85,50.676,52.002,58172
2007-08-06,51.103,54.939,50.203,53.992,48775
2007-08-07,55.791,56.786,53.044,53.613,113200
2007-08-08,53.423,53.518,51.15,53.139,60363
2007-08-09,53.613,53.613,52.902,53.518,62930
2007-08-10,49.256,51.15,49.256,51.15,53008
2007-08-13,51.15,51.813,50.155,51.245,47275
2007-08-14,51.813,52.097,50.676,51.482,76594
2007-08-16,49.256,49.445,45.76,47.361,107965
2007-08-17,45.467,52.097,45.467,51.15,71313
2007-08-20,53.992,53.992,52.097,52.097,52673
2007-08-21,52.097,52.808,50.297,51.15,35913
2007-08-22,52.05,53.139,51.434,53.044,39836
2007-08-23,54.749,54.749,53.044,54.134,29537
2007-08-24,53.897,53.897,52.571,53.423,47119
2007-08-27,53.802,53.85,51.908,52.381,19704
2007-08-28,52.381,52.381,50.771,50.866,8518
2007-08-29,48.877,50.487,48.687,50.487,35448
2007-08-30,50.582,51.624,48.829,49.634,14839
2007-08-31,49.256,50.392,49.066,49.777,23481
2007-09-03,50.534,51.103,50.203,50.203,12263
2007-09-04,50.676,50.676,50.203,50.297,9927
2007-09-05,50.203,50.297,48.308,48.308,29061
2007-09-06,48.782,50.013,48.308,49.729,48030
2007-09-07,49.729,49.729,47.551,47.835,19030
2007-09-10,46.698,47.835,46.689,47.039,13866
2007-09-11,47.408,47.408,44.519,46.404,258255
