Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-23,21.876,22.287,21.668,21.876,381952
2007-11-26,22.789,22.789,21.876,21.95,237081
2007-11-27,21.876,21.896,21.876,21.896,123801
2007-11-28,21.969,22.242,21.886,21.969,35889
2007-11-29,21.876,21.969,21.876,21.969,1111
2007-11-30,21.969,21.969,21.959,21.959,1209
2007-12-03,21.896,21.905,21.896,21.905,3398
2007-12-04,21.905,21.922,21.905,21.905,1741
2007-12-05,21.886,22.789,21.886,22.789,300994
2007-12-06,22.022,22.022,22.015,22.015,755
2007-12-07,22.333,23.153,22.333,22.789,13214
2007-12-10,22.789,22.789,22.743,22.789,2000
2007-12-11,22.789,25.16,22.734,25.068,256836
2007-12-12,23.7,26.436,23.7,26.436,47406
2007-12-13,25.796,28.258,25.077,27.356,16791
2007-12-14,27.302,27.785,26.891,27.356,4201
2007-12-17,27.347,27.711,27.347,27.711,27777
2007-12-18,27.711,30.082,26.436,27.347,29353
2007-12-19,27.347,28.258,27.347,28.258,190171
2007-12-20,28.258,30.884,27.347,30.884,75872
2007-12-21,32.816,32.816,30.082,30.875,235596
2007-12-27,30.994,32.725,30.537,30.994,227964
2007-12-28,30.92,30.994,30.537,30.994,7288
2008-01-02,35.551,35.551,28.897,31.905,116168
2008-01-03,31.86,31.86,30.082,30.901,156970
2008-01-04,30.082,30.537,28.915,28.915,297255
2008-01-07,27.529,30.082,27.529,28.258,34491
2008-01-08,28.714,30.082,28.258,29.808,413050
2008-01-09,29.808,29.808,28.167,29.169,151814
2008-01-10,27.765,28.167,27.765,28.167,15775
2008-01-11,27.802,29.169,27.621,29.169,4286
2008-01-14,28.423,29.169,27.401,29.169,5804
2008-01-15,29.717,29.808,29.079,29.079,538502
2008-01-16,28.897,28.897,27.985,27.985,45106
2008-01-17,29.535,29.535,28.076,28.258,120540
2008-01-18,28.714,28.714,28.714,28.714,4602
2008-01-21,28.076,28.714,26.436,27.209,79884
2008-01-22,26.436,27.209,26.436,27.155,56632
2008-01-23,27.209,28.15,26.436,27.802,33076
2008-01-24,28.714,28.714,27.347,27.802,11746
2008-01-25,27.621,27.802,27.621,27.802,172932
2008-01-28,27.802,28.15,27.756,28.15,56207
2008-01-29,28.258,28.258,27.802,27.802,419984
2008-01-30,27.802,27.802,27.802,27.802,1212
2008-01-31,27.583,29.625,27.574,27.802,131572
2008-02-01,28.258,28.258,27.802,27.811,145683
2008-02-04,29.16,29.169,27.802,27.802,50581
2008-02-05,27.811,27.811,27.811,27.811,3934
2008-02-06,27.802,28.258,27.802,28.258,1196
2008-02-07,28.258,28.258,28.258,28.258,445165
2008-02-08,28.623,28.714,28.167,28.714,21525
2008-02-11,28.714,29.599,28.258,28.714,24557
2008-02-12,28.714,28.805,28.714,28.805,1144
2008-02-13,29.599,29.625,28.276,29.625,3485
2008-02-14,29.616,29.625,29.169,29.625,75667
2008-02-15,29.616,30.082,29.607,30.082,15700
2008-02-18,29.169,30.082,29.169,30.082,334167
2008-02-19,30.082,30.082,29.169,29.169,12070
2008-02-20,29.169,30.082,29.169,30.082,17475
